0: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 8, 15, 10, 12], [5, 6, 29], [11, 18, 17, 23, 22, 14], [20, 25, 28, 24], [27, 21, 26]]
28: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 8, 14, 12, 5], [15, 26, 10], [11, 22, 21, 23, 17, 6, 28, 18, 29, 20, 24], [25, 27]]
29: [[7, 16, 2, 19], [9, 1, 4, 3], [13, 8, 6, 5, 15, 10, 11, 29, 12, 18, 14, 21, 22, 25, 24], [20, 17, 26, 23, 27, 28]]
30: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 10, 15], [12, 5], [6, 8, 11, 14], [22, 20, 17, 25], [21, 18, 23, 26, 27, 24, 29, 28]]
31: [[7, 16, 2], [19, 9, 1], [4, 3, 13, 6, 15, 5, 11, 8, 12, 10, 14, 23, 21, 18, 22, 28, 17, 20, 26, 27, 29, 24, 25]]
32: [[7, 16, 2, 19], [9, 1, 4, 3, 13, 8, 14, 6, 10, 5, 11], [12, 15, 26, 18, 21, 17, 25, 20, 22, 23, 29, 24], [27, 28]]
33: [[7, 16, 2, 19, 9], [1, 4, 3, 15], [10, 5, 13], [14, 6, 24, 11, 8, 18, 23, 12, 21, 22, 26, 17, 20, 25], [28, 29], [27]]
34: [[7, 16, 2, 19], [9, 1, 4, 3], [13, 12, 5, 10, 6, 8, 11, 15, 14, 18, 26, 21, 23, 17], [20, 29, 27, 22, 24, 25, 28]]
35: [[7, 16, 2, 19, 9, 1], [4, 3, 15, 10, 5, 13, 6, 8, 24, 27, 12, 28, 23, 14, 21, 17, 20, 18, 22], [11, 26, 29, 25]]
36: [[7, 16, 2, 19], [9, 1, 4, 3, 13, 8, 5], [14, 15, 11, 10, 12, 6], [26, 18, 22, 25, 17, 20, 21, 23, 28, 24, 27, 29]]
37: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 6, 5, 14], [10, 8, 12, 11, 15, 22, 21], [18, 17, 20, 28, 25, 27, 23, 26, 29, 24]]
38: [[7, 16, 2, 19, 9, 1], [4, 3, 13], [6, 5, 14, 11, 8, 12, 10, 15, 22, 21, 18, 17, 24, 20, 25, 23, 27], [29, 28, 26]]
39: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 6, 5, 8, 11, 24, 18, 22, 21, 10, 12, 14], [23, 15], [17, 26, 20, 25, 27, 29, 28]]
40: [[7, 16], [2, 19, 9, 1], [4, 3, 13, 10, 14, 8, 5, 12, 15, 11, 6], [22, 17, 26], [25, 21, 18, 20, 23, 27, 24, 28, 29]]
41: [[7, 16, 2, 19, 9], [1, 4, 3, 15, 14, 13, 12, 5, 6, 8, 10, 11, 26, 17, 18, 21, 20, 24, 29, 23], [22, 27, 28, 25]]
42: [[7, 16, 2, 19, 9, 1], [4, 3, 15, 14, 5, 6], [11, 8, 28, 10, 13, 22], [12, 18, 21, 17], [20, 25, 23, 27, 24, 29, 26]]
43: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 14, 11], [12, 5, 15], [6, 10, 8, 22, 18], [23, 17, 26, 21, 20, 28, 27, 24, 29], [25]]
44: [[7, 16, 2, 19], [9, 1, 4, 3], [15, 6, 14, 5, 10, 8], [11, 25, 12, 18, 23, 26, 28, 13, 17, 20, 21, 29, 22, 24, 27]]
45: [[7, 16, 2, 19, 9, 1], [4, 3, 15, 12, 13, 6], [5, 8, 14, 10], [11, 18, 17, 24, 21, 22], [25, 20, 23, 26], [27, 29], [28]]
46: [[7, 16], [2, 19, 9], [1, 4, 3, 13, 8, 11, 14], [5], [6, 10, 12, 15, 22, 17, 26, 21, 20, 27, 28, 23, 18, 24, 25, 29]]
47: [[7, 16], [2, 19, 9, 1, 4, 3], [13, 5, 6, 8, 11, 12, 14, 28, 10, 23, 25, 15, 17, 29, 18], [21, 20, 27, 26, 24, 22]]
48: [[7], [16, 2, 19, 9, 1, 4, 3, 15, 8, 6, 14, 12, 5, 28, 10, 13, 20, 27, 17, 21, 18, 29, 22, 24, 11, 23, 25], [26]]
49: [[7, 16, 2, 19, 9], [1, 4, 3, 15, 14, 11], [13, 12, 5, 10], [6, 27, 18], [8, 17, 21, 24, 20, 28, 23, 22, 26, 29, 25]]
50: [[7, 16, 2, 19], [9, 1, 4, 3, 13], [8, 10, 5], [15, 6, 11, 17, 12, 18, 20], [21, 14, 23], [22, 24, 29, 26, 25, 27, 28]]
51: [[7, 16, 2, 19, 9, 1, 4], [3, 13, 8, 15, 6, 5], [10, 11, 12, 14], [18, 21, 23, 22, 20, 17], [24, 26, 28, 25], [27, 29]]
52: [[7, 16, 2, 19, 9, 1], [4, 3, 15], [14, 5, 6, 10, 8, 12, 13], [11, 18, 17, 20, 23, 21, 28], [25, 22, 26, 27, 29, 24]]
53: [[7, 16], [2, 19, 9, 1, 4, 3, 13, 5, 15, 6, 8, 11, 12, 25, 10, 22, 17, 18, 20, 14, 23, 24, 27, 29, 28, 21], [26]]
54: [[7, 16], [2, 19], [9, 1, 4], [3, 13, 8, 6, 5, 14, 11], [12, 17, 15, 20, 23, 18], [25, 21, 29, 22, 26, 10, 28, 24, 27]]
55: [[7, 16], [2, 19, 9], [1, 4, 3, 15, 12, 13, 6, 5, 10, 14], [8], [11, 18, 17, 22, 20, 23, 24, 21, 26, 28, 25, 27, 29]]
56: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 8], [15, 5, 12], [11, 22, 20, 14, 18, 23], [24, 26, 6, 17], [27, 25, 10], [29, 21, 28]]
57: [[7, 16, 2, 19, 9], [1, 4, 3, 13, 14, 15], [12, 5, 8], [10, 11, 23, 18, 21, 6], [17, 24], [20, 28, 27, 22], [25, 29, 26]]
58: [[7, 16, 2, 19, 9, 1, 4], [3, 15, 8, 6], [10, 14, 5, 12], [11, 13, 20, 26], [17, 18, 21, 25, 22, 24, 23, 28, 27, 29]]
59: [[7, 16, 2, 19, 9], [1, 4], [3, 15, 8, 6], [10, 5, 13, 11, 14, 17, 22, 12], [20, 23, 29, 21, 24], [26, 18], [27, 28, 25]]
