0: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
24: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
25: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
26: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
27: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
28: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
29: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
30: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
31: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
32: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
33: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
34: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
35: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
36: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
37: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
38: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
39: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
40: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
41: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
42: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
43: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
44: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
45: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
46: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
47: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
48: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
49: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
50: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
51: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
52: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
53: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
54: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
55: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
56: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
57: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
58: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
59: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
