0: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29, 22, 24], [37, 3], [19, 5, 11], [21, 6, 15, 35], [17, 1, 8, 9], [7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
29: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29], [22, 24], [37, 3, 19], [5, 11], [21, 6], [15, 35, 17], [1, 8, 9, 7], [18, 12, 20], [32, 23, 14, 27, 33, 31, 30, 34]]
30: [[28, 25], [10, 26], [36, 13], [2, 16], [4, 29, 22], [24, 37, 3], [19, 5], [11, 21, 6], [15, 35], [17, 1, 8], [9, 7, 18], [12, 20], [32, 23, 14], [27, 33], [31, 30, 34]]
31: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24], [37, 3, 19, 5], [11, 21], [6, 15, 35, 17], [1, 8], [9, 7, 18, 12], [20, 32, 23, 14, 27, 33, 31, 30, 34]]
32: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29], [22, 24, 37], [3, 19, 5, 11], [21, 6, 15, 35], [17, 1, 8], [9, 7, 18, 12], [20, 32], [23, 14, 27, 33], [31, 30, 34]]
33: [[28, 25], [10, 26], [36, 13], [2, 16], [4, 29, 22], [24, 37, 3], [19, 5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
34: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7], [18, 12, 20, 32], [23, 14, 27, 33, 31, 30, 34]]
35: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24], [37, 3, 19], [5, 11], [21, 6], [15, 35, 17], [1, 8], [9, 7, 18, 12], [20, 32, 23, 14, 27, 33, 31], [30, 34]]
36: [[28, 25], [10, 26, 36, 13, 2, 16], [4, 29, 22], [24, 37, 3], [19, 5, 11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27], [33, 31, 30, 34]]
37: [[28, 25], [10, 26, 36], [13, 2], [16, 4, 29], [22, 24], [37, 3], [19, 5], [11, 21, 6, 15], [35, 17, 1, 8], [9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
38: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19], [5, 11, 21], [6, 15, 35], [17, 1, 8], [9, 7, 18, 12], [20, 32, 23], [14, 27, 33], [31, 30, 34]]
39: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29], [22, 24, 37], [3, 19], [5, 11, 21, 6], [15, 35], [17, 1, 8, 9], [7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
40: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24], [37, 3], [19, 5], [11, 21, 6], [15, 35], [17, 1], [8, 9, 7], [18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
41: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19, 5], [11, 21, 6, 15], [35, 17, 1], [8, 9, 7], [18, 12, 20], [32, 23], [14, 27, 33], [31, 30, 34]]
42: [[28, 25], [10, 26], [36, 13, 2, 16], [4, 29, 22, 24], [37, 3, 19, 5, 11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
43: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22], [24, 37, 3, 19], [5, 11, 21, 6], [15, 35], [17, 1, 8], [9, 7, 18, 12], [20, 32], [23, 14, 27, 33], [31, 30, 34]]
44: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29], [22, 24, 37], [3, 19], [5, 11, 21], [6, 15, 35], [17, 1, 8], [9, 7, 18], [12, 20, 32], [23, 14], [27, 33], [31, 30, 34]]
45: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19], [5, 11, 21, 6], [15, 35, 17, 1, 8, 9, 7], [18, 12], [20, 32, 23, 14, 27, 33, 31, 30, 34]]
46: [[28, 25], [10, 26, 36], [13, 2], [16, 4, 29], [22, 24], [37, 3, 19], [5, 11, 21], [6, 15, 35], [17, 1], [8, 9, 7], [18, 12], [20, 32, 23], [14, 27], [33, 31, 30], [34]]
47: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29, 22], [24, 37], [3, 19, 5], [11, 21, 6], [15, 35, 17], [1, 8, 9], [7, 18, 12], [20, 32, 23], [14, 27, 33], [31, 30, 34]]
48: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24], [37, 3, 19], [5, 11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
49: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29, 22, 24], [37, 3, 19, 5], [11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
50: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24, 37], [3, 19, 5, 11], [21, 6], [15, 35, 17, 1], [8, 9], [7, 18], [12, 20, 32, 23], [14, 27, 33, 31], [30, 34]]
51: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24], [37, 3, 19], [5, 11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
52: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19, 5], [11, 21, 6], [15, 35, 17], [1, 8], [9, 7, 18], [12, 20], [32, 23, 14], [27, 33, 31], [30, 34]]
53: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22], [24, 37], [3, 19, 5], [11, 21, 6], [15, 35], [17, 1], [8, 9], [7, 18], [12, 20, 32, 23], [14, 27], [33, 31, 30, 34]]
54: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29], [22], [24, 37, 3, 19, 5, 11, 21, 6, 15, 35, 17], [1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
55: [[28, 25], [10, 26, 36], [13, 2], [16, 4, 29], [22, 24], [37, 3, 19], [5, 11, 21], [6, 15, 35], [17, 1], [8, 9], [7, 18, 12], [20, 32, 23], [14, 27], [33, 31], [30, 34]]
56: [[28, 25], [10, 26], [36, 13], [2, 16], [4, 29], [22, 24, 37], [3, 19, 5], [11, 21, 6], [15, 35, 17], [1, 8], [9, 7], [18, 12, 20], [32, 23], [14, 27], [33, 31, 30, 34]]
57: [[28, 25], [10, 26, 36], [13, 2], [16, 4, 29], [22, 24, 37], [3, 19, 5], [11, 21, 6], [15, 35], [17, 1], [8, 9, 7], [18, 12, 20], [32, 23, 14], [27, 33], [31, 30, 34]]
58: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29], [22, 24, 37, 3], [19, 5], [11, 21, 6], [15, 35], [17, 1, 8], [9, 7, 18], [12, 20, 32], [23, 14], [27, 33, 31], [30, 34]]
59: [[28, 25, 10], [26, 36], [13, 2], [16, 4], [29, 22, 24], [37, 3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7], [18, 12, 20], [32, 23, 14], [27, 33, 31, 30, 34]]
60: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29], [22, 24, 37, 3, 19, 5, 11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
61: [[28, 25, 10], [26, 36, 13], [2, 16, 4, 29], [22, 24], [37, 3, 19, 5], [11, 21, 6, 15], [35, 17], [1, 8, 9, 7], [18, 12, 20, 32], [23, 14, 27], [33, 31, 30, 34]]
62: [[28, 25], [10, 26], [36, 13], [2, 16, 4], [29, 22, 24], [37, 3, 19], [5, 11, 21], [6, 15, 35], [17, 1], [8, 9, 7], [18, 12], [20, 32, 23], [14, 27, 33, 31], [30, 34]]
63: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24, 37, 3, 19, 5], [11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
64: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22], [24, 37, 3, 19], [5, 11, 21, 6], [15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
65: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19, 5], [11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
66: [[28, 25, 10], [26, 36], [13, 2, 16], [4, 29, 22], [24, 37, 3], [19, 5], [11, 21, 6], [15, 35, 17, 1], [8, 9], [7, 18], [12, 20, 32], [23, 14, 27], [33, 31, 30, 34]]
67: [[28, 25, 10, 26, 36, 13, 2, 16, 4, 29, 22, 24, 37, 3], [19, 5, 11, 21, 6, 15, 35, 17, 1, 8, 9, 7], [18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
68: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22], [24, 37], [3, 19], [5, 11, 21, 6], [15, 35, 17, 1], [8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
69: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29], [22, 24, 37, 3, 19, 5, 11, 21], [6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
70: [[28, 25, 10], [26, 36, 13, 2], [16, 4, 29], [22, 24], [37, 3], [19, 5, 11, 21], [6, 15, 35], [17, 1, 8], [9, 7], [18, 12, 20], [32, 23], [14, 27, 33], [31], [30, 34]]
71: [[28, 25, 10], [26, 36, 13], [2, 16], [4, 29], [22, 24], [37, 3, 19], [5, 11], [21, 6], [15, 35, 17, 1], [8, 9, 7], [18, 12], [20, 32, 23, 14], [27, 33], [31, 30, 34]]
72: [[28, 25, 10], [26, 36], [13, 2], [16, 4, 29], [22, 24], [37, 3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9], [7, 18, 12], [20, 32], [23, 14], [27, 33, 31], [30, 34]]
73: [[28, 25, 10], [26, 36, 13, 2], [16, 4, 29], [22, 24, 37, 3, 19, 5, 11, 21, 6, 15, 35, 17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
