0: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
31: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
32: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
33: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
34: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
35: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
36: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
37: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
38: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
39: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
40: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
41: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
42: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
43: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
44: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
45: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
46: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
47: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
48: [[23, 24, 2, 22, 7, 11], [16, 4], [1, 9], [3, 18], [12, 10], [13, 21], [14, 17, 5, 6], [19, 20], [15, 8]]
49: [[23, 24, 2, 22, 7, 11], [16, 4], [1, 9], [3, 18], [12, 10], [13, 21], [14, 17, 5, 6], [19, 20], [15, 8]]
