0: [[27], [36, 11, 50], [41], [35, 46, 2], [33], [34, 1, 43], [3, 30, 31, 51], [23], [13, 4, 21], [25, 15, 6, 10], [47], [5, 8, 9, 18], [57, 49], [22, 55], [37, 16], [54, 14], [53, 26], [40, 28, 29], [42, 24, 38, 44, 12], [32, 17, 58, 48], [7], [52, 56], [20, 39, 19, 45], [59, 60]]
28: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 13, 8, 9, 31, 10, 6, 15, 16, 17, 24, 19, 18, 27, 25, 21, 22], [23, 29, 26, 28, 30, 42, 34, 38, 32, 36, 37], [39, 40, 41, 43, 44, 45, 47, 46, 51], [49, 52, 50, 60, 55, 48, 53, 58, 59, 54, 56, 57]]
29: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 26, 30, 6, 8, 25, 9, 31, 13, 10, 19, 15, 16, 18, 17, 21, 29, 23], [22, 24, 28, 27, 40, 36, 34, 32, 37, 38], [43, 45, 41, 39, 46, 44, 42, 47, 51], [49, 52, 50, 48, 55, 53, 54, 57, 56, 58, 59, 60]]
30: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 15, 29, 6, 26, 8, 13, 9, 10, 16, 18, 30, 21, 19, 23, 24, 17, 25], [22, 27, 28, 31, 32, 38, 34, 36, 37], [40, 39, 44, 47, 45, 43, 46, 42, 41, 51], [49, 54, 50, 48, 53, 52, 55, 60, 58, 57, 56, 59]]
31: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 18, 8, 9, 26, 10, 6, 15], [13, 17, 21, 19, 22, 27, 29, 23, 16], [24, 25, 31, 30, 28, 34, 32, 44, 36, 38, 37, 43, 39, 40, 42, 58, 41, 45, 47, 51], [49, 54, 50, 53, 55, 46, 52, 57, 48, 56, 59, 60]]
32: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 22, 6, 10, 9, 30, 13, 28, 15, 17, 18, 16, 21, 26, 23, 8, 19, 25, 24], [29, 27, 31, 40, 38, 34, 32, 37, 39], [43, 36, 41, 47, 45, 42, 44, 46, 51], [49, 54, 50, 48, 55, 53, 56, 57, 59, 52, 58, 60]]
33: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 22, 6, 10, 9, 30, 13, 28, 15, 17, 18, 16, 21, 26, 23, 8, 19, 25, 24], [29, 27, 31, 40, 38, 34, 32, 37, 39], [43, 36, 41, 47, 45, 42, 44, 46, 51], [49, 54, 50, 48, 55, 53, 56, 57, 59, 52, 58, 60]]
34: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 6, 10, 24, 8, 25, 19, 15, 9, 17, 13, 18, 16, 21, 29, 26, 28], [23, 31, 30, 27, 40, 32, 34, 37, 36, 47], [39, 38, 41, 45, 46, 44, 42, 43, 51], [49, 54, 50, 48, 53, 60, 52, 55, 59, 58, 56, 57]]
35: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5], [1, 8, 6, 18, 26, 30, 29, 16, 15, 19, 9, 10, 23, 13, 17, 24, 21, 25], [22, 28, 27, 31, 32, 38, 34, 37, 36, 43], [39, 42, 41, 45, 46, 44, 47, 40, 51], [49, 54, 50, 48, 53, 52, 55, 58, 57, 59, 56, 60]]
36: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 26, 15, 25, 8, 6, 9, 10, 13, 19, 18, 17, 16, 24, 23, 30, 27, 22, 21], [29, 31, 28, 40, 38, 34, 32, 37, 47], [36, 39, 41, 42, 43, 45, 44, 46, 51], [49, 54, 50, 56, 52, 53, 55, 48, 59, 57, 58, 60]]
37: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 22, 26, 24, 6, 10, 15, 8], [9, 19, 18, 13, 16, 17, 25, 23, 21], [27, 31, 28, 29, 45, 36, 34, 32, 37, 39, 46, 38, 43, 40, 44, 41, 42, 47, 51], [49, 54, 48, 50, 55, 52, 53, 57, 58, 59, 56, 60]]
38: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 24, 6, 25, 15, 27, 8, 9, 10, 13, 23, 19, 18, 16, 17, 21, 22, 31], [29, 26, 30, 28, 40, 38, 34, 36, 37], [39, 47, 32, 43, 45, 42, 41, 44, 46, 51], [49, 54, 48, 56, 53, 52, 55, 50, 58, 57, 59, 60]]
39: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 24, 6, 25, 15, 27, 8, 9, 10, 13, 23, 19, 18, 16, 17, 21, 22, 31], [29, 26, 30, 28, 40, 38, 34, 36, 37], [39, 47, 32, 43, 45, 42, 41, 44, 46, 51], [49, 54, 48, 56, 53, 52, 55, 50, 58, 57, 59, 60]]
40: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 9, 27, 26, 8, 28, 21, 15], [19, 10, 17, 22, 13, 16, 23, 18, 24, 25, 29, 31, 30, 40, 38, 42, 32, 37], [39, 34, 36, 45, 47, 44, 41, 43, 46, 51], [49, 52, 50, 48, 54, 55, 53, 58, 56, 57, 59, 60]]
41: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 8, 27, 9, 24, 15, 6, 25, 10], [13, 18, 22, 21, 17, 16, 19, 23, 26, 28], [29, 31, 44, 32, 38, 42, 37, 30, 34], [39, 36, 40, 41, 43, 45, 47, 46, 51], [49, 54, 50, 48, 53, 52, 55, 60, 58, 59, 57, 56]]
42: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 10, 6, 8, 25, 13, 15, 29, 26, 19, 9, 17, 16, 18, 21, 22, 23, 30], [24, 27, 31, 28, 40, 36, 34, 32, 37, 46], [42, 39, 38, 41, 43, 44, 47, 45, 51], [49, 52, 48, 58, 50, 53, 54, 55, 59, 56, 57, 60]]
43: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 9, 8, 10, 24, 15], [13, 25, 16, 17, 21, 19, 18, 23, 26, 30], [27, 28, 29, 31, 37, 40, 32, 46, 36, 39, 6, 34, 38, 45, 41, 42, 44, 43, 47, 51], [49, 54, 48, 56, 53, 52, 50, 57, 59, 55, 58, 60]]
44: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 6, 24, 8, 10, 25], [26, 15, 28, 19, 13, 16, 9, 21, 17, 31, 22, 18, 23, 27, 29, 40, 36, 42, 32, 37], [39, 38, 34, 41, 46, 44, 47, 43, 45, 51], [49, 54, 50, 48, 53, 52, 55, 57, 59, 58, 56, 60]]
45: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 6, 10, 27, 9, 26, 13, 29, 17, 8, 31, 15, 18, 16, 23, 21, 22, 24, 19], [25, 28, 30, 41, 38, 34, 32, 37, 39], [43, 36, 40, 46, 42, 44, 47, 45, 51], [49, 54, 50, 48, 52, 55, 53, 58, 56, 57, 59, 60]]
46: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 30, 6, 10, 9, 8, 29, 17, 13, 15, 16, 19, 18, 21, 22, 25, 24, 26, 23], [31, 28, 27, 40, 36, 34, 32, 37, 47], [38, 46, 41, 45, 39, 44, 42, 43, 51], [49, 54, 50, 48, 53, 52, 55, 56, 58, 59, 57, 60]]
47: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 24, 6, 25, 13, 27, 8, 9], [10, 29, 23, 17, 18, 16, 19, 15, 28, 31, 21, 26, 30, 22, 40, 32, 34, 36, 37], [39, 47, 38, 43, 45, 41, 42, 44, 46, 51], [49, 54, 50, 56, 53, 52, 48, 55, 58, 59, 57, 60]]
48: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 6, 8, 9, 27, 10, 15, 29], [25, 13, 17, 16, 31, 19, 18, 21, 22], [26, 23, 30, 28, 24, 44, 36, 42, 32, 39, 34, 38, 37, 41, 43, 40, 45, 46, 47, 51], [49, 52, 50, 58, 55, 48, 53, 57, 59, 54, 56, 60]]
49: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 18, 6, 9, 10, 25, 8, 31], [13, 19, 15, 23, 17, 26, 16, 21, 27], [22, 28, 29, 30, 37, 24, 36, 34, 32, 38, 47, 39, 40, 43, 44, 42, 41, 45, 46, 51], [49, 54, 50, 48, 55, 52, 53, 59, 58, 57, 56, 60]]
50: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 9, 8, 24, 26, 15, 31], [10, 13, 19, 16, 18, 21, 17, 22, 23, 27, 30, 28, 25, 29, 40, 36, 34, 32, 38, 39], [37, 47, 41, 43, 46, 42, 45, 44, 51], [49, 54, 50, 48, 53, 55, 52, 57, 59, 56, 58, 60]]
51: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 26, 6, 25, 10, 27, 8, 29, 9, 13, 23, 19, 18, 16, 15, 21, 22, 17, 31], [28, 24, 30, 40, 36, 34, 32, 37, 38], [46, 39, 42, 41, 43, 44, 45, 47, 51], [49, 54, 48, 56, 53, 52, 55, 50, 58, 57, 59, 60]]
52: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 22, 8, 13, 10, 9, 15, 18, 21, 17, 19, 23, 16, 24, 31], [25, 27, 28, 26, 29, 30, 40, 36, 34, 38, 32], [39, 46, 41, 45, 42, 43, 44, 37, 47, 51], [49, 52, 48, 50, 55, 54, 53, 57, 56, 58, 59, 60]]
53: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5], [1, 30, 6, 26, 13, 8, 29, 9, 15, 10, 18, 16, 17, 21, 23, 19, 25, 22, 27], [28, 31, 24, 41, 36, 34, 32, 37, 46], [38, 43, 40, 45, 39, 42, 47, 44, 51], [49, 54, 50, 48, 53, 52, 55, 57, 59, 56, 58, 60]]
54: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 19, 8, 29, 23, 9, 15, 26], [10, 13, 18, 17, 16, 21, 25, 24, 27, 22, 30, 31, 28, 41, 36, 32, 34, 37, 39], [42, 40, 47, 38, 43, 45, 44, 46, 51], [49, 52, 50, 48, 55, 53, 54, 57, 58, 56, 59, 60]]
55: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 8, 10, 25, 9, 24], [19, 13, 15, 27, 29, 16, 17, 22, 18, 21, 31, 23, 26, 30, 28, 40, 36, 42, 32, 39], [38, 34, 37, 41, 47, 46, 43, 44, 45, 51], [49, 54, 50, 48, 53, 52, 55, 57, 59, 58, 56, 60]]
56: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 15, 10, 9, 8, 13], [29, 18, 21, 16, 19, 24, 17, 22, 27, 26, 30, 23, 31, 28, 25, 40, 36, 34, 32, 37], [39, 38, 43, 47, 45, 46, 44, 42, 41, 51], [49, 54, 50, 48, 53, 52, 55, 57, 58, 56, 59, 60]]
57: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 30, 9, 26, 8, 15, 24, 10, 6], [13, 23, 19, 18, 16, 17, 22, 28, 21], [31, 25, 27, 29, 41, 38, 34, 32, 37], [36, 46, 39, 43, 47, 42, 40, 44, 45, 51], [49, 54, 50, 56, 52, 53, 55, 48, 59, 57, 58, 60]]
58: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 28, 27, 6, 24, 13, 15, 9, 8, 10, 18, 23, 19, 17, 16, 21, 22, 30], [25, 29, 31, 26, 32, 38, 44, 36, 45, 39], [34, 37, 43, 41, 47, 40, 42, 46, 51], [49, 54, 50, 48, 55, 53, 52, 57, 58, 56, 59, 60]]
59: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5], [1, 28, 22, 8, 29, 6, 9, 13, 10, 15, 23, 19, 17, 16, 18, 21, 24, 27], [25, 26, 30, 31, 41, 36, 32, 38, 34], [39, 42, 44, 37, 40, 43, 45, 46, 47, 51], [49, 52, 48, 50, 55, 53, 54, 57, 59, 56, 58, 60]]
60: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 30, 8, 10, 29, 13, 15, 24, 9, 31, 17, 19, 16, 18, 22, 21, 25], [26, 23, 27, 28, 41, 38, 42, 32, 37, 34], [36, 45, 44, 39, 43, 40, 46, 47, 51], [49, 54, 48, 50, 52, 53, 55, 60, 59, 56, 57, 58]]
61: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 24, 6, 10, 9, 8, 13, 15, 31, 16, 26, 21, 19, 25, 22, 17, 18, 30], [54, 23, 27, 28, 40, 38, 36, 29, 37], [32, 34, 39, 45, 47, 43, 41, 44, 46, 51], [49, 42, 50, 58, 53, 55, 48, 56, 57, 52, 59, 60]]
62: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 24, 6, 9, 13, 25, 15, 8, 10, 29, 23, 19, 16, 18, 17, 21, 22, 26], [27, 28, 30, 31, 40, 38, 34, 36, 37], [39, 46, 32, 43, 45, 42, 41, 47, 44, 51], [49, 52, 48, 56, 53, 60, 54, 50, 58, 55, 59, 57]]
63: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 30, 25, 24, 8, 9, 13], [15, 16, 27, 18, 17, 29, 19, 23, 22, 21, 10, 31, 28, 26, 44, 36, 34, 32, 37, 39], [42, 46, 43, 38, 40, 41, 45, 47, 51], [49, 54, 48, 50, 55, 52, 53, 57, 58, 59, 56, 60]]
64: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 13, 9, 10, 8, 27, 30], [29, 26, 21, 15, 19, 16, 17, 18, 23, 24, 25, 22, 28, 31, 40, 38, 34, 32, 37, 47], [46, 36, 41, 39, 43, 42, 45, 44, 51], [49, 54, 48, 58, 53, 50, 59, 52, 56, 55, 57, 60]]
65: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 30, 6, 24, 8, 9, 13, 31], [10, 15, 16, 27, 17, 26, 18, 19, 23, 21, 22, 25, 28, 29, 40, 36, 32, 34, 37, 38], [47, 39, 41, 46, 42, 43, 45, 44, 51], [49, 54, 48, 50, 52, 53, 55, 56, 59, 57, 58, 60]]
66: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 26, 9, 25, 13, 6, 8], [10, 15, 21, 22, 19, 18, 24, 16, 17, 31, 23, 29, 27, 30, 28, 40, 38, 34, 32, 37], [47, 45, 36, 43, 39, 42, 41, 44, 46, 51], [49, 54, 50, 56, 53, 52, 55, 48, 58, 57, 59, 60]]
67: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 6, 10, 27, 9, 13, 26, 25, 8, 15, 31, 17, 18, 21, 16, 23, 19], [30, 24, 29, 28, 40, 36, 34, 32, 38], [37, 45, 46, 39, 41, 42, 43, 47, 44, 51], [49, 52, 50, 48, 53, 54, 55, 56, 58, 57, 59, 60]]
68: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 13, 8, 24, 25, 9, 28, 30], [10, 17, 16, 18, 19, 22, 21, 15, 23], [26, 31, 29, 27, 40, 32, 42, 34, 37], [38, 36, 39, 45, 43, 46, 41, 44, 47, 51], [49, 52, 50, 48, 53, 60, 54, 57, 59, 56, 58, 55]]
69: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 6, 8, 25, 9, 21, 16], [15, 26, 27, 17, 10, 23, 19, 18, 13, 24, 28, 29, 31, 30, 40, 36, 32, 42, 37, 46], [39, 38, 45, 34, 41, 43, 44, 47, 51], [49, 54, 50, 48, 53, 52, 55, 56, 59, 57, 58, 60]]
70: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 6, 8, 27, 10, 25, 23, 13], [17, 15, 29, 18, 9, 30, 16, 19, 21, 26, 24, 28, 31, 40, 36, 46, 32, 37], [34, 38, 39, 43, 42, 47, 41, 44, 45, 51], [49, 54, 50, 48, 52, 58, 55, 57, 53, 59, 56, 60]]
71: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 10, 13, 8, 6, 28, 9, 15, 16], [26, 24, 19, 17, 18, 21, 22, 23, 30], [27, 25, 29, 31, 40, 36, 34, 32, 37, 47, 38, 39, 41, 46, 43, 45, 42, 44, 51], [49, 54, 48, 57, 53, 52, 55, 50, 59, 58, 56, 60]]
72: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 22, 6, 9, 24, 25, 28, 8, 13, 16], [27, 15, 18, 10, 19, 17, 21, 23, 26], [29, 31, 30, 40, 36, 34, 32, 37, 47, 46, 39, 43, 38, 41, 42, 45, 44, 51], [49, 54, 48, 50, 55, 60, 52, 53, 58, 56, 59, 57]]
73: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 22, 6, 26, 15, 9, 8, 23, 10, 17, 18, 13, 31, 25, 21, 16, 19], [28, 24, 30, 27, 29, 58, 36, 34, 32, 38, 39], [37, 41, 40, 43, 42, 44, 46, 47, 51], [49, 54, 50, 48, 55, 52, 45, 56, 59, 57, 53, 60]]
