0: [[7, 35, 3, 2], [13, 5, 1, 6, 21], [9, 8, 4, 18], [24, 16, 23, 10, 12], [15, 30, 20, 31, 19], [11, 27, 14, 17], [22, 26, 28], [29, 46, 32, 37, 40], [25, 33, 34, 36], [39, 47, 41], [42, 43, 58], [38, 51, 44], [45, 50, 55], [53, 54, 56], [49, 57, 48], [52, 60, 59]]
36: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 14, 3, 4], [8, 10, 29, 11], [12, 25, 15, 22], [19, 18, 17, 24, 23], [20, 16, 26, 27, 28, 31, 30, 32, 37], [36, 41, 33, 47, 34], [38, 40, 43, 39, 42, 45, 58, 44, 46, 53], [50, 48, 49, 51, 55, 54, 59, 56, 52, 57, 60]]
37: [[7, 35, 2, 1], [13, 5, 21, 6], [12, 27, 3, 8, 19, 4], [24, 11, 9, 14], [29, 17, 10, 15, 28, 16, 18, 23, 22, 30, 31, 20, 25, 26, 32, 37, 34, 41, 38, 45, 42, 40, 33, 36, 44, 39, 43, 50, 46, 47, 53, 54, 48, 49, 51, 52, 55, 59, 56], [57, 58, 60]]
38: [[7, 35, 2, 3], [13, 5, 21, 6], [12, 26, 8, 4], [19, 1, 14, 11, 15, 24, 9, 20], [22, 30, 10, 16], [18, 23, 25, 29, 17, 27], [31, 28, 32, 33, 34, 36, 38, 37, 42, 41, 39, 43, 44, 45, 40, 58, 47], [46, 53, 51, 48], [49, 52, 55, 56, 54, 50, 59, 57, 60]]
39: [[7, 35, 2, 1], [13, 5, 21, 6, 9, 27, 11], [4, 10, 3, 15, 17, 14, 12, 8, 22], [19, 23, 16, 26, 18, 24, 20, 28, 25, 30, 31, 29, 32, 37, 42, 34, 39, 46, 36, 41, 47, 33, 40, 43, 45, 50, 38, 51, 54, 44, 48, 49, 55, 53, 57, 52, 56, 59, 58, 60]]
40: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 10, 9, 12, 8], [4, 11, 15, 23, 18], [14, 25, 16, 19, 20, 17, 22], [31, 24, 27, 26], [30, 29, 28, 32, 37, 42, 33], [36, 46, 34, 38, 47, 43, 40, 39, 44], [50, 54, 41, 48, 45, 55, 51, 49, 57, 52, 56, 53, 60, 58, 59]]
41: [[7, 35, 2, 1], [13, 5, 21, 6, 11, 25, 3, 12, 9], [10, 24, 4, 15, 8, 14, 19, 16, 18, 17, 22, 20, 28, 27, 26, 29, 23, 30, 31, 32, 37, 33, 42, 43, 45, 38, 36], [39], [34, 41, 40, 46, 50, 44, 54, 48, 47, 49, 53, 51, 55, 52, 56, 58, 59, 57, 60]]
42: [[7, 35, 2, 1], [13, 5, 21, 6, 3, 27, 4, 11], [14, 8, 28, 16, 9, 10, 15, 18, 22, 20, 30, 26, 12, 19, 24], [29, 17, 23, 25, 31, 32, 37, 34, 33, 38], [46, 39, 36, 40, 44, 47, 42, 41, 51, 43, 52, 54, 49, 48, 50, 56, 45, 53, 55], [58, 57, 60, 59]]
43: [[7, 35, 2, 4], [13, 5, 21, 3], [11, 10, 1, 14, 9, 15, 6, 8, 12], [30, 26, 23, 16, 17, 27, 19, 18, 28, 22, 20, 24, 29, 25, 31, 32, 39, 34, 42, 37, 36, 33, 38, 43, 41, 45, 40, 44, 48, 58, 46, 54, 60, 51, 47, 50, 49, 59, 57, 52, 53, 55, 56]]
44: [[7, 35, 2, 1], [13, 5, 3, 6, 21], [27, 4, 8, 18], [10, 16, 23, 11, 12, 14, 30, 9, 20, 15], [17, 19, 24, 22, 25, 31, 26, 28, 46, 32, 38, 33, 29, 37, 34, 36, 39], [40, 42, 43, 41, 47, 50, 51, 44, 45, 48, 55, 49, 54, 59, 60, 58, 52, 53, 57, 56]]
45: [[7, 35, 2, 1], [13, 5, 21, 6, 9, 10], [3, 4, 12, 14, 24], [15, 8, 18, 11, 27], [28, 16, 22, 25, 23, 19, 20], [26, 17, 30, 29, 31, 32, 37, 34, 41, 39, 36, 46, 33, 38, 43], [47, 42, 40, 51, 44, 54, 48, 49, 52, 50, 45, 53, 57, 56, 58, 60, 55, 59]]
46: [[7, 35, 2, 1], [13, 5, 21, 6, 3], [27, 8, 12], [10, 4, 31, 9, 15, 11, 14, 17, 23, 19, 16, 24, 22, 18, 20, 28, 29, 26, 25, 30, 36, 37, 32, 50, 33], [34, 38, 47, 42, 40, 43, 45, 49, 41, 39, 44], [48, 46, 52, 57, 54, 53, 51, 55, 56, 60, 58, 59]]
47: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 25, 4, 10, 8, 14], [24, 11, 15], [22, 12, 17, 9, 18, 16, 26, 23, 19], [28, 20, 30, 27, 29, 31, 32, 37, 38, 33, 34, 47, 44, 42, 46, 41, 39, 36, 40], [51, 43, 45, 55, 53, 48, 50, 49, 52, 54, 57, 60, 59, 58, 56]]
48: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 27, 4, 8, 18, 12], [9, 14, 10, 11, 15, 17, 16, 23, 28, 19, 20, 22, 24, 25, 30, 31, 29, 26, 33, 37, 36, 32, 38, 39, 40, 34, 47, 41, 42, 43, 46, 52, 54, 45, 49, 44, 48, 50, 51, 55], [53, 57, 58, 59, 56, 60]]
49: [[7, 35, 2, 1], [13, 5, 21, 6, 8, 27, 3], [9, 11, 10, 26, 15, 4, 12, 14, 30, 16, 18, 22], [17, 19, 23, 24, 20, 25, 29, 31, 28, 32, 38, 33], [40, 34, 37, 44, 39, 42], [41, 43, 36, 46, 54], [45, 47, 52, 50], [51, 49, 55], [48, 56, 57], [58, 53, 59, 60]]
50: [[7, 35, 2], [1, 13, 5], [21, 6, 9], [27, 8, 4, 10, 25, 26, 11], [14, 18, 12, 3, 22, 20, 24], [17, 23, 15, 16, 19, 31, 30, 29, 28, 33, 37, 40, 32, 39, 38, 34], [41, 36, 43, 42, 44, 45, 58, 46, 47, 54, 51, 48], [49, 50, 53, 52, 56, 59, 55, 57, 60]]
51: [[7, 35, 2, 1], [13, 5, 11, 4], [9, 6, 3, 8, 10, 12, 15, 14, 18, 26, 21, 19, 17, 16], [22, 20, 23, 31, 24, 29, 25, 30, 27, 28], [32, 33, 36, 39, 34, 46, 38, 44, 37, 43, 42, 40, 41, 51, 45, 53], [50, 47, 48, 49, 52, 55, 54, 56, 59, 58, 57, 60]]
52: [[7, 35, 2, 3], [13, 5, 21, 6], [11, 19, 4, 8, 16, 12], [1, 9, 10, 14, 15, 18, 17, 30, 29, 22, 20, 23, 25, 24, 27, 26, 28, 31, 32, 37, 34, 36, 38, 43, 46, 33, 39, 41, 42, 40, 47, 52, 55, 45, 51, 44, 48, 50, 53, 54, 49, 57, 56, 58, 59, 60]]
53: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 25, 4, 11, 8, 10, 12, 14], [15, 30, 17, 16, 9, 20, 18, 22, 23, 19, 24, 27, 26, 28, 31], [29, 32, 38, 36], [33, 34, 41], [47, 37, 45, 40], [39, 42, 44, 50, 43, 46, 54, 51, 48, 53, 52, 55, 49, 56, 57, 58, 60, 59]]
54: [[7, 35, 2, 1], [13, 5, 21, 3], [12, 27, 4, 6, 10, 8, 24, 15, 9], [22, 11, 18, 14, 16, 20, 17, 23, 19], [31, 26, 25, 28, 30, 29, 33, 37, 40], [32, 34, 47, 39, 41, 44, 42, 43, 38, 45, 50, 36, 46, 54, 51, 48, 49, 52, 56, 55, 57, 59, 58, 53, 60]]
55: [[7, 35, 2, 3], [13, 5, 21], [1, 10, 6, 9, 4], [11, 14, 27], [17, 12, 22, 15], [8, 19, 16, 23], [24, 18, 20, 25, 28, 26, 29, 31, 30, 32, 36, 34, 43, 38, 33, 37, 42], [40, 39, 45, 46, 41], [48, 47, 44, 54, 49, 52, 50, 51, 57], [55, 53, 56, 59, 58, 60]]
56: [[7, 35, 2, 3], [13, 5, 21, 6, 4, 1, 10, 8, 25], [12, 9, 11, 15, 14, 26, 27, 28, 24, 30, 18, 29, 17, 19, 20, 16, 22, 23, 41, 32, 37, 31, 34, 43, 36, 38, 33], [39, 42, 40, 47, 46, 44, 45, 48, 49, 50, 52], [55, 54, 51, 53, 56, 58, 59, 57], [60]]
57: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 27, 4, 3, 10, 8, 14], [12, 15, 18, 11], [16, 19, 20], [22, 17, 23, 28, 24], [26, 25, 30, 29], [31, 33, 37, 41], [36, 39, 46, 34, 32, 38, 42, 40, 43, 45, 48, 44], [52, 54, 47, 49, 51, 53, 57, 50, 58], [59, 55, 56, 60]]
58: [[7, 35, 2, 1], [13, 5, 21, 6, 9, 27, 11, 8, 3, 10, 14, 31, 4, 30, 12, 15, 16], [17, 26, 20, 23, 28, 24, 18, 22, 19, 29, 25, 32, 37, 34, 38, 36, 33, 39, 43, 45, 40, 41, 42, 44], [49, 47, 53, 54, 46, 52, 48], [55, 50, 56, 51, 57, 59, 58, 60]]
59: [[7, 35, 2, 1], [13, 5, 21, 6, 11, 24, 4, 10, 14, 3], [8, 9, 15, 22, 20, 19, 17, 12, 18, 26, 16, 23, 28, 29, 25, 27, 30, 31, 32], [37, 34, 33, 39, 46, 36, 38, 40, 41, 47, 42, 45, 51, 43, 44, 54, 53, 48, 49, 50, 55, 59, 57, 56, 52, 58, 60]]
60: [[7, 35, 1, 2], [13, 5, 21, 6, 10, 3, 4, 8, 11, 14, 12, 9, 16], [15, 18, 17, 22], [30, 26, 20, 19, 23, 24, 29, 27, 31, 28, 25, 32, 37, 45, 38, 36, 33, 39, 34, 42, 41, 43, 44, 46, 40, 54, 47, 49, 52, 50, 53, 51, 55, 48, 57, 58, 59, 60, 56]]
61: [[7, 35, 2, 1], [13, 5, 21, 6, 9, 10, 3, 14, 4, 11, 15, 12], [8, 28, 18, 17, 16, 19, 24, 26, 23, 20, 22, 27, 30, 25], [29, 31, 32, 37], [44, 33, 36, 45, 38, 43, 34], [46, 39, 40, 47, 51, 41, 42, 55, 50, 52, 49, 53], [54, 48, 56, 58, 59, 57, 60]]
62: [[7, 35, 2, 3], [13, 5, 21, 6], [11, 27, 8, 4, 1, 26, 9, 10], [12, 28, 15, 14], [18, 30, 17, 16], [19], [24, 20, 22, 29, 23, 25, 31, 33, 32, 34, 42, 36, 45, 46, 41, 39, 40, 38, 44, 37, 43, 55, 47, 50, 52, 48, 53, 56, 54, 49, 51, 57, 58, 59, 60]]
63: [[7, 35, 2, 3], [13, 5, 21, 6, 9, 27, 4, 12, 1], [8, 10, 22, 14, 26, 31, 19, 16, 28, 18, 17, 20, 23, 24, 11, 25, 15, 29, 30, 32, 37, 34, 47], [39, 33, 38, 36, 41, 43, 40, 42, 45, 51, 44, 46, 53, 49, 50], [52, 54, 55, 48, 57, 56, 58, 59, 60]]
64: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 11, 8, 4], [10, 12, 24, 9, 14, 18], [15, 16, 19, 17, 22], [25, 28, 26, 23], [27, 30, 20, 29], [31, 32, 33, 34], [38, 37, 41], [36, 42, 39], [43, 40, 45], [47, 51, 46], [44, 49, 53], [50, 48, 52, 54, 55, 56, 58, 59, 60, 57]]
65: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 10, 12, 14, 3], [4, 8, 15, 9, 16, 19, 18, 20, 22], [17, 23, 24, 26, 31, 25, 29, 27, 28], [30, 32, 36, 38, 33, 37, 46, 43, 40, 34, 42, 39, 41, 45, 47], [50, 49, 44, 51], [48, 52, 53, 54, 59, 57, 58, 55, 60, 56]]
66: [[7, 35, 2, 3], [13, 5, 21, 6], [9, 27, 8, 12], [10], [1, 30, 4, 15, 11, 14, 16, 18, 22, 23, 20, 17, 19, 24, 25, 29, 26, 28, 31, 32, 37, 34, 36, 39, 45, 38, 33, 47, 40, 41, 42, 44, 51, 43, 55, 52, 46, 48, 53, 50, 54, 57, 59, 49, 58, 56, 60]]
67: [[7, 35, 2, 3, 13, 5, 21, 6, 9, 27, 8, 4, 1, 12, 11], [18, 10, 14, 15, 19, 16, 22, 28, 17, 20, 31, 23, 24, 30, 25, 29, 26, 33, 32, 34, 37, 36, 38, 40, 46, 41, 39, 43, 42, 44, 50, 47], [45, 55, 48, 52, 49, 53, 51, 54, 58, 56, 59, 57, 60]]
68: [[7, 35, 2, 1], [13, 5, 21, 3, 11, 30, 12, 4, 10], [9, 24, 14, 6, 8, 15, 22, 16, 18], [17, 19, 20, 26, 31, 23, 25, 27, 28], [29, 33, 37, 32, 34, 38, 46, 47, 36, 44, 42, 43, 39, 40, 51, 41, 45, 53, 48, 50, 49, 52, 54, 59, 57, 56, 55, 60, 58]]
69: [[7, 35, 2, 1], [13, 5, 21, 6, 9], [19, 8, 12, 10], [14, 28], [3, 15, 20, 4, 11, 22, 16, 23, 17, 26], [18, 29, 30, 24, 27, 25, 31, 32, 37], [34, 42, 33, 45, 36, 40, 47, 38, 39, 46], [43, 57, 41, 44, 52, 48, 50, 54, 56, 51, 49, 55, 53, 58, 59, 60]]
70: [[7, 35, 2], [1, 13, 5, 21, 6], [3, 10, 15, 4], [8, 30, 26, 11], [12, 16, 27, 9], [18, 22, 14, 17], [23, 24, 20, 19], [25, 29, 28, 31, 32, 37, 42], [34, 36, 38], [33, 41, 43, 39, 40, 46], [44, 48, 51, 45], [49, 53, 47], [50, 58, 54, 52], [56, 55, 60], [59, 57]]
71: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 19, 8, 12, 3, 10, 28, 9, 14, 20], [4, 15, 24, 16, 18, 22, 30, 23, 17], [25, 29], [26, 27, 31, 32, 34, 33, 42, 36], [44, 47, 43, 39, 40, 41, 37, 38, 51, 46, 55, 54, 49, 45, 48, 56, 53, 50, 52], [60, 58, 59, 57]]
72: [[7, 35, 2, 1], [13, 5, 21, 6, 4, 27, 8, 12, 9, 3, 31, 11, 15, 10, 14, 16, 19, 18, 23, 17, 22, 24, 20, 28, 29, 26, 25, 30, 32, 37, 36, 49, 34, 33, 38, 47, 42, 39, 43, 40, 48, 41, 45, 44], [51, 46, 52, 57, 54, 55, 50, 53], [58, 59, 60, 56]]
73: [[7, 35, 2], [1, 13, 5], [21, 6, 11], [10, 12, 4, 3, 14], [28, 15, 8, 18, 9], [16, 19, 23, 24, 17, 22], [20, 25, 29, 31], [26, 27], [30, 32, 37, 41], [34, 36, 33, 39], [38, 43, 42, 40], [45, 44, 58, 54, 46, 49], [51, 47, 53, 50], [55, 52, 56, 48, 59, 60, 57]]
