0: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12], [3, 9], [14, 8], [19, 15, 21], [18, 16, 20, 17], [24, 29], [27, 23, 31, 33, 30, 32], [35, 36, 34, 37]]
50: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3, 9], [14, 8], [19, 15, 21, 18, 16, 20, 17, 24], [29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
51: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8, 19], [15, 21, 18], [16, 20, 17], [24, 29, 27], [23, 31, 33], [30, 32, 35], [36, 34, 37]]
52: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10, 5, 13, 11, 12, 3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17], [24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
53: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12], [3, 9, 14], [8, 19, 15, 21], [18, 16, 20, 17], [24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
54: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13], [11, 12, 3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
55: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10, 5], [13, 11, 12], [3, 9], [14, 8, 19], [15, 21, 18], [16, 20, 17], [24, 29, 27], [23, 31, 33], [30, 32, 35, 36], [34, 37]]
56: [[28, 25, 26], [1, 2], [7, 4, 22, 6], [10, 5, 13, 11], [12, 3, 9], [14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
57: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10, 5], [13, 11, 12], [3, 9], [14, 8], [19, 15], [21, 18], [16, 20, 17, 24], [29, 27, 23], [31, 33, 30, 32], [35, 36, 34, 37]]
58: [[28, 25, 26, 1], [2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8], [19, 15, 21], [18, 16, 20, 17], [24, 29], [27, 23, 31], [33, 30, 32, 35], [36, 34, 37]]
59: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11, 12, 3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34], [37]]
60: [[28, 25], [26, 1, 2], [7, 4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32, 35], [36, 34, 37]]
61: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
62: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10, 5], [13, 11], [12, 3, 9, 14], [8, 19], [15, 21], [18, 16, 20], [17, 24, 29, 27], [23, 31], [33, 30, 32], [35, 36, 34, 37]]
63: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3, 9], [14, 8, 19, 15], [21, 18, 16], [20, 17, 24, 29], [27, 23, 31, 33], [30, 32, 35, 36], [34, 37]]
64: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15], [21, 18, 16], [20, 17, 24, 29], [27, 23, 31], [33, 30, 32, 35], [36, 34, 37]]
65: [[28, 25, 26], [1, 2], [7, 4, 22], [6, 10, 5, 13], [11, 12, 3, 9], [14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
66: [[28, 25], [26, 1], [2, 7, 4, 22], [6, 10, 5], [13, 11, 12], [3, 9, 14], [8, 19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31, 33], [30, 32], [35, 36, 34, 37]]
67: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10, 5], [13, 11, 12], [3, 9, 14], [8, 19, 15], [21, 18, 16], [20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
68: [[28, 25, 26], [1, 2, 7, 4, 22, 6], [10, 5], [13, 11, 12, 3], [9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
69: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13, 11], [12, 3, 9, 14], [8, 19], [15, 21, 18, 16], [20, 17, 24, 29], [27, 23, 31, 33], [30, 32, 35, 36], [34, 37]]
70: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10, 5], [13, 11], [12, 3, 9], [14, 8, 19], [15, 21, 18, 16], [20, 17, 24], [29, 27], [23, 31, 33, 30], [32, 35], [36, 34, 37]]
71: [[28, 25, 26], [1, 2, 7, 4], [22, 6], [10, 5, 13], [11, 12, 3], [9, 14], [8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
72: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16], [20, 17, 24], [29, 27, 23], [31, 33], [30, 32, 35], [36, 34, 37]]
73: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12], [3, 9, 14], [8, 19, 15], [21, 18, 16], [20, 17, 24], [29, 27, 23], [31, 33], [30, 32, 35], [36, 34, 37]]
