0: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 16, 13, 23, 11, 17, 18, 19, 28, 10, 12, 22, 14], [25, 20], [21, 26, 27], [29]]
30: [[6, 5], [2, 1, 15, 3, 4, 7, 9, 8, 24, 26], [13, 10, 11, 21, 12, 14, 19, 23, 16, 22], [20, 27, 28, 17, 18, 29, 25]]
31: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 10], [26, 14, 18], [11], [16, 13, 17, 12, 19], [21, 20, 22, 28, 25, 23, 24, 27, 29]]
32: [[6, 5], [2, 1, 15], [3, 4, 7, 9, 8, 24, 14], [13, 10, 11, 21, 16, 18], [12, 22, 20, 17, 23, 19, 25, 27, 26, 28, 29]]
33: [[6, 5], [2, 1], [15, 3, 4, 7, 12], [9, 8], [24, 26, 11, 13, 10, 14], [17, 18, 25, 16, 23, 20, 21, 28, 19, 27, 29, 22]]
34: [[6, 5], [2, 1, 15], [3, 4, 7, 9], [8, 24, 14, 13, 11, 10], [16, 12, 19, 17, 18, 20], [21], [22, 23, 25, 29, 26], [27, 28]]
35: [[6, 5], [2, 1], [15, 3, 4, 12], [7, 9, 8], [24], [19, 29, 27, 17, 16, 10], [11, 28, 18, 14], [13, 20, 22], [21, 23, 25, 26]]
36: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 14, 13, 11], [10, 19], [16, 12], [20, 17], [18, 22, 23, 27, 21, 25, 26], [29, 28]]
37: [[6, 5, 2, 1, 15], [3, 4, 7, 9, 8, 24, 10], [13, 11, 14, 25, 12, 16, 28, 21, 17, 23, 18, 22, 29, 19, 27, 20, 26]]
38: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8], [24, 19, 13, 26, 10, 16, 11], [14, 18, 22, 12, 20, 23], [21, 25, 29, 17, 27, 28]]
39: [[6, 5], [2, 1, 15, 3, 4, 7, 9, 8, 10, 26, 14, 13, 11, 16], [17, 18], [28, 19], [12], [21, 20, 22, 29, 23, 27, 24, 25]]
40: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 16, 11, 23], [14, 17], [12, 13, 29, 10, 27, 21, 18, 26], [20, 19, 22, 28, 25]]
41: [[6, 5], [2, 1], [15, 3, 4, 7], [9, 8], [24, 10, 11, 12, 14, 17, 13, 27, 21, 28], [16, 18, 19, 20, 22, 23, 26, 29, 25]]
42: [[6, 5], [2, 1], [15, 3, 4, 7], [9, 8], [24, 26, 10, 11, 13], [17, 18, 14, 25, 16, 12, 23, 20, 21, 28, 19, 22, 27, 29]]
43: [[6, 5], [2, 1], [15, 3, 4, 7], [9, 8, 24], [11, 29, 12, 10, 25, 16, 13, 14, 17, 28], [19, 18], [23, 20], [26, 22, 27], [21]]
44: [[6, 5], [2, 1, 15, 3, 4, 7], [9, 8, 24, 18, 11, 27], [10, 29], [14, 20], [13, 21, 12, 22, 19, 16, 17, 23, 25, 28, 26]]
45: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 16, 13, 14], [10, 17], [28, 18, 11], [12], [26, 22, 19, 23, 20, 21, 29, 27, 25]]
46: [[6, 5], [2, 1, 15, 3, 4, 7, 9], [8, 24, 14, 13, 26, 19], [21, 28], [18], [12, 23, 10, 22, 29, 11], [17, 25, 16, 20, 27]]
47: [[6, 5, 2], [1, 15], [3], [4, 7, 8, 9, 20, 11, 27, 19, 10, 17], [22, 23, 12, 24, 16, 25, 14, 21, 29, 18, 26, 28, 13]]
48: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8], [24, 26, 11], [12, 10, 17, 18, 14, 20, 16, 13, 19], [21, 22], [29, 23, 25, 27, 28]]
49: [[6, 5], [2, 1, 15, 3, 4], [7, 8, 12, 24, 9, 10], [27, 19], [18, 20, 11], [13, 28, 16, 17], [14, 21, 22, 26, 23], [29, 25]]
50: [[6, 5], [2, 1], [15, 3, 4, 7, 9, 8, 26, 24, 10, 11, 13, 12, 16, 14, 18, 23], [22, 17], [28, 21, 20], [27], [19, 25, 29]]
51: [[6, 5], [2, 1], [15, 3, 4, 7], [9, 8, 24, 10], [13], [11, 12, 17], [16, 19, 20], [23, 18, 27, 14, 21, 22], [29, 25, 26, 28]]
52: [[6, 5, 2], [1, 15], [3, 4, 7, 13, 10], [11, 8, 12, 17, 14], [22, 19, 9, 23, 20, 16, 18, 24, 21, 26, 25, 28, 29, 27]]
53: [[6], [5, 2, 1, 15, 3, 4, 7, 9, 8, 12, 16, 13, 19, 11, 17, 21, 18, 28, 10, 22, 23, 25, 26, 29, 20, 14, 24, 27]]
54: [[6], [5, 2, 1, 15, 3, 4, 7, 9, 8, 24, 28, 12, 10, 11, 14, 13, 18, 20, 16, 25, 17, 19, 21, 29, 22, 23, 27, 26]]
55: [[6, 5, 2], [1, 15], [3, 4, 7], [9, 8, 24, 26, 11, 29, 12, 13, 18], [14, 20], [16, 10, 17, 27, 23, 22, 21, 19, 25, 28]]
56: [[6, 5], [2, 1, 15, 3, 4, 7], [9, 8, 26, 24, 10, 19], [11, 18], [13], [12, 14, 23, 28, 21, 16, 22, 17, 20, 25, 27, 29]]
57: [[6, 5], [2, 1], [15, 3, 4], [7, 9], [8, 24, 11], [13, 12, 10, 17, 14, 27, 16, 19], [23, 20], [18, 22, 21, 28, 25, 26, 29]]
58: [[6, 5], [2, 1], [15, 3, 4, 7], [9, 8], [24, 27], [13, 23, 14], [17], [22, 18, 16, 10, 12, 19, 11, 25, 28, 21, 26, 20, 29]]
59: [[6, 5, 2, 1, 15, 3, 4, 7, 9, 8, 24, 11, 10, 12, 13], [17, 14], [18, 20, 21], [16], [22, 19, 23, 28, 27, 26, 29, 25]]
