0: [[4, 22], [14, 10], [15, 5, 12, 19], [1, 2, 13, 20], [17, 6, 7, 9, 3, 16, 11, 18, 8], [21, 24, 23]]
30: [[4, 22], [14, 10, 15], [5, 12], [19, 1, 2], [13, 20], [17, 6], [7, 9, 3], [16, 11], [18, 8, 21], [24, 23]]
31: [[4, 22], [14, 10, 15], [5, 12, 19], [1, 2, 13], [20, 17, 6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
32: [[4, 22], [14, 10], [15, 5, 12], [19, 1, 2], [13, 20, 17], [6, 7], [9, 3, 16], [11, 18], [8, 21, 24, 23]]
33: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2, 13], [20, 17, 6, 7], [9, 3, 16], [11, 18, 8, 21, 24, 23]]
34: [[4, 22], [14, 10], [15, 5, 12], [19, 1], [2, 13, 20, 17, 6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
35: [[4, 22, 14], [10, 15, 5, 12, 19, 1, 2, 13, 20, 17, 6], [7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
36: [[4, 22, 14], [10, 15], [5, 12, 19], [1, 2], [13, 20, 17], [6, 7, 9], [3, 16, 11, 18], [8, 21, 24, 23]]
37: [[4, 22], [14, 10], [15, 5, 12], [19, 1, 2, 13, 20, 17, 6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
38: [[4, 22], [14, 10, 15], [5, 12], [19, 1, 2], [13, 20, 17], [6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
39: [[4, 22, 14], [10, 15], [5, 12, 19], [1, 2, 13], [20, 17, 6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
40: [[4, 22], [14, 10, 15], [5, 12, 19], [1, 2, 13, 20, 17, 6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
41: [[4, 22], [14, 10], [15, 5, 12, 19], [1, 2, 13, 20], [17, 6], [7, 9, 3], [16, 11, 18], [8, 21, 24], [23]]
42: [[4, 22, 14], [10, 15], [5, 12], [19, 1, 2], [13, 20, 17], [6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
43: [[4, 22], [14, 10], [15, 5], [12, 19, 1], [2, 13, 20], [17, 6, 7], [9, 3, 16], [11, 18], [8, 21, 24, 23]]
44: [[4, 22], [14, 10, 15], [5, 12], [19, 1], [2, 13, 20], [17, 6, 7], [9, 3, 16, 11, 18, 8, 21, 24, 23]]
45: [[4, 22, 14], [10, 15], [5, 12, 19, 1, 2, 13, 20, 17, 6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
46: [[4, 22], [14, 10, 15], [5, 12], [19, 1], [2, 13, 20], [17, 6], [7, 9, 3], [16, 11], [18, 8, 21, 24, 23]]
47: [[4, 22, 14], [10, 15, 5], [12, 19, 1], [2, 13, 20], [17, 6, 7], [9, 3, 16, 11, 18, 8, 21, 24, 23]]
