0: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11, 10], [1, 4, 16, 13, 15, 8, 12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
24: [[23, 28], [7, 17], [24, 9, 5, 3], [6, 11, 1, 10], [8, 13, 15, 4, 12, 14], [18, 16, 22], [2, 19, 26], [21, 27], [29, 25, 20]]
25: [[23, 28], [7, 17], [24, 9, 5, 3], [6, 11, 10, 1], [14, 8, 13, 15, 4, 12], [22, 18, 16], [2, 19, 26], [21, 27], [29, 25, 20]]
26: [[23, 28, 7, 17, 24, 9, 5, 3, 6, 11, 10, 1, 4, 16, 13, 15, 8, 12, 22, 14, 18, 2, 19, 26], [21, 27], [29, 25, 20]]
27: [[23, 28, 7], [17, 24, 9, 5], [3, 6, 11, 10], [1, 4, 16, 13, 15, 8], [12, 22, 14, 19, 2, 18], [26, 21, 27, 29, 25, 20]]
28: [[23, 28, 7], [17, 24, 9], [5, 3], [6, 10, 11], [22, 4, 16], [13, 15], [8, 12, 1, 14], [18, 2, 19], [26, 21], [27, 29, 25, 20]]
29: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11, 10], [1, 4, 16], [13, 15, 8], [12, 22], [14, 2], [19, 18], [26, 21, 27, 29, 25, 20]]
30: [[23, 28], [7, 17], [24, 9, 5, 3], [6, 11, 10, 1], [4, 16], [13, 15, 8], [12, 22, 14, 2], [19, 18], [26, 21, 27], [29, 25], [20]]
31: [[23, 28], [7, 17, 24], [9, 5], [3, 6, 22], [11, 10, 4, 16], [13, 15, 8], [12, 1, 14], [18, 2, 19], [26, 21], [27, 29, 25, 20]]
32: [[23, 28, 7], [17, 24, 9], [5, 3], [22, 6, 10, 1, 4, 16, 13, 15, 8], [12, 11, 14, 18, 2, 19], [26, 21, 27, 29, 25, 20]]
33: [[23, 28, 7], [17, 24, 9], [5, 3], [22, 6, 10, 1, 4, 16, 13, 15, 8], [12, 11, 14, 18, 2, 19], [26, 21, 27, 29, 25, 20]]
34: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10, 1, 4], [16, 13], [15, 8, 12], [22, 14, 2, 19], [18, 26], [21, 27, 29], [25, 20]]
35: [[23, 28], [7, 17, 24], [9, 5, 3], [6, 22, 11], [10, 1, 4], [13, 15, 8], [12, 16, 14], [18, 2, 19], [26, 21], [27, 29, 25, 20]]
36: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10, 1], [4, 16, 13], [15, 8, 12], [22, 14], [18, 2, 19], [26, 21], [27, 29, 25, 20]]
37: [[23, 28, 7, 17, 24], [9, 5, 3, 6], [11, 1, 10], [4, 16, 13, 12], [15, 8], [19, 2, 22, 14], [18, 26, 21, 27], [29, 25, 20]]
38: [[23, 28], [7, 17, 24], [9, 5, 3], [6, 11, 10], [1, 14, 8], [13, 15], [4, 12, 22], [18, 2, 19], [16, 26, 21], [27, 29, 25, 20]]
39: [[23, 28], [7, 17, 24], [9, 5, 3], [6, 11, 10], [1, 4, 16], [13, 15, 8], [12, 22, 14, 18, 2], [19, 26, 21, 27], [29, 25, 20]]
40: [[23, 28], [7, 17, 24], [9, 5, 3], [6, 11, 10], [1, 4, 16, 12], [13, 15, 8], [18, 2, 19, 22, 14, 26], [21, 27, 29, 25, 20]]
41: [[23, 28], [7, 17, 24, 9], [5, 3, 6], [11, 10, 1], [14, 8, 13], [15, 4, 12, 22, 16, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
42: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10], [1, 14, 8], [13, 15, 4], [12, 22], [16, 18, 2], [19, 26, 21, 27, 29, 25, 20]]
43: [[23, 28], [7, 17, 24], [9, 5, 3, 6, 11, 10, 1, 14], [8, 13, 15, 4, 12, 22, 16, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
44: [[23, 28], [7, 17, 24], [9, 5, 3, 6, 11, 10, 1, 4, 16, 13, 15, 8, 12, 22, 14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
45: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 22], [10, 4, 16], [13, 15, 8, 12, 1, 14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
46: [[23, 28, 7, 17, 24], [9, 5, 3, 6, 11, 10, 1, 14, 8], [13, 15, 4], [12, 22, 16], [18, 2, 19, 26, 21, 27, 29, 25, 20]]
47: [[23, 28], [7, 17, 24, 9, 5, 3, 6, 11, 10, 1, 14, 8, 13, 15, 4, 12, 22, 18, 16, 2, 19, 26, 21, 27, 29, 25], [20]]
48: [[23, 28, 7], [17, 24, 9], [5, 3, 6, 11, 10, 1, 4, 16, 13, 15, 8, 12, 22, 14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
49: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10], [1, 4], [16, 13, 15], [8, 12, 22], [14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
50: [[23, 28], [7, 17, 24, 9, 5, 3], [6, 11, 10, 1, 4, 16, 12, 13, 15, 8, 18, 2, 14, 22, 19, 26, 21, 27, 29, 25, 20]]
51: [[23, 28, 7, 17, 24, 9, 5, 3, 6, 11, 10, 1, 4], [16, 13, 15], [8, 12, 22, 14], [18, 2], [19, 26, 21], [27, 20, 25, 29]]
52: [[23, 28], [7, 17, 24], [9, 5, 3, 10], [6, 11], [1, 4, 16, 13, 15, 8, 18, 2, 19, 22, 26, 21, 27, 29, 25, 20, 12, 14]]
53: [[23, 28, 7, 17, 24, 9], [5, 3, 6], [11, 10, 1], [4, 16], [13, 15, 8], [12, 22, 14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
54: [[23, 28], [7, 17, 24], [9, 5, 3], [6, 11, 1], [10, 8, 13, 14, 15, 4, 12, 22, 16, 18, 2, 19, 26, 21], [27, 29, 25, 20]]
55: [[23, 28, 7, 17, 24, 9], [5, 3, 6], [11, 10, 1], [14, 8], [13, 15, 4], [12, 22, 18, 16, 2, 19, 26, 21, 27, 29, 25, 20]]
56: [[23, 28], [7, 17, 24], [9, 5, 3], [6, 11, 10], [1, 14, 8], [13, 15, 4, 12, 22], [16, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
57: [[23, 28], [7, 17], [24, 9, 5], [3, 6], [11, 10, 1, 4], [16, 13], [15, 8, 12], [22, 14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
58: [[23, 28, 7], [17, 24], [9, 5, 3], [22, 6, 11], [10, 1, 4], [13, 15, 8, 12, 16, 14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
59: [[23, 28, 7], [17], [24, 9, 5], [3], [6, 11, 10, 1], [4], [16, 12, 13], [8, 15, 22, 14, 18, 2, 19, 26, 21, 27, 29, 25, 20]]
