0: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
20: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
21: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
22: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
23: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
24: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
25: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
26: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
27: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
28: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
29: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
30: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
31: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
32: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
33: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
34: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
35: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
36: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
37: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
38: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
39: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
40: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
41: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
42: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
43: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
44: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
45: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
46: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
47: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
48: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
49: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
50: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
51: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
52: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
53: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
54: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
55: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
56: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
57: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
58: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
59: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 14, 12], [10, 15, 16, 22, 19, 18, 23, 24, 28], [20, 21, 27, 26, 25, 29]]
