0: [[21, 24, 23], [9, 6, 5], [3, 4, 16, 18], [7, 11], [1, 2], [10, 13, 14, 17, 19, 12, 20], [15, 8], [22]]
25: [[21, 24, 23], [3, 4, 16, 6], [18, 7, 11], [1, 2], [10, 13, 14], [17, 19, 12, 5], [20, 15], [8, 22, 9]]
26: [[21, 24, 23], [3, 4, 16], [18, 7, 11, 1], [2, 10], [13, 14, 17, 19, 9, 6], [12, 20, 15, 8, 22, 5]]
27: [[21, 24, 23], [3, 4, 6], [16, 18, 7], [11, 1, 2, 10], [13, 14], [17, 19, 12, 5], [20, 15, 8, 22, 9]]
28: [[21, 24, 23], [3, 4, 16, 18], [7, 11, 1, 2, 6], [10, 13], [14, 17, 9], [19, 12, 20, 15, 8, 22, 5]]
29: [[21, 24, 23], [9, 6, 5, 3, 4], [16, 18, 7, 11, 1, 2, 10, 13, 14, 17, 19, 12, 20, 15, 8, 22]]
30: [[21, 24, 23], [9, 5], [16, 18, 3, 4], [7, 11, 1], [2, 10, 13, 6], [14, 17, 19, 12, 20, 15, 8, 22]]
31: [[21, 24, 23], [9, 5], [16, 18, 3, 4], [7, 11, 1], [2, 10, 13, 6], [14, 17, 19, 12, 20, 15, 8, 22]]
32: [[21, 24, 23], [3, 4, 16, 6, 5], [18, 7], [11, 1, 2, 9], [10, 13, 14, 17], [19, 12, 20, 15, 8, 22]]
33: [[21, 24, 23], [3], [4, 16], [18, 7, 11], [1, 2, 10], [13, 14, 6], [17, 19, 12, 5], [20, 15, 8, 22, 9]]
34: [[21, 24, 23], [3, 4, 16, 6], [18, 7, 11, 1, 2], [10, 13, 14], [17, 19], [12, 20, 15], [8, 22, 9, 5]]
35: [[21, 24, 23], [9, 6, 5, 3], [4, 16, 18], [7, 11, 1], [2, 10, 13], [14, 17], [19, 12], [20, 15, 8], [22]]
36: [[21, 24, 23], [9, 6], [5, 3, 4], [16, 18, 7, 11, 1, 2, 10, 13, 14, 19, 20, 15, 8, 22, 17, 12]]
37: [[21, 24, 23], [9], [5, 3, 4, 18, 7, 6, 16], [11], [1, 2, 10, 13, 14, 17, 19, 12, 20, 15, 8, 22]]
38: [[21, 24, 23], [3, 4, 16, 6], [18, 7], [11, 1, 2, 9], [10, 13], [14, 17, 19, 12, 20, 5], [15, 8, 22]]
39: [[21, 24, 23], [9, 6], [5, 3, 4, 16, 18, 7, 11, 1, 2, 10, 13, 14], [19, 20, 15, 8, 22, 17, 12]]
40: [[21, 24, 23], [9, 6], [5, 3, 4, 16, 18, 7, 11, 1, 2, 10, 13, 14, 17, 19, 12, 20, 15, 8, 22]]
41: [[21, 24, 23], [3, 4, 6, 5], [16, 18, 7], [11, 1], [2, 10, 13], [14, 17, 19], [12, 20, 15], [8, 22, 9]]
42: [[21, 24, 23], [3, 4, 6, 5], [16, 18, 7, 11], [1, 2], [10, 13], [14, 17], [19, 12], [20, 15], [8, 22, 9]]
43: [[21, 24, 23], [3], [4, 16, 18], [7, 11, 1], [2, 10, 13], [14, 17, 19], [12, 20, 15], [8, 22, 9, 6, 5]]
44: [[21, 24, 23, 9], [5], [16, 18, 7, 11], [1, 2], [10, 13, 6, 3], [14, 17, 19, 12, 20, 15, 8, 22, 4]]
45: [[24], [23, 21], [5, 6], [3, 4], [16, 18, 7, 11], [1, 2, 10, 13], [14, 17, 19], [12, 20], [15, 8, 22, 9]]
46: [[21, 24], [23, 9, 6], [5, 3, 4, 16], [18, 7, 11], [1, 2, 10, 13], [14, 17, 19], [12, 20], [15, 8, 22]]
47: [[21, 24], [23, 9, 6], [5, 3, 4], [16, 18], [7, 11, 1, 2], [10, 13, 14], [17, 19, 12], [20, 15, 8, 22]]
48: [[21, 24], [23, 9], [3, 4, 16, 18, 7, 6, 5], [11, 1, 2, 10, 13, 14, 17, 19, 12], [20, 15, 8, 22]]
49: [[24], [23, 21], [5], [3, 4, 16], [18, 7], [11, 1, 2, 10], [13, 14, 17, 9, 6], [19, 12, 20], [15, 8, 22]]
