0: [[9, 2, 1, 13, 19], [7, 11], [3, 10, 6, 14, 4], [8, 12, 15, 16, 18, 17, 20, 22, 5], [21, 23, 24]]
40: [[9, 2, 7], [11, 3, 1], [5, 13], [10, 6], [14, 8], [12, 15, 4, 19], [16, 18, 17], [20, 22, 21, 23, 24]]
41: [[4, 19], [1, 9], [2, 7, 11, 3, 5, 13, 10, 6, 14, 8, 12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
42: [[4, 19], [1, 9], [2, 7, 11], [3, 5, 13], [10, 6, 14, 8, 12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
43: [[19, 9], [2], [11, 3, 7], [5, 13, 4, 1], [10, 6, 14], [8, 12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
44: [[9], [2, 7, 11, 3], [5, 13, 10, 4, 19, 1], [6, 14, 8], [12, 15, 16], [18, 17, 20, 22, 21, 23, 24]]
45: [[4, 19, 1], [9, 2, 7], [11, 3, 5, 13, 10, 6, 14, 8, 12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
46: [[9, 2, 7], [11, 3], [5, 13, 10, 4, 1], [6, 14], [8, 12, 19], [15, 16, 18], [17, 20, 22, 21, 23, 24]]
47: [[4, 19], [1, 9], [2, 7], [11, 3], [5, 13, 10, 6, 14, 8, 12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
48: [[4, 19], [1, 9, 2, 7], [11, 3], [5, 13], [10, 6, 14, 8, 12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
49: [[9], [2, 7], [11, 3, 1], [5, 13], [10, 6, 4, 19], [14, 8], [12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
