0: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
32: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11], [15, 14, 19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
33: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 14], [19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
34: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 11, 15], [12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
35: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 11, 15], [14, 19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
36: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
37: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 11], [15, 14, 19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
38: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
39: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
40: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
41: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
42: [[7, 1, 17, 5, 6, 2], [9, 10, 3, 4, 8, 13, 15], [11, 14, 19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
43: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 14], [15, 11, 19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
44: [[7, 1, 17, 5, 6, 2, 9], [10, 4, 8, 13, 3, 15, 14, 19], [11, 16, 18, 29, 12, 24], [22, 20, 23, 25, 28], [21, 27, 26]]
45: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18, 29, 24], [14, 22, 20, 23, 25, 28], [21, 27, 26]]
46: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18, 29, 24], [14, 22, 20, 23, 25, 28], [21, 27, 26]]
47: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
48: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
49: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
50: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
51: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
52: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 14, 19, 16, 18], [29, 24, 12, 22, 20, 23, 25, 28], [21, 27, 26]]
53: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
54: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18], [29, 24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
55: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 14, 19, 16, 18], [29, 24, 12, 22, 20, 23, 25, 28], [21, 27, 26]]
56: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 12, 8, 13, 11, 15, 18], [19, 16, 23, 24, 4, 14], [22, 20, 29, 25, 28], [21, 27, 26]]
57: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18, 29], [24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
58: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18, 29], [24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
59: [[7, 1, 17, 5, 6], [2, 9, 10, 3, 4, 8], [13, 11, 15, 12, 19, 16, 18, 29], [24, 14, 22, 20, 23, 25, 28], [21, 27, 26]]
