0: [[2, 1, 10], [25, 6, 5], [4], [7, 24], [3], [9, 17, 8], [11, 15, 13], [19, 18], [23, 20, 16, 12, 14, 22], [29, 21, 27, 26], [28]]
23: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
24: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
25: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
26: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
27: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
28: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
29: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
30: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
31: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
32: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
33: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
34: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
35: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
36: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
37: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
38: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
39: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
40: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
41: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
42: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
43: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
44: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
45: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
46: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
47: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
48: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
49: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
50: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
51: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
52: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
53: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
54: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
55: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
56: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
57: [[18, 11, 10, 9, 1, 6, 5, 7, 8, 2], [3, 13, 4, 15, 12, 14, 17, 16, 23, 19], [20, 21, 22, 25, 26, 29, 27, 24, 28]]
58: [[22, 8, 11, 25, 3, 4, 1, 7, 28, 2], [5, 13, 6, 15, 9, 27, 19, 16, 21, 18], [20, 29, 10, 12, 14, 17, 23, 24, 26]]
59: [[2, 3], [10], [12, 4, 7], [1, 5, 8], [11], [13, 17, 15], [21, 9, 22], [14, 18], [19, 20, 16, 6, 23, 26], [25, 29, 27, 24], [28]]
