0: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 12, 15, 16, 20, 18, 17, 19, 22], [21, 23, 24]]
25: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
26: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
27: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
28: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
29: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
30: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
31: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
32: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
33: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11, 5], [8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
34: [[1, 3, 4, 10, 14], [2, 13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
35: [[1, 3, 4, 10, 14], [2, 13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
36: [[1, 3, 4, 10, 14], [2, 13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
37: [[1, 3, 10, 14, 2, 4], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 17, 19, 12], [22, 21, 23, 24]]
38: [[1, 3, 10, 14, 2, 4], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 17, 19, 12], [22, 21, 23, 24]]
39: [[1, 3, 4, 10, 14, 2], [13, 7, 6], [11, 5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
40: [[1, 3, 4, 10, 14, 2], [13, 7, 6], [11, 5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
41: [[1, 3, 10, 14, 2, 13, 4], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 17, 19, 12], [22, 21, 23, 24]]
42: [[1, 3, 4, 10, 14, 2, 13, 7], [6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
43: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 12, 15, 16, 20, 18, 17, 19, 22, 21], [23, 24]]
44: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 12, 15, 16, 20, 18, 17, 19, 22, 21], [23, 24]]
45: [[1, 3, 10, 14, 4], [2, 13, 7, 6], [11, 5, 8, 9, 15, 16, 20, 18, 17, 19, 12], [22, 21, 23, 24]]
46: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11, 5], [8, 9, 12, 15, 16, 20, 18, 17, 19, 22, 21], [23, 24]]
47: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11, 5], [8, 9, 12, 15, 16, 20, 18, 17, 19, 22, 21], [23, 24]]
48: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11, 5], [8, 9, 12, 15, 16, 20, 18, 17, 19, 22, 21], [23, 24]]
49: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11, 5], [8, 9, 12, 15, 16, 20, 18, 17, 19, 22, 21], [23, 24]]
