0: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 17], [15, 16, 10, 14], [23, 22], [28, 18, 24, 29], [20, 25], [21, 26, 27]]
24: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 17], [15, 14, 10, 16], [23, 22, 24], [18, 20, 29, 21, 25, 28, 26], [27]]
25: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8], [9, 29, 15, 13, 16, 21, 17, 10, 12, 22, 14], [23, 27, 25], [18, 24, 20, 26, 28]]
26: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8], [12, 9, 13], [17, 15, 18, 10, 14, 16, 21, 24, 22, 25, 26, 23, 27], [20, 28, 29]]
27: [[6, 5], [2, 19, 1], [7, 11], [3, 4, 8, 12], [9, 13, 17, 15], [10, 14, 18, 16, 22, 20, 21, 24, 23, 29, 27], [25, 26, 28]]
28: [[6, 5, 2], [19, 1, 7, 11, 3, 4, 8], [12, 9, 10, 13, 15, 14, 18, 16, 17, 22, 23], [20, 24, 21, 25, 28, 27, 26, 29]]
29: [[6, 5], [2, 19, 1], [7, 11], [3, 4, 8], [12, 9, 13], [15, 14, 10, 22, 16, 23, 17, 28, 18, 24, 21, 26, 27, 25, 20, 29]]
30: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8], [12, 9, 13, 17, 15, 14, 10, 22], [21, 20, 16, 18, 24, 27, 25, 29], [23, 26, 28]]
31: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13], [17, 15, 14], [10, 18], [23, 22], [20, 16, 24, 29], [25, 27], [21, 26, 28]]
32: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8], [12, 9, 13], [17, 15, 16, 10, 14, 23, 22, 28, 18, 24, 29, 21, 25, 20, 26, 27]]
33: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8, 12, 9, 10], [23, 15, 18, 14, 13, 16, 22, 28, 17, 24, 21], [26, 25], [20, 27, 29]]
34: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12, 9, 13, 16, 15, 14, 10, 17, 22, 18, 20, 21, 24, 29, 23, 26, 25, 28, 27]]
35: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 17], [15, 14, 10], [16, 22, 18], [23, 25, 24], [26, 20, 27], [21, 29, 28]]
36: [[6, 5], [2, 19], [1, 7], [11, 3], [4, 8], [12, 9, 13], [17, 14, 16, 10, 15, 23, 22, 28, 18, 24, 25, 20, 29, 21, 26, 27]]
37: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 26], [15, 16, 10, 14], [17, 18, 28, 23], [25, 29], [20, 21, 22], [24, 27]]
38: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 17], [15, 14, 10, 22], [20, 18], [28, 16, 24, 27, 21, 25, 23, 26, 29]]
39: [[6, 5], [2, 19, 1, 7], [11, 3, 4], [8, 12], [9, 13], [17, 15, 14, 10, 18, 21, 22, 16], [20, 24, 27], [25, 29], [23, 26, 28]]
40: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8, 12, 9, 13], [17, 15, 18, 10, 14, 20], [22, 21, 16, 23, 27, 29, 25, 24], [26, 28]]
41: [[6, 5], [2, 19, 1], [7, 11, 3, 4], [8, 12], [9, 13, 10], [15, 14, 26, 16, 23, 22, 28, 17, 24, 21, 18, 29, 25, 20, 27]]
42: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [13, 9, 15], [14, 10, 22], [23, 17], [16, 20], [18, 24, 27, 21], [25, 26], [29, 28]]
43: [[6, 5], [2, 19], [1, 7, 11, 3], [4, 8, 12, 9, 13, 16, 15, 10, 14, 17, 21], [20, 29, 18, 22, 27, 23, 28, 24, 26, 25]]
44: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [13, 9, 14, 15], [10, 22], [16, 18], [17, 20, 23], [24, 27, 21], [25, 26, 28, 29]]
45: [[6, 5, 2], [19, 1], [7, 11], [3, 4, 8], [12, 9, 13], [17, 15, 14], [10, 16], [23, 22, 28], [21, 24, 25], [18, 20], [27, 26, 29]]
46: [[6, 5, 2, 19], [1, 7], [11, 3, 4], [8, 12, 9], [10, 13, 15], [18, 14, 29], [22, 17, 24, 16, 20], [21, 23, 25, 26, 27, 28]]
47: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 10], [15, 14, 22, 16], [18, 23], [20, 17, 24, 21, 26, 25, 27, 28, 29]]
48: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12, 9, 13, 16, 15, 14, 10, 23, 21, 20, 17, 18, 24, 26, 25, 29], [22, 27, 28]]
49: [[6, 5], [2, 19, 1, 7, 11, 3, 4], [8, 12, 9, 13, 17, 15], [18, 14, 10, 20, 22], [28, 23, 24, 25, 16, 21, 27, 26, 29]]
50: [[6, 5, 2, 19], [1, 7, 11, 3, 4, 8, 12], [9, 13, 17, 15, 18, 10, 14, 20], [22, 29, 16, 24, 27, 21, 23, 25, 26, 28]]
51: [[6, 5], [2, 19, 1], [7, 11], [3, 4, 8], [12, 9, 10, 23, 15, 18, 14], [13, 17, 22, 29, 16, 27, 20, 25, 24, 21, 26], [28]]
52: [[6, 5, 2], [19, 1, 7, 11], [3, 4, 8], [12, 9, 13, 29, 15, 18, 14, 10, 17, 26, 28, 16, 21, 20, 22, 23, 25, 24, 27]]
53: [[6, 5], [2, 19], [1, 7, 11, 3], [4, 8, 12, 9, 13, 17, 15, 18, 10, 14, 21], [22, 28, 16], [20, 24, 23, 27, 25, 26, 29]]
54: [[6, 5], [2, 19], [1, 7, 11], [3, 4], [8, 12, 9, 13], [22, 14, 18, 15], [10, 17, 21, 28, 16, 25, 20, 24, 23, 26, 27, 29]]
55: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8], [12, 9], [10, 13, 15, 14, 22], [16, 17, 20, 21, 18, 24, 23], [27, 28, 29, 25], [26]]
56: [[6, 5], [2, 19], [1, 7, 11, 3], [4, 8, 12, 9, 13, 17, 15, 16], [10, 14, 21, 22, 28, 18, 25, 27], [23, 20], [24, 26, 29]]
57: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 17, 15], [14, 10, 26, 22], [20, 28], [16, 21, 18, 23], [27, 24, 29, 25]]
58: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 18, 15], [26, 10], [14, 16, 20, 28], [17, 24], [29, 22, 21], [25, 23, 27]]
59: [[6, 5], [2, 19], [1, 7], [11, 3, 4], [8, 12], [9, 13], [23, 15], [16, 10, 14], [17, 18, 28], [21, 24], [29, 20, 26], [22, 27, 25]]
