0: [[4, 22, 15], [3, 6], [11, 7], [8, 5, 13], [14, 10, 2], [12, 20, 17, 1, 9, 19], [16, 18], [23, 21, 24]]
40: [[4, 22, 15, 2, 3, 6], [11, 7], [5, 8, 9], [14, 10], [12, 13, 19, 1], [20, 17, 16], [18, 23], [21, 24]]
41: [[4], [22, 15, 2], [3, 6], [11, 7], [5, 8, 9], [14, 10, 12, 19], [13, 20, 17, 16, 1], [18, 23, 21, 24]]
42: [[4, 22, 15], [2, 3], [6, 11, 9, 1], [7, 5, 8, 14], [10, 12, 19], [13, 20], [17, 16], [18, 23, 21, 24]]
43: [[4, 22], [15, 2, 3], [6, 11, 9], [7, 5], [8, 14], [10, 12, 13, 20, 19, 1], [17, 16], [18, 23, 21, 24]]
44: [[4, 22, 15, 2], [3, 6, 11], [7, 5], [8, 14, 10, 12, 19], [13, 20], [17, 16, 9, 1], [18, 23], [21, 24]]
45: [[4, 19], [22, 15], [2, 3, 6, 11, 1], [7, 5], [8, 14, 9], [10, 12, 13, 20, 17], [16, 18, 23], [21, 24]]
46: [[4], [22, 15], [2, 3, 6, 11, 1], [7, 5], [8, 14, 9], [10, 12, 13, 20, 19], [17, 16], [18, 23, 21, 24]]
47: [[4], [22, 15], [2, 3, 6, 11, 1], [7, 5], [8, 14, 9], [10, 12, 13, 20, 19], [17, 16], [18, 23, 21, 24]]
48: [[9, 19, 1, 4], [22, 15], [2, 3], [6, 11], [7, 5], [8, 14], [10, 12, 13, 20], [17, 16], [18, 23, 21, 24]]
49: [[4], [22, 15], [2, 3], [6, 11, 9], [7, 5], [8, 14], [10, 12, 19], [13, 20, 17, 16, 1], [18, 23, 21, 24]]
