0: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
32: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
33: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
34: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
35: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
36: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
37: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
38: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
39: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
40: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
41: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
42: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
43: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
44: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
45: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
46: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
47: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
48: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
49: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
50: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
51: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
52: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
53: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
54: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
55: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
56: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
57: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
58: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
59: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
