0: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12, 14], [7, 11], [8, 18, 15, 16], [20, 19, 17], [23, 21, 22, 24]]
33: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12, 14], [7, 11], [8, 18, 15, 16, 20], [19, 17], [23, 21, 22, 24]]
34: [[9, 2, 1], [13, 4], [5, 6, 10, 3, 12, 14], [7, 11], [8, 18, 15, 16], [20, 19, 17], [23, 21, 22, 24]]
35: [[9, 2, 1, 13, 4], [5, 6], [10, 3, 12, 14], [7, 11], [8, 18, 15], [16, 20, 19, 17], [23, 21, 22, 24]]
36: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12], [14, 7], [11, 8, 18, 15, 16], [20, 19, 17], [23, 21, 22, 24]]
37: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12], [14, 7], [11, 8, 18, 15], [16, 20, 19, 17], [23, 21, 22, 24]]
38: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12, 14, 7], [11, 8], [18, 15, 16, 20], [19, 17], [23, 21, 22, 24]]
39: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12, 14, 7], [11, 8], [18, 15, 16, 20], [19, 17], [23, 21, 22, 24]]
40: [[2], [4], [5, 6, 10, 3, 12, 13], [14, 7], [11, 8, 18, 15], [16, 20, 19, 17, 9, 1], [23, 21, 22, 24]]
41: [[9, 2, 1, 13, 4], [5, 6], [10, 3, 12, 14, 7], [11, 8], [18, 15, 16, 20], [19, 17], [23, 21, 22, 24]]
42: [[9, 2, 1, 13, 4], [5, 6], [10, 3, 12, 14, 7], [11, 8], [18, 15, 16, 20], [19, 17], [23, 21, 22, 24]]
43: [[9, 2, 1, 13, 4], [5, 6], [10, 3, 12, 14, 7], [11, 8], [18, 15, 16, 20], [19, 17], [23, 21, 22, 24]]
44: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12, 14], [7, 11], [8, 18, 15, 16, 20], [19, 17, 23], [21, 22, 24]]
45: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12, 14], [7, 11], [8, 18, 15], [16, 20, 19], [17, 23, 21, 22, 24]]
46: [[2, 4], [5, 6, 9], [10, 3, 12, 14], [7, 11], [8, 18, 15], [16, 20, 19, 1, 13], [17, 23, 21, 22, 24]]
47: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12, 14, 7], [11, 8], [18, 15, 16, 20], [19, 17, 23], [21, 22, 24]]
48: [[9, 2, 1, 13], [4, 5], [6, 10, 3], [12, 14], [7, 11, 8, 18, 15], [16, 20, 19], [17, 23, 21, 22, 24]]
49: [[9, 2, 1, 13], [4, 5], [6, 10, 3, 12], [14, 7], [11, 8, 18, 15], [16, 20, 19], [17, 23, 21, 22, 24]]
