0: [[4, 6, 5, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20, 1], [23, 21, 24]]
32: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13], [18, 17, 22, 19, 20], [23, 21, 24]]
33: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13], [18, 17, 22, 19, 20], [23, 21, 24]]
34: [[16, 1, 4, 3], [6, 10, 7, 14, 2, 11, 9], [8, 12, 15, 13, 18, 5], [17, 22, 19, 20], [23, 21, 24]]
35: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2], [11, 9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
36: [[3, 5, 16, 6, 1], [10, 7, 14, 2, 11, 9], [8, 12, 15, 13, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
37: [[3, 5, 16, 6, 1], [10, 7, 14, 2, 11, 9], [8, 12, 15, 13, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
38: [[3, 5, 16, 6, 1], [10, 7, 14, 2, 11, 9], [8, 12, 15, 13, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
39: [[16, 1, 4, 3], [6, 10, 7, 14, 2], [11, 9, 8, 12, 15, 13, 5], [18, 17, 22, 19, 20], [23, 21, 24]]
40: [[3, 5, 16, 6, 10, 1], [7, 14, 2, 11, 9], [8, 12, 15, 13, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
41: [[3, 5, 16, 6, 10, 1], [7, 14, 2, 11, 9], [8, 12, 15, 13, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
42: [[3, 5, 4, 6, 10, 16, 1], [7, 14, 2, 11, 9], [8, 12, 15, 13], [18, 17, 22, 19, 20], [23, 21, 24]]
43: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19], [20, 23, 21, 24]]
44: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13], [18, 17, 22, 19], [20, 23, 21, 24]]
45: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2], [11, 9, 8, 12, 15, 13], [18, 17, 22, 19], [20, 23, 21, 24]]
46: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2], [11, 9, 8, 12, 15, 13], [18, 17, 22, 19], [20, 23, 21, 24]]
47: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20, 23], [21, 24]]
48: [[3, 5, 16, 6, 1], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18, 17], [22, 19, 20, 23, 4], [21, 24]]
49: [[16, 1, 4, 3], [6, 10, 7, 14, 2], [11, 9, 8, 12, 15, 13, 5], [18, 17, 22, 19], [20, 23, 21, 24]]
