0: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
21: [[11, 10, 14], [7, 17], [12, 1, 4, 3], [16, 6, 9], [13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
22: [[11, 10, 14], [7, 17, 12], [1, 4, 3], [16, 6], [9, 13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
23: [[11, 10, 14, 7], [17, 12, 1], [4, 3, 16, 6], [9, 13, 22, 2, 23], [21, 24], [15, 8, 20, 5, 18, 19]]
24: [[11, 10, 14], [7, 17, 12, 1, 4], [3, 16, 6, 9], [13, 22, 2, 23, 21, 24], [15, 8, 20, 5, 18, 19]]
25: [[11, 10, 14, 7, 17, 12], [1, 4], [3, 16, 6, 9], [13, 22, 2], [23, 21], [24, 15, 8, 20], [5, 18, 19]]
26: [[11, 10, 14], [7, 17, 12, 1, 4, 3], [16, 6, 9], [13, 22, 2, 23, 21, 24], [15, 8, 20, 5, 18, 19]]
27: [[11, 10, 14, 7], [17, 12, 1, 4, 3], [16, 6, 9], [13, 22, 2], [23, 21, 24, 15], [8, 20, 5], [18, 19]]
28: [[11, 10, 14, 7], [17, 12, 1, 4, 3, 16, 6, 9, 13, 22], [2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
29: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24, 15, 8, 20], [5, 18, 19]]
30: [[11, 10, 14], [7, 17], [12, 1], [4, 3, 16], [6, 9, 13, 22], [2, 23, 21], [24, 15, 8], [20, 5, 18, 19]]
31: [[11, 10, 14, 7], [17, 12, 1], [4, 3, 16, 6, 9, 13], [22, 2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
32: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9], [13, 22, 2, 23], [21, 24, 15, 8, 20, 5, 18, 19]]
33: [[11, 10, 14, 7, 17, 12], [1, 4], [3, 16, 6, 9], [13, 22, 2], [23, 21, 24, 15, 8, 20, 5, 18, 19]]
34: [[11, 10, 14, 7], [17, 12, 1, 4, 3, 16], [6, 9, 13, 22, 2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
35: [[11, 10, 14, 7, 17, 12], [1, 4, 3], [16, 6, 9, 13], [22, 2, 23, 21, 24, 15, 8, 20, 5, 18], [19]]
36: [[11, 10, 14, 7, 17, 12, 1], [4, 3, 16], [6, 9, 13, 22, 2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
37: [[11, 10, 14, 7], [17, 12, 1, 4, 3], [16, 6, 9], [13, 22, 2], [23, 21, 24, 15, 8, 20], [5, 18, 19]]
38: [[11, 10, 14, 7, 17, 12], [1, 4, 3], [16, 6, 9, 13], [22, 2, 23, 21, 24, 15, 8, 20], [5, 18, 19]]
39: [[11, 10, 14, 7, 17, 12], [1, 4, 3], [16, 6, 9], [13, 22, 2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
40: [[11, 10, 14, 7, 17], [12], [1, 4, 3, 16, 6, 9, 13, 22, 2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
41: [[11, 10], [14, 7, 17], [12, 1, 4], [3, 16, 6], [9, 13, 22, 2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
42: [[11, 10, 14], [7, 17, 12], [1, 4, 3, 16], [6, 9, 13], [22, 2, 23], [21, 24, 15, 8, 20], [5, 18, 19]]
43: [[11, 10, 14, 7, 17, 12], [1, 4, 3], [16, 6, 9, 13], [22, 2, 23], [21, 24, 15, 8, 20], [5, 18, 19]]
44: [[11, 10, 14], [7, 17, 12], [1, 4, 3], [16, 6], [9, 13], [22, 2, 23, 21], [24, 15, 8, 20], [5, 18, 19]]
45: [[11, 10], [14, 7, 17, 12, 1], [4, 3, 16, 6], [9, 13, 22, 2], [23, 21, 24, 15, 8], [20, 5, 18, 19]]
46: [[11, 10, 14, 7], [17, 12, 1, 4, 3], [16, 6, 9], [13, 22, 2, 23], [21, 24, 15, 8, 20], [5, 18, 19]]
47: [[11, 10, 14], [7, 17, 12], [1, 4, 3], [16, 6, 9, 13, 22, 2, 23, 21, 24, 15, 8, 20, 5, 18, 19]]
