0: [[3, 1], [7, 6, 2, 4, 5, 8, 10, 12], [13, 9, 15, 18, 11], [19, 16], [25, 20], [28, 23, 24, 17, 29, 22, 14], [27, 21, 26]]
11: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
12: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
13: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
14: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
15: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
16: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
17: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
18: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
19: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
20: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
21: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
22: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
23: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
24: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
25: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
26: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
27: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
28: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
29: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
30: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
31: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
32: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
33: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
34: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
35: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
36: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
37: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
38: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
39: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
40: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
41: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
42: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
43: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
44: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
45: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
46: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
47: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
48: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
49: [[3, 1, 7, 22, 10, 12, 6, 2, 4, 5], [8, 15, 11, 19, 9, 14, 13, 17, 16, 18], [20, 28, 21, 24, 27, 23, 25, 26, 29]]
50: [[3, 1, 7, 2, 10, 22, 6, 4, 8, 13], [5, 15, 9, 12, 14, 17, 16, 11, 19, 23], [18, 20, 25, 24, 21, 27, 29, 26, 28]]
51: [[3, 1, 7, 6, 2, 4, 8, 10, 5, 12], [14, 9, 18, 11, 13, 15, 17, 19, 16, 23], [22, 20, 29, 24, 25, 21, 26, 27, 28]]
52: [[3, 1, 7, 22, 10, 12, 5, 4, 6, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 21], [23, 28, 20, 24, 27, 19, 25, 26, 29]]
53: [[3, 1, 7, 6, 4, 12, 5, 10, 11, 2], [8, 9, 19, 13, 15, 14, 17, 16, 20, 18], [22, 24, 29, 25, 26, 23, 27, 21, 28]]
54: [[3, 1, 7, 5, 2, 4, 6, 12, 8, 13], [14, 19, 15, 9, 11, 10, 16, 17, 18, 28], [23, 20, 22, 24, 29, 21, 25, 26, 27]]
55: [[3, 1], [7, 6], [4, 5, 8, 11, 9, 2, 19, 12, 14], [13, 15, 16], [17, 18, 28, 23, 20, 27, 24, 22, 10], [21, 25, 26, 29]]
56: [[3, 1, 7, 6, 2, 4, 5, 8, 13, 12], [10, 9, 15, 18, 11, 29, 14, 25, 16, 19], [21, 28, 20, 24, 23, 17, 27, 22, 26]]
57: [[3, 1, 7, 5, 8, 2], [4, 6, 11, 15, 12], [18, 9, 22], [13], [17, 16], [23, 20, 28, 19, 24, 26, 21, 10, 14], [25, 27, 29]]
58: [[3, 1, 7, 5, 4, 8, 6, 2, 13, 11], [12, 9, 23, 10, 15, 14, 19, 17, 16, 21], [22, 20, 26, 24, 27, 28, 25, 18, 29]]
59: [[3, 1, 7, 22, 12], [6, 2, 5, 8, 4, 9], [13, 18], [11, 15], [24], [16, 19, 20, 28, 17, 25, 27, 21, 10, 14], [23, 29, 26]]
