0: [[35, 7, 2], [27, 1, 11, 33, 14], [4, 19], [24, 12], [3], [8], [13, 9, 6, 21], [5, 15, 31, 29, 16, 10, 18], [25, 17, 20], [22, 23, 26, 30], [28, 32], [59, 39, 42], [41, 36, 34, 37, 44], [38, 43], [40, 45, 46, 48], [55, 47, 54, 50, 51], [57, 49], [52, 53, 60, 58], [56]]
11: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 15, 13, 16, 10, 18, 17, 21, 23, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
12: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 10, 15, 21, 17, 16, 28, 18, 23, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
13: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 10, 15, 16, 18, 17, 28, 21, 23, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
14: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 15, 13, 10, 23, 18, 21, 17, 28, 26, 16], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
15: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 15, 10, 17, 18, 16, 28, 23, 21, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
16: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 17, 13, 16, 18, 10, 28, 21, 15, 23], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
17: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 26, 16, 18, 23, 13, 15, 17, 28, 10, 21, 6], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
18: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 15, 13, 23, 10, 16, 21, 28, 17, 26, 18], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
19: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 26, 18, 23, 15, 16, 17, 10, 21, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
20: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 15, 10, 13, 16, 18, 21, 17, 28, 26, 23], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
21: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 18, 23, 15, 16, 21, 17, 10, 26, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
22: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 18, 15, 16, 13, 10, 28, 21, 17, 23], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
23: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 10, 15, 16, 18, 17, 28, 21, 23, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
24: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 26, 10, 15, 21, 16, 17, 18, 23, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
25: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 21, 23, 10, 28, 15, 17, 13, 16, 18], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
26: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 15, 17, 16, 18, 21, 23, 10, 26, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
27: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 13, 15, 21, 16, 18, 23, 28, 26, 17], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
28: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 15, 13, 17, 16, 18, 23, 26, 21, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
29: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 16, 13, 18, 15, 21, 28, 23, 17, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
30: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 15, 13, 17, 18, 16, 28, 23, 21, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
31: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 23, 15, 16, 10, 28, 17, 18, 21, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
32: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 15, 18, 6, 17, 16, 28, 21, 23, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
33: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 18, 13, 23, 15, 28, 16, 26, 21, 17], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
34: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 15, 13, 16, 17, 18, 21, 23, 26, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
35: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 13, 17, 15, 18, 10, 16, 23, 21, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
36: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 18, 15, 16, 23, 17, 26, 13, 28, 10, 21, 6], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
37: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 16, 23, 10, 6, 15, 18, 28, 17, 21, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
38: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 18, 10, 26, 6, 15, 23, 13, 28, 16, 21, 17], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
39: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 13, 15, 16, 18, 17, 21, 28, 26, 23], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
40: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 13, 10, 23, 16, 15, 17, 18, 21, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
41: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 18, 10, 15, 23, 17, 16, 21, 26, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
42: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 26, 13, 17, 23, 15, 16, 21, 18, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
43: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 15, 10, 17, 16, 23, 21, 18, 26, 28, 6], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
44: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 18, 23, 13, 17, 16, 10, 15, 21, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
45: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 16, 6, 15, 21, 18, 17, 28, 10, 23, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
46: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 6, 13, 15, 17, 23, 16, 21, 26, 18, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
47: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 10, 15, 17, 18, 16, 13, 21, 23, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
48: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 17, 13, 15, 16, 18, 21, 26, 23, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
49: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 18, 15, 17, 16, 28, 23, 26, 10, 21, 6], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
50: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 13, 15, 26, 18, 16, 28, 23, 21, 17], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
51: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 17, 15, 13, 18, 16, 23, 26, 28, 10, 21, 6], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
52: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 15, 6, 16, 18, 17, 21, 23, 26, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
53: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 15, 10, 18, 16, 17, 28, 21, 26, 23], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
54: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 26, 15, 13, 18, 17, 28, 25, 23, 10, 21, 6], [16, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
55: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 15, 16, 25, 18, 23, 17, 28, 21, 6], [22, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
56: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 23, 15, 16, 17, 25, 13, 21, 18, 28], [26, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
57: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 23, 13, 18, 15, 25, 16, 21, 17, 28], [26, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
58: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 13, 15, 18, 17, 21, 16, 22, 23, 28], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
59: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 22, 13, 17, 15, 18, 16, 23, 28, 10, 21, 6], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
60: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 16, 13, 18, 22, 15, 17, 28, 21, 23], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
61: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 13, 15, 21, 23, 16, 17, 18, 22, 28], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
62: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 23, 10, 22, 15, 21, 16, 13, 28, 18, 17, 6], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
63: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 15, 13, 16, 17, 21, 18, 28, 22, 23], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
64: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 22, 16, 15, 23, 13, 17, 18, 28, 10, 21, 6], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
65: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 6, 21, 15, 13, 23, 22, 28, 18, 17, 16], [25, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
66: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 10, 18, 13, 15, 16, 22, 21, 23, 28], [25, 17, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
67: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 16, 15, 23, 18, 13, 28, 22, 21, 26], [25, 17, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
68: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 25, 10, 15, 16, 13, 23, 17, 18, 21, 26], [28, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
69: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 15, 18, 13, 23, 6, 17, 26, 16, 10, 21, 25], [28, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
70: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 21, 15, 13, 16, 17, 25, 18, 26, 23], [28, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
71: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 23, 13, 16, 18, 25, 15, 22, 21, 28], [17, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
72: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 16, 13, 15, 29, 26, 28, 21, 17, 18], [25, 22, 23, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
73: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 13, 10, 29, 18, 15, 17, 28, 21, 16], [23, 22, 25, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
