0: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
17: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
18: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
19: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
20: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
21: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
22: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
23: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
24: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
25: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
26: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
27: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
28: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
29: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
30: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
31: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
32: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
33: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
34: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
35: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
36: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
37: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
38: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
39: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
40: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
41: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
42: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
43: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
44: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
45: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
46: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
47: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
48: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
49: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
50: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
51: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
52: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
53: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
54: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
55: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
56: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
57: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
58: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
59: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
