0: [[22, 4, 1, 5, 2, 6, 9, 3], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
13: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
14: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
15: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
16: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
17: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
18: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
19: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
20: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
21: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
22: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
23: [[22, 4, 1, 5, 2, 6, 9], [3, 10], [14, 8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
24: [[22, 4, 1, 5, 2, 6, 9], [3, 10], [14, 8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
25: [[22, 4, 1, 5, 2, 6, 9], [3, 10], [14, 8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
26: [[22, 4, 1, 5, 2, 6, 9], [3, 10], [14, 8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
27: [[22, 5, 2, 4], [9, 3, 6], [10, 14, 8, 13, 15, 7], [11, 20, 1], [19, 17, 16, 12, 18], [21, 23, 24]]
28: [[22, 5, 2, 9, 3, 4, 6], [10, 14], [8, 13, 15, 7], [11, 20, 1], [19, 17, 16, 12, 18], [21, 23, 24]]
29: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18, 21], [23, 24]]
30: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18, 21], [23, 24]]
31: [[22, 5, 2, 9, 3, 10, 4, 1, 6], [14, 8], [13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
32: [[22, 5, 2, 9, 3, 10, 4, 1, 6], [14, 8], [13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
33: [[22, 5, 2, 9, 3, 10, 4, 1, 6], [14, 8], [13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
34: [[22, 5, 2, 9, 3, 10, 4, 1, 6], [14, 8], [13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
35: [[22, 5, 2, 4], [9, 3, 1, 6], [10, 14, 8, 13], [15, 7], [11, 20, 19, 17, 16, 12, 18], [21, 23, 24]]
36: [[22, 5, 2, 9, 3, 4, 1], [10, 14], [8, 13], [15, 7, 6], [11, 20, 19, 17, 16, 12, 18], [21, 23, 24]]
37: [[22, 4, 1, 5, 2, 6, 9], [3, 10], [14, 8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18, 21], [23, 24]]
38: [[22, 4, 1, 5, 2, 6, 9], [3, 10], [14, 8, 13, 15, 7], [11, 20], [19, 17, 16, 12, 18], [21, 23, 24]]
39: [[22, 5, 2, 9, 4, 1, 6], [3, 10], [14, 8, 13], [15, 7], [11, 20, 19, 17, 16, 12, 18], [21, 23, 24]]
40: [[22, 5, 2, 9, 4, 1, 6], [3, 10], [14, 8, 13], [15, 7], [11, 20, 19, 17, 16, 12, 18], [21, 23, 24]]
41: [[22, 4, 5, 2, 9, 3, 14, 6, 10], [8, 13], [15, 7], [11, 20, 1], [19, 17, 16, 12, 18], [21, 23, 24]]
42: [[22, 5, 2, 9, 3, 10, 4], [14, 8], [13, 15, 7, 6], [11, 20, 1], [19, 17, 16, 12, 18], [21, 23, 24]]
43: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12], [18, 21, 23, 24]]
44: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12], [18, 21, 23, 24]]
45: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12], [18, 21, 23, 24]]
46: [[22, 5, 2, 9, 3, 4, 6], [10, 14], [8, 13, 15, 7], [11, 20, 1], [19, 17, 16, 12, 18, 21], [23, 24]]
47: [[22, 5, 2, 9, 3, 4, 6], [10, 14], [8, 13, 15, 7], [11, 20, 1], [19, 17, 16, 12, 18, 21], [23, 24]]
48: [[22, 5, 2, 4], [9, 3, 1, 6], [10, 14, 8, 13, 15], [7, 11], [20, 19, 17, 16, 12], [18, 21, 23, 24]]
49: [[22, 4, 1, 5, 2, 6, 9], [3, 10], [14, 8, 13, 15, 7], [11, 20], [19, 17, 16, 12, 18, 21], [23, 24]]
