0: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
19: [[15, 24, 1, 16, 11, 5], [6, 17], [9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
20: [[15, 24, 1, 16], [11, 5, 6, 17, 9, 13], [18, 10, 14], [23, 7], [22, 4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
21: [[15, 24, 1, 16, 11], [5, 6, 17, 9, 13, 18], [10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
22: [[15, 24, 1, 16, 11], [5, 6, 17, 9, 13, 18], [10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
23: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
24: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
25: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
26: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
27: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
28: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
29: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
30: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
31: [[15, 24], [1, 16, 11, 5, 6, 17], [9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
32: [[15, 24], [1, 16, 11, 5, 6, 17], [9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
33: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 4, 3], [8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
34: [[15, 24, 1], [16, 11, 5, 6], [17, 9, 13, 18, 10, 14], [23, 7], [22, 3, 8, 12, 4], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
35: [[15, 24, 1, 16, 11], [5, 6, 17], [9, 13, 18, 10, 14, 23], [7, 22], [4, 3, 12, 8], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
36: [[15, 24, 1, 16, 11, 5], [6, 17, 9, 13], [18, 10, 14], [23, 7], [4, 3, 8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
37: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18], [10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
38: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18], [10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
39: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18], [10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
40: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18], [10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
41: [[15, 24], [1, 16, 11, 5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
42: [[15, 24], [1, 16, 11, 5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
43: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18, 10, 14], [23, 7, 22], [4, 3], [8, 12, 2, 28, 19], [21, 26, 27], [20, 25, 29]]
44: [[15, 24], [1, 16, 11, 5, 6], [17, 9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
45: [[15, 24], [1, 16, 11, 5, 6], [17, 9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
46: [[15, 24, 1, 16], [11, 5, 6, 17, 9, 13], [18, 10, 14], [23, 7, 22], [4, 3], [12, 8, 2, 28, 19], [21, 26, 27], [20, 25, 29]]
47: [[15, 24, 1, 16], [11, 5, 6, 17, 9, 13], [18, 10], [14, 23, 7, 22, 4], [3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
48: [[15, 24, 1, 16], [11, 5, 6, 17, 9, 13], [18, 10], [14, 23, 7, 22, 4], [3, 12, 8], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
49: [[15, 24, 1, 16], [11, 5, 6, 17, 9, 13], [18, 10], [14, 23, 7, 22, 4], [3, 12, 8], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
50: [[15, 24, 1, 16], [11, 5, 6, 17, 9, 13], [18, 10], [14, 23, 7, 22, 4], [3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
51: [[15, 24, 1, 16], [11, 5, 6, 17, 9, 13], [18, 10], [14, 23, 7, 22, 4], [3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
52: [[15, 24, 1], [16, 11, 5, 6], [17, 9, 13], [18, 10, 14, 23, 7, 22], [4, 3], [8, 12, 2, 28, 19], [21, 26, 27], [20, 25, 29]]
53: [[15, 24, 1], [16, 11, 5, 6], [17, 9, 13], [18, 10, 14, 23, 7, 22], [4, 3], [8, 12, 2, 28, 19], [21, 26, 27], [20, 25, 29]]
54: [[15, 24, 1], [16, 11, 5, 6, 17], [9, 13, 18, 10, 14, 23], [7, 22], [4, 3, 8], [12, 2, 28, 19], [21, 26, 27], [20, 25, 29]]
55: [[15, 24, 1], [16, 11, 5, 6], [17, 9], [13, 18, 10, 14, 23, 7], [22, 4, 3], [8, 12, 2, 28, 19], [21, 26, 27], [20, 25, 29]]
56: [[15, 24, 1], [16, 11, 5, 6], [17, 9, 13], [18, 10, 14, 23, 7], [22, 4], [3, 8, 12, 2, 28, 19], [21, 26, 27], [20, 25, 29]]
57: [[15, 24, 1], [16, 11, 5], [6, 17, 9, 13], [18, 10, 14], [23, 7, 22, 4, 3], [8, 12, 2, 28, 19, 21], [26, 27], [20, 25, 29]]
58: [[15, 24, 1], [16, 11, 5], [6, 17, 9, 13], [18, 10, 14], [23, 7, 22, 4, 3], [8, 12, 2, 28, 19, 21], [26, 27], [20, 25, 29]]
59: [[15, 24, 1], [16, 11, 5], [6, 17, 9, 13, 18], [10, 14], [23, 7, 22, 4, 3, 12], [8, 2, 28], [19, 21, 26, 27], [20, 25, 29]]
