0: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
14: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 16, 22, 19], [20, 21, 27, 25, 26, 29]]
15: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
16: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
17: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
18: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 18, 22], [20, 21, 27, 25, 26, 29]]
19: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 16, 19, 22], [20, 21, 27, 25, 26, 29]]
20: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
21: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 16, 19, 22], [20, 21, 27, 25, 26, 29]]
22: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
23: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
24: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
25: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
26: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 22, 18, 14, 16, 19], [20, 21, 27, 25, 26, 29]]
27: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 16, 22, 19], [20, 21, 27, 25, 26, 29]]
28: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
29: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
30: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 16, 19, 22], [20, 21, 27, 25, 26, 29]]
31: [[17, 15, 11, 1], [6, 2, 3, 5], [4, 13, 8, 10, 12, 7, 24, 28, 23], [9, 14, 16, 19, 18, 22], [20, 21, 27, 25, 26, 29]]
32: [[17, 15, 11, 1], [6, 2, 3, 5], [4, 13, 8, 10, 12, 7, 24, 28, 23], [9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
33: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 22, 20], [18, 21, 27, 25, 26, 29]]
34: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 19, 22, 20, 16], [18, 21, 27, 25, 26, 29]]
35: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23, 9, 14], [16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
36: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 20, 18, 16, 22, 14], [19, 21, 27, 25, 26, 29]]
37: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
38: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
39: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
40: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
41: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
42: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 19, 18, 22], [20, 21, 27, 25, 26, 29]]
43: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
44: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
45: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [18, 19, 16, 22], [20, 21, 27, 25, 26, 29]]
46: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
47: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
48: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
49: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
50: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
51: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
52: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7], [24, 28, 23, 9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
53: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
54: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [18, 16, 22, 19], [20, 21, 27, 25, 26, 29]]
55: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 19, 20], [22, 21, 27, 25, 26, 29]]
56: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 19, 16, 20], [22, 21, 27, 25, 26, 29]]
57: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 26, 19, 18, 14, 16], [20, 21, 27, 25, 22, 29]]
58: [[17, 15, 11, 1, 6, 2, 3, 5, 4], [13, 8, 10, 12], [7, 24, 28, 23], [9, 26, 16, 18, 14, 19], [20, 21, 27, 25, 22, 29]]
59: [[17, 15, 11, 1, 6, 2], [3, 5, 4, 13], [8, 10, 12, 7, 24, 28, 23, 9, 14], [18, 19, 22, 27], [20, 21, 16, 25, 26, 29]]
