0: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 12], [9, 15, 13, 10], [25, 16, 17, 14], [20, 23, 18, 22], [28, 24], [21, 27, 26, 29]]
23: [[19, 1, 2, 7], [11, 3, 5, 6, 4, 8, 12, 9, 15, 26, 29, 13, 20, 10, 14, 21, 18], [24, 23, 25, 22, 16, 17, 27, 28]]
24: [[19, 1, 2, 7], [11, 3], [5, 6, 4, 8], [12, 9], [14, 10, 15, 13], [16, 17, 21, 20], [23, 18, 22, 24], [26, 27, 25, 28, 29]]
25: [[19, 1, 2], [7, 11, 3], [5, 6, 4, 8, 13, 9, 14, 10, 12, 15, 24, 28, 17, 16, 23, 29, 20, 18, 22, 21, 25, 27, 26]]
26: [[19, 1, 2, 7], [11, 3, 5, 6, 4], [8, 12, 9, 10, 14, 15, 13, 16], [25, 20, 28, 22, 17, 23, 21, 26, 18, 27], [29, 24]]
27: [[19, 1], [2, 7], [11, 3, 5, 6], [4, 8], [12, 13], [10, 9, 14], [25, 17, 15, 16, 20], [21, 18, 24, 28], [22, 27, 29, 26, 23]]
28: [[19, 1, 2], [7, 11, 3, 5], [6, 4, 8, 12, 9, 14, 13, 10, 29, 24, 15, 22, 20, 17, 16, 18, 23, 25, 21, 27, 26, 28]]
29: [[19, 1, 2], [7, 11, 3, 5, 6], [4, 8, 12], [10, 9], [13, 14, 29, 15, 17], [22, 21], [16, 18, 27, 26], [23], [20, 25, 28, 24]]
30: [[19, 1, 2], [7, 11, 3], [5, 6, 4], [8, 12, 15], [9, 13, 10], [29, 21, 17, 14], [20, 22, 18, 16], [24, 23], [25, 27, 26, 28]]
31: [[19, 1], [2, 7, 11, 3, 5, 6, 4, 8, 12, 9, 14, 10, 13, 15, 17, 16, 18, 21, 23, 22, 24, 20, 27, 25, 28, 26], [29]]
32: [[19, 1, 2, 7], [11, 3, 5, 6, 4, 8, 13, 9, 15, 26, 28, 24], [23, 10, 12, 17, 27, 14, 18, 16, 22, 21, 25, 29, 20]]
33: [[19, 1, 2, 7], [11, 3, 5, 6, 4, 8, 13, 9, 15], [10, 29, 14, 23, 12, 22, 25, 17, 24], [18, 20, 16, 21, 27, 26, 28]]
34: [[19, 1, 2, 7], [11, 3, 5, 6, 4, 8, 13, 9, 14], [10, 15, 17, 12], [21, 28, 20, 16, 26, 23, 18, 22, 24, 27, 29, 25]]
35: [[19, 1, 2, 7], [11, 3, 5, 6, 4, 8, 13, 9, 14], [10, 15, 17, 12], [21, 28, 20, 16, 26, 23, 18, 22, 24, 27, 29, 25]]
36: [[19, 1], [2, 7], [11, 3, 5, 6, 4, 8, 12, 9, 14, 10, 13, 15, 16, 21, 27, 18, 23, 20, 22, 17, 24, 25, 26, 28, 29]]
37: [[19, 1, 2, 7], [11, 3], [5], [6, 4, 8, 12, 9, 14, 15, 18], [10, 28, 27, 13, 16, 20], [17, 21, 23, 22], [25, 26, 24, 29]]
38: [[19, 1], [2, 7, 11, 3, 5, 6, 4, 8, 13, 9, 14, 10, 15, 12, 29, 16, 20, 17, 25, 18, 22, 21, 28, 23, 27, 24], [26]]
39: [[19, 1, 2, 7], [11, 3], [5, 6, 4], [8, 13, 9, 15, 10], [12, 14, 22, 25, 20], [21, 23], [26, 16, 17], [18, 24, 27, 29], [28]]
40: [[19, 1], [2, 7, 11, 3], [5, 6, 4, 8, 12], [10, 9, 14, 13, 29, 16, 17, 15], [28, 18, 21, 23, 20, 25, 22, 27], [24, 26]]
41: [[19, 1, 2, 7], [11, 3], [5, 6, 4], [8, 12, 9], [10, 25, 15], [13, 17, 14, 16], [20, 22, 26, 18], [24, 27], [21, 23, 29, 28]]
42: [[19, 1, 2, 7], [11, 3, 5, 6, 4, 8], [12, 9, 14, 26], [20, 13, 16, 10], [15, 17, 18, 21, 22, 25, 23, 24, 28, 29, 27]]
43: [[19, 1, 2, 7], [11, 3], [5, 6, 4], [8, 12, 9, 15], [26, 29, 10, 24, 25], [14, 18, 21, 22, 13, 16, 17, 23, 20], [27, 28]]
44: [[19, 1], [2, 7, 11], [3, 5], [6, 4, 8, 12, 9], [14, 24], [29], [13], [10, 15, 22], [16, 17, 23, 18, 20], [21, 26, 27, 25, 28]]
45: [[19, 1, 2], [7, 11, 3], [5, 6, 4, 8, 13, 9], [14, 10, 29, 12, 22], [26, 16, 20, 15, 18], [17, 23, 27, 25], [21, 24, 28]]
46: [[19, 1, 2, 7], [11, 3], [5, 6, 4], [8, 13, 10], [12, 9, 29, 14, 23], [15, 22, 20, 21, 18], [25, 26], [16, 27, 17, 24, 28]]
47: [[19, 1, 2], [7, 11, 3], [5, 6, 4, 8], [13, 9], [10, 14, 22, 12, 18], [15, 20], [16, 21], [17, 23, 25, 28], [29, 26, 24, 27]]
48: [[19, 1, 2, 7], [11, 3, 5, 6, 4], [8, 12], [9, 10, 14, 13, 15, 16], [29, 17], [18, 23], [22, 20, 21, 24], [25, 26, 27, 28]]
49: [[19, 1], [2, 7, 11, 3], [5, 6, 4, 8, 13, 9, 15, 10, 26, 29, 12], [16, 22, 14, 23, 20, 18, 28, 17, 21, 24, 25, 27]]
50: [[19, 1], [2, 7], [11, 3], [5, 6, 4, 8], [12, 9], [14, 10, 20], [13, 23, 27, 15, 16], [17, 22, 18, 26, 29], [25, 21, 24, 28]]
51: [[19, 1, 2], [7, 11], [3, 5, 6], [4, 8], [12, 9, 14], [10, 13], [15, 28, 18, 17], [20, 16, 23, 21], [22, 24], [25, 27, 26, 29]]
52: [[19, 1, 2], [7, 11, 3, 5], [6, 4], [8, 12, 9, 15, 10], [29, 24, 13, 16, 20, 17, 21, 14, 18], [23, 28, 22, 26, 25, 27]]
53: [[19, 1, 2, 7], [11, 3, 5], [6, 4], [8, 12, 9, 10, 13], [15, 14], [16, 18], [23, 20], [26, 27, 21, 17], [22, 25, 28, 24, 29]]
54: [[19, 1, 2, 7], [11, 3], [5, 6, 4], [8, 12, 9, 10], [14, 15, 13, 21], [29, 17, 18], [16, 24, 20, 26, 23], [22, 25, 27, 28]]
55: [[19, 1, 2, 7], [11, 3], [5, 6, 4, 8, 12], [9, 15], [10, 29], [24, 27], [13, 22, 16, 14], [17, 18], [20, 21, 23], [26, 25, 28]]
56: [[19, 1], [2, 7], [11, 3, 5], [6, 4, 8, 10], [13, 15, 14, 12, 9], [20, 21, 17, 18, 22], [27, 23], [29, 16, 25, 26, 24, 28]]
57: [[19, 1, 2, 7], [11, 3, 5, 6], [4, 8], [13, 10], [12, 9], [28, 14, 15, 17], [22, 21, 16, 18], [20, 26, 24, 23], [27, 25, 29]]
58: [[19, 1], [2, 7, 11], [3, 5, 6], [4, 8, 12], [9, 10, 15], [14, 13, 16], [25, 22, 28], [17, 20, 18], [23, 21, 24, 27], [29, 26]]
59: [[19, 1, 2, 7, 11], [3, 5], [6, 4, 8, 12, 9, 14], [10, 20, 15, 17], [27, 13, 16, 18], [22, 21, 23, 24, 25, 29, 26, 28]]
