0: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 6, 21], [11, 9, 12, 14, 24], [15, 17, 16, 26, 10, 18], [22, 30, 23, 28], [29, 25, 27, 31, 37], [32, 33, 36, 38, 34], [43, 45, 40, 39], [47, 56, 41, 51], [57, 49], [44, 52, 54, 46, 55], [50, 48, 53, 58, 60, 59]]
16: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 6, 5, 14, 9, 12, 10], [26, 15, 27, 22, 11, 17, 16, 23, 18, 28, 24, 30, 25, 29, 31, 37, 32, 40, 38, 36, 33, 34, 47, 48, 45, 41, 60, 44, 46, 39, 43], [50, 52, 49, 51, 53, 54, 55, 56, 58, 57, 59]]
17: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 21, 6], [11, 9, 12, 30], [14, 17, 15, 22, 16, 18, 10], [26, 27, 25, 23, 28, 24, 29, 31, 36, 32, 50, 33, 44, 34, 38, 46], [37, 41, 40, 59, 39, 53, 43, 47, 54], [48], [45, 58, 60, 49, 52, 55, 51, 56, 57]]
18: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 14], [9, 11, 12, 30, 10, 24, 15, 26, 18], [17], [29, 16, 23, 27, 22, 25, 28, 31, 37, 32, 33, 38, 34, 44, 36, 47, 52, 40, 45, 41, 43, 55, 48, 58, 46, 39, 51, 56, 50, 60, 49, 57, 53, 59, 54]]
19: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [11], [9, 10, 14, 18, 12, 25, 15, 16, 27, 17], [22, 26, 23, 24, 31, 28, 29, 30, 37, 32, 33], [38, 36, 34, 39, 44, 43, 45, 47, 40, 60, 41, 49, 48, 58, 53, 46, 50, 51, 52, 55, 56, 54, 57, 59]]
20: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 10, 12, 24, 28, 14, 16, 31, 18, 29, 23], [15, 17, 26, 30, 25, 27, 22, 37, 32, 34, 36, 46, 33, 38, 39, 52, 43, 45, 40, 44, 57, 47, 60, 49, 48, 41, 50, 54, 58, 55, 51, 56, 53, 59]]
21: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9, 10, 11, 24], [15, 17, 16, 26, 30, 18, 22], [12, 31, 23, 28], [27, 25, 29, 37, 32], [34, 36, 38, 33, 43], [45, 52, 40, 47, 56], [41, 51, 57, 44], [49, 39, 50, 46, 55, 54], [48, 53, 58, 60, 59]]
22: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6, 11, 9, 12, 10], [14, 28, 15, 25, 22, 17, 16, 30, 18, 23, 26, 27, 24], [31, 29, 37, 32, 50, 36, 33, 40, 38, 39, 41, 34, 46, 43], [44, 45, 49, 56, 48, 53, 47, 57, 51, 58, 54, 55, 52, 60, 59]]
23: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 10, 12, 14, 28, 23, 24, 22, 17, 15], [31, 18, 16, 26, 29], [25, 27, 30], [37, 32, 50, 36, 33, 44, 34, 39, 43], [40, 38, 41, 46, 45, 52], [56, 58, 48, 47, 49, 51], [53, 54, 55, 60, 59, 57]]
24: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 10, 12, 14, 28, 23, 24, 22, 17, 15], [31, 18, 16, 26, 29], [25, 27, 30], [37, 32, 50, 36, 33, 44, 34, 39, 43], [40, 38, 41, 46, 45, 52], [56, 58, 48, 47, 49, 51], [53, 54, 55, 60, 59, 57]]
25: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 6, 5], [11], [9, 10, 14, 31, 12, 16, 15, 25, 18, 17], [22, 26, 23, 24], [27, 28, 29, 30], [37, 32, 33], [34, 36, 44, 45, 40, 47, 38, 46, 43, 48, 50, 49, 41, 56, 51, 39, 52, 54, 53, 55, 60, 57, 59, 58]]
26: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 10], [14, 6], [12, 9, 11, 15, 17, 18, 16, 22, 25, 30, 27, 24, 28, 26], [29, 31, 23, 37, 32, 33, 39, 58, 34, 44, 38, 36, 47, 46], [40, 45, 41, 56, 43, 48, 51], [50, 53, 49, 60, 52, 54, 59, 57], [55]]
27: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 9, 14, 6, 12, 10, 11, 15, 26, 18, 17, 22], [16, 30, 27, 28, 24, 25, 29, 31, 23, 37, 32, 36, 39, 58, 34, 47, 38, 44, 33, 43], [40, 45, 50, 52, 41, 48, 46], [51, 55, 54, 56, 49, 53, 59, 57], [60]]
28: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [11, 9, 12, 15, 26], [10, 27, 18, 14, 17, 16], [31, 30, 23, 24, 22], [29, 25, 28, 37, 32, 34, 38, 36, 41, 43, 46, 40, 49, 47, 44], [50, 45, 39, 53, 33, 58], [48, 54, 51, 52, 55, 57, 59, 56, 60]]
29: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 9, 14, 6, 12, 10, 11, 15, 26, 18, 17, 22], [16, 30, 27, 28, 24, 25, 29, 31, 23, 37, 32, 36, 39, 58, 34, 47, 38, 44, 33, 43], [40, 45, 50, 52, 41, 48, 46], [51, 55, 54, 56, 49, 53, 59, 57], [60]]
30: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14], [9, 12, 10, 26, 15, 16, 25, 18, 24, 11, 31, 23, 17, 29], [27, 30, 22, 28, 37], [32, 34, 36, 33, 38], [43, 39, 40, 46, 44, 56, 41, 45, 59], [57, 48, 54, 55], [49], [50, 60, 52, 47, 51, 53, 58]]
31: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [10, 9, 14, 12, 11, 15, 18, 17, 29], [22], [16, 26, 30, 23, 24, 27, 25, 31, 28, 36, 32, 50, 37, 60, 33, 39, 44, 34, 40, 41, 43, 38, 57, 51, 47, 45, 48, 53, 46, 56, 52], [54, 49, 58, 55, 59]]
32: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 6, 21], [14, 9, 12, 26], [11, 17, 15, 31, 16, 10], [30, 22, 28, 18], [23, 24, 25, 29], [27, 37, 32, 34, 36], [39], [49, 33, 41, 45], [44, 38], [40, 43, 47, 46, 52], [48, 59, 50, 53, 55, 56, 57, 51, 54, 58, 60]]
33: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 10, 26, 12], [14, 15, 16, 27, 18], [17, 23, 29, 24, 22, 25, 31, 28, 30, 38], [32, 33, 36, 37, 41, 39, 34, 47, 44, 46, 40, 45, 54, 60, 43, 50, 48, 53, 49, 51, 55, 52, 56, 58, 59, 57]]
34: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 22, 11, 21, 6], [9, 12, 14, 24, 10], [25, 15, 17], [23, 30, 31, 16, 26, 18], [27], [28, 29, 37, 32, 36, 33], [40, 44, 41, 39, 45, 34, 38, 43], [46, 47, 57, 50, 49, 48, 54, 51, 55, 52, 53, 56, 59, 60, 58]]
35: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 22, 11, 21, 6], [9, 12, 14, 24, 10], [25, 15, 17], [23, 30, 31, 16, 26, 18], [27], [28, 29, 37, 32, 36, 33], [40, 44, 41, 39, 45, 34, 38, 43], [46, 47, 57, 50, 49, 48, 54, 51, 55, 52, 53, 56, 59, 60, 58]]
36: [[42, 35, 7, 1, 2], [19, 20], [3, 4, 8, 13, 21, 6], [5, 11], [9, 12, 14, 26, 10, 15, 16, 31, 17, 18, 22, 23, 24, 25, 27, 29, 30, 28, 37, 32, 48, 33, 52, 34, 46, 41, 45, 36, 39, 47, 40, 38, 60, 50, 43, 59, 51, 44, 56, 53, 49, 54, 55, 58, 57]]
37: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5], [6, 15, 9, 11, 10, 12, 27, 17, 18, 30, 14], [24, 26, 16, 23, 22, 29, 31, 28, 25, 37], [32, 48, 53, 34, 38, 33], [45, 40, 39, 43, 41, 54], [59, 44, 46, 57], [55, 36, 47, 52, 49, 50, 51, 58, 56], [60]]
38: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6], [10, 11, 9, 15, 24, 12], [17, 18, 26, 27, 14], [31, 16, 23, 22, 25, 29, 28], [30, 37, 32, 33, 36, 38], [40, 43, 39, 57, 58, 34], [41, 44, 45, 46, 47, 52, 49, 50, 51, 48, 54, 55, 60, 53, 59, 56]]
39: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 6, 5], [11, 9, 10, 12], [30, 14, 18, 16, 15], [23, 22, 26, 17, 24, 29, 28, 25], [27, 31, 36, 32, 52, 37, 44, 34], [39, 45, 40, 41, 43, 33, 46, 60, 57], [47], [38, 54, 49, 56, 48, 50, 51, 55, 59], [53, 58]]
40: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6], [14, 9, 12, 11, 24, 15, 17, 18, 16, 30, 27, 22, 25, 29, 26, 28, 31, 33], [23, 37, 32, 34, 36, 38, 10, 46, 40, 51, 43, 41, 44, 52], [59, 45, 47, 53, 39, 49, 48, 54, 50, 55, 57, 60, 56, 58]]
41: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [11, 9, 12, 10, 30], [14, 15, 18, 22, 17, 16], [31, 26, 27, 24, 23], [29, 25, 28, 37, 32, 34, 38, 33, 44, 36, 46, 40, 51, 43, 39], [50, 41, 47, 52], [45, 55, 48, 49, 58], [53, 54, 56, 59], [57, 60]]
42: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6, 11, 9, 10, 18, 14], [15, 24, 12, 16, 22], [23, 26, 17, 30], [27, 25, 29, 45, 36, 28], [32, 33, 31, 34, 40, 51], [41, 39, 43, 37, 44, 59, 58, 38, 53], [47, 48, 55, 46, 60], [52, 49, 50, 57, 54, 56]]
43: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 6, 21], [11, 9, 12, 14, 26], [25, 15, 17, 16, 22, 30, 24, 23, 10, 18], [31, 27, 28, 29, 37, 32, 34, 38, 36, 33], [44, 47, 45, 48], [41, 60, 40, 57], [39, 43], [54, 59, 50, 46, 49], [52, 55, 53, 51, 56, 58]]
44: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 6, 5], [10, 11, 12, 15], [26, 9, 17, 14, 18], [22, 25, 31, 23, 24, 16, 27, 28, 29, 30, 37, 32, 34, 38, 44, 39, 33, 36, 40, 43, 47, 45, 52, 54, 41, 50, 49, 46], [48, 51, 53, 57, 55, 58, 56, 60, 59]]
45: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5], [6, 11, 9, 12], [10, 14, 15, 18, 17], [29, 16, 22, 26, 31], [24, 28, 23, 30], [27, 25, 37, 32, 48], [47, 33, 36, 34], [38, 45, 39, 40, 41, 56, 51, 43, 44, 46, 55, 50, 49, 58, 52, 53, 54, 59, 57, 60]]
46: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5], [6, 11, 9, 12], [10, 14, 15, 18, 17], [29, 16, 22, 26, 31], [24, 28, 23, 30], [27, 25, 37, 32, 48], [47, 33, 36, 34], [38, 45, 39, 40, 41, 56, 51, 43, 44, 46, 55, 50, 49, 58, 52, 53, 54, 59, 57, 60]]
47: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [10, 11, 12, 14], [24, 15, 17, 18, 26], [9, 16, 30, 23, 22], [25, 28, 29, 27, 31], [37, 32, 40, 50, 36, 34], [43, 39, 41, 44, 46, 33], [38, 45, 47, 49, 52, 48, 51, 54, 55, 60, 53, 57, 58, 56, 59]]
48: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6], [11, 9, 10, 14, 12], [28, 16, 24, 26, 15, 18], [31, 17, 22, 23, 29], [25, 27, 30, 37, 32], [34, 38, 33], [44, 36, 39, 43], [40, 41, 56, 60, 45, 52], [53, 46, 47, 58, 57, 50], [49, 48, 55, 51, 59, 54]]
49: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 14, 9], [10, 11, 12, 27, 24, 18], [22, 16, 25], [26, 15, 23, 28, 17, 30, 29, 31, 36, 33], [48, 53, 34, 38, 32, 37], [45, 39, 40, 41, 46, 43], [60, 47, 50, 51], [44, 49, 52, 54, 57, 55, 59, 56, 58]]
50: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 6, 5], [10, 9, 11, 12, 14], [15, 26, 16, 29, 22], [17, 18, 27, 28, 25, 31, 24, 30, 45, 39, 32, 50, 23, 36, 34, 41, 46, 33, 40, 37, 38, 44, 48, 43, 47, 54, 49, 52, 51, 56, 55, 59, 57, 58, 60, 53]]
51: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5], [6, 11, 9, 12, 14, 26, 10, 15, 22], [27, 17, 18, 31, 16, 25, 24, 23, 28], [29, 30, 37, 32, 36, 33], [38, 34], [46], [45, 44, 39, 41, 43], [40, 47, 60, 50, 48], [59, 49], [53, 55, 52, 51, 57, 54], [58, 56]]
52: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 14], [12, 9, 31, 18, 16, 6, 10, 15], [22, 26, 24, 30, 27, 28, 23, 29], [52, 25, 32, 33, 44], [34, 38, 37, 17, 11, 40, 43, 39, 45, 41, 36, 59, 47, 46, 50, 48, 54, 51, 53, 55, 58, 49, 56, 60, 57]]
53: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 12, 5, 11, 17], [6, 10, 24, 15, 14, 22, 30, 16, 18], [26, 27, 23, 28, 25, 29, 9, 31, 32, 34], [37, 36, 38, 33], [47, 45, 39, 41], [40], [44, 43, 53, 59, 46, 48, 54, 51, 49, 58, 50, 52, 55, 56, 57, 60]]
54: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [11, 10, 12, 14, 24], [9, 15, 16], [30, 17, 18, 25, 26], [23, 22, 27, 29, 28, 31, 37, 32, 33, 36, 38, 34, 47, 41, 43, 39, 45, 46, 40, 44, 49], [54], [48, 50, 51, 55, 53, 52, 56, 57, 58, 60, 59]]
55: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 21, 6], [11, 9, 12, 14, 16], [15, 17, 10, 18, 22, 23], [26, 27, 25, 28, 29, 24, 30, 31, 37, 32, 34, 49, 38, 36, 46, 41], [33, 40, 44, 59, 39, 45, 43, 60, 47, 48, 52, 51, 54, 53, 57, 55, 50, 56, 58]]
56: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 14, 5, 11, 25], [12, 6, 9, 29, 24, 15, 22, 16, 17], [31, 18, 26, 23, 28, 30, 10, 27, 34, 32], [40, 52, 51, 33], [38, 37, 39, 44, 46, 36, 43], [56, 41, 45, 47, 50, 57, 53, 48, 55, 49, 54, 58, 59, 60]]
57: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 9], [11, 10, 12, 14, 18], [25, 27, 17], [22, 16, 6, 30, 23], [31, 24, 26, 28, 29, 15, 37, 32, 34, 52, 50, 33], [36, 40, 39, 46, 44], [56, 41, 38, 45, 47, 53], [51, 59, 54, 48], [43, 57, 49, 55, 58, 60]]
58: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 21], [9, 14, 30, 11], [12, 31, 16, 17, 10, 18], [22, 23, 29], [25, 28, 27, 24, 26], [15, 36, 32, 50, 6], [37, 44, 33, 38, 34], [39, 45], [46, 41, 40, 51, 47, 43], [58, 49, 52, 48, 56, 53, 54, 55, 59, 60, 57]]
59: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9, 12, 11, 10], [27, 25, 24, 23, 17, 22], [15, 16, 26, 28], [31, 18, 29, 30, 37], [32, 33, 36, 38, 34], [40, 43, 39, 47, 46, 41, 45, 51, 56, 44, 48, 54, 53, 50, 49, 58, 52, 55, 57, 59, 60]]
60: [[42, 35, 7, 1, 2, 19], [20, 3, 4, 8, 13], [21, 6, 9, 15], [5, 10, 14, 11, 24], [26, 12, 16, 18, 17, 31, 27], [22, 23, 25, 29, 28], [30, 37, 32, 36, 33, 39], [44, 47, 38, 41, 40, 34], [43, 46, 45], [57, 50, 49, 48, 54, 53], [51], [52, 55, 58, 59, 60, 56]]
61: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [11, 9, 12, 15, 26], [10, 25, 14, 17, 22, 16], [27, 18, 31, 28, 23], [29, 24, 30, 37, 32, 34, 36, 38, 40, 47, 33, 44, 43, 46, 41], [58, 45, 39, 53, 49, 48, 51, 54, 52, 50], [55, 57, 60, 56, 59]]
62: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 12, 11, 9, 6, 14, 25, 15, 16, 26, 17, 22, 31, 18, 23, 24, 27, 10, 29, 28], [41, 37, 32, 30, 33, 36, 39, 43], [45, 34, 40, 47, 44, 48, 53, 52, 46, 51, 50, 38, 59, 54, 49, 55, 57, 56, 60, 58]]
63: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 14], [9, 10, 15, 24], [11, 16, 22, 26, 23], [12, 17, 30, 18, 25, 27, 28, 31], [29, 37, 32, 36, 38, 54, 34, 43], [33, 41, 40, 45, 39, 47, 59, 57, 44, 46, 52, 51, 48, 49, 60, 53, 55, 50, 58, 56]]
64: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 6, 5], [15, 10, 9, 11], [12, 14, 17, 25, 26], [22, 16, 18, 24], [28, 27, 31, 23], [29, 45, 37, 32, 34], [46, 38, 33, 30], [36, 39, 40, 43, 44], [50, 53, 41], [47, 58, 49, 60, 52, 48, 51], [54, 55, 56, 57, 59]]
65: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 11, 6], [14, 9, 10, 17, 16, 15, 21, 28, 12, 18, 22, 23, 30, 25, 26, 29, 24, 27, 31, 37, 32, 33, 34, 38, 44, 36, 47, 56, 39, 43, 40], [41, 49, 45, 51, 48, 52, 54, 46, 55, 53, 50, 60, 57, 59, 58]]
66: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 5, 21, 6, 11, 9], [10, 14, 18, 12, 25, 30, 17, 27, 15, 16, 24, 23, 22, 26, 28, 29, 31, 37, 32, 33, 38, 36, 40, 43], [44, 34, 39, 47, 60, 45, 41, 52, 50, 46, 48, 49, 53, 51, 54, 55, 56, 58, 57, 59]]
67: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8], [13, 5, 22, 12, 10, 9, 11, 14, 6, 15, 16, 18, 26, 17, 21, 23, 30, 25, 24, 29, 27, 31, 28, 37, 32, 36, 51, 38, 33, 43, 47], [41, 40, 34, 39, 46, 58, 60, 45, 44, 54, 50, 49, 48, 52, 53, 55, 56, 59, 57]]
68: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [11, 9, 12, 14], [24, 31, 18, 10, 28], [16], [22, 23, 26, 29, 30, 15, 17, 25, 27, 37, 32, 48, 36, 33], [45, 47, 44, 38, 39, 41], [60, 40, 46, 50, 57, 43, 59], [58, 34, 55, 49, 51, 52, 54, 53, 56]]
69: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 12], [11, 9, 14, 26, 15, 10, 25, 17, 16], [18, 23, 27, 24, 22, 30, 29, 28, 31, 37, 32, 34, 36, 33, 38, 39, 43, 48, 40, 41, 44, 45, 47, 49, 46, 54, 55, 51, 57, 52, 50, 53, 56, 58, 60, 59]]
70: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 11], [9, 12, 10, 18], [15, 27, 16, 22], [14, 17, 23, 24, 25], [26, 29], [30, 28, 31, 37, 32], [48, 33, 45, 40], [34, 38, 39, 43, 36], [41, 47, 59, 56], [51, 44, 46, 49, 50, 52, 55, 57], [54, 53, 58, 60]]
71: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9], [12, 14, 10, 15, 31, 16, 23, 17], [18, 27, 22, 26, 24, 29], [28, 25, 30, 37, 32], [33, 51, 38, 34, 47], [41, 40, 36, 43, 39], [45, 44, 49, 52, 50], [54, 46, 48, 57, 55, 53, 58, 56], [60], [59]]
72: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 11, 9, 12, 10, 14], [15, 24, 17, 16, 18], [22, 30, 23, 31], [27, 26, 25, 28, 29, 34], [32, 33, 36, 39, 40, 44], [43, 47, 38, 45, 41, 56, 49, 53, 46], [59, 52, 37, 48, 54], [50, 55, 58, 57, 51, 60]]
73: [[42, 35, 7, 1, 2], [19, 20, 3], [4, 8, 13, 21, 6, 5, 11, 9, 10, 14, 27], [15, 12, 16, 30, 18], [17, 22, 28, 26, 25, 23, 24, 29, 31, 37, 32, 48, 43, 36, 33, 34, 46, 39, 38, 40, 41, 44, 47, 50, 45, 55, 59, 49, 51, 58, 53, 54, 56, 60, 52, 57]]
