0: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
29: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
30: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
31: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
32: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
33: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
34: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
35: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
36: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
37: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
38: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
39: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
40: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
41: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
42: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
43: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
44: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
45: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
46: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
47: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
48: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
49: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
50: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
51: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
52: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
53: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
54: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
55: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
56: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
57: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
58: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
59: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
