0: [[5, 6, 3, 13, 2, 1, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
19: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
20: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
21: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
22: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
23: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
24: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
25: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
26: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
27: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
28: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
29: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
30: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
31: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10, 9], [8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
32: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10, 9], [8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
33: [[5, 1, 6, 3, 13, 2], [14, 7, 11, 10, 4], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
34: [[5, 1, 6, 3, 13, 2], [14, 7, 11, 10, 4], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
35: [[5, 1, 6, 3, 13, 2, 14, 4], [7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
36: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11], [10, 9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
37: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11], [10, 9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
38: [[5, 1, 6, 3, 13, 2, 14, 4], [7, 11, 10, 9], [8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
39: [[5, 1, 6, 3, 13, 2, 14, 4], [7, 11, 10, 9], [8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
40: [[5, 1, 6, 3, 13, 2], [14, 7, 11, 4], [10, 9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
41: [[5, 1, 6, 3, 13, 2], [14, 7, 11, 4], [10, 9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
42: [[5, 1, 6, 3, 13, 2], [14, 7, 11, 4], [10, 9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
43: [[5, 1, 6, 3, 13, 2], [14, 7, 4], [11, 10, 9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
44: [[5, 1, 6, 3, 13, 2, 14, 7, 4], [11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
45: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 12, 15, 20, 19, 18, 16, 17, 21], [23, 22, 24]]
46: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10, 9], [8, 12, 15, 20, 19, 18, 16, 17, 21], [23, 22, 24]]
47: [[5, 1, 6, 3, 13, 2, 14, 4], [7, 11, 10, 9], [8, 12, 15, 20, 19, 18, 16, 17, 21], [23, 22, 24]]
48: [[5, 3, 13, 2, 4, 1, 6], [14, 7, 11, 10], [9, 8, 12, 15, 20, 19, 18, 16], [17, 21, 23, 22, 24]]
49: [[5, 3, 13, 2, 4, 1, 6], [14, 7, 11], [10, 9, 8, 12, 15, 20, 19, 18, 16], [17, 21, 23, 22, 24]]
