0: [[19], [4, 3, 10], [1, 18, 2, 12, 22], [17, 9, 13], [5, 6, 7], [8, 11, 15, 16], [20, 14], [28, 23, 24], [26, 21, 25, 27, 29]]
13: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
14: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
15: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
16: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
17: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
18: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
19: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
20: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
21: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
22: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
23: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
24: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
25: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
26: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
27: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
28: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
29: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
30: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
31: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
32: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
33: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
34: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
35: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
36: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
37: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
38: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
39: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
40: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
41: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
42: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
43: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
44: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
45: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
46: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
47: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
48: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
49: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
50: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
51: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
52: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
53: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
54: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
55: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
56: [[19, 4, 10, 3, 5, 1, 6, 2, 12], [8, 13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
57: [[19, 4, 3], [2, 15, 1], [5, 6], [8, 9, 13, 12], [7, 17, 11], [20, 16, 21, 18, 23, 14, 22], [10, 28], [26], [25, 24, 27, 29]]
58: [[19, 4, 11, 13, 5, 1, 6, 2, 10], [25, 3, 9, 7, 15, 8, 22, 24, 12, 18], [20, 14, 16, 17, 21, 26, 23, 28, 27, 29]]
59: [[19, 4, 10, 13, 1, 5, 6, 2, 3], [24, 8, 9, 7, 15, 14, 18, 11, 21, 12], [20, 16, 29, 22, 23, 17, 26, 25, 27, 28]]
