0: [[7, 11], [10, 3, 6], [9, 13, 1, 2], [4, 5, 12, 14], [8, 15, 16, 19, 17, 18, 20], [21, 23, 22, 24]]
28: [[7, 11], [10, 3], [6, 9], [13, 1, 2], [4, 5], [12, 14], [8, 15, 16], [19, 17, 18], [20, 21, 23], [22, 24]]
29: [[7, 11], [10, 3, 6], [9, 13], [1, 2], [4, 5], [12, 14], [8, 15, 16, 19], [17, 18, 20, 21, 23, 22, 24]]
30: [[7, 11], [10, 3, 6, 9], [13, 1, 2], [4, 5], [12, 14, 8], [15, 16, 19, 17, 18, 20, 21, 23, 22, 24]]
31: [[7, 11], [10, 3, 6, 9], [13, 1, 2, 4], [5, 12, 14], [8, 15], [16, 19, 17, 18, 20, 21, 23, 22, 24]]
32: [[7, 11], [10, 3], [6, 9], [13, 1, 2], [4, 5], [12, 14, 8], [15, 16, 19, 17, 18, 20, 21, 23, 22, 24]]
33: [[7, 11], [10, 3, 6], [9, 13, 1, 2, 4, 5, 12], [14, 8, 15, 16, 19], [17, 18, 20, 21, 23, 22, 24]]
34: [[7, 11], [10, 3, 6, 9, 13, 1, 2, 4, 5, 12, 14, 8, 15, 16], [19, 17, 18, 20, 21, 23, 22, 24]]
35: [[3, 6, 10], [9, 13], [1, 2], [4, 5], [12, 14, 7, 11], [8, 15, 16, 19], [17, 18, 20, 21, 23, 22, 24]]
36: [[7, 11], [10, 3], [6, 9], [13, 1], [2, 4, 5], [12, 14], [8, 15, 16], [19, 17, 18], [20, 21, 23], [22, 24]]
37: [[7, 11], [10, 3], [6, 9, 13, 1], [2, 4, 5, 12, 14, 8, 15, 16, 19, 17, 18, 20, 21, 23, 22, 24]]
38: [[7, 11], [10, 3, 6, 9], [13, 1, 2, 4], [5, 12, 14], [8, 15, 16, 19, 17, 18, 20, 21, 23, 22, 24]]
39: [[3, 6, 10], [9, 13], [1, 2], [4, 5], [12, 14, 7, 11], [8, 15, 16], [19, 17, 18], [20, 21, 23], [22, 24]]
40: [[10, 3], [6, 9, 13], [1, 2, 4, 5, 12, 14, 8], [15, 16, 19, 17, 7, 11], [18, 20, 21, 23, 22, 24]]
41: [[7, 11], [3, 6, 9, 10], [13, 1, 2, 4, 5], [12, 14, 8, 15, 16, 19, 17, 18, 20, 21, 23], [22, 24]]
42: [[7, 11], [10, 3], [6, 9, 13], [1, 2], [4, 5, 12], [14, 8, 15, 16], [19, 17], [18, 20, 21, 23], [22, 24]]
43: [[10, 3], [6, 9, 13, 1, 2, 4, 5], [12, 14, 8, 15, 7, 11], [16, 19, 17, 18, 20, 21, 23, 22, 24]]
44: [[7, 11], [10, 3], [6, 9], [13, 1], [2, 4], [5, 12, 14], [8, 15, 16], [19, 17, 18, 20, 21, 23, 22, 24]]
45: [[7, 11], [10, 3], [6, 9], [13, 1, 2], [4, 5], [12, 14, 8], [15, 16, 19, 17], [18, 20, 21, 23], [22, 24]]
46: [[7, 11, 10], [3, 6, 9], [13, 1, 2, 4], [5, 12, 14, 8], [15, 16, 19, 17, 18, 20, 21, 23, 22, 24]]
47: [[7, 11], [10, 3], [6, 9], [13, 1], [2, 4], [5, 12], [14, 8, 15, 16], [19, 17, 18, 20, 21, 23, 22, 24]]
48: [[7, 11], [10, 3, 6], [9, 13, 1, 2, 4, 5, 12, 14, 8, 15, 16, 19, 17, 18, 20, 21, 23, 22, 24]]
49: [[7, 11], [10, 3], [6, 9], [13, 1], [2, 4], [5, 12, 14, 8, 15, 16, 19, 17, 18, 20, 21, 23, 22, 24]]
