0: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 21, 6], [8, 24, 11, 9, 12, 15, 23, 27, 22, 16, 17, 18, 10], [19, 20, 30, 26], [25, 31, 29, 28, 32, 37, 33, 43, 36, 41, 38, 42, 34], [45, 39], [40, 59, 44], [46, 55], [57, 49], [54, 48, 47, 50, 52, 51, 53, 58, 56, 60]]
11: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 24, 11, 9, 10, 12, 31, 15, 26, 16, 19], [17, 23, 18, 27, 22, 20, 25, 29, 30, 28, 32, 45, 34, 42, 38, 33, 36, 43, 41, 39, 37, 40, 46, 44, 47, 51, 56, 49, 54], [48, 53, 52, 55, 57, 50, 59, 58, 60]]
12: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 9, 25, 11], [8, 15, 10, 23, 28, 12, 18, 19, 17, 16, 30, 20, 24, 22, 27, 31, 29, 26, 37, 47, 32, 41, 38, 33, 36, 34, 45, 39, 40, 42, 43, 46, 44, 55, 56, 48, 51, 52, 53, 58, 50, 54, 49, 57, 59, 60]]
13: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [9, 11, 10, 12, 24, 15, 18, 26], [20, 17, 16, 23, 19, 22, 25], [30, 29, 27, 28, 31, 32, 37, 33, 42, 38, 34, 36, 44, 39, 45, 40], [46, 47, 41, 43, 51, 48, 49, 50, 54, 53, 52, 55, 56, 57, 58, 59, 60]]
14: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 10, 11], [25, 9, 30, 24, 12, 15, 16], [19, 20, 22, 18, 29, 23, 17, 26, 28, 31, 27, 32, 37, 33, 43, 38], [40, 34, 41, 45, 36, 39, 46, 42, 47, 44], [55, 50, 49, 51, 52, 54, 56, 53, 58, 48, 59, 57, 60]]
15: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 9, 8, 11], [18, 10, 15, 23], [28, 12, 24, 17, 19, 16, 26], [30, 22, 20, 25, 29, 31, 27, 36, 45, 33, 43, 37, 34, 38, 47, 32, 39, 40, 42, 41, 46, 44, 55, 56, 48, 53, 49, 51, 50, 52, 54, 58, 57, 59, 60]]
16: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 25, 11, 9, 10, 12, 27, 15, 16, 28, 18], [17, 19, 23, 22, 26, 31, 20, 29], [30, 24], [32, 45, 33, 42, 38, 34, 37, 36, 46], [43, 47, 41, 40, 39, 44, 50, 58, 48, 51, 56, 52, 49, 55, 60, 53, 59, 54, 57]]
17: [[3, 7, 1, 35, 4, 14, 2], [13, 5, 15, 6, 10, 18, 21], [8], [24, 11, 30, 9, 31, 17], [12, 20, 16, 19], [25, 23, 22, 26], [27, 28, 29, 32, 37, 33, 43, 36], [34, 38, 39, 47, 44, 41, 40], [45, 42], [46, 55, 48], [50, 49, 53, 54, 56, 52, 57, 58, 51, 59, 60]]
18: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [9, 24, 11, 25, 8, 12, 31, 15, 28, 10, 19], [26, 22], [18, 17, 20, 16, 27, 29, 23, 30, 32, 37, 33, 43, 38, 34, 36], [40, 39, 42, 41, 45, 46, 44, 47, 55, 56, 50, 48, 49, 53, 51, 52, 60, 54, 57, 59, 58]]
19: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 16, 11], [9, 12, 10, 15, 23, 18, 22, 25, 20, 26, 19, 17, 27], [28, 24, 30, 29, 31, 32, 37, 41, 42, 34], [33, 36, 39], [38, 40], [44, 45, 47, 43, 46, 55, 49, 50, 53, 48], [52, 58, 51, 57, 54, 59, 56, 60]]
20: [[3], [7, 1, 2, 35, 4, 14, 13, 5, 21, 6, 8, 25], [11, 15, 28, 9, 22, 12, 20, 16, 19, 18, 23, 10, 17, 26, 24, 27, 30, 29, 31, 32, 37, 33, 42, 36, 34, 38, 47, 39, 45, 40, 43, 41, 46, 44, 55], [48, 51, 50, 49, 52, 53, 54, 57, 59, 58, 56, 60]]
21: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 18, 11], [25, 15, 30, 26, 12, 9, 16, 19], [10, 22, 17, 20, 23, 27, 24], [28, 29, 31, 32, 37], [33, 43, 38, 44, 34, 36, 45, 39, 47, 46, 40, 41, 42, 55, 58, 51, 50, 53], [54, 52, 49, 59, 57, 48, 56, 60]]
22: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 25, 11], [9, 26, 12, 15, 23, 10, 16, 17, 24, 30, 22, 19, 27], [18, 28, 20, 29, 31, 32, 37, 33, 40, 38], [34, 36, 39, 47, 46, 41, 45, 43, 42, 44, 49, 56, 48, 55, 50, 54, 59, 51], [60, 52, 53, 57, 58]]
23: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 24, 10, 9, 11, 12, 31, 15, 28, 17, 19, 18], [23, 16, 20, 22, 26], [25, 27, 29, 30, 32, 45, 33, 42, 38, 34, 36, 46, 37], [43, 44], [39, 40, 41, 47, 51, 57, 50, 48], [49, 53, 58, 52, 54, 56, 55, 59, 60]]
24: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 27, 10], [9, 12, 11, 15, 28, 24, 22, 25, 16, 18], [17, 19, 30, 20, 23, 29, 26, 31, 32, 37, 33, 42, 36, 38, 34, 39, 45, 47, 40, 41, 46, 44, 43, 55, 58, 48, 49, 53, 51, 50, 54, 52, 56, 57, 59, 60]]
25: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [10, 27, 8, 9, 12, 24, 15, 11, 30, 26, 31], [18, 20, 19, 22, 23, 16, 17], [25, 28, 29, 32, 37, 33, 43, 36, 34], [38, 45, 44, 42, 39, 41, 40, 47, 46, 55, 52, 49, 50], [51, 48, 53, 56, 54, 58, 57, 59, 60]]
26: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [26, 11, 25, 10, 12, 31, 9, 15, 28, 19, 23, 24, 16], [17, 20], [27, 18], [22, 30, 29, 32, 37, 33, 44, 38, 34, 36, 40, 47, 39, 43, 45], [42, 41, 46, 55, 59, 49, 51, 48, 52, 50, 53, 60, 56, 58, 54, 57]]
27: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [9, 26, 10, 25, 8, 12, 30, 11, 28, 15, 19, 23], [20, 16, 17, 22, 27], [31, 18, 24, 29, 32, 37, 33, 42, 38, 34, 36, 40, 47], [43, 39], [45, 46], [41, 54, 51, 57, 50, 52, 49, 53, 48, 55, 56, 44, 58, 59, 60]]
28: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 24, 11], [9, 10, 28, 15, 16, 30, 22, 12], [18, 19, 23], [17, 29], [31, 20, 25, 26, 27, 32, 37, 33], [42, 38], [34, 45, 36, 39, 40, 41, 44], [46, 47, 43, 51, 56, 49, 50, 54], [52, 48], [55, 57, 53, 58, 59, 60]]
29: [[3, 7, 1, 2, 35], [4, 14, 13, 21, 5, 6, 8, 9], [11, 29, 12, 28, 30, 24, 22], [18, 10, 15], [25, 16, 17, 23, 19, 20, 26, 31, 27, 32], [45, 33, 43, 38, 34, 37, 44, 41, 36, 47, 39, 40, 46, 42, 51, 50, 48, 54, 52, 49], [56, 55, 57, 53, 58, 59, 60]]
30: [[3, 7, 1, 2, 35], [4, 14, 13, 21, 5, 6, 8, 9], [11, 29, 12, 28, 30, 24, 22], [18, 10, 15], [25, 16, 17, 23, 19, 20, 26, 31, 27, 32], [45, 33, 43, 38, 34, 37, 44, 41, 36, 47, 39, 40, 46, 42, 51, 50, 48, 54, 52, 49], [56, 55, 57, 53, 58, 59, 60]]
31: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 12, 6, 8, 25, 11], [5, 18, 28, 15, 9, 10, 22, 27, 17, 16], [19, 20, 24, 23, 26, 30, 29, 31, 32, 37, 33, 43, 38, 34, 39, 44, 41], [36, 45, 40, 47, 46, 42, 55], [56, 48, 50, 53, 54, 49, 60], [51, 52, 59, 57, 58]]
32: [[3, 7, 1, 2, 35], [4, 14, 13, 21, 5, 6, 8], [27, 11, 25], [28, 30], [9, 24, 10, 18], [12, 31, 16, 15], [17, 22, 23, 19, 26], [20, 29, 32, 45, 33], [43, 38], [34, 37, 44, 36, 39, 40, 47], [41, 42, 46, 51, 52, 48, 54], [49, 53], [57, 55, 56, 50, 58, 59, 60]]
33: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 27, 15, 26, 28], [10, 30, 9, 11, 16, 12, 20, 17, 22, 18, 23, 19, 24, 31, 25, 29, 32, 45, 33, 43], [38, 34, 37, 47, 39, 36, 40], [41, 44, 46, 42, 51, 49, 48, 50, 53, 52, 56, 55, 54, 57, 58, 59, 60]]
34: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 9, 27, 10, 11], [12, 17, 15, 25, 30, 8, 29, 18, 16, 19, 20, 22, 23, 24, 26, 28, 31, 32, 37, 33, 43, 36, 34, 38, 39, 40, 47, 41, 42, 46, 44, 45, 54, 48, 50, 51, 52, 53, 49, 55, 56, 58, 57, 59, 60]]
35: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 25, 11], [10, 9], [29, 31, 18, 15, 22, 12, 24, 19, 16], [30, 17, 26, 23, 27, 20, 28], [32, 37, 33, 42, 38, 46], [47, 36, 40, 34, 44, 41, 39], [43, 45, 51], [50, 49, 48, 54, 52, 53, 55, 57, 56], [58, 59, 60]]
36: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 25, 11], [9, 10, 12, 27, 15, 18, 28], [16, 17, 19, 23, 31, 24, 20], [29, 22, 26, 30, 32, 45, 33, 42], [38, 34, 46], [39, 43, 40], [36, 41, 37, 47, 44, 55, 48, 50], [53, 49, 54], [56, 51, 58, 59, 57, 52, 60]]
37: [[3, 7, 1, 2, 35, 4, 14, 13], [21, 5, 6, 8, 10], [9, 25, 26, 24, 11, 20, 30, 12], [23, 18, 15, 16, 31, 29, 19], [17, 22, 27, 28, 32, 37, 33], [47, 34], [42, 36, 44, 39, 45, 40], [41, 38, 46, 43], [53, 56, 48], [55, 54, 50, 49, 51, 52, 57], [58, 59, 60]]
38: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 27, 11], [9, 26, 12, 15, 18, 10, 28, 16, 17, 20, 19, 23, 25], [22, 24, 30, 29, 31, 32, 33, 39, 40, 38], [34, 36, 37, 47, 41, 43, 45, 42, 46, 44, 55, 54, 48, 51, 50, 52, 49, 53], [60, 56], [59, 57, 58]]
39: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 25, 11, 9, 10], [16, 31, 18, 22, 12, 15, 17], [19, 24, 28, 26, 27, 23, 29, 20, 30, 32, 37, 33, 42, 38, 34, 44], [36, 39, 41, 40, 45, 47, 46, 43, 51, 49, 53, 50, 54, 48, 52, 56, 57, 55, 58, 59, 60]]
40: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 9], [27, 11, 8, 10, 15, 23, 28], [12, 26, 19, 17, 16, 24, 18, 20, 22, 25, 31, 29, 30, 37, 33, 32, 41, 38, 43, 36, 47, 34, 39, 40, 42, 45, 46, 44, 51, 56, 48, 52, 49, 53, 58, 50, 54, 55, 57, 59, 60]]
41: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [10, 11, 9, 12], [25, 15, 31, 17], [20, 19, 18, 27, 16, 22, 23, 24, 28, 29, 30, 26, 32, 45, 33, 46, 38, 34, 36, 37, 39, 47, 42, 40, 43], [41, 44, 51, 48, 52, 49, 55, 50, 58], [54, 53, 57, 56, 59, 60]]
42: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 25, 11], [9, 10, 12, 15, 17, 18, 19], [16, 22, 24, 23, 27, 30, 20], [29, 26, 31, 28, 32, 37, 33, 43, 38, 34, 47, 36, 42, 41, 39, 45, 40, 44, 46, 51, 56, 48, 55, 52, 49, 50, 53, 54, 57, 58, 59, 60]]
43: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 26, 11, 9, 10, 28, 31, 15, 12, 16, 19, 18], [25, 22, 17, 20], [27, 24, 23, 30, 29, 32, 37], [33, 40, 38, 34, 36, 39, 47, 43, 46, 45, 42], [41, 48, 51, 56, 49], [53, 52, 54, 50, 55, 58, 44, 59, 57, 60]]
44: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 11], [12, 9, 10, 26, 31, 30], [15, 16, 18, 17, 19, 20], [23, 22, 28, 29, 25, 24, 27], [32, 37, 33, 43, 38, 34, 36, 39, 44, 40, 42, 41, 47, 45, 46, 51, 50, 48, 57, 52, 53, 54, 55, 49, 56, 58, 59, 60]]
45: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 24, 9, 15, 30, 10, 27], [20, 28, 23, 11, 16, 18, 26, 12, 17, 22, 19, 29], [25, 31, 32, 37, 33, 43, 36, 34, 38, 39, 41, 44, 42, 40, 45, 47, 46, 55, 49, 51, 50, 53, 54, 48, 52, 56, 57, 58, 59, 60]]
46: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 24, 11, 9], [10, 29, 15, 12, 28, 16, 22], [17, 23, 18, 20], [19, 26, 25, 31, 30, 27, 32, 37, 36, 46, 38], [39, 33, 43, 45, 34, 42, 40, 41, 44, 47, 55, 58, 48, 49], [52, 53, 51, 50, 54, 56, 57, 59, 60]]
47: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 12, 6, 8, 5, 11], [16, 10, 9, 15, 25, 17, 24], [19, 26, 22, 18, 20, 23, 27], [28, 30, 29, 31, 32, 45, 33], [46, 36, 34, 37, 39, 41, 38, 43, 44, 40, 42], [47, 55, 48, 49, 52, 50, 51, 53, 57, 54, 58, 56, 59, 60]]
48: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [9, 15, 11, 16, 12, 19, 30, 10], [29, 26, 25, 17, 23, 20, 28], [18, 31, 27, 22, 24, 32, 37, 33, 42, 38, 34, 36, 39, 41, 43, 45, 40, 44, 46, 47, 49, 50, 48, 55, 53, 54, 52, 51, 57, 56, 58, 60, 59]]
49: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [24, 10, 12, 11, 9, 31, 18, 19], [17, 22, 15, 20, 23, 16, 27, 28], [25, 29, 26], [30, 32, 37, 33, 46, 36, 34, 41, 38, 40, 39], [42, 44, 43, 47, 45, 55, 51, 50, 53, 48, 49, 52, 54, 56, 58, 57, 59, 60]]
50: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [26, 11, 10, 9, 28, 15, 16], [12, 20, 23, 17, 18, 22], [24, 19, 30, 25, 27, 29], [31, 32, 37, 33, 42, 36, 38, 47, 34, 40, 46, 39, 41], [43, 44, 45, 51, 56, 52, 53, 49, 48, 54, 55, 57, 50, 58, 59, 60]]
51: [[3, 7, 1, 2, 35, 4, 14, 13], [21, 5, 6, 8, 27, 15, 9], [12, 25, 10, 29, 26, 11, 17], [18, 19, 22, 16, 30, 20], [31, 23, 24, 28, 32], [37, 33, 42, 36], [34, 38, 39], [45, 47, 41], [40, 46], [44, 43, 51], [48, 49, 50, 53, 52, 55, 54, 57, 59], [56, 58, 60]]
52: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 25, 11, 9], [12, 15, 23, 26, 22, 24, 16, 18, 10, 19, 17], [30, 27], [20, 31, 29], [28, 32, 33, 34, 43, 36, 37], [38, 42, 39, 45, 41, 40, 57], [46, 47, 55], [49, 48, 44, 50, 54, 51, 52, 56, 53, 58], [59, 60]]
53: [[3, 7, 1, 2, 35, 4, 14, 13], [21, 5, 6, 8, 9, 10, 11], [12, 15, 31, 20, 18, 24, 17], [16, 19], [22, 25, 23, 28, 27, 29, 26], [30, 32, 37], [33, 42, 38, 34, 36, 43, 40], [47, 39, 45, 41, 44, 46, 51], [57, 49, 55, 48, 50, 52, 53, 54, 58], [59, 56, 60]]
54: [[3, 7, 1, 2, 35, 4, 14, 13], [21, 5, 6, 8, 9, 10, 11], [12, 15, 31, 20, 18, 24, 17], [16, 19], [22, 25, 23, 28, 27, 29, 26], [30, 32, 37], [33, 42, 38, 34, 36, 43, 40], [47, 39, 45, 41, 44, 46, 51], [57, 49, 55, 48, 50, 52, 53, 54, 58], [59, 56, 60]]
55: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 22, 8, 9], [10, 15, 6, 11, 12, 26], [16, 18, 31, 25, 19, 20, 23], [17, 28], [24, 27, 30, 29, 32, 36, 39], [44, 34, 38, 40, 33], [42, 47, 37, 41, 43, 45, 46], [51, 50, 48, 52], [53, 49, 54, 55, 57, 56, 58, 59, 60]]
56: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [10, 24, 8, 9, 15, 11, 23, 31, 22, 16, 17, 12], [18, 19, 20, 25], [26, 28, 27, 29, 30, 32, 37, 33, 43, 38, 34, 36, 46], [45, 40, 39], [41, 58, 44, 42, 51, 47, 49, 52, 50, 53, 55], [56, 54, 48, 57, 59, 60]]
57: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 29, 9, 25], [10, 11, 12, 19, 15, 18, 17], [16, 20, 24, 23], [22, 26, 28, 27, 31], [30, 32, 37, 33, 42, 38, 34, 36, 47, 46, 45, 39, 41, 40, 44, 43, 55, 52, 50, 51, 49, 53, 48, 54, 56, 57, 59, 58, 60]]
58: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 26, 9, 10, 11, 24, 27], [22, 12, 20, 18, 15, 16, 28, 17, 25, 19, 23, 29, 31, 30], [32, 37, 33, 43, 34, 38, 36, 42, 39, 45, 41, 40, 46, 47, 44, 53, 56, 48, 55, 49, 52, 50, 51, 54, 57, 58, 59, 60]]
59: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 15, 6, 8, 17, 11, 9, 10, 12, 18, 19, 22, 16, 21, 24, 26, 23, 30, 27, 31, 25, 20, 29, 28, 32, 37, 33, 42, 34, 38, 36, 39], [47, 46, 41, 45, 43], [40, 44, 51, 48, 50, 54, 49, 52, 55, 53, 60, 56, 58, 57, 59]]
60: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 27, 11], [9, 26, 12, 15, 22, 10, 20, 17, 25, 18, 16, 19], [31, 23, 24, 29, 28], [30, 32, 37, 33, 40, 38, 34, 36, 39, 42, 46, 41, 47, 43, 44, 45, 51, 60, 48, 49, 50, 54, 57, 53, 52, 55, 56, 59, 58]]
61: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 25, 11, 9], [10, 29, 31, 28, 16, 20, 30], [12, 15, 26, 18, 17, 19], [24, 22, 23], [27, 32, 33, 37, 42, 38, 34, 41, 39, 36], [47, 45, 43, 40, 46, 44, 51, 57, 50, 49, 48, 52, 54, 53, 56, 55, 58], [59, 60]]
62: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 19], [15, 11, 9, 31, 30, 27], [10, 18, 12, 16, 17, 23, 22], [25, 29, 24, 20, 26], [28, 36, 37, 41, 43, 38, 34, 32, 33, 39, 40, 44, 42, 46, 45, 47, 55, 60, 48, 54, 50, 53, 49, 51, 56, 57, 52, 59, 58]]
63: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 10, 9, 11, 15, 28, 31, 22, 12, 20, 19, 17], [26, 25, 16, 23], [18, 27, 30, 29], [24, 32, 37, 33, 43, 36, 34], [38, 39, 40, 46, 42, 41, 47, 44], [45, 51, 57, 54, 53, 49], [56, 55, 48, 52, 50, 58, 59, 60]]
64: [[3, 7, 1, 2, 35], [4, 14, 13, 5, 9, 6, 8, 26, 11, 25, 12, 10, 23, 15, 17, 16, 19, 22, 18, 21, 20, 24, 28, 27, 30, 31, 29, 32, 37, 33, 43, 36, 41, 34, 42, 46, 38, 39, 40, 58, 45, 44, 55, 48, 49, 50, 47, 51, 52, 53], [54, 56, 59, 57, 60]]
65: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 21, 6, 8], [24, 11, 9, 15], [10, 23, 26, 18, 12], [17, 22], [16, 19, 25, 20, 27], [30, 29, 28, 31, 32, 37, 33, 43], [38, 41, 34, 47, 36, 45, 39], [40, 42, 44, 46, 55, 49, 51], [54, 50, 52, 48, 53, 57, 60, 58, 56, 59]]
66: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 10, 27, 11], [9, 8, 24, 22], [31, 28, 16, 12, 15], [19, 23], [17, 18], [26, 25, 20, 30, 29, 32, 37, 33, 43, 38], [40, 34, 39, 47, 45, 36, 41, 42, 44, 46, 51, 57, 48, 53, 55, 50, 49, 52, 54, 59, 56, 58, 60]]
67: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 11, 9], [12, 15, 28, 31, 10, 17, 20], [18, 29, 25, 19, 22, 23, 16], [27, 24, 30, 26], [32, 37, 33], [42, 36], [38, 40, 34, 39, 47, 41, 44, 43, 45, 46], [51, 50, 48, 49, 52, 54, 53], [55, 56, 57, 58, 59, 60]]
68: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 6, 5, 8], [9, 11, 12, 18, 28, 20, 10, 22], [19, 17, 31, 15, 27, 16, 25, 23], [24, 29, 30, 26, 32, 37, 33], [43, 38, 34, 39], [42, 41, 36, 45], [40, 47, 46], [44, 51, 48, 49, 50, 53, 54], [55, 57, 59, 56, 58, 60, 52]]
69: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 11, 9, 10, 16, 28, 31, 15, 12, 20, 19, 17], [27, 18, 22, 23, 24, 25, 30, 29, 26, 32, 37, 33, 42], [36, 38, 34, 39, 40, 46, 44, 41, 43, 45, 47, 51, 56, 54, 53, 48, 52, 49, 55, 60, 50, 58, 59, 57]]
70: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 10], [27, 11, 9, 8], [24, 31, 29], [28, 20, 26], [12, 16], [22, 17, 15, 18], [25, 19, 23, 30, 32], [37, 33, 42, 38, 40], [34, 36, 47], [39, 45, 41, 46, 44, 43, 55], [57, 48, 49, 53, 54, 50, 51], [52, 59, 60, 58, 56]]
71: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 22, 8, 17, 11], [9, 6, 10, 31, 27, 20, 18], [12, 16, 19, 15, 23, 28, 29, 24, 30, 25, 26, 32, 33], [34, 47, 38, 37, 36, 46, 41, 45, 39], [40, 42, 44, 51, 55, 58, 49, 53, 48, 43, 54, 52, 50, 57, 56, 59, 60]]
72: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 10], [8, 11, 9], [15, 29, 18, 12, 17, 16, 19], [20, 22, 23, 27, 31, 26, 24], [25, 28, 30, 32, 37, 33, 43, 38], [36, 34, 39, 40, 44, 47, 42, 45, 46, 41], [55, 58, 51, 49, 53, 52, 48, 54], [56, 57, 50, 59, 60]]
73: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 6, 5, 8], [10, 11, 25, 9, 27], [30, 28, 15, 17, 18], [12, 22, 19, 20, 23, 16, 24], [26, 29, 31], [32, 37, 33, 43, 38, 34, 36], [45, 39, 40], [47, 46, 41, 44, 42, 55, 48, 50, 49, 52], [51, 53, 54, 56, 57, 59, 58, 60]]
