0: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
36: [[22, 10, 4, 1, 3, 2, 5], [7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
37: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11], [12, 9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
38: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11], [12, 9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
39: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11], [12, 9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
40: [[22, 10, 4, 1, 3, 2, 5], [7, 14, 6, 11], [12, 9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
41: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6], [11, 12, 9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
42: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12, 9], [8, 13, 15, 16], [18, 17], [19, 20], [23, 21, 24]]
43: [[22, 10, 4, 1, 3, 2, 5], [7, 14, 6, 11, 12, 9], [8, 13, 15, 16], [18, 17], [19, 20], [23, 21, 24]]
44: [[22, 10, 4, 1, 3, 2, 5], [7, 14, 6, 11, 12, 9], [8, 13, 15, 16], [18, 17], [19, 20], [23, 21, 24]]
45: [[22, 10, 4, 1, 3], [2, 5, 7, 14, 6, 11], [12, 9, 8, 13], [15, 16], [18, 17, 19, 20], [23, 21, 24]]
46: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20, 23], [21, 24]]
47: [[22, 10, 4, 1, 3, 2, 5, 7], [14, 6, 11, 12, 9, 8], [13, 15, 16], [18, 17], [19, 20], [23, 21, 24]]
48: [[22, 10, 4, 1, 3], [2, 5, 7, 14, 6, 11], [12, 9, 8, 13], [15, 16], [18, 17, 19], [20, 23, 21, 24]]
49: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12, 9], [8, 13, 15, 16], [18, 17], [19, 20, 23], [21, 24]]
