0: [[9, 3, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16, 5], [17, 19, 20, 22, 1], [23, 21, 24]]
28: [[9, 3, 5, 1, 6], [10, 2, 7, 11, 14, 8], [12, 13, 15, 18], [16, 17, 19, 20, 22, 4], [23, 21, 24]]
29: [[9, 3, 5, 1, 6], [10, 2, 7, 11, 14, 8], [12, 13, 15, 18], [16, 17, 19, 20, 22, 4], [23, 21, 24]]
30: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14, 8], [12, 13, 15], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
31: [[6, 9, 3, 5, 4], [10, 2, 7, 11, 14, 1], [8, 12, 13, 15, 18, 16, 17], [19, 20, 22], [23, 21, 24]]
32: [[6, 9, 3, 5, 4], [10, 2, 7, 11, 14, 1], [8, 12, 13, 15, 18, 16, 17], [19, 20, 22], [23, 21, 24]]
33: [[6, 9, 3, 5, 4, 1], [10, 2, 7, 11, 14, 8], [12, 13, 15, 18, 16, 17], [19, 20, 22], [23, 21, 24]]
34: [[4, 3, 6], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 9], [23, 21, 24]]
35: [[4, 3, 6], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 9], [23, 21, 24]]
36: [[4, 3, 6], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 9], [23, 21, 24]]
37: [[6, 9, 4, 3], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
38: [[6, 9, 4, 3], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
39: [[6, 9, 4, 3], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
40: [[6, 9, 4, 3], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
41: [[6, 9, 4, 3], [5, 1, 10, 2, 7, 11], [14, 8, 12, 13, 15], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
42: [[6, 9, 3, 5, 10, 4, 1], [2, 7, 11, 14, 8], [12, 13, 15, 18, 16, 17], [19, 20, 22], [23, 21, 24]]
43: [[4], [3, 5, 1, 10, 2, 7, 11, 6, 9], [14, 8, 12, 13, 15], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
44: [[4], [3, 5, 1, 10, 2, 7, 6, 9], [11, 14, 8, 12, 13], [15, 18, 16, 17, 19, 20, 22], [23, 21, 24]]
45: [[6, 9, 4, 3], [5, 1, 10, 2, 7], [11, 14, 8, 12, 13], [15, 18, 16, 17, 19, 20], [22, 23, 21, 24]]
46: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22, 23, 9], [21, 24]]
47: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 23, 9], [21, 24]]
48: [[6, 9, 3, 5, 4, 1], [10, 2, 7, 11, 14, 8], [12, 13, 15, 18, 16, 17], [19, 20, 22, 23], [21, 24]]
49: [[9, 3, 5, 1, 10, 6, 4], [2, 7, 11, 14, 8], [12, 13, 15, 18, 16], [17, 19, 20, 22, 23], [21, 24]]
