0: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
42: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
43: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
44: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
45: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
46: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
47: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
48: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
49: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
50: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
51: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
52: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
53: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
54: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
55: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
56: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
57: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
58: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
59: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 20, 23, 18, 12, 25, 14, 16, 17], [22, 24, 29], [27, 26, 21]]
