0: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
19: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
20: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
21: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
22: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
23: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
24: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
25: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
26: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
27: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
28: [[18, 16, 3, 1, 8], [12, 19, 13], [7, 10, 2, 11, 14], [4, 20, 6, 9, 15, 17, 5], [21, 24, 22, 23]]
29: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
30: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
31: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
32: [[13, 18, 1, 8], [16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
33: [[13], [18, 16, 3, 12], [19, 7, 14], [10, 2, 11, 4, 1], [20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
34: [[13], [18, 16, 3, 12], [19, 7, 14], [10, 2, 11, 4, 1], [20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
35: [[13], [18, 16, 3, 12], [19, 7, 14], [10, 2, 11, 1], [4, 20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
36: [[13, 1, 8], [18, 16], [3, 12], [19, 7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
37: [[13, 1, 8], [18, 16], [3, 12], [19, 7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
38: [[13, 1, 8], [18, 16], [3, 12], [19, 7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
39: [[13, 1], [18, 16], [3, 12], [19, 7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
40: [[13, 1], [18, 16], [3, 12], [19, 7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
41: [[13, 1], [18, 16], [3, 12], [19, 7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
42: [[13, 1], [18, 16], [3, 12], [19, 7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
43: [[13, 1], [18, 16], [3, 12], [19, 7, 10, 2, 14], [11, 4, 20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
44: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17, 21], [24, 22, 23]]
45: [[13, 18], [16, 3, 12], [19, 7, 14], [10, 2, 11, 4, 1], [20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
46: [[13, 18], [16, 3, 12], [19, 7, 14], [10, 2, 11, 1], [4, 20, 5, 6, 9, 15, 17, 8], [21, 24, 22, 23]]
47: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 4, 14], [20, 5, 6, 9, 15, 17, 21], [24, 22, 23]]
48: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 4, 14], [20, 5, 6, 9, 15, 17, 21], [24, 22, 23]]
49: [[13, 18, 1, 8], [16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17, 21], [24, 22, 23]]
