0: [[35, 7, 1, 2], [5, 9, 3, 4, 12, 29, 8, 24], [27, 14, 25, 11, 10], [13, 30, 16, 19, 20, 17, 6, 21], [23, 22, 26, 28, 54, 31, 40, 18], [34, 51, 36, 33, 47, 15], [39, 38, 37, 32, 43], [41, 42], [46, 44, 53, 45, 59, 55, 50, 48], [52, 56], [57, 49], [58, 60]]
11: [[35, 2, 7], [11, 27], [1, 3, 12, 5, 4, 13, 6, 14, 9, 8, 17, 20, 16, 10, 22, 15, 25, 19, 30, 23, 24, 26, 18, 28, 21, 29, 31, 45, 33, 36, 32, 34, 39, 42, 47, 46, 37], [40, 38, 41, 43, 59, 44, 56, 48, 55, 51, 50, 52, 54, 53, 58, 57, 49, 60]]
12: [[35, 2, 7, 11, 27], [4, 1, 9, 20, 5, 12], [3, 8, 29, 6, 10, 15, 22, 14, 13, 16, 17, 21], [18, 23, 19, 25, 28, 26, 30, 24, 31, 32, 36], [44, 33, 52, 47, 37, 45, 34, 41, 38, 39, 56, 43, 40], [42], [48, 46, 50, 54, 49, 55, 51, 53, 57, 58, 59, 60]]
13: [[35, 2, 7, 1, 27, 9, 3], [15, 19, 4, 10, 6, 5, 16, 11, 8, 13], [30, 12, 23, 28, 18, 24, 14, 22, 17], [21, 20, 25, 26, 29, 31, 37, 44, 36, 32, 45, 34, 39, 33, 47, 38, 54, 46, 42, 43, 40, 41], [55, 50, 48, 53, 49, 52, 51, 56, 57, 58, 59, 60]]
14: [[35, 2, 7, 11, 27, 1, 5, 3, 4, 8], [10, 6, 13, 9, 14, 26, 12, 25, 22, 15, 17, 31, 16, 21, 18], [23, 19, 20, 28, 30], [24, 29, 54, 37, 42, 32, 33, 34, 36, 43], [40, 39, 41, 44, 46, 60], [45, 47, 38, 52, 48, 49, 53, 51, 55, 56, 50, 57, 58, 59]]
15: [[35, 2, 7, 11, 27], [1, 3, 6, 21, 4, 12, 10, 8, 26, 9, 28, 29, 30, 22], [16, 13, 5, 18], [15, 23, 14, 17, 20, 19, 24, 31, 25, 43, 33, 48, 38, 37, 32, 39, 36], [41, 34, 42, 53, 44, 40, 45, 46, 49, 47, 55, 56, 58, 51, 50, 52], [54, 57, 59, 60]]
16: [[35, 2, 7, 3, 27], [4, 5], [1, 21, 14, 12, 13, 15, 10], [6, 8, 9, 31, 29, 17, 16, 26, 11, 18], [19, 24, 22, 20, 28, 23, 25, 30, 42, 32, 33, 36, 37, 34], [38, 44, 47, 45, 39, 43, 40, 46, 41, 51, 53, 52], [59, 55, 48, 49, 50, 54, 60, 57, 58, 56]]
17: [[35, 2, 7, 1, 25, 3, 5, 6, 20, 11], [12, 10, 13, 8, 9, 4, 16, 14, 15, 22, 17, 31, 18, 23, 27, 19, 21, 29, 24, 26, 28, 30, 36, 33, 32, 34, 37, 46, 38, 40, 45, 39, 41, 43, 42, 44, 47, 59, 50, 48], [55, 49, 52, 53, 51, 57, 54, 56, 58, 60]]
18: [[35, 2, 7, 11, 26, 1], [6, 3, 5, 10, 14, 12, 9], [15, 16, 4, 8, 13, 21, 18, 29, 17], [20, 19, 31, 24, 23], [25, 28, 22, 27, 30, 46, 48], [34, 32, 40, 33, 39, 38, 36, 41, 45, 43], [47, 44, 52, 42, 53, 37, 50, 57, 58, 54, 55, 56, 51, 59, 49, 60]]
19: [[35, 2, 7, 27, 3, 1], [5, 9, 4, 10, 24, 12, 14, 28, 8, 18], [11, 13, 15, 22, 6, 25, 16, 31, 17, 23, 20, 26, 19, 21, 30, 29, 36, 32, 56, 38, 34, 33, 45, 39, 40, 46, 43, 42, 37, 47, 41, 44, 48, 49, 51, 54, 52, 53, 50, 55, 57, 58, 59, 60]]
20: [[35, 2, 7, 27, 19, 3, 1, 5, 4], [12, 14, 15, 13, 28, 6, 20, 8, 11, 10, 9, 17, 18, 21, 30, 16, 22, 23, 25, 24, 29, 26, 59, 36, 32, 60, 37, 41, 38, 31, 45], [44, 33, 47, 42, 34, 39, 40, 43], [50, 52, 48, 51, 57, 55, 46, 49, 53, 54, 58, 56]]
21: [[35, 2, 7, 9, 27], [1, 5], [6, 21, 4, 10, 11, 12, 8, 15, 17, 3, 31, 22, 13, 14, 16, 23, 18, 19, 26, 25, 20, 24, 28, 30, 29, 36, 32, 33, 34, 37, 38, 39, 47, 40, 43, 44, 46, 42, 45, 41, 48, 49, 59, 54, 52, 50, 55, 51, 53, 60, 56, 57, 58]]
22: [[35, 2], [7, 11, 19, 1, 5, 3, 20, 4, 15, 12, 6, 14, 8, 9, 10, 31], [30, 16, 13, 25, 21, 17, 22, 18, 23, 26, 27, 24, 28, 29, 38, 33, 40, 42, 36, 32, 44, 43, 34, 37, 46, 41], [39, 47, 45, 48, 50, 49, 51, 52, 60, 54, 53, 55, 56, 57, 58, 59]]
23: [[35, 2, 7], [1, 27, 3, 4], [5, 8, 11, 14, 6, 26, 30, 13, 24, 9, 28, 10, 21, 23, 12, 16, 15, 20, 17, 18, 19, 22, 31, 29, 25, 45, 40, 36, 33, 38, 37, 39, 47, 34, 32, 43, 44, 41, 42, 60, 46, 53, 54, 48, 49, 56, 57, 51, 52], [59, 55, 50, 58]]
24: [[35, 2, 7, 9, 27, 1], [13, 15, 5, 4, 3, 8, 6, 11, 10, 31, 12, 14, 17, 23, 20, 16, 19, 21, 22, 18, 25, 26, 24, 29, 28, 52, 33, 32, 49], [30, 43, 38, 46, 44, 42], [37, 34, 36, 39, 40, 41, 45, 51, 53, 47, 50, 55, 57, 54], [59, 48, 58, 60, 56]]
25: [[35, 2, 7, 11], [27, 3, 1, 5, 20, 12, 10, 15, 4, 6, 26, 17, 8, 31, 30, 9, 13, 23, 22, 21, 18, 14], [16, 19, 28, 24, 25, 29, 37, 33, 41, 48, 32, 46, 39, 44, 36, 38, 45, 40, 34, 42, 47, 52, 43, 58, 51, 53, 49, 50, 54, 55, 56, 60, 57, 59]]
26: [[35, 2, 7, 1, 27], [9, 3, 8, 5, 10, 4, 15, 11, 24, 12, 14, 13, 16, 18, 29], [21, 17, 6, 19, 22, 28, 20, 23, 31, 26, 25, 49, 36, 37, 38], [30, 32, 33, 34, 41, 45, 43, 39, 47, 42, 40, 52, 44, 46, 57, 48, 55, 50, 51, 53, 54, 59, 58, 56, 60]]
27: [[35, 2, 7, 1, 27, 9], [3, 13, 17, 12, 5, 15, 28, 8, 14, 4, 10, 11, 6, 18, 21, 19, 22], [23, 16, 24, 20, 30, 31, 25, 26, 38, 40, 36, 29, 33, 41, 34, 37, 45, 32, 39, 47, 44, 42, 43, 46, 49], [52, 58, 51, 50, 53, 55, 54, 48, 56, 57, 59, 60]]
28: [[35, 2, 7, 27, 9, 1, 3, 14, 4], [15, 8, 12, 6, 28, 16, 10, 11, 17, 18, 25, 13, 20, 19, 5, 30, 21, 23, 22, 31, 24, 26, 53, 32, 40, 29, 43, 33, 46], [36, 47, 38, 45, 37, 39, 42, 44, 48, 56, 41, 49, 57, 34, 50, 52, 51, 55], [54, 59, 58, 60]]
29: [[35, 2, 7, 3, 27, 1, 4, 14], [21, 5, 8, 6, 11, 12, 9, 28, 10, 31, 29, 22, 13, 15, 17, 18, 23, 16, 20, 19, 24, 26, 25, 30, 44, 36, 37, 34, 41, 43, 32, 46, 47, 33, 38, 40, 39, 42, 49, 45, 48, 50, 55, 52, 51], [53, 54, 57, 59, 58, 60, 56]]
30: [[35, 2, 7, 1, 27, 9], [12, 6, 3, 23, 8, 4], [5, 15, 11, 10, 13, 16, 28, 14], [20, 18, 21, 17, 19, 26], [22, 29, 25, 24, 50, 30, 60], [32, 31, 42, 36, 34, 47, 43, 37, 33], [38, 39, 41, 44, 45, 54, 51], [40, 46, 48, 53, 55, 52], [56, 49, 57, 58, 59]]
31: [[35, 2, 7, 1, 27, 9], [3, 15, 5, 8, 4, 10], [12, 6, 31, 16, 11, 13, 26, 14, 19, 20, 17, 21, 22], [23, 18, 28, 25, 24], [29, 30, 32, 44, 40, 34, 33, 38, 42, 47, 39, 37, 45, 41], [60, 43, 57, 49, 48, 36, 55, 46, 51, 58, 52, 59, 50, 53, 56, 54]]
32: [[35, 2, 7], [9, 27, 11, 5], [14, 8, 1, 3, 6, 4, 24, 15, 10, 12, 28, 18, 20, 21], [30, 13, 31, 22, 25, 16, 19, 26, 17, 29, 23, 36, 41, 32, 37, 38], [34, 39, 47, 33, 40, 46, 43, 44, 42, 60, 45, 49, 52, 48, 51, 53, 56, 50, 54, 57, 55, 59, 58]]
33: [[35, 2, 7, 17, 27, 9], [13, 4, 12, 8, 3, 5, 15, 11, 18, 26, 22, 28, 14, 19, 20, 30, 23, 25, 31, 33, 24, 34, 29, 38, 32, 60, 10, 21, 6], [16, 1, 37, 41, 46, 42], [36, 43], [39, 40, 44, 45, 56, 49, 47, 57, 54, 48, 50, 51, 53, 52, 55, 58, 59]]
34: [[35, 2, 7, 19, 27, 1, 4], [3, 5, 14, 6, 12, 8, 28], [13, 10, 9, 26, 11, 16, 15, 21, 17], [22, 20, 18, 23, 24, 30, 25, 31, 58, 37, 33, 34, 40, 32, 44, 36, 47], [29, 41, 39, 43, 46, 42, 45, 38, 51, 52, 49, 50, 57, 53, 48, 55, 54, 59, 56, 60]]
35: [[35, 2, 7, 17, 27, 5, 1, 8, 4, 3, 11], [9, 6, 13, 10, 12, 14, 28, 24, 15, 16, 25, 22, 18, 21, 23, 19, 20, 29, 31, 26, 30, 37, 36, 34, 38, 32, 45, 47, 39, 44, 33], [42, 41, 40, 46, 57, 43, 48, 49, 58, 51, 54, 53, 55, 50], [52, 56, 59, 60]]
36: [[35, 2, 7, 3, 27, 9], [1, 8, 4], [5, 12, 11, 13, 14, 25, 29, 15, 10, 21, 6], [28, 16, 23, 19, 17, 20, 22, 24, 26, 58, 30, 44, 32, 18], [31, 34, 37, 36, 39, 46, 45, 33, 38, 41], [40, 42, 47, 54, 53, 50, 43, 48, 49], [51, 52, 60, 55, 59, 57, 56]]
37: [[35, 2, 7], [1, 27, 9, 5, 4, 6, 12, 10, 11], [8, 14, 3, 13, 26, 19, 31, 18, 17, 15, 16, 23, 22, 24, 20, 30, 25, 28, 21, 29, 44, 32, 34], [47, 48, 37, 39, 38, 36, 40, 33, 42, 41, 43, 45, 60, 56, 46, 51, 55, 52, 57, 54, 50, 49, 53, 58, 59]]
38: [[35, 2, 7, 11, 27], [1, 5, 6, 3, 4, 13, 15, 17, 14, 12, 26, 9, 8, 21], [19, 10, 30, 16], [23, 31, 20, 18, 24, 22, 28, 25, 29, 32, 37, 36, 44, 39, 38, 33, 41, 34, 40, 43, 47, 42, 46, 45, 49, 54, 52, 48, 51, 53, 56, 50, 58, 55, 59, 57, 60]]
39: [[35, 2, 7, 11, 27, 1, 3, 14], [5, 10, 12, 4, 6, 8, 9, 13, 15, 17, 31], [16, 20, 21, 18, 19, 28, 22, 24, 23, 26, 29, 25, 30, 58, 32, 39, 40, 37, 46, 45, 44, 47, 36], [33, 34, 43, 38, 41, 50, 57, 55, 48, 42, 49, 51, 52, 53, 56, 60, 59, 54]]
40: [[35, 2, 7, 3, 27], [1, 4, 13, 16], [9, 14, 6, 10, 29, 12, 24, 8, 22, 11, 5, 17, 18, 21, 15, 20, 19, 25, 26, 23, 30, 28, 31, 33, 44, 32, 36, 52, 39, 37, 45, 34, 41, 47, 38, 56, 42, 60, 46, 40, 54, 50, 51, 57, 43, 48, 53, 49, 55, 59, 58]]
41: [[35, 2, 7, 1, 27], [10, 5, 12, 20, 6, 13], [15, 29, 16, 11, 3, 31, 30, 4, 8, 9, 18, 19, 23, 21], [17, 22, 28, 24, 25, 26, 14, 40, 32, 36, 38, 51, 42, 37, 45, 34, 39, 47, 44, 41, 43], [53, 33, 57, 46, 48, 50, 52, 49, 54, 56, 55, 60, 59, 58]]
42: [[35, 2, 7, 11, 19, 1, 5, 3], [21, 4, 15, 6, 9, 8, 10, 13, 14, 31, 26, 18, 12, 25, 20, 16, 23, 17, 30, 24, 22, 27, 28, 29, 44, 33, 40, 37, 41, 32, 47, 38, 34, 36, 46, 42, 39, 43, 45, 48, 55, 49, 51, 52], [56, 54, 59, 58, 53, 57, 50, 60]]
43: [[35, 2, 7, 1, 27, 3], [4, 10, 6, 12, 5, 14, 8, 15, 17, 9, 11, 22, 13, 18], [21, 20, 16, 19, 23, 29, 24, 25, 28, 31, 26, 30, 38, 48, 40, 32, 33, 46, 34, 45, 43, 37], [39, 42, 36, 44, 47, 55, 53, 41, 56, 51, 49, 57, 50, 52, 54, 58, 59, 60]]
44: [[35, 2, 7, 19, 27], [5, 11], [3, 1, 12, 8, 14, 6, 9, 10, 25, 15, 13, 4, 16, 20, 22, 18, 21], [26, 29, 23, 30, 24, 31, 17, 60, 45, 32, 44, 28, 33, 38, 34, 47, 39, 40, 41, 59, 37, 36, 42, 43, 57, 51, 46, 50, 49, 54, 52, 53, 55, 48, 56, 58]]
45: [[35, 2, 7, 3, 27], [6, 5, 1, 21, 4, 10, 11, 8, 29, 14, 9, 12, 18], [30], [23, 13, 15, 20, 17, 22, 16, 19, 25, 28, 24, 26], [31, 38, 32, 33, 40, 58, 42, 44, 39, 34, 36, 37, 43, 41, 46, 45, 56, 54, 47, 51, 49, 50, 55, 52, 53, 48, 57, 59, 60]]
46: [[35, 2], [7, 9, 27, 3, 5, 11, 1, 6, 14, 8, 12, 4, 10, 15, 29, 16, 17, 19, 28, 22, 30, 20, 18, 21, 23, 24, 25, 26, 31, 32, 36, 40, 33, 38, 39, 34, 41, 46, 44, 37, 42, 43, 13, 47, 50, 49, 48, 57, 45, 53, 52, 54, 55, 51, 56, 58], [59, 60]]
47: [[35, 2, 7, 3, 27], [5, 4, 8, 1, 10, 6, 11, 13, 24, 9, 12, 22, 14, 26, 21], [28, 16, 19, 17, 23, 15, 18, 20, 29, 30, 31, 25, 36, 32, 34], [39, 55, 33, 44, 46, 37, 47], [38], [40, 42, 43, 60, 49, 41, 45, 53, 50, 52, 48, 58, 51, 56, 54, 59, 57]]
48: [[35, 2, 7, 1, 27], [5, 3, 13, 17, 12, 8, 6, 4, 10, 9, 14, 11, 15, 18], [19, 20, 21, 22, 16, 23, 24, 26, 25, 29, 28, 30, 31, 44, 33, 40, 32], [41, 34, 47, 36, 38, 39, 43, 37, 45, 42, 46, 49, 56, 59, 53, 50, 48, 52, 58, 51, 54, 57, 55, 60]]
49: [[35, 2], [7, 11, 27, 1, 5, 3, 21, 13, 12, 6, 8, 4, 9, 25, 15, 16, 28, 18, 14, 10, 19, 31, 17, 20, 22, 23, 29, 24, 26, 30, 36, 51, 34, 45, 32, 38, 37, 40, 44, 41, 42, 33, 50, 43, 46, 39, 59, 48, 52, 47, 55, 49, 53, 54, 58, 56], [57, 60]]
50: [[35, 2, 7, 11, 27], [5, 1, 9, 12, 13, 10], [3, 4, 15, 14, 8, 16, 30, 6, 18, 28, 17, 19, 23, 21, 20, 26, 24], [25, 22, 29, 31, 32, 36, 40, 37, 57, 42, 33, 52, 38, 46, 34, 39, 41, 43, 44, 50, 51, 45, 47, 55, 48, 53, 49, 54, 59, 56, 58, 60]]
51: [[35, 2, 7, 11, 27], [10, 5, 1, 21, 13], [3, 15, 8, 29, 14, 24, 4, 6, 30, 9], [19, 22, 16, 12, 17, 20], [23, 25, 28, 18, 26, 31, 38, 36, 44, 40, 48, 43, 37, 47, 34, 32, 33, 42, 39, 41, 45, 46, 52, 53, 54, 49, 50, 51, 55, 57, 58, 60, 59, 56]]
52: [[35, 2, 7, 11, 27, 5], [1, 6, 21, 3, 12, 10, 4, 9, 14, 15, 13, 18, 19], [16, 8, 24, 17, 23, 22, 25, 20, 31, 29, 26, 28], [30, 38], [32, 36, 33, 34, 37, 40, 47, 43, 39, 44, 45, 41, 42, 46, 50, 48, 53, 49, 51, 55, 56, 59, 52, 54, 58, 60, 57]]
53: [[35, 2, 7, 11, 27, 9, 3, 1], [20, 4, 8, 6, 13, 5, 10, 12, 14, 15, 26, 18, 28, 19], [22, 16, 17, 25, 21, 24, 23, 29, 30, 31, 41, 33, 34, 32, 37, 42, 38, 45, 36, 39, 47, 40, 44, 43, 46, 48, 56, 53, 49, 54, 50, 52, 57, 58, 55, 51, 60, 59]]
54: [[35, 2, 7, 11, 27], [1, 5, 14, 21, 4], [12, 6, 3, 8, 10, 15, 13, 24, 9, 22, 31, 17, 20, 16, 19, 23, 28, 18, 26, 25, 29, 30, 41, 33, 32, 36, 51, 37, 34, 44, 47, 38, 39, 42, 45, 43, 40, 52, 56, 48, 46, 49, 50, 53, 54, 55, 58, 59, 57, 60]]
55: [[35, 2, 7, 3, 27], [5, 4, 6, 11, 12, 10, 15, 8, 13, 9, 1, 14, 16], [31, 19, 21, 18, 20, 17, 22, 23, 28, 24, 25], [26, 30, 29, 38, 32, 34, 33, 59, 37, 46, 39, 41, 45], [42], [40, 57, 44, 47, 48, 50, 36, 43, 52, 49, 55, 51], [54, 53, 56, 58, 60]]
56: [[35, 2], [7, 1, 27, 3, 5, 15, 21, 4, 6, 10], [8, 12, 9, 11, 13, 14, 24], [26, 31, 18, 16, 22, 17, 19], [20, 25, 30, 23, 28, 29, 39, 32, 36, 33, 34, 37, 46], [38, 44, 41, 40, 43, 42, 45, 47, 48, 55, 49, 50], [54, 51, 53, 52, 56, 57, 59, 58, 60]]
57: [[35, 2, 7, 3, 27, 4, 1], [5, 12], [8, 10, 6, 9, 11, 29, 20, 13, 25, 26, 19, 15, 18, 21, 16, 14, 30, 17, 24, 28, 22, 23, 31, 38, 40, 32, 34, 43, 39, 33, 52, 36, 45, 37, 42, 46, 47, 41, 48, 55, 44, 49, 50, 51, 53, 54, 57, 60, 56, 59, 58]]
58: [[35, 2, 7, 9, 27, 3], [5, 1, 4, 11, 12], [6, 8, 30, 10, 29], [15, 24, 16, 22, 13, 19, 26, 21, 18, 23, 14, 17, 28, 25], [31, 20, 36, 48, 32, 41, 33, 34, 39, 38, 44, 45, 40, 42, 43, 46, 47, 58, 37, 49, 51, 50, 52, 53, 55, 54, 59, 56, 60, 57]]
59: [[35, 2, 7, 25, 27, 3, 1], [4, 5, 8, 6, 9, 10, 15, 14, 18, 11, 12, 13, 16, 17, 21, 29, 23, 19, 20, 22, 24, 26, 28, 30, 57, 36, 41, 54, 34, 38], [40, 39, 52, 33, 44, 31, 43, 32, 45, 37], [46, 49, 42, 47, 50, 51, 48, 53, 55, 58, 59, 60, 56]]
60: [[35, 2], [7, 3, 27, 13, 5, 9, 20, 8, 12, 4, 6, 11], [1, 22, 14, 10, 17, 26, 15, 18, 21, 19, 28, 16, 29], [23, 30], [25, 24, 31, 32, 37, 34, 38, 33, 47, 39, 36, 41], [45, 43, 42, 40, 46, 57, 44, 49, 51, 52, 48, 53, 54, 55, 50, 56, 58, 59, 60]]
61: [[35, 2], [7, 27, 3, 1, 5, 9, 20, 12, 15, 4, 6, 8, 10, 13, 14, 21, 30, 11, 17, 25, 18, 19, 23, 22, 16, 24, 29, 28, 26, 60, 38], [49, 40, 46, 32, 33, 31, 47, 34, 36, 37, 41, 39, 42, 44, 50, 54, 43, 45], [48, 51, 52, 53, 55, 56, 57, 59, 58]]
62: [[35, 2], [7, 3, 27, 5, 8, 11], [1, 4, 9, 10, 14, 26], [16, 17, 13, 12, 15, 18, 6, 29, 19, 20, 21, 22, 23, 28, 24], [25, 51, 54, 37, 32, 36, 46, 30, 38, 44, 39, 31], [45, 33], [34, 40, 41, 42, 43, 59, 47, 48, 49, 50, 55, 58, 53, 52, 56, 57, 60]]
63: [[35, 2, 7, 9, 27, 3, 5, 1], [17, 8, 30, 12, 4, 6, 10, 13, 20, 28, 11, 14, 15], [23, 18], [21, 31, 25, 19, 24, 16, 26, 29, 49, 22, 40, 33, 38, 54, 32, 45, 46, 34, 36, 42, 43, 37, 39, 41, 57, 60, 56, 52, 53, 48, 44, 51, 55, 47, 59], [58, 50]]
64: [[35, 2, 7, 11, 27], [12, 4, 3, 1, 13], [10, 5, 8, 6, 9, 16, 14, 25, 31, 21, 17, 23, 29], [19, 20, 15, 24, 26, 28, 22, 18, 30, 38, 36], [46, 33, 49, 32, 39, 47, 34, 37, 40, 42], [50, 59, 45, 41, 44, 43], [58, 52, 48, 51, 55, 54, 53, 60, 56, 57]]
65: [[35, 2], [7, 9, 19, 3, 5, 1, 4, 8, 10, 6], [14, 12, 15, 11, 13, 31, 17, 30, 28, 21, 16, 18, 20, 22, 23, 24, 25, 29, 27, 33, 36, 48, 26, 34, 39, 32, 47, 40, 38, 41, 42, 43, 37, 45, 44, 46, 51, 59, 54, 50, 55, 53, 49, 52, 57, 56, 58, 60]]
66: [[35, 2, 7, 17, 27], [9, 5, 1, 4, 12, 11, 8, 10, 13, 3, 15, 14, 20, 22, 6, 18, 31, 16], [19, 21, 23, 24, 26, 28, 25, 29, 30, 36, 32, 42, 34, 33, 38, 43, 47, 46, 37, 39, 56, 40, 52, 45, 41, 44, 60, 48, 51, 50, 49, 53, 55, 54, 57, 59, 58]]
67: [[35], [2, 7, 3, 27, 5, 1, 9, 20, 11, 12, 4, 8], [10, 6, 22, 13, 30, 14, 15, 16, 25, 21, 19, 17, 18, 23, 24, 29, 28, 26, 31, 32, 36, 44, 33, 52, 47, 37, 41, 34, 43, 38, 39, 60, 45, 40, 42, 49, 46, 51, 50, 48, 55, 53, 54, 56, 58, 59, 57]]
68: [[35, 2, 7, 11, 27], [1, 3, 9, 21, 8, 12], [4, 5, 28, 6, 24, 15, 26, 10, 13, 14, 17, 16], [20, 18, 19, 22, 23, 25, 29, 30, 31, 36, 33, 44], [32, 52, 34, 42, 45], [43], [41, 39, 37, 40, 38], [57, 60, 46, 47, 48, 55, 50, 49, 51], [53, 56, 58, 54, 59]]
69: [[35, 2, 7, 3, 27], [1, 5, 6, 9], [8, 13, 14, 12, 10, 31, 4, 28, 24, 11, 15, 17, 16, 19], [20, 18, 21, 26, 22, 29, 23, 30, 25, 36, 33, 34, 32, 37], [43, 44, 47, 40, 39, 38, 41, 46, 45, 42, 49, 48, 51, 53, 57, 52, 55], [50, 54, 60, 56], [59, 58]]
70: [[35, 2, 7, 1, 22, 9, 3, 6, 5, 8, 4, 10, 14, 13, 29, 11, 12, 31, 16, 15, 23, 19, 17, 21, 18, 20, 26, 25, 27, 24, 30, 28, 36, 40], [38, 32, 33, 34, 42, 39, 37, 46, 43, 44, 45, 47], [41, 48], [57, 50, 53, 49, 59, 51, 52, 54, 55, 58, 56, 60]]
71: [[35, 2, 7, 25, 17], [5, 13, 3, 6, 8], [11, 30, 12, 29, 26, 1, 9, 4, 14, 15, 31, 23, 18], [21, 20, 10, 16, 19, 22, 27, 24, 28, 37, 33], [34, 32, 36, 46, 44, 39, 41, 43, 40, 42, 38, 45, 48], [47, 53, 54, 50, 51, 49, 52, 55, 56, 59, 58, 57, 60]]
72: [[35, 2], [7, 11, 27, 12, 5, 1, 22, 3, 14, 4, 6, 13], [10, 8, 15, 9, 16, 18, 17, 26, 21, 20, 23, 19, 24], [29, 28, 30, 25, 31, 32, 36, 33, 39, 51, 46, 37], [45, 38, 34, 41, 44, 56, 43, 40, 42, 48, 58, 47, 52, 49, 53, 54, 55, 57, 59, 50, 60]]
73: [[35, 2], [7, 11, 27, 1, 3, 15, 20, 4, 10, 14, 5, 6, 9, 12, 8, 13], [22, 17, 28, 18, 23, 25, 19, 16, 21, 26, 30, 29, 24, 31, 34, 33, 32, 38, 36, 41, 42, 43], [47, 39, 46, 45, 37, 44], [40, 52, 58, 49, 51, 54, 50, 48, 53, 55, 56, 59, 60, 57]]
