0: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 7, 4, 3, 8, 14, 11, 9], [6, 15, 24, 26, 23], [21, 18, 31, 25, 16, 17, 59, 19], [20, 27, 28, 29, 62, 52, 53], [56, 34, 30, 51, 39, 33, 35, 32, 47, 45, 40], [42, 44, 58, 37, 50, 54, 49, 38], [41, 46, 55, 48, 57, 63, 60, 61, 80, 65, 66], [64, 76, 75, 67, 68, 73], [79, 69, 77, 71, 72, 78, 10], [74, 83, 82, 84, 81, 86, 85, 87, 88]]
11: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 3, 10, 6, 8, 9, 27, 24], [26, 15, 11, 19, 16, 18, 21, 17, 20], [25, 28, 14, 23, 30, 58, 29, 56], [61, 40, 62, 53, 32, 31, 35, 34, 39, 42, 33], [38, 41, 45, 37, 47, 49, 54, 44], [51, 55, 59, 46, 50, 60, 48, 52, 57], [63, 80, 64, 67, 68, 69, 66, 65], [71, 73, 76, 78, 72, 79, 77, 74], [81, 86, 82, 75, 85, 83, 84, 87, 88]]
12: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 9, 3, 6, 8, 10, 27], [21, 19, 11, 15, 14, 18, 17, 20], [16, 24, 25, 23, 28, 29, 26, 56, 57, 63, 31], [35, 30, 33, 32, 34, 39, 37, 38], [42, 44, 45, 40, 41, 47, 46, 48, 55], [49, 51, 50, 52, 53, 54, 59, 60, 58, 62], [61, 80, 64, 66, 76, 65, 67, 74], [71, 73, 72, 78, 79, 68, 77, 69], [81, 83, 82, 86, 84, 75, 85, 87, 88]]
13: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 6, 3, 9, 10, 8, 4, 19], [14, 7, 11, 15, 28, 17, 27, 16, 18, 48, 21], [20, 29, 24, 59, 58, 23, 25, 26], [30, 41, 51, 31, 45, 32, 33, 38], [35, 34, 44, 40, 39, 42, 37, 50], [46, 47, 49, 57, 52, 54, 53, 55, 56, 60], [61, 63, 62, 64, 72, 66, 68, 73, 69], [65, 71, 75, 67, 78, 74, 77, 76, 79], [83, 81, 82, 80, 85, 84, 87, 86, 88]]
14: [[36, 43, 2, 70, 1, 12, 13, 22, 5, 6], [7, 4, 14, 3, 8, 9, 15, 11], [16, 23, 25, 10, 28, 17, 18, 48, 19, 24, 20, 29], [31, 26, 58, 30, 21, 62, 32, 59, 27], [38, 33, 35, 39, 34, 40, 50, 41], [37, 45, 42, 56, 47, 44, 55, 51], [54, 53, 46, 52, 49, 57, 60, 63], [61, 65, 64, 66, 68, 73, 71, 76], [67, 74, 72, 75, 78, 69, 77, 79], [81, 83, 80, 87, 84, 82, 85, 86, 88]]
15: [[36, 43, 2, 70, 1, 12, 13, 22, 4, 7], [5, 9, 3, 10, 8, 11, 15, 14], [6, 26, 19, 17, 28, 16, 21, 20], [18, 25, 23, 24, 27, 57, 42, 30, 47, 58], [33, 40, 29, 31, 32, 39, 35, 34], [63, 46, 38, 41, 44, 50, 53, 49, 60], [45, 37, 48, 51, 56, 62, 52, 61], [54, 59, 55, 65, 66, 68, 64, 75, 72], [69, 73, 78, 67, 71, 74, 76, 79, 81], [80, 77, 84, 85, 82, 83, 86, 87, 88]]
16: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 7, 4, 3, 10, 8, 6, 11], [9, 15, 14, 31, 17, 21, 18, 19, 16], [20, 23, 27, 28, 24, 25, 56, 58], [26, 62, 42, 39, 32, 29, 51, 40, 44, 41], [34, 30, 33, 37, 35, 38, 47, 50], [45, 46, 48, 52, 54, 61, 49, 53, 60, 59, 55], [57, 63, 64, 68, 67, 65, 66, 76], [69, 71, 77, 79, 73, 72, 78, 74, 75], [84, 81, 83, 80, 82, 87, 86, 85, 88]]
17: [[36, 43, 2, 70, 1, 12, 13, 22, 4], [7, 5, 3, 9, 6, 8, 10, 15, 26, 18], [14, 19, 11, 16, 17, 21, 29, 20], [23, 28, 57, 24, 25, 27, 30, 60], [31, 32, 51, 37, 33, 49, 46, 39, 35, 34, 41], [42, 40, 38, 44, 50, 45, 55, 47, 48], [53, 54, 52, 56, 59, 62, 63, 58], [61, 65, 64, 66, 69, 71, 76, 75], [73, 67, 68, 72, 77, 78, 74, 79], [80, 83, 82, 86, 81, 84, 85, 87, 88]]
18: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 3, 5, 6, 8, 14, 9], [27, 10, 11, 17, 16, 21, 18, 19, 20], [28, 23, 60, 24, 26, 29, 25, 57], [30, 53, 31, 38, 37, 15, 32, 33, 39], [34, 35, 45, 40, 48, 41, 51, 58], [44, 42, 46, 47, 49, 50, 52, 54, 62, 63, 56], [55, 59, 61, 80, 66, 64, 72, 77, 67, 68], [69, 76, 78, 74, 65, 71, 79, 73], [75, 85, 82, 81, 87, 83, 86, 84, 88]]
19: [[36, 43, 2, 70, 1, 5, 7, 3, 12, 13, 22], [4, 14, 6, 8, 9, 27, 11], [16, 23, 17, 18, 26, 21, 15, 50], [19, 60, 20, 25, 28, 29, 51, 30], [24, 49, 37, 62, 42, 38, 40, 35, 31], [32, 33, 52, 41, 34, 45, 39, 48, 10], [44, 55, 57, 46, 53, 47, 54, 56, 58, 59, 63], [61, 64, 69, 66, 65, 77, 71, 68], [67, 74, 72, 75, 78, 73, 76, 79], [84, 81, 80, 86, 85, 82, 83, 87, 88]]
20: [[36, 43, 2, 70, 1, 12, 13, 22, 4, 7], [6, 9, 11, 3, 8, 5, 30, 10, 15], [27, 16, 18, 19, 17, 34, 24, 20, 25], [21, 23, 59, 26, 58, 28, 29, 62], [31, 14, 37, 33, 38, 51, 32, 35, 41, 49], [39, 44, 40, 52, 55, 42, 48, 45], [60, 46, 47, 50, 56, 53, 54, 57], [61, 63, 72, 64, 73, 68, 65, 79], [67, 66, 75, 69, 77, 71, 74, 76, 87], [80, 83, 84, 81, 78, 82, 86, 85, 88]]
21: [[36, 43, 2, 70, 1, 5, 13, 22], [4, 6, 8, 11, 9, 10, 15, 3, 7, 12, 16], [27, 30, 21, 18, 23, 14, 17, 20], [24, 26, 25, 29, 28, 61, 62, 48], [31, 57, 32, 19, 34, 51, 33, 35, 37], [47, 38, 44, 42, 52, 56, 45, 50, 54], [49, 39, 40, 41, 55, 46, 53, 63, 60, 58], [59, 65, 66, 64, 72, 79, 67, 68], [73, 74, 69, 75, 71, 77, 76, 82], [78, 83, 80, 84, 81, 86, 85, 87, 88]]
22: [[36, 43, 2, 70, 1, 12, 13, 22, 4, 7, 3], [6, 10, 8, 5, 9, 11, 14, 24], [19, 15, 30, 17, 20, 16, 25, 21], [18, 27, 28, 51, 23, 26, 29, 45], [62, 31, 55, 33, 57, 32, 34, 46], [35, 39, 40, 42, 44, 47, 37, 38], [41, 49, 50, 56, 48, 52, 53, 54, 58, 60], [61, 63, 59, 64, 76, 67, 72, 75, 71], [66, 69, 65, 73, 78, 68, 77, 74, 84], [81, 87, 82, 79, 80, 83, 85, 86, 88]]
23: [[36, 43, 2, 70, 1, 12, 13, 4, 22], [7, 3, 5, 15, 8, 25, 10, 14], [19, 23, 6, 16, 9, 18, 20, 17, 26], [28, 31, 21, 11, 24, 27, 32], [33, 54, 63, 35, 39, 29, 34, 30], [49, 38, 40, 55, 45, 41, 37, 50, 42, 52], [44, 60, 51, 46, 56, 47, 48, 62, 53, 57], [58, 59, 61, 64, 72, 66, 69, 65, 74], [67, 73, 68, 71, 77, 75, 78, 76, 84], [79, 82, 81, 80, 86, 83, 87, 85, 88]]
24: [[36, 43, 2, 70, 1, 12, 13, 22, 4, 7], [5, 3, 9, 6, 8, 10, 15, 26, 18], [14, 19, 11, 16, 17, 21, 29, 20], [23, 28, 57, 24, 25, 27, 30, 60], [31, 32, 51, 37, 33, 49, 46, 39, 35, 34, 41], [42, 40, 38, 44, 50, 45, 55, 47, 48], [53, 54, 52, 56, 59, 62, 63, 58], [61, 65, 64, 66, 69, 71, 76, 75], [73, 67, 68, 72, 77, 78, 74, 79], [80, 83, 82, 86, 81, 84, 85, 87, 88]]
25: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 6, 9, 11, 3, 8, 5, 30], [10, 15, 27, 16, 18, 19, 17, 34, 24], [20, 25, 21, 23, 59, 26, 58, 28, 29, 62], [31, 14, 37, 33, 38, 51, 32, 35, 41, 49], [39, 44, 40, 52, 55, 42, 48, 45], [60, 46, 47, 50, 56, 53, 54, 57], [61, 63, 72, 64, 73, 68, 65, 79], [67, 66, 75, 69, 77, 71, 74, 76, 87], [80, 83, 84, 81, 78, 82, 86, 85, 88]]
26: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 6, 4, 7, 11, 8, 10, 3], [15, 25, 19, 17, 9, 27, 14, 21, 18, 20, 16], [31, 23, 24, 30, 26, 60, 56, 28, 29, 42], [32, 49, 54, 45, 37, 39, 33, 34, 35], [40, 38, 44, 41, 46, 47, 55, 53], [52, 51, 59, 61, 50, 48, 57, 63, 62], [58, 64, 68, 65, 69, 79, 73, 67], [66, 71, 74, 72, 75, 77, 78, 76], [81, 80, 82, 83, 84, 87, 86, 85, 88]]
27: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 6, 10, 3, 8, 11, 9], [14, 15, 27, 17, 19, 21, 16, 29], [18, 25, 20, 23, 61, 28, 30, 57, 24], [60, 26, 31, 41, 32, 35, 40, 34, 33, 49], [37, 39, 42, 38, 46, 53, 47, 45], [44, 51, 48, 50, 54, 55, 63, 62], [52, 58, 56, 59, 80, 66, 64, 67, 69, 68, 76], [65, 79, 73, 75, 72, 78, 74, 81], [71, 83, 77, 84, 82, 87, 85, 86, 88]]
28: [[36, 43, 2, 70, 1, 5, 6, 12, 13, 22], [3, 4, 7, 8, 9, 14, 26], [11, 15, 16, 17, 19, 18, 21, 23], [20, 25, 24, 27, 29, 31, 28, 52, 48], [63, 44, 37, 55, 35, 33, 57, 34], [30, 38, 32, 46, 40, 41, 58, 45, 10], [49, 42, 39, 47, 50, 51, 62, 59, 53, 56, 54], [60, 61, 65, 66, 64, 73, 69, 67], [71, 68, 78, 75, 77, 74, 72, 83, 76], [84, 85, 79, 80, 81, 82, 86, 87, 88]]
29: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 3, 5, 9, 6, 8, 11], [27, 17, 10, 19, 14, 15, 20, 18], [26, 28, 21, 23, 25, 16, 31, 58], [24, 57, 29, 37, 50, 30, 33, 53, 32], [34, 38, 39, 40, 44, 42, 47, 46, 35, 41], [54, 62, 48, 45, 49, 51, 52, 55, 56, 59, 60], [61, 63, 66, 68, 64, 76, 67, 71], [72, 65, 69, 73, 75, 74, 78, 77, 79], [81, 83, 80, 82, 84, 86, 87, 85, 88]]
30: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 7, 4, 3, 14, 6, 8, 10, 11, 9], [30, 17, 16, 21, 25, 15, 23, 20], [18, 24, 19, 28, 26, 29, 27, 31], [49, 62, 34, 37, 41, 32, 35, 33, 51], [39, 56, 40, 38, 42, 44, 47, 45, 61], [48, 50, 58, 46, 55, 53, 52, 59, 57], [54, 60, 63, 64, 66, 68, 69, 74], [67, 79, 71, 65, 73, 75, 77, 78, 72, 76], [84, 87, 81, 85, 80, 82, 83, 86, 88]]
31: [[36, 43, 2, 70, 1, 12, 13, 22, 5], [7, 4, 6, 10, 3, 9, 8, 27], [25, 14, 11, 15, 18, 19, 17, 20], [16, 30, 21, 28, 23, 26, 61, 50, 24, 57], [29, 40, 31, 33, 59, 35, 38, 54, 32, 41], [34, 37, 45, 39, 53, 42, 52, 46], [49, 51, 44, 47, 48, 56, 55, 60, 58], [62, 63, 64, 72, 67, 66, 75, 65, 69], [71, 68, 73, 74, 77, 79, 76, 78], [81, 80, 82, 83, 84, 87, 85, 86, 88]]
32: [[36, 43, 2, 70, 1, 12, 13, 22, 5], [7, 6, 4, 10, 9, 8, 3, 15], [26, 11, 27, 21, 14, 16, 17, 19], [20, 18, 59, 24, 31, 25, 56, 23, 28, 37, 61, 32], [29, 30, 33, 47, 34, 35, 40, 41], [42, 45, 44, 46, 38, 49, 55, 51, 58, 39], [54, 48, 53, 52, 57, 50, 60, 62], [63, 65, 66, 64, 74, 73, 69, 72], [67, 77, 68, 79, 71, 75, 78, 76], [81, 85, 84, 82, 80, 86, 87, 83, 88]]
33: [[36, 43, 2, 70, 1, 12, 13, 4, 5, 22, 3], [9, 14, 6, 7, 11, 15, 8, 10], [24, 16, 19, 18, 17, 21, 20, 30], [26, 27, 28, 23, 25, 29, 51, 33], [58, 31, 37, 57, 38, 41, 32, 42, 35], [34, 44, 39, 46, 49, 53, 40, 45, 47, 48], [50, 52, 55, 54, 56, 59, 60, 62], [61, 63, 65, 64, 66, 69, 73, 67], [68, 76, 78, 74, 72, 75, 77, 82, 79], [85, 83, 71, 80, 81, 84, 86, 87, 88]]
34: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 6, 7, 3, 8, 4, 9, 14], [15, 11, 23, 16, 18, 31, 10, 17], [26, 20, 27, 24, 29, 19, 21, 25, 50], [62, 53, 54, 42, 33, 40, 49, 57, 41, 28, 37, 34], [30, 35, 32, 38, 39, 44, 45, 46], [52, 47, 55, 48, 51, 56, 61, 58, 60, 63], [59, 80, 67, 64, 69, 65, 66, 75], [68, 71, 74, 78, 72, 73, 76, 77], [85, 79, 82, 81, 83, 87, 84, 86, 88]]
35: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 7, 4, 3, 10, 8, 11, 9], [15, 23, 27, 14, 18, 17, 21, 19, 6], [25, 60, 20, 29, 24, 26, 16, 28], [58, 45, 30, 39, 63, 33, 41, 40, 31, 47, 35], [44, 32, 34, 42, 37, 38, 49, 62], [46, 51, 50, 57, 53, 54, 48, 59], [52, 55, 56, 61, 64, 72, 67, 76, 71], [65, 74, 68, 66, 73, 78, 75, 77, 79, 69], [81, 83, 82, 80, 84, 85, 86, 87, 88]]
36: [[36, 43, 2, 70, 1, 5, 13, 22, 4], [7, 3, 6, 10, 8, 9, 12, 11], [14, 24, 18, 15, 17, 21, 19, 20], [26, 16, 23, 25, 27, 28, 30, 60], [29, 63, 32, 38, 45, 49, 33, 54, 31], [35, 37, 41, 34, 46, 42, 52, 40], [61, 39, 47, 44, 56, 53, 55, 48, 50, 51], [58, 57, 59, 62, 64, 72, 66, 67, 69], [71, 65, 68, 75, 77, 76, 73, 74, 78, 79], [80, 83, 81, 82, 84, 86, 87, 85, 88]]
37: [[36, 43, 2, 70, 1, 12, 13, 22, 5, 6], [3, 9, 10, 4, 7, 11, 8, 14], [15, 19, 17, 18, 21, 16, 20, 25, 27], [26, 29, 30, 23, 31, 24, 60, 56, 28, 33], [38, 37, 42, 32, 34, 40, 45, 35], [51, 39, 41, 44, 52, 46, 48, 47, 63], [50, 49, 53, 54, 58, 55, 57, 62], [59, 61, 65, 66, 67, 64, 68, 69, 72], [73, 77, 75, 78, 74, 76, 79, 71], [83, 81, 80, 82, 85, 84, 87, 86, 88]]
38: [[36, 43, 2, 70, 1, 12, 13, 22, 4], [7, 3, 8, 11, 5, 20, 6, 9, 15], [10, 19, 26, 16, 31, 18, 21, 23], [24, 25, 29, 28, 27, 30, 34, 50, 57, 55], [35, 41, 42, 14, 17, 32, 38, 33], [37, 39, 44, 56, 40, 53, 45, 46], [61, 47, 48, 51, 49, 52, 60, 58, 54, 62], [59, 63, 65, 64, 66, 73, 68, 69, 71], [67, 79, 74, 72, 77, 76, 75, 78], [81, 85, 82, 84, 83, 80, 86, 87, 88]]
39: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 3, 6, 5, 10, 9, 11], [8, 23, 14, 15, 21, 16, 19, 26, 17, 20], [18, 60, 31, 24, 25, 28, 27, 29, 52], [55, 41, 35, 30, 51, 42, 37, 40], [46, 38, 33, 34, 32, 53, 56, 45], [54, 39, 44, 47, 48, 50, 59, 57, 58, 61, 49], [63, 62, 65, 66, 64, 76, 79, 69], [68, 72, 77, 75, 78, 67, 71, 73, 74], [80, 83, 86, 84, 81, 82, 85, 87, 88]]
40: [[36, 43, 2, 70, 1, 12, 13, 22, 4], [7, 6, 3, 10, 14, 5, 9, 8], [31, 18, 20, 15, 16, 23, 17, 21], [24, 19, 27, 28, 29, 25, 38, 30], [26, 40, 32, 35, 47, 56, 33, 50, 34], [39, 37, 41, 44, 45, 46, 42, 11], [51, 48, 49, 55, 54, 58, 53, 52, 62, 59], [60, 63, 61, 57, 64, 69, 66, 68, 65], [73, 74, 71, 67, 72, 77, 75, 79, 78, 76], [81, 83, 80, 84, 82, 86, 85, 87, 88]]
41: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 6, 3, 4, 7, 10, 26, 9], [15, 27, 8, 11, 28, 17, 14, 16, 19, 30, 20], [29, 21, 18, 23, 31, 24, 25, 48], [55, 39, 46, 42, 32, 33, 35, 38, 34, 45], [37, 47, 40, 41, 50, 44, 54, 58, 51, 53], [56, 49, 60, 61, 52, 57, 62, 59], [63, 65, 64, 66, 68, 76, 71, 74], [73, 75, 67, 72, 78, 77, 79, 80], [83, 69, 81, 82, 86, 84, 87, 85, 88]]
42: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 6, 3, 4, 14, 11, 7, 8], [15, 30, 24, 9, 21, 17, 19], [16, 53, 25, 20, 23, 18, 49, 28], [27, 51, 58, 29, 39, 47, 32, 60, 10], [46, 31, 33, 34, 37, 38, 35, 40, 41], [48, 45, 54, 42, 44, 52, 56, 50, 57, 55], [62, 63, 26, 59, 61, 64, 66, 65, 68], [75, 67, 73, 71, 72, 69, 74, 78, 76, 77, 79], [82, 81, 86, 80, 83, 84, 87, 85, 88]]
43: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 3, 10, 20, 9, 14, 15, 8, 6], [11, 16, 21, 25, 23, 24, 54, 18], [17, 19, 28, 27, 26, 29, 31, 41, 30, 51], [47, 44, 32, 50, 33, 37, 46, 40, 34], [38, 42, 45, 35, 39, 56, 61, 48], [57, 49, 53, 52, 60, 58, 55, 62], [59, 63, 65, 66, 64, 69, 72, 67], [79, 74, 68, 73, 78, 77, 76, 71, 75], [80, 81, 82, 87, 83, 85, 86, 84, 88]]
44: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 23, 5, 7, 10, 6, 8, 9, 14, 3, 26], [31, 11, 20, 15, 17, 16, 21, 18], [55, 24, 29, 27, 25, 28, 57, 30, 59, 54], [48, 32, 19, 33, 35, 34, 38, 42], [37, 45, 44, 39, 40, 41, 47, 61], [46, 50, 49, 51, 53, 52, 56, 62, 60], [63, 58, 64, 74, 65, 76, 69, 67], [68, 73, 77, 72, 66, 71, 75, 79, 78], [84, 83, 82, 81, 80, 85, 87, 86, 88]]
45: [[36, 43, 2, 70, 1, 6, 5, 12, 13, 22], [4, 23, 7, 3, 14, 9, 11, 15, 18], [17, 19, 25, 21, 20, 24, 26], [27, 29, 30, 33, 28, 58, 52, 16], [31, 41, 35, 34, 32, 50, 38, 42, 37], [47, 39, 40, 44, 48, 8, 45, 60, 10], [46, 51, 54, 55, 49, 53, 56, 57], [61, 59, 62, 63, 65, 66, 68, 64, 71, 75, 69], [73, 74, 67, 72, 76, 77, 78, 79], [83, 81, 80, 84, 82, 87, 86, 85, 88]]
46: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 3, 10, 8, 11, 9], [19, 24, 18, 14, 15, 21, 16, 6, 17, 20], [25, 60, 27, 23, 31, 30, 46, 28, 41], [26, 29, 38, 33, 57, 32, 34, 37], [35, 42, 39, 45, 40, 44, 49, 53, 50, 47, 48], [63, 62, 51, 52, 54, 61, 55, 59], [58, 56, 64, 74, 65, 76, 71, 69, 66], [68, 67, 72, 78, 75, 77, 73, 79], [81, 83, 82, 80, 84, 87, 85, 86, 88]]
47: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 6, 3, 4, 14, 15, 8, 9], [10, 26, 7, 29, 11, 17, 25, 20, 16, 23], [21, 30, 28, 18, 27, 53, 24, 51, 60], [46, 31, 19, 35, 32, 57, 33, 38], [34, 37, 39, 40, 54, 44, 45, 47, 58, 41, 49], [42, 48, 55, 50, 52, 59, 62, 61], [56, 63, 66, 64, 65, 68, 71, 69, 76], [72, 67, 73, 74, 79, 77, 75, 78], [84, 80, 82, 81, 85, 83, 86, 87, 88]]
48: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 8, 11, 3, 6, 9, 10], [24, 18, 14, 31, 21, 15, 20, 19, 25, 16], [27, 29, 28, 23, 49, 26, 62, 61], [17, 33, 30, 57, 37, 32, 34, 35, 39], [40, 41, 46, 44, 38, 63, 45, 47, 42], [55, 60, 48, 52, 54, 50, 51, 56, 58, 53], [59, 64, 74, 68, 65, 67, 76, 75], [66, 69, 72, 78, 71, 77, 73, 79], [84, 83, 82, 81, 80, 87, 85, 86, 88]]
49: [[36, 43, 2, 70, 1, 12, 13, 22, 4, 7], [3, 5, 9, 6, 10, 11, 8, 15], [26, 14, 21, 17, 18, 16, 23, 19, 30, 20, 24], [29, 25, 27, 28, 41, 34, 63, 31, 35, 39], [32, 49, 54, 40, 45, 38, 37, 33], [42, 44, 48, 57, 55, 46, 58, 50, 56], [53, 51, 52, 47, 60, 59, 62], [61, 65, 66, 64, 69, 77, 73, 68], [67, 72, 71, 79, 74, 76, 75, 86], [81, 83, 80, 82, 78, 84, 87, 85, 88]]
50: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 7, 3, 4, 6, 10, 11, 8, 15, 9], [23, 16, 19, 18, 17, 21, 14, 20], [25, 54, 26, 31, 24, 30, 58, 27, 44, 28, 42], [33, 29, 63, 41, 34, 39, 38, 32], [40, 37, 50, 46, 56, 45, 51, 52, 47], [55, 53, 49, 35, 48, 59, 57, 60], [62, 61, 65, 66, 64, 77, 73, 71, 67], [76, 69, 68, 79, 72, 75, 74, 78], [81, 82, 86, 83, 80, 84, 85, 87, 88]]
