0: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10, 11], [12, 13, 20, 16, 17, 19, 23], [21, 27], [25, 28, 26], [31, 30, 34, 33], [32, 35, 36]]
24: [[37, 2], [29, 7], [5, 1, 3], [9, 4, 8], [18, 14], [24, 22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28], [26, 31, 30], [34, 33], [32, 35, 36]]
25: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13, 20, 16, 17, 19], [23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
26: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18, 14], [24, 22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
27: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18, 14], [24, 22, 6], [15, 10, 11], [12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31, 30], [34, 33, 32], [35, 36]]
28: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10, 11], [12, 13], [20, 16, 17], [19, 23], [21, 27], [25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
29: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18, 14], [24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19], [23, 21, 27, 25, 28, 26, 31, 30], [34, 33, 32, 35, 36]]
30: [[37, 2, 29], [7, 5], [1, 3], [9, 4], [8, 18], [14, 24], [22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30], [34, 33], [32, 35, 36]]
31: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8], [18, 14, 24], [22, 6, 15, 10, 11], [12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26], [31, 30, 34, 33, 32, 35, 36]]
32: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15], [10, 11, 12], [13, 20, 16], [17, 19, 23], [21, 27], [25, 28], [26, 31, 30], [34, 33, 32], [35, 36]]
33: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18], [14, 24, 22], [6, 15], [10, 11, 12], [13, 20], [16, 17, 19], [23, 21, 27], [25, 28], [26, 31], [30, 34, 33, 32, 35, 36]]
34: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
35: [[37, 2], [29, 7, 5], [1, 3], [9, 4, 8], [18, 14], [24, 22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28], [26, 31, 30], [34, 33], [32, 35, 36]]
36: [[37, 2], [29, 7, 5, 1], [3, 9, 4], [8, 18, 14, 24, 22, 6, 15, 10, 11, 12], [13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
37: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13], [20, 16], [17, 19], [23, 21, 27, 25], [28, 26, 31], [30, 34, 33], [32, 35, 36]]
38: [[37, 2], [29, 7, 5], [1, 3, 9], [4, 8], [18, 14, 24], [22, 6], [15, 10, 11], [12, 13], [20, 16, 17], [19, 23], [21, 27, 25], [28, 26, 31], [30, 34, 33], [32, 35, 36]]
39: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18], [14, 24], [22, 6], [15, 10, 11], [12, 13, 20, 16, 17, 19, 23], [21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
40: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18], [14, 24], [22, 6, 15, 10], [11, 12], [13, 20], [16, 17], [19, 23], [21, 27, 25], [28, 26, 31], [30, 34, 33], [32, 35, 36]]
41: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18, 14], [24, 22, 6], [15, 10], [11, 12, 13, 20], [16, 17], [19, 23], [21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
42: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31], [30, 34, 33], [32, 35, 36]]
43: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31], [30, 34, 33], [32, 35, 36]]
44: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18], [14, 24], [22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
45: [[37, 2, 29], [7, 5, 1], [3, 9, 4], [8, 18, 14], [24, 22], [6, 15], [10, 11, 12], [13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
46: [[37, 2], [29, 7, 5], [1, 3, 9], [4, 8], [18, 14, 24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23], [21, 27, 25, 28, 26, 31, 30, 34, 33, 32], [35, 36]]
47: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18], [14, 24], [22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27], [25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
48: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17], [19, 23], [21, 27, 25], [28, 26, 31, 30], [34, 33, 32], [35, 36]]
49: [[37, 2], [29, 7, 5], [1, 3, 9], [4, 8, 18], [14, 24, 22, 6, 15, 10], [11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
50: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15], [10, 11], [12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31, 30], [34, 33], [32, 35, 36]]
51: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18, 14], [24, 22], [6, 15], [10, 11], [12, 13, 20], [16, 17, 19], [23, 21], [27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
52: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8], [18, 14], [24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31], [30, 34, 33], [32, 35, 36]]
53: [[37, 2], [29, 7], [5, 1, 3], [9, 4, 8, 18, 14, 24], [22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34], [33, 32, 35, 36]]
54: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8], [18, 14], [24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31, 30], [34, 33, 32], [35, 36]]
55: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15], [10, 11, 12], [13, 20], [16, 17], [19, 23], [21, 27, 25], [28, 26, 31], [30, 34, 33], [32, 35, 36]]
56: [[37, 2, 29], [7, 5, 1], [3, 9, 4], [8, 18, 14], [24, 22], [6, 15], [10, 11, 12], [13, 20], [16, 17], [19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
57: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24], [22, 6], [15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28], [26, 31, 30, 34, 33, 32, 35, 36]]
58: [[37, 2], [29, 7], [5, 1, 3], [9, 4, 8], [18, 14], [24, 22], [6, 15, 10], [11, 12], [13, 20], [16, 17], [19, 23, 21], [27, 25, 28], [26, 31, 30], [34, 33, 32], [35, 36]]
59: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8], [18, 14], [24, 22], [6, 15, 10], [11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28], [26, 31, 30, 34, 33, 32, 35, 36]]
60: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24], [22, 6], [15, 10], [11, 12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31, 30], [34, 33], [32, 35, 36]]
61: [[37, 2], [29, 7, 5], [1, 3, 9], [4, 8, 18, 14, 24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25], [28, 26, 31, 30, 34, 33, 32, 35, 36]]
62: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8], [18, 14], [24, 22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21], [27, 25, 28], [26, 31, 30], [34, 33, 32], [35, 36]]
63: [[37, 2], [29, 7, 5], [1, 3, 9, 4, 8, 18], [14, 24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31], [30, 34, 33, 32, 35, 36]]
64: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24], [22, 6, 15], [10, 11], [12, 13, 20], [16, 17, 19], [23, 21], [27, 25, 28], [26, 31, 30], [34, 33, 32], [35, 36]]
65: [[37, 2], [29, 7, 5, 1, 3, 9, 4], [8, 18, 14, 24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
66: [[37, 2], [29, 7], [5, 1, 3, 9], [4, 8, 18], [14, 24, 22], [6, 15], [10, 11, 12], [13, 20], [16, 17], [19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
67: [[37, 2], [29, 7], [5, 1], [3, 9, 4, 8, 18, 14, 24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
68: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15, 10], [11, 12], [13, 20], [16, 17, 19], [23, 21], [27, 25], [28, 26, 31], [30, 34, 33], [32, 35, 36]]
69: [[37, 2], [29, 7, 5], [1, 3, 9], [4, 8, 18], [14, 24], [22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
70: [[37, 2], [29, 7, 5], [1, 3], [9, 4, 8, 18, 14, 24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
71: [[37, 2], [29, 7], [5, 1, 3], [9, 4, 8], [18, 14], [24, 22, 6], [15, 10], [11, 12], [13, 20], [16, 17, 19], [23, 21], [27, 25, 28], [26, 31], [30, 34], [33, 32, 35, 36]]
72: [[37, 2], [29, 7, 5], [1, 3, 9, 4, 8, 18, 14, 24, 22, 6, 15, 10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
73: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24], [22, 6, 15], [10, 11, 12], [13, 20], [16, 17, 19], [23, 21], [27, 25], [28, 26, 31], [30, 34, 33], [32, 35, 36]]
