0: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8, 12], [15, 16, 13, 10, 14], [18, 19], [24, 28], [29, 20, 25], [21, 26, 27]]
18: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [12, 8, 15], [18, 14], [19, 16, 26], [20, 27, 24, 25, 21], [29, 28, 13, 10]]
19: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 15], [12, 14], [7, 8], [24, 13], [10, 18, 19], [16, 20, 28, 27, 25, 21, 26, 29]]
20: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11, 4], [7, 8, 13], [26, 14], [24, 15, 12], [18, 10, 28], [29, 19, 16, 20, 21, 27, 25]]
21: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 10], [13, 14, 29], [12, 21, 18, 15, 24, 16, 27, 20, 28, 25, 26, 19]]
22: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11], [4, 7, 8, 10, 29, 14, 28, 12, 13, 19, 15, 16, 20, 25, 18, 21, 24, 26, 27]]
23: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [12, 13], [10, 8], [26, 14], [19, 18, 16], [24, 20, 25], [15, 21, 28], [27, 29]]
24: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11, 4, 7, 8, 12, 10, 13, 28, 14, 16, 18, 19, 15, 27, 20, 24, 25, 21], [26, 29]]
25: [[9, 17], [23, 22, 5, 6, 2, 1], [3, 11, 4], [7, 8, 13, 10, 15, 12], [14, 16, 19, 21, 20, 18, 25, 24, 26, 28, 27, 29]]
26: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12], [15, 13], [14, 10, 16], [18], [19, 24, 26, 28, 20, 25, 21, 27, 29]]
27: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11, 4, 7, 8, 12, 14, 29, 15, 10], [16, 18, 21, 13, 28, 24, 19, 25, 20, 26, 27]]
28: [[9, 17], [23, 22], [5, 6, 2], [1, 3, 11], [4, 7, 8, 12, 15, 25, 13, 10, 14, 18, 19, 24, 28, 29, 16, 20, 21, 26, 27]]
29: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12, 14], [13, 10], [15, 16, 18], [24, 27, 19, 29], [20, 26, 21, 28, 25]]
30: [[9, 17], [23, 22, 5, 6, 2, 1], [3, 11, 4, 7, 8, 15, 10, 12, 13, 14, 16, 25], [27, 20, 18, 29, 24, 21, 28, 26, 19]]
31: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12], [15, 25], [13, 14, 10], [19, 18], [24, 29, 21], [20, 16], [28, 26, 27]]
32: [[9, 17, 23], [22, 5, 6], [2, 1], [3, 11, 4], [7, 8, 12], [15, 10, 16, 13, 24, 18, 19, 14, 28, 25, 20, 26, 21, 27, 29]]
33: [[9, 17, 23, 22, 5, 6, 2, 1], [3, 11, 4, 7, 8, 10, 13, 15, 24, 12, 14, 18, 26], [25, 16, 27, 19, 20, 29, 21, 28]]
34: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12, 15], [28, 10], [19, 24], [18, 13], [14, 16], [29, 20, 27], [21, 26, 25]]
35: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 13, 10], [12, 14, 15], [18, 19, 25, 24, 16, 29, 20, 26, 21, 27, 28]]
36: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12], [13, 14, 28], [10, 15], [19, 18], [26, 20, 25], [16, 29, 21], [27, 24]]
37: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8], [12, 14], [15, 10], [26, 13, 19, 18, 24, 16, 29, 20, 25, 21, 28, 27]]
38: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11, 4], [7, 8], [12, 13], [10, 24, 15], [14, 18, 19], [26, 20, 25, 16, 27, 21, 28, 29]]
39: [[9, 17, 23], [22], [5, 6, 2, 1, 3, 11, 4, 7, 8, 10, 29, 14, 28, 12, 13, 19, 15, 16, 20], [25, 18, 21, 24, 26, 27]]
40: [[9, 17], [23, 22], [5, 6, 2, 1, 3], [11, 4, 7, 8, 13, 14, 10, 12, 15, 19, 18, 21], [24, 16, 28, 20, 25, 27, 26, 29]]
41: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 10, 29], [14], [28, 12, 13, 19, 15, 16, 20, 25, 18, 21, 24, 26, 27]]
42: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12], [10, 28], [29, 13], [14, 18, 15], [24, 25, 27], [20, 16], [21, 19, 26]]
43: [[9, 17], [23, 22, 5], [6, 2, 1, 3, 11, 4, 7, 8, 12, 10, 15, 16, 14, 18, 19, 26, 24, 13, 21, 20, 25, 28, 27, 29]]
44: [[9, 17], [23, 22, 5], [6, 2, 1, 3, 11, 4, 7, 8, 12, 10, 15, 16, 14, 18, 19, 26, 24, 13, 21, 20, 25, 28, 27, 29]]
45: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11, 4], [7, 8], [12, 13], [10, 14, 15], [26, 27], [18, 16], [19, 28, 20], [25, 21, 29, 24]]
46: [[9, 17], [23, 22], [5, 6, 2, 1, 3, 11], [4, 7, 8], [15, 12, 18, 13, 10, 14], [19, 16, 20, 25, 21, 24, 27, 28, 26, 29]]
47: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11, 4], [7, 12], [14, 15], [10, 28], [26, 8], [19, 16], [13, 18, 24], [20, 21], [27, 25, 29]]
48: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 12], [8, 13], [15, 24], [28, 26], [10, 21], [16, 20, 18, 19, 27], [25, 29, 14]]
49: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11], [4, 7], [8, 14, 26], [28, 10], [13, 12], [19, 15, 16], [20, 25, 18, 29, 21, 24, 27]]
50: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12], [10, 24], [13, 15, 14], [18, 27], [25, 16], [19, 20, 26, 21, 28, 29]]
51: [[9, 17, 23], [22, 5, 6, 2, 1, 3, 11, 4, 7], [8, 12, 10, 13, 27, 14, 15, 18, 25, 28, 16, 24, 19, 29, 21, 20, 26]]
52: [[9, 17, 23], [22, 5], [6, 2, 1], [3, 11, 4], [7, 8], [14, 12], [13, 26], [10, 16, 18], [15, 19], [20], [28, 24, 25], [21, 27, 29]]
53: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11, 4, 7], [8, 10], [15, 12], [13, 14, 19, 18, 26, 24, 28, 21], [16, 20, 25, 29, 27]]
54: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11, 4], [7, 8, 13], [10, 15], [24, 14], [12, 18], [27, 19], [21, 16], [26, 20, 28], [29, 25]]
55: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11, 4], [7, 8, 12], [26, 14], [28, 15], [10, 18, 13], [24, 16, 19, 20, 25, 21, 27, 29]]
56: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12, 14], [10, 13], [20, 19, 15], [16, 24, 18, 25, 21, 29, 26], [27, 28]]
57: [[9, 17], [23, 22, 5], [6, 2], [1, 3], [11, 4], [7, 8], [12, 10], [13, 14], [15, 24, 18], [27, 16, 28], [29, 20, 25], [21, 19, 26]]
58: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [12, 15], [14, 8], [27, 10, 19], [24, 16, 13], [20, 29], [18, 21, 28, 26, 25]]
59: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 14], [29, 12], [20, 10], [15, 19], [13, 24], [16, 18, 26, 21], [25, 28, 27]]
