0: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
18: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
19: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
20: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
21: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
22: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
23: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
24: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
25: [[7, 16, 11, 13], [20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
26: [[7, 16, 11, 13], [20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
27: [[7, 16, 11, 13], [20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
28: [[7, 16, 11], [13, 20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
29: [[7, 16, 11], [13, 20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
30: [[7, 16, 11], [13, 20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
31: [[7, 16, 11, 13], [20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
32: [[7, 16, 11, 13], [20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
33: [[7, 16, 11, 13], [20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
34: [[7, 16, 11, 13], [20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
35: [[7, 16, 11, 13], [20, 2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
36: [[7, 16, 11], [13, 20, 2], [1, 3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
37: [[7, 16, 11], [13, 20, 2], [1, 3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
38: [[7, 16, 11, 13, 20], [2, 1, 3], [4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
39: [[7, 16], [11, 13, 20], [2, 1, 3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
40: [[7, 16], [11, 13, 20, 2], [1, 3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
41: [[7, 16], [11, 13, 20, 2], [1, 3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
42: [[7, 16], [11, 13, 20, 2], [1, 3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
43: [[7, 16], [11, 13, 20, 2], [1, 3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
44: [[7, 16, 11], [13, 20, 2, 1, 3], [4, 5, 6, 12, 8, 9], [10, 14], [15, 18], [19, 17], [21, 23], [22, 24]]
45: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12, 8], [9, 10], [14, 15], [18, 19], [17, 21], [23, 22, 24]]
46: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12, 8], [9, 10], [14, 15], [18, 19], [17, 21], [23, 22, 24]]
47: [[7, 16, 11], [13, 20, 2, 1, 3], [4, 5, 6, 12, 8], [9, 10], [14, 15], [18, 19], [17, 21], [23, 22, 24]]
48: [[7, 16, 11, 13], [20, 2, 1, 3], [4, 5, 6, 12, 8], [9, 10], [14, 15], [18, 19], [17, 21], [23, 22, 24]]
49: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6], [12, 8], [9, 10], [14, 15], [18, 19], [17, 21, 23, 22, 24]]
