0: [[2], [24, 23], [16, 3], [13, 1], [6, 7, 11], [4, 8, 15, 10, 19, 18, 14, 12, 20], [22, 17, 21, 5, 9]]
17: [[2], [24, 23], [16, 3, 13], [1, 6, 9], [7, 4, 5, 11], [8, 15, 10, 19, 18], [14, 12, 20, 22, 17, 21]]
18: [[2], [24, 23], [16, 3, 13], [1, 6, 5, 9], [7, 4, 8, 15, 10, 19, 11], [18, 14, 12, 20, 22, 17, 21]]
19: [[2, 5], [24, 23], [3, 13, 1, 16], [6, 7, 4, 8, 15, 10, 19, 18, 14, 12, 11], [20, 22], [17, 21, 9]]
20: [[2, 5], [24, 23], [3, 13, 1, 16], [6, 7, 4, 8, 15, 10, 19, 18, 14, 12, 11], [20, 22], [17, 21, 9]]
21: [[2], [24, 23], [9], [3, 16], [13, 1, 6, 7, 4, 8, 15, 10, 11], [19, 18, 14, 12, 20, 22], [17, 21, 5]]
22: [[2, 5], [24, 23], [11, 9, 1], [16, 3, 13, 7, 4, 8, 15, 10, 19, 18, 14, 12, 20, 22, 6], [17, 21]]
23: [[2, 5], [24, 23], [11, 9, 16, 3, 13, 1, 6, 7, 4, 8, 15, 10, 19, 18], [14, 12, 20, 22, 17, 21]]
24: [[2], [24, 23], [9], [3, 13, 16], [1, 6, 7, 4, 8, 15, 5, 11], [10, 19, 18, 14, 12, 20], [22, 17, 21]]
25: [[2, 5], [24, 23], [11, 9, 16, 3, 13, 1, 6, 7, 4, 8, 15, 10, 19, 18], [14, 12, 20, 22, 17, 21]]
26: [[2], [24, 23], [9, 3, 16], [13, 1, 6, 7, 4, 8, 15, 10, 5, 11], [19, 18, 14, 12], [20, 22, 17, 21]]
27: [[2], [24, 23], [9, 3, 16], [13, 1, 6, 7, 4, 8, 15, 10, 5, 11], [19, 18, 14, 12], [20, 22, 17, 21]]
28: [[2], [24, 23], [3, 16], [13, 1, 9], [6, 7, 11], [4, 8, 5], [15, 10], [19, 18, 14, 12], [20, 22], [17, 21]]
29: [[2, 5], [24, 23], [9], [3, 13, 16, 1], [6, 7, 4, 8, 15, 10, 19, 18, 14, 12, 11], [20, 22], [17, 21]]
30: [[2], [24, 23], [9], [3, 13, 16], [1, 6, 7, 4, 8, 5, 11], [15, 10, 19, 18, 14, 12, 20], [22, 17, 21]]
31: [[2, 5], [24, 23], [11, 9, 16, 3, 13, 1, 6], [7, 4, 8], [15, 10, 19, 18, 14, 12, 20, 22, 17, 21]]
32: [[2], [24, 23], [16, 3, 13], [1, 6, 11, 9], [7, 4, 8, 15, 5], [10, 19], [18, 14], [12, 20, 22, 17, 21]]
33: [[2, 5], [24, 23], [9], [13, 1, 6, 7, 4, 8, 11, 16], [15, 10, 19, 18, 3], [14, 12, 20, 22, 17, 21]]
34: [[2], [24, 23], [9], [3, 16], [13, 1, 6, 7, 4, 8, 15, 10, 11], [19, 18], [14, 12, 20], [22, 17, 21, 5]]
35: [[2], [24, 23], [16], [3, 13], [1, 6, 9], [7, 4, 5, 11], [8, 15, 10, 19, 18, 14, 12], [20, 22, 17, 21]]
36: [[2], [24, 23], [16, 3], [13, 1], [6, 7, 11], [4, 8, 5], [15, 10], [19, 18, 14], [12, 20, 22], [17, 21, 9]]
37: [[2], [24, 23], [9], [3, 13, 1, 6, 7, 4, 8, 15, 11, 16], [10, 19, 18], [14, 12], [20, 22, 17, 5], [21]]
38: [[2], [24, 23], [16], [3, 13], [1, 6, 9], [7, 4, 11], [8, 15, 10, 19, 18], [14, 12, 20, 22], [17, 21, 5]]
39: [[2, 5], [24, 23], [3, 13, 1, 16], [6, 7, 4, 8, 11, 9], [15, 10], [19, 18, 14], [12, 20, 22, 17, 21]]
40: [[2], [24, 23, 9], [3, 16], [13, 1, 6, 7, 4, 8, 15, 5, 11], [10, 19], [18, 14, 12], [20, 22, 17, 21]]
41: [[2, 5, 24, 23, 11], [9, 16, 3, 13, 1, 6, 7, 4, 8, 15, 10, 19, 18, 14, 12], [20, 22, 17, 21]]
42: [[2, 5], [24, 23, 11, 9], [16, 3, 13, 7, 4, 8, 15, 10, 19, 18, 14, 12, 1, 6], [20, 22, 17, 21]]
43: [[2, 5], [24, 23, 11, 9, 16, 3, 13, 1, 6], [7, 4, 8, 15, 10, 19, 18], [14, 12, 20, 22, 17, 21]]
44: [[2, 5], [24, 23, 11, 9, 16, 3, 13, 1], [6, 7, 4, 8, 15, 10, 19, 18, 14, 12, 20, 22, 17, 21]]
45: [[2, 5], [24, 23, 11, 9, 16, 3, 13, 1, 6, 7, 4, 8, 15, 10, 19], [18, 14, 12, 20, 22, 17, 21]]
46: [[2], [24, 23, 9, 16, 3, 13], [1, 6, 7, 4, 8, 15, 10, 19, 11], [18, 14, 12, 20], [22, 17, 21, 5]]
47: [[2, 5], [24, 23, 11, 9, 16], [3, 13, 1, 6, 7, 4, 8, 15, 10, 19, 18, 14, 12, 20, 22, 17, 21]]
48: [[2, 5, 24], [23, 11, 9, 16, 3, 13, 1, 6, 7, 4, 8, 15, 10, 19, 18, 14, 12, 20, 22], [17, 21]]
49: [[2, 5], [24, 23, 11, 9, 16, 3, 13, 1, 6, 7, 4, 8, 15, 10, 19, 18, 14, 12, 20, 22, 17], [21]]
