0: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6], [11, 9, 10, 15, 16, 24, 13, 14, 17, 18], [20, 22, 23, 29, 25, 28], [21, 27, 26]]
14: [[4, 3], [19, 1, 2, 7, 8, 5, 6, 11], [9, 12, 25, 10, 23, 13, 15, 16, 14, 17], [18, 21, 20, 28, 22, 24], [26, 27, 29]]
15: [[4, 3], [19, 1, 2, 7, 8, 14, 5, 6, 11, 9], [10, 12, 13, 15, 24, 16, 29, 21], [18, 20, 17, 22, 23, 25], [27, 26, 28]]
16: [[4, 3, 19, 1, 2, 7, 8, 10], [5, 6], [11, 9, 13, 14, 26, 29, 28, 12, 21, 20], [27, 15, 18, 16, 17, 25], [22, 23, 24]]
17: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6], [11, 9, 13, 10, 15, 17, 18, 16, 20, 21], [22, 14, 23, 26, 24, 25], [27, 29, 28]]
18: [[4, 3, 19, 1, 2, 7, 12, 14, 5, 6], [11, 15], [9, 10, 8, 13, 21, 28, 16, 20], [22, 17, 23, 18, 25, 24], [26, 27, 29]]
19: [[4, 3], [19, 1, 2, 7, 9, 13], [5, 14, 11, 15, 6, 8, 28, 21, 18, 22], [12, 10, 20, 17, 24, 16, 23, 29], [27, 26, 25]]
20: [[4, 3], [19, 1, 2, 7, 8, 10, 5, 6], [9, 11, 12, 13, 15, 14], [21, 16, 29, 17, 18, 20, 22, 24, 23, 25], [27, 26, 28]]
21: [[4, 3, 19, 1, 2, 7, 8, 9, 5, 11], [6, 14, 10, 13, 17, 15], [12, 20], [25, 21, 23, 22, 16, 24, 18, 28], [26, 27, 29]]
22: [[4, 3, 19, 1, 2, 7, 12, 6, 5, 8], [9, 15, 10, 17, 11, 13], [14, 18, 16, 22, 26, 23, 20, 21], [29, 25], [24, 27, 28]]
23: [[4, 3, 19, 1, 2, 7, 8, 14, 5, 9], [11, 6, 15, 29, 24, 12, 10, 13], [17, 16], [20, 22, 21, 18, 23, 25], [27, 26, 28]]
24: [[4, 3, 19, 1, 2, 7, 8, 12, 5, 6], [11, 9], [13, 10, 18, 29, 14, 16, 21, 20], [15, 17, 23, 22, 28, 24], [27, 25, 26]]
25: [[4, 3, 19, 1, 2, 7, 8, 11], [5, 14], [9, 12, 10, 13, 25, 15, 6, 20, 21, 23], [16, 17, 18, 22, 28, 24], [27, 26, 29]]
26: [[4, 3, 19, 1, 2, 7, 8, 13, 5], [10, 6], [12, 11, 9, 18], [14, 15, 16, 21, 17, 23, 20, 22, 24, 25, 28], [26, 27, 29]]
27: [[4, 3, 19, 1, 2, 7, 8, 6, 5, 14], [11, 9, 10, 13, 23, 12, 15, 16], [28, 17], [18, 20, 21, 22, 24, 25], [27, 26, 29]]
28: [[4, 3, 19, 1, 2, 7, 12, 6], [5, 14], [11, 10, 8, 13, 17, 9], [15, 16, 24, 22, 23, 20, 18, 21, 29, 25], [27, 26, 28]]
29: [[4, 3, 19, 1, 2, 7, 12, 6], [5, 14], [11, 10, 8, 13, 17, 9], [15, 16, 24, 22, 23, 20, 18, 21, 29, 25], [27, 26, 28]]
30: [[4, 3], [19, 1, 2, 7, 8, 14, 5, 6], [9, 13, 10, 11, 23, 29, 12, 21, 20, 15], [18, 16, 17, 22, 24, 25], [27, 26, 28]]
31: [[4, 3, 19, 1, 2, 7], [8, 13, 5, 6, 11, 9, 14, 24, 22, 12], [15, 16, 17, 10, 21, 18, 28, 20], [23, 29], [27, 26, 25]]
32: [[4, 3, 19, 1, 2, 7, 8, 14], [5, 6], [11, 15, 9, 13, 10, 12], [25, 18, 16, 22, 17, 23, 20, 21, 24, 27], [26, 29, 28]]
33: [[4, 3], [19, 1, 2, 7, 12, 6, 5, 10], [11, 9, 8, 14, 23, 15], [13, 17, 16, 18, 21, 20, 24, 22, 29, 25], [27, 26, 28]]
34: [[4, 3], [19, 1, 2, 7, 8, 12, 5, 6], [9, 11, 10, 13, 20, 29], [14, 26, 27, 22, 18, 23, 15, 16, 21, 25], [17, 28, 24]]
35: [[4, 3, 19, 1, 2, 7], [8, 9, 5, 6, 11, 10, 13, 29, 12, 24], [15, 14], [17, 16, 20, 22, 23, 18, 21, 28], [25, 26, 27]]
36: [[4, 3, 19, 1, 2, 7], [8, 10], [5, 6, 11, 9, 12, 14, 16, 13], [15, 17, 21, 20, 18, 23, 22, 25, 28, 24], [27, 26, 29]]
37: [[4, 3], [19, 1, 2, 7, 8, 12], [5, 6, 11, 9, 15, 10, 13, 14, 18, 17], [16, 23, 22, 27, 21, 20, 24, 25], [26, 29, 28]]
38: [[4, 3], [19, 1, 2, 7, 8, 11, 5, 6], [13, 9, 24, 29, 10, 12, 14, 28, 21, 16], [20, 18, 15, 22, 17, 25], [27, 26, 23]]
39: [[4, 3], [19, 1, 2, 7, 8, 11, 5, 14], [9, 13, 29, 15, 10, 12], [6, 16, 21, 23, 20, 17, 18, 22, 26, 25], [27, 24, 28]]
40: [[4, 3, 19, 1, 2, 7, 8, 14], [5, 6, 9, 13, 10, 21, 23], [11, 12, 20, 16, 22, 15, 25, 17, 18], [29, 28], [27, 26, 24]]
41: [[4, 3, 19, 1, 2, 7, 8, 12, 5, 6], [11, 9], [15, 18, 27, 13, 10, 17, 21, 16], [22, 14, 23, 24, 20, 25], [26, 29, 28]]
42: [[4, 3], [19, 1, 2, 7, 8, 6, 5, 14], [9, 12, 10, 25, 23, 15, 11, 20, 18, 13], [17, 21, 16, 22, 29, 28], [27, 26, 24]]
43: [[4, 3, 19, 1, 2, 7, 8, 5], [6, 10], [11, 12, 9, 14, 17, 13, 15, 16, 18, 20], [22, 21, 23, 28, 24, 26], [25, 27, 29]]
44: [[4, 3, 19, 1, 2, 7], [8, 12, 5, 6, 11, 13, 9, 14], [16, 24], [10, 15, 17, 18, 21, 25, 23, 20, 29, 22], [27, 28, 26]]
45: [[4, 3], [19, 1, 2, 7, 8, 6], [5, 10, 11, 13, 27, 9, 18, 12], [15, 14, 23, 16, 17, 21, 22, 20, 26, 24], [28, 25, 29]]
46: [[4, 3], [19, 1, 2, 7, 8, 12, 5, 6], [11, 9, 15, 10, 13, 29, 14, 22, 21, 20], [16, 17, 18, 23, 24, 26], [27, 25, 28]]
47: [[4, 3, 19, 1, 2, 7], [12, 6, 5, 8, 9, 15, 10, 17], [11, 13], [14, 18, 16, 22, 26, 23, 20, 21, 29, 25], [24, 27, 28]]
48: [[4, 3, 19, 1, 2, 7], [12, 14], [5, 8, 11, 15, 6, 29, 10, 13, 9, 18], [16, 22, 17, 23, 20, 21, 24, 25], [27, 26, 28]]
49: [[4, 3, 19, 1, 2, 7, 8, 15], [5, 14], [9, 6, 13, 11, 20, 16, 17, 23, 10, 12], [21, 26, 18, 22, 24, 25], [27, 28, 29]]
50: [[4, 3, 19, 1, 2, 7], [8, 12, 5, 6, 11, 9, 15, 10, 13, 28], [17, 18], [21, 16, 22, 14, 23, 20, 25, 26], [29, 27, 24]]
51: [[4, 3, 19, 1, 2, 7], [8, 12, 5, 6, 11, 9, 14, 15, 27, 29], [10, 17], [21, 16, 13, 18, 20, 26, 25, 22], [23, 24, 28]]
52: [[4, 3, 19, 1, 2, 7, 8, 6, 5, 11], [9, 13, 14, 29, 12, 15, 16, 10], [17, 20], [18, 22, 21, 23, 26, 25], [24, 27, 28]]
53: [[4, 3, 19, 1, 2, 7, 8, 13], [5, 6, 12, 10, 11, 9], [26, 14, 15, 16, 21, 25, 17, 23, 22, 18], [20, 24], [27, 28, 29]]
54: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6, 9, 13, 26, 10, 23], [11, 15, 16, 24, 22, 14, 21, 17, 28], [18, 20], [27, 25, 29]]
55: [[4, 3, 19, 1, 2, 7, 8, 5], [6, 14, 11, 27, 10, 13, 9, 12, 15, 22], [17, 16], [21, 18, 20, 28, 23, 25], [24, 26, 29]]
56: [[4, 3, 19, 1, 2, 7, 12, 14, 5, 6], [11, 15], [13, 8, 9, 29, 10, 16, 20, 22], [26, 17, 18, 21, 28, 25], [24, 27, 23]]
57: [[4, 3, 19, 1, 2, 7, 8, 12, 5, 14], [13, 6, 26, 9, 10, 11, 27, 16], [15, 18], [22, 20, 17, 24, 21, 28], [23, 25, 29]]
58: [[4, 3, 19, 1, 2, 7, 12, 14], [5, 8], [11, 6, 10, 21, 9, 13], [15, 17, 16, 18, 26, 23, 20, 22, 24, 25], [29, 27, 28]]
59: [[4, 3, 19, 1, 2, 7], [8, 9, 5, 10, 11, 12, 13, 29, 15, 28], [6, 27], [17, 16, 23, 20, 21, 14, 25, 18], [22, 24, 26]]
