0: [[24, 2, 22, 4], [3, 1, 37], [5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14], [9, 17], [20, 27, 21], [16, 19, 23], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36]]
33: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23, 16], [19, 21, 25], [26, 28, 31, 30, 32, 33, 35, 34, 36]]
34: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14], [9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
35: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
36: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
37: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
38: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
39: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
40: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
41: [[24, 2, 22], [4, 3, 1], [37, 5], [11, 7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
42: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
43: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34], [36]]
44: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16, 19], [21, 25, 26], [28, 31, 30, 32], [33, 35, 34, 36]]
45: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16], [19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
46: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
47: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23, 16, 19, 21, 25, 26], [28, 31, 30, 32, 33, 35, 34, 36]]
48: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23, 16, 19, 21, 25, 26], [28, 31, 30, 32, 33, 35, 34, 36]]
49: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23, 16, 19, 21, 25, 26], [28, 31, 30, 32, 33, 35, 34, 36]]
50: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16, 19], [21, 25, 26], [28, 31, 30], [32, 33, 35], [34, 36]]
51: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8, 15], [13, 10, 14, 9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
52: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6], [12, 8, 15, 13, 10, 14, 9, 17, 20, 27, 23, 16], [19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
53: [[24, 2], [22, 4, 3], [1, 37, 5], [11, 7, 18], [29, 6], [12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
54: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
55: [[24, 2], [22, 4], [3, 1, 37], [5, 11, 7], [18, 29, 6], [12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
56: [[24, 2, 22, 4], [3, 1, 37], [5, 11, 7], [18, 29, 6], [12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16], [19], [21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
57: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10, 14], [9, 17, 20], [27, 23], [16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35], [34, 36]]
58: [[24, 2, 22, 4], [3, 1, 37], [5, 11, 7], [18, 29, 6], [12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16], [19], [21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
59: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6], [12, 8], [15, 13, 10], [14, 9, 17], [20, 27], [23, 16, 19], [21, 25, 26], [28, 31, 30], [32], [33, 35, 34, 36]]
60: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10, 14], [9, 17, 20], [27, 23, 16], [19, 21, 25], [26], [28, 31, 30, 32, 33, 35, 34, 36]]
61: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17, 20], [27, 23, 16], [19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
62: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25], [26, 28, 31, 30, 32, 33, 35, 34, 36]]
63: [[24, 2, 22], [4, 3, 1], [37, 5, 11, 7], [18, 29, 6], [12, 8, 15], [13, 10, 14], [9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34], [36]]
64: [[24, 2, 22], [4, 3, 1], [37, 5], [11, 7, 18], [29, 6, 12], [8, 15, 13], [10, 14], [9, 17, 20, 27], [21, 16, 19, 23], [25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
65: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14], [9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
66: [[24, 2, 22, 4], [3, 1, 37], [5, 11, 7], [18, 29, 6], [12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23], [16, 19, 21], [25, 26], [28, 31, 30], [32, 33, 35], [34, 36]]
67: [[24, 2, 22], [4, 3, 1], [37, 5, 11, 7, 18, 29, 6, 12, 8, 15, 13, 10, 14, 9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
68: [[24, 2, 22, 4], [3, 1, 37], [5, 11, 7], [18, 29, 6], [12, 8, 15], [13, 10, 14], [9], [17, 20, 27, 21, 16, 19, 23, 25, 26, 28, 31, 30, 32, 33, 35], [34, 36]]
69: [[24, 2, 22, 4], [3, 1, 37], [5, 11, 7, 18], [29, 6, 12], [8, 15, 13, 10, 14, 9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
70: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14], [9, 17, 20, 27, 21, 16, 19, 23, 25, 26, 28, 31, 30, 32, 33], [35, 34, 36]]
71: [[24, 2, 22], [4, 3, 1], [37, 5], [11], [7, 18, 29], [6, 12, 8], [15, 13, 10, 14], [9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33], [35, 34, 36]]
72: [[24, 2, 22], [4, 3], [1, 37, 5], [11, 7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
73: [[24, 2], [22, 4, 3], [1, 37, 5], [11, 7, 18], [29, 6, 12, 8, 15, 13, 10, 14], [9, 17, 20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32, 33, 35, 34, 36]]
