0: [[5, 37, 8, 3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11], [14, 18, 10], [15], [22, 24, 29, 7], [17], [32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
13: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19], [21, 2, 35], [27, 20, 4], [9], [11, 14, 18, 10], [15], [22, 24, 29, 7], [17, 32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
14: [[5, 37, 8, 3], [6, 1, 12], [25, 26, 19], [21], [2, 35, 27, 20], [4, 9], [11, 14, 18, 10], [15], [22, 24, 29, 7, 17], [32, 33], [30, 31, 13, 23], [16, 34, 28, 36]]
15: [[5, 37, 8], [3, 6, 1], [12], [25, 26], [19, 21], [2, 35, 27], [20, 4], [9, 11, 14], [18, 10, 15, 22], [24, 29, 7, 17], [32, 33, 30, 31], [13, 23, 16, 34], [28], [36]]
16: [[5, 37, 8, 3, 6, 1], [12, 25, 26, 19], [21], [2, 35], [27, 20], [4, 9, 11, 14], [18, 10, 15], [22, 24, 29, 7], [17, 32], [33, 30, 31, 13], [23, 16, 34, 28, 36]]
17: [[5, 37, 8, 3], [6, 1, 12], [25, 26, 19, 21], [2, 35], [27, 20, 4], [9, 11, 14, 18, 10], [15, 22, 24, 29], [7, 17, 32, 33], [30, 31, 13, 23, 16, 34], [28, 36]]
18: [[5, 37], [8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11, 14], [18, 10, 15, 22], [24], [29, 7, 17], [32, 33, 30, 31], [13, 23, 16, 34], [28, 36]]
19: [[5, 37], [8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11, 14], [18, 10, 15, 22], [24], [29, 7, 17], [32, 33, 30, 31], [13, 23, 16, 34], [28, 36]]
20: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27], [20, 4, 9, 11], [14, 18], [10, 15, 22, 24], [29, 7, 17], [32, 33, 30, 31], [13, 23, 16, 34], [28], [36]]
21: [[5, 37, 8, 3], [6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11], [14, 18, 10], [15, 22, 24, 29], [7, 17, 32, 33], [30, 31, 13, 23], [16, 34, 28, 36]]
22: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35], [27, 20, 4, 9], [11, 14, 18], [10, 15, 22, 24], [29, 7], [17, 32, 33, 30, 31], [13, 23, 16, 34], [28, 36]]
23: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35], [27], [20, 4, 9, 11], [14, 18, 10, 15], [22, 24, 29], [7, 17, 32, 33], [30, 31, 13, 23, 16], [34, 28, 36]]
24: [[5, 37], [8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7], [17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
25: [[5, 37, 8, 3], [6, 1, 12], [25, 26], [19, 21], [2, 35, 27, 20], [4], [9, 11], [14, 18, 10, 15], [22, 24, 29, 7], [17, 32, 33, 30], [31, 13, 23], [16, 34], [28, 36]]
26: [[5, 37, 8], [3, 6, 1], [12, 25], [26, 19], [21, 2, 35, 27], [20, 4, 9], [11, 14], [18, 10, 15], [22, 24, 29, 7], [17], [32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
27: [[5, 37, 8, 3], [6, 1], [12, 25], [26, 19], [21, 2, 35, 27], [20, 4, 9], [11, 14], [18, 10, 15], [22, 24, 29, 7], [17], [32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
28: [[5, 37, 8], [3, 6, 1], [12, 25, 26, 19], [21, 2, 35, 27], [20, 4], [9, 11, 14, 18, 10, 15, 22, 24, 29], [7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28], [36]]
29: [[5, 37, 8], [3, 6], [1, 12], [25, 26, 19], [21, 2, 35, 27], [20, 4, 9, 11], [14, 18, 10, 15], [22, 24, 29, 7], [17, 32], [33, 30, 31], [13, 23, 16, 34], [28, 36]]
30: [[5, 37, 8], [3, 6, 1], [12, 25, 26, 19], [21, 2, 35, 27], [20, 4, 9], [11, 14, 18, 10], [15, 22, 24, 29, 7, 17, 32, 33], [30, 31, 13, 23, 16, 34, 28, 36]]
31: [[5, 37, 8, 3], [6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11, 14], [18, 10, 15], [22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
32: [[5, 37, 8], [3, 6, 1], [12], [25, 26], [19, 21, 2, 35], [27, 20], [4, 9, 11, 14], [18, 10, 15], [22, 24, 29, 7], [17, 32, 33], [30, 31, 13, 23], [16, 34, 28, 36]]
33: [[5, 37, 8, 3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20, 4, 9], [11], [14, 18, 10], [15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16], [34, 28, 36]]
34: [[5, 37, 8, 3], [6, 1], [12, 25, 26], [19, 21, 2, 35], [27, 20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7], [17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
35: [[5, 37, 8, 3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27], [20, 4, 9, 11, 14, 18], [10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
36: [[5, 37], [8, 3], [6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4], [9, 11, 14], [18, 10, 15, 22], [24, 29], [7, 17], [32, 33, 30], [31, 13], [23, 16, 34], [28, 36]]
37: [[5, 37], [8, 3, 6, 1], [12, 25, 26], [19], [21, 2, 35, 27], [20, 4, 9, 11], [14], [18, 10, 15, 22], [24, 29, 7, 17, 32], [33, 30, 31, 13, 23, 16], [34, 28], [36]]
38: [[5, 37, 8], [3, 6, 1], [12], [25, 26, 19, 21], [2], [35, 27, 20, 4], [9, 11, 14, 18, 10, 15], [22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
39: [[5, 37, 8], [3, 6, 1], [12], [25, 26, 19, 21], [2], [35, 27, 20, 4], [9, 11, 14, 18, 10, 15], [22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
40: [[5, 37, 8], [3, 6, 1], [12, 25, 26, 19], [21, 2, 35, 27], [20, 4], [9, 11, 14, 18, 10, 15], [22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23], [16, 34, 28, 36]]
41: [[5, 37, 8, 3], [6, 1, 12], [25, 26], [19, 21, 2, 35, 27], [20, 4, 9, 11, 14], [18], [10, 15, 22, 24], [29, 7, 17, 32, 33, 30], [31, 13, 23, 16, 34, 28, 36]]
42: [[5, 37, 8], [3, 6, 1], [12, 25, 26, 19, 21, 2, 35], [27, 20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7], [17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
43: [[5, 37], [8, 3, 6, 1], [12, 25, 26], [19, 21, 2, 35], [27, 20, 4, 9], [11, 14, 18, 10], [15, 22], [24, 29, 7, 17], [32], [33, 30, 31, 13], [23, 16, 34], [28, 36]]
44: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27], [20, 4], [9, 11, 14], [18, 10], [15, 22, 24], [29, 7, 17, 32], [33, 30], [31, 13, 23], [16, 34, 28, 36]]
45: [[5, 37, 8], [3, 6, 1], [12, 25, 26], [19, 21, 2, 35], [27, 20, 4, 9], [11, 14, 18, 10, 15, 22], [24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
46: [[5, 37, 8], [3, 6, 1], [12, 25, 26], [19, 21, 2], [35, 27, 20], [4, 9, 11, 14], [18, 10, 15, 22], [24, 29], [7, 17, 32], [33], [30, 31, 13], [23, 16, 34], [28, 36]]
47: [[5, 37, 8, 3], [6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20, 4, 9, 11, 14, 18, 10], [15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
48: [[5, 37, 8, 3, 6, 1, 12], [25, 26], [19, 21, 2, 35, 27, 20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
49: [[5, 37], [8, 3, 6], [1, 12, 25, 26], [19], [21, 2, 35, 27], [20, 4], [9, 11, 14, 18], [10, 15], [22, 24], [29, 7, 17], [32, 33, 30, 31], [13, 23], [16, 34, 28, 36]]
50: [[5, 37], [8, 3, 6, 1, 12, 25, 26], [19, 21, 2, 35], [27, 20, 4], [9, 11, 14, 18], [10, 15, 22, 24], [29, 7, 17], [32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
51: [[5, 37, 8, 3], [6, 1, 12], [25, 26], [19, 21, 2, 35, 27], [20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
52: [[5, 37, 8], [3, 6], [1, 12, 25, 26], [19, 21, 2, 35], [27], [20, 4, 9, 11], [14, 18, 10, 15], [22, 24, 29, 7], [17, 32, 33, 30], [31, 13, 23, 16], [34, 28, 36]]
53: [[5, 37, 8], [3, 6, 1, 12, 25, 26, 19], [21, 2, 35, 27], [20, 4, 9, 11, 14, 18], [10, 15, 22, 24, 29, 7, 17], [32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
54: [[5, 37, 8, 3, 6, 1, 12, 25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
55: [[5, 37], [8, 3, 6, 1], [12, 25, 26, 19], [21, 2], [35, 27, 20], [4, 9, 11, 14], [18, 10], [15, 22, 24], [29, 7, 17, 32], [33, 30, 31, 13, 23, 16, 34, 28, 36]]
56: [[5, 37, 8, 3], [6, 1, 12], [25, 26], [19, 21, 2, 35], [27, 20, 4, 9], [11], [14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
57: [[5, 37, 8, 3], [6, 1, 12], [25], [26, 19, 21], [2, 35, 27, 20, 4], [9, 11, 14, 18], [10], [15, 22, 24, 29, 7], [17, 32, 33], [30, 31], [13, 23, 16, 34, 28, 36]]
58: [[5, 37, 8, 3], [6, 1, 12], [25, 26, 19, 21, 2, 35, 27, 20, 4, 9, 11, 14, 18, 10, 15, 22], [24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
59: [[5, 37, 8, 3], [6, 1], [12, 25], [26, 19], [21, 2, 35, 27], [20, 4, 9, 11, 14, 18, 10, 15, 22], [24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
60: [[5, 37, 8, 3], [6, 1, 12, 25], [26, 19, 21, 2], [35, 27], [20, 4, 9], [11, 14], [18, 10, 15], [22, 24, 29, 7], [17, 32, 33], [30, 31, 13], [23, 16, 34, 28, 36]]
61: [[5, 37, 8, 3], [6, 1], [12, 25, 26], [19, 21, 2, 35], [27, 20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
62: [[5, 37, 8, 3], [6, 1, 12], [25], [26, 19, 21], [2, 35, 27], [20, 4, 9, 11], [14], [18, 10, 15, 22], [24], [29, 7, 17, 32], [33, 30, 31, 13], [23], [16, 34, 28, 36]]
63: [[5, 37, 8], [3, 6, 1, 12], [25, 26], [19, 21, 2, 35], [27, 20, 4, 9], [11, 14, 18, 10], [15, 22, 24], [29], [7, 17, 32, 33], [30, 31], [13, 23], [16, 34, 28, 36]]
64: [[5, 37], [8, 3, 6], [1, 12, 25, 26], [19, 21, 2, 35], [27, 20], [4, 9, 11, 14], [18, 10, 15, 22], [24, 29, 7, 17], [32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
65: [[5, 37, 8], [3, 6], [1], [12, 25], [26, 19, 21], [2, 35, 27], [20, 4, 9], [11, 14, 18], [10, 15], [22], [24, 29, 7], [17, 32, 33, 30], [31, 13, 23, 16], [34, 28, 36]]
66: [[5, 37, 8], [3, 6, 1], [12, 25, 26, 19, 21, 2, 35, 27], [20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23], [16, 34, 28, 36]]
67: [[5, 37, 8, 3], [6, 1, 12, 25], [26, 19, 21, 2], [35, 27, 20, 4], [9, 11, 14], [18, 10, 15, 22], [24, 29, 7, 17, 32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
68: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21, 2, 35], [27, 20, 4, 9, 11, 14, 18], [10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23], [16, 34, 28, 36]]
69: [[5, 37, 8, 3, 6, 1, 12], [25], [26, 19, 21, 2], [35, 27], [20, 4, 9, 11], [14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
70: [[5, 37, 8], [3, 6, 1], [12, 25, 26, 19], [21, 2, 35], [27, 20, 4], [9, 11, 14], [18], [10, 15, 22, 24], [29], [7, 17, 32, 33], [30, 31, 13, 23, 16], [34, 28, 36]]
71: [[5, 37, 8], [3, 6, 1], [12, 25], [26, 19, 21, 2, 35, 27, 20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
72: [[5, 37, 8], [3, 6, 1], [12], [25], [26, 19], [21, 2], [35, 27, 20], [4, 9, 11, 14], [18], [10, 15], [22, 24, 29, 7], [17, 32, 33], [30], [31, 13, 23, 16], [34, 28, 36]]
73: [[5, 37, 8, 3], [6, 1, 12, 25], [26, 19], [21, 2, 35, 27, 20, 4, 9, 11, 14, 18, 10, 15, 22, 24, 29, 7, 17, 32, 33, 30, 31, 13, 23, 16, 34, 28, 36]]
