0: [[1, 2, 35, 7], [3, 4], [13, 21, 6], [9, 27, 8, 15, 5, 24, 29, 22, 30, 14, 11, 12, 17, 16, 28, 19, 18, 10], [20, 23, 25, 56, 31, 26, 33, 32, 40, 34], [50, 36, 39, 47, 37], [43, 45, 42, 46, 44, 38, 41, 58, 55], [48, 51, 53, 54, 52], [57, 49, 59, 60]]
16: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 27, 8], [10, 11, 26, 12, 9, 19, 15, 14, 16, 28, 17, 18, 20, 22], [23, 24, 30, 25, 29, 31, 44, 38, 32, 36, 39], [41, 33, 37, 34, 43], [40, 42, 47, 59], [45, 56, 51, 48, 55, 53, 49, 46, 50, 54, 52, 57], [58, 60]]
17: [[1, 2, 35, 7], [3, 4], [13, 5, 21, 6], [14, 28, 8, 11, 9, 31, 12, 10], [24, 15, 19, 27, 16, 17, 22, 20, 23, 25, 29, 48, 26, 30, 33, 42, 58, 32, 38, 34, 45, 36, 40, 37, 41, 44, 57, 47, 39, 43, 46, 50, 51, 18], [52, 54, 53, 55], [56, 49, 59, 60]]
18: [[1, 2, 35, 7], [3, 4], [13, 21, 6, 11, 26, 8, 5, 10, 30, 28], [9, 12, 15, 16, 19, 14, 23, 24, 18, 20, 29, 25], [17, 22, 27, 31, 36, 42], [45, 39, 33, 41, 32, 43, 37, 44, 40, 38, 47, 48, 46, 52, 53, 34, 50], [49, 51, 55, 54, 56, 57], [58, 60, 59]]
19: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 14], [31, 9, 10, 8, 11, 15, 23, 17, 6, 18, 16, 12, 19, 26, 24], [20, 22, 25, 30, 27, 56, 28, 41, 29, 34, 32, 38, 54, 39, 47, 36], [37, 42, 40, 46, 43, 44, 55, 60, 50, 33, 45, 53, 48], [49, 52, 51, 59, 57, 58]]
20: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6], [31, 8, 10, 9, 27, 14, 30, 15, 11, 22, 16, 17, 19, 20, 23, 12, 18, 24, 26, 25, 28, 29, 54, 32, 33, 38, 44, 41, 34, 36, 37, 47, 40, 42, 43, 39, 45, 56, 49, 48, 46, 52, 50, 55, 59, 51, 58, 53, 60, 57]]
21: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [31, 8, 11, 15, 9, 12, 24, 10, 22, 18, 17, 14], [16, 19, 26, 27, 20, 25], [23, 29, 28, 30, 36, 32, 33, 44, 42, 39, 34, 46], [37, 47, 41], [40, 43, 45, 48], [38, 49, 50, 51, 52, 53, 54, 56, 59, 60, 58, 57, 55]]
22: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6], [30, 8, 9, 10, 12, 11, 15, 19, 14, 17, 16, 31, 20, 26, 18, 22, 23, 27, 25, 24, 28, 44, 42, 33, 32, 34, 29, 54, 39, 38, 45, 37, 41, 40, 58, 36, 43, 46, 48, 53, 49, 47, 50, 51, 52, 55, 57, 56, 59, 60]]
23: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 14, 31, 9], [8, 6, 12, 10, 11, 20, 22, 23, 18, 15, 16, 26, 24, 19], [27, 17, 30, 25, 28, 29, 32, 36, 38, 40, 34, 52, 37, 41, 45], [39, 42, 43, 44, 33, 46], [56, 58, 51, 47, 49, 55, 48, 53, 54, 59, 50, 60, 57]]
24: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 8, 9, 11, 14, 16], [10, 12, 22, 15, 20, 31, 17, 19, 27, 23, 26, 30, 24, 18, 25, 29, 28, 45, 32, 44, 41, 42], [34, 36, 47, 33, 38, 37, 39, 43, 40, 52, 58, 53, 60, 46, 49, 50, 48, 59, 54, 57, 55, 51, 56]]
25: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [12, 8, 9, 26, 14, 30, 10, 15, 29, 17, 19], [16, 11, 22, 20, 23, 24, 27, 25, 28, 31, 38], [42, 33, 53, 32, 43, 39, 41, 36], [45, 50], [47, 51, 59, 37, 54], [40, 52, 46, 44, 55, 34, 18, 60, 49, 58, 56, 48, 57]]
26: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 14, 8, 10, 15], [11, 9, 16, 17, 12, 18, 22, 20, 23, 27, 28, 26, 19, 24, 30, 25, 29, 53, 48, 32, 31, 36, 46, 40, 44, 37, 43, 39, 33, 34], [38, 41, 42, 45], [50, 52, 49, 47, 51, 54, 57, 55, 58, 56, 59, 60]]
27: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [30, 8, 15, 9], [12, 11, 27, 22], [16, 25, 10], [24, 18, 14], [17, 28, 19, 20, 23, 31, 26, 29, 32, 50, 38, 40], [44, 33, 46], [37, 34, 36, 39], [42, 43, 47], [41, 45], [49, 48, 51, 53, 52, 55, 56, 57, 54, 58, 60, 59]]
28: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [31, 9, 8, 27, 15, 14, 10, 11, 12, 23, 16], [17, 19, 18, 20, 29, 22, 24, 25, 28, 26, 54], [42, 48, 32, 30, 33, 37, 36, 38, 47, 46, 34, 59, 43, 39], [41, 40, 55, 45, 56, 44, 49, 50, 60, 53, 51, 58, 57, 52]]
29: [[1, 2, 35, 7], [3, 4], [13, 21], [5, 6, 31, 9, 11, 8, 10, 15, 30, 26], [25, 28, 18, 12, 14, 16, 19, 20, 17, 23, 22, 24, 49, 27, 29, 32, 42, 48, 34, 38, 36, 33, 37, 44, 39, 41, 47, 57, 46, 40, 43, 45, 56, 51, 54, 50, 52, 55, 59, 53, 58, 60]]
30: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6], [30, 8, 11, 9], [14, 28, 10, 12, 17, 19, 22, 15, 18, 25], [16, 20, 23, 50, 24, 27, 59, 26, 29, 48, 40], [37, 38, 32, 31, 45, 36, 33, 39, 34, 41, 42], [47, 43, 44, 46, 49, 51, 54, 52, 55, 57, 53, 58, 56, 60]]
31: [[1, 2, 35, 7], [3, 4], [13, 21], [5, 6, 15, 8], [9, 10, 11, 12, 25, 30, 16, 14, 19, 18, 23], [20, 22, 17, 28, 24, 27, 26, 29], [31, 36, 34, 33, 41], [32, 37, 44, 39, 45, 38, 40, 43, 42, 47, 54, 55, 48], [46, 50, 52, 51, 49, 57, 59, 58, 53, 56, 60]]
32: [[1, 2, 35, 7], [3, 4], [13, 21], [5, 6, 27, 8, 9, 10, 11, 14], [24, 12], [16, 17, 15, 19, 26, 22, 18, 20, 28, 23, 25, 29, 30, 54, 38, 34, 32, 45, 39, 53, 36, 43, 55, 31, 40, 33, 41, 42, 48, 37, 57, 44, 46, 52, 47, 49, 50, 51, 56, 59, 60, 58]]
33: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [9, 8, 11, 10], [15, 28, 27, 31, 30, 12, 16, 22, 19, 14, 18, 23, 24, 20, 26, 25, 17], [29, 60, 33, 32, 40, 34, 39, 38, 37, 45, 47, 41, 43], [46, 36, 42, 44, 50, 52, 49, 55, 54, 51, 53, 58, 59, 48, 56, 57]]
34: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6], [31, 9, 14, 10, 26, 12, 8, 11, 15, 27, 18, 28, 23, 30, 20, 16, 17, 19, 22, 25, 24, 29, 60, 46, 32, 38, 45, 44, 34, 37, 36, 39], [40, 42, 47, 43, 33, 41, 49, 48, 50, 53, 51, 54, 52], [55, 57, 58, 56, 59]]
35: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 31, 9], [14, 10, 8, 12, 11, 20, 30, 27, 18, 28, 15], [24, 16, 29, 17, 23], [19, 22, 25, 26, 36, 42], [32, 34, 38, 37, 41, 40, 45, 43], [44, 46, 47, 50, 39], [54, 33, 48, 51, 57, 53, 49], [52, 55, 59, 60, 58, 56]]
36: [[1, 2, 35, 7], [3, 4, 13, 21, 6, 5, 30, 8, 15, 9, 11, 14], [16, 12, 18, 20, 17, 24, 22, 23, 25, 26, 19, 28, 29, 27, 31, 52, 39, 32, 36, 34, 37, 60, 33, 45, 47, 43, 42, 41, 10, 40, 44, 38, 46, 48, 51, 58, 49, 50, 54, 53, 55, 57, 56, 59]]
37: [[1, 2, 35, 7, 3, 4], [13, 21, 5, 6, 15, 8, 11, 9, 24, 12, 31, 10, 14, 18, 22, 17, 19, 23, 25, 20, 16, 27, 26, 30, 28, 29, 52, 32, 34, 47, 37, 33, 36, 39, 38, 53, 40, 42, 45, 41, 43, 44], [50, 46, 48, 49, 51, 54, 55, 59, 56, 57, 58, 60]]
38: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6, 10, 9, 8, 15, 19, 20, 30, 24, 12, 28, 31, 27, 23, 16, 18, 17], [22, 26], [29, 25, 33, 37, 14, 52, 45, 36, 38, 40], [11, 44, 34, 46, 39, 41, 32, 42, 43], [54, 48], [47, 49, 55, 53, 51, 56, 60, 59, 50, 57, 58]]
39: [[1, 2, 35, 7], [3, 4], [13, 5, 21, 6], [15, 8, 9, 10, 11, 14, 28, 12, 20, 16, 17, 23], [18, 19, 25, 22], [26, 24, 27, 29, 31, 30, 36, 32, 40, 33, 43, 39, 42, 46, 34, 47, 41, 44, 59, 45, 37, 38, 51, 48, 49, 53, 50, 54, 56, 52, 60, 55, 57, 58]]
40: [[1, 2, 35, 7], [3, 4], [13, 5, 10, 6], [31, 8, 9, 11], [12, 30, 14, 26, 28, 21, 18, 16, 23, 15, 19, 20, 22, 25, 17, 24, 27, 46, 37, 33, 29, 34, 41, 32, 44, 40, 36, 38, 42, 43, 58, 39, 45, 47, 59, 48, 50, 55, 52], [51, 54, 49, 57, 60, 56, 53]]
41: [[1, 2, 35, 7], [3, 4, 13, 21, 6], [5, 22], [8, 9, 14], [11, 31], [25, 10, 20, 12, 18, 28, 19], [15, 26, 17, 16, 56], [23, 30, 29, 24, 58, 48, 33, 36, 38, 40], [27, 45, 32, 34, 46, 37, 41, 43, 42, 39, 55], [44, 47, 49, 50, 51, 54, 53, 52, 57, 59, 60]]
42: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 14, 26, 8, 6, 9, 25, 28], [30, 10, 11, 15, 16, 17, 18, 20, 19, 23], [12, 22], [24, 31, 27, 29, 55, 32, 33, 39, 44, 42, 46, 36, 45, 34, 41, 40, 43, 47, 37, 56, 54, 38, 50, 52, 51, 49, 53, 58, 48, 59, 60, 57]]
43: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 31, 8, 9, 10, 15, 28, 11, 27, 12, 16, 18], [14, 22, 17], [23, 20, 19, 24], [25, 26, 55, 29], [30, 50], [32, 36, 33, 34, 41, 45, 44, 38, 40, 47, 37], [46, 43, 42, 58, 49, 57, 52, 39, 56, 54, 51, 48, 59, 60, 53]]
44: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 15, 8, 11, 9, 26, 10, 30, 12], [14, 16, 17, 23, 18], [27, 19, 29, 20, 50, 24, 25, 22, 28, 40, 31, 32, 41, 38, 34, 33, 37, 39, 44, 42, 47, 36, 45, 43, 46, 48, 49, 52, 51, 55], [53, 54, 59, 57, 58], [56, 60]]
45: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [8, 10, 9, 25, 11, 14, 26, 12], [29, 17, 19, 20, 27, 22, 16, 31, 24, 15, 18], [28, 30, 54, 46, 34, 52, 42, 33], [23, 37], [45, 60, 51, 44, 32, 36, 38, 56], [40, 48], [39, 41, 43, 47, 50, 53, 49, 58, 57, 55, 59]]
46: [[1, 2, 35, 7], [3, 4], [13, 21, 5], [14, 29, 9, 11, 8, 6, 12, 30, 19], [28, 16, 22, 27, 23, 10, 18, 15, 17, 25, 26, 20, 53, 24, 31, 33, 43, 32, 34, 38, 36, 47, 39, 40, 37, 41, 44, 57, 46, 45, 58, 42, 56, 51, 50, 54, 52, 55, 59, 48, 49, 60]]
47: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 27, 8, 10, 12, 24, 9, 31, 15, 11, 14, 19, 17, 18, 28, 16, 23, 20, 25, 22, 30, 26, 29, 38, 36, 32, 45, 44, 41, 54, 37, 42, 39], [43, 40, 47, 48], [33, 46, 50, 34, 49, 53, 51, 52, 59, 55, 58, 57], [56, 60]]
48: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [24, 8], [11, 9, 15, 14, 27, 10], [29, 12, 16, 18], [19, 20, 23, 17], [31, 28, 22, 26, 58, 25, 36, 30, 41], [32, 37, 38, 33, 39, 34, 47], [40, 43, 44, 60, 45, 42, 51, 46, 50, 55], [54, 49, 52, 59], [53, 57, 48, 56]]
49: [[1, 2, 35, 7], [3, 4], [13, 21], [5, 6], [11, 8, 10, 15, 17, 12, 30, 31, 14, 16, 9], [18, 19, 20, 22, 27, 28, 23, 24, 25, 26, 29, 58, 40, 34, 43, 38, 33, 36, 32, 39, 37, 46, 47, 41, 42, 44, 45, 48, 52, 51, 49, 54, 53, 50, 55, 56, 57, 60, 59]]
50: [[1, 2, 35], [7, 3, 4, 13, 21], [5, 20, 14, 9, 6, 8, 11, 31, 16, 30, 10, 18, 17, 28, 22, 23, 24, 27, 12, 15, 19, 25, 26, 52, 51, 48, 40, 34, 29, 32, 45, 37, 44, 33, 42, 43], [38, 39, 58, 36, 55, 41, 46, 50, 49, 47, 53, 54, 56, 57, 60], [59]]
51: [[1, 2, 35, 7], [3, 4], [13, 21], [5, 6, 10], [8], [14, 24, 9, 30, 12, 15, 22, 29, 26, 16, 11, 23, 19, 17, 18, 27, 25, 28, 20, 46, 40, 33, 49, 32, 31, 43, 42, 45, 36, 34, 41, 51, 59, 39, 55, 37, 48, 38, 56, 53, 50, 54, 44, 47, 57, 52, 58, 60]]
52: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6, 31, 8, 9, 10, 26, 12, 24, 14, 11, 18, 16, 17], [22, 30, 23, 19, 20, 49, 29, 27, 28, 15, 36, 32, 52, 40, 42, 37, 25, 46, 33, 47, 41, 34, 39, 43, 54, 53, 57, 50, 44, 45, 48, 38, 51, 55, 56, 59, 58, 60]]
53: [[1, 2, 35, 7, 3, 4], [13, 21], [5, 6, 14, 8, 9, 11, 10, 12, 27, 15, 16, 20, 18, 17, 26, 19, 23, 29, 22, 28, 31, 24, 57, 25, 33, 30, 40, 37, 36, 34, 38, 32, 41, 42, 43, 46, 47, 44, 39, 45, 51, 58, 48, 49, 50, 52, 54, 53, 55, 59, 56, 60]]
54: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6, 14, 8, 9, 12, 10, 15, 11, 27, 20], [18, 24, 26, 23, 22, 17, 28, 19, 56, 16, 25, 29, 52, 58, 32, 33, 37, 38, 40, 45, 30, 47, 34, 46, 31, 43, 36, 42, 39, 41, 57, 44, 48, 50, 55, 53, 49, 51, 54, 59, 60]]
55: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 8, 10, 14, 11, 12, 15, 16, 27, 17, 24, 19, 20, 9, 25, 18, 22, 28, 23, 31, 26, 30, 39, 32, 33, 55, 45, 42, 52, 46, 37, 34, 41, 36, 43, 44, 38, 40, 51, 47, 48, 53, 50, 54, 57, 58, 59, 56, 29], [60, 49]]
56: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 14], [29, 9, 6, 26, 8, 28, 10, 27, 11, 17, 23], [19, 12, 30, 18, 31, 15, 16, 22, 20, 24, 50], [25, 33, 45, 32, 34, 38, 37, 36], [39, 41], [43, 46, 40], [47, 54, 49, 52, 42, 44, 51, 53, 55], [60, 56, 58, 48, 57, 59]]
57: [[1, 2, 35, 7], [3, 4], [13, 21, 6, 10], [26, 8, 9, 5, 30, 11, 12, 14, 15], [16, 19, 18, 22, 25, 20, 23, 24, 27, 17, 28, 29, 31, 48, 41, 36, 34, 53, 32, 33, 39, 42, 43, 44, 47, 40, 45, 46, 54, 50, 52], [37, 49], [38, 55, 51, 56, 59, 58, 60, 57]]
58: [[1, 2, 35, 7], [3, 4], [13, 5, 6, 14, 10, 9, 12, 15, 8, 24, 20, 22, 25, 18, 26, 17, 11, 23, 27, 16, 28, 30, 19, 29, 21, 54, 40, 36, 49, 32, 44, 42, 31, 45, 33, 46, 34, 38, 37, 39, 43, 47, 53, 51, 41, 48, 52, 50, 56, 55], [57, 58, 59, 60]]
59: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 14, 8, 15], [6, 10, 9, 17, 12], [23, 16, 18, 22, 26, 11, 27, 24, 20, 29, 19, 25, 28, 30, 31, 32, 36, 34, 40, 41, 38, 37, 42, 33, 47, 43, 44, 45, 46, 58, 39, 48, 52, 51, 59, 49, 53, 55, 50, 57, 60, 54, 56]]
60: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 14, 27, 9, 6, 10, 8, 12, 11], [20, 15, 19, 18, 28], [16, 24, 22, 29, 17, 23, 26, 25, 30, 31, 36, 32, 34, 40, 38, 37, 41, 45, 39, 43, 44, 42, 47, 59, 46, 54, 33, 48, 50, 60, 49, 51, 53, 52, 57, 55, 58, 56]]
61: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6], [27, 8, 9, 11, 12, 14, 30, 10, 15, 18, 22, 17], [19, 20, 24, 16], [23, 25, 26, 29, 28, 31, 33, 50, 32, 36, 39], [40, 34, 37, 44, 47, 38, 45, 43, 59, 41, 42, 56, 46, 52], [49, 51, 60, 53, 48, 54, 55, 57, 58]]
62: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6, 27, 8, 15, 11, 24, 14, 12], [26, 9, 10, 18, 28], [23, 19, 20, 16, 22, 17, 25, 30, 31, 29, 36, 42, 32, 34, 33, 52, 40, 39, 41, 47, 37, 38, 43, 59, 44, 45, 48, 50, 46, 49, 55, 51, 53, 54, 57, 58, 56, 60]]
63: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 27, 8, 10, 9, 30, 28, 14, 11, 12, 31], [24, 17, 18, 16, 19, 23, 20, 15, 22, 29, 25, 26, 34, 32, 37, 36, 44, 42, 54, 56], [33, 38, 43, 39, 40, 45, 41, 46, 53, 47, 50, 52, 51, 55, 49, 59, 48, 58, 60, 57]]
64: [[1, 2, 35, 7, 3], [4, 13, 21, 5], [6, 11, 8, 9, 15, 26, 10, 14, 20, 12], [16, 29, 17, 19, 25], [22, 23, 31], [18, 24, 27, 28, 30, 37, 32, 38, 41], [42, 33, 36, 47, 34], [39, 46, 40, 43], [44, 52, 54, 53, 49, 58, 51, 50, 45, 48, 55, 56, 60, 59], [57]]
65: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 14, 8, 11, 10, 9, 12, 24, 15, 25], [17, 19, 18, 27, 22, 16, 20, 29, 23, 26, 28, 30, 38, 34, 31, 52, 33, 37], [39, 41], [45, 36, 46, 43, 47], [40, 48, 55, 50, 49, 42, 44, 51], [32, 53, 56], [54, 58, 57, 60, 59]]
66: [[1, 2, 35], [7, 3, 4, 13, 21, 5, 6, 14, 8, 9, 10, 11], [30, 24, 12, 16, 20, 19, 28, 18, 22, 26, 17, 31, 25, 27, 58, 40, 23, 36, 50, 29, 38, 34, 37, 32, 15, 44, 33, 41, 43, 42, 45, 47, 46, 53, 39, 49, 51, 48, 55, 52, 56, 54, 57, 60, 59]]
67: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 31, 8, 11], [14, 15, 24, 27, 9, 26, 10, 12, 17, 18, 16, 22, 20, 25, 19, 23, 29, 28, 30, 32, 33, 39, 34, 45, 36, 38, 40, 37, 46, 42, 43, 41, 54, 44, 49, 51, 47, 50, 53, 48, 55, 52, 58, 56], [57, 59, 60]]
68: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 10, 8, 15, 9, 11, 14, 24, 12, 18, 17, 19, 23, 25, 22, 16, 27, 29, 20, 26, 28], [30, 54, 38, 50, 44, 46, 53, 31, 37, 41, 52, 45, 32, 33, 36, 39, 57, 40], [51, 34], [47, 42, 49, 43, 48, 55, 56, 59], [60, 58]]
69: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 10, 8, 15, 9, 11, 14, 24, 12, 18, 17, 19, 23, 25, 22, 16, 27, 29, 20, 26, 28], [30, 54, 38, 50, 44, 46, 53, 31, 37, 41, 52, 45, 32, 33, 36, 39, 57, 40], [51, 34], [47, 42, 49, 43, 48, 55, 56, 59], [60, 58]]
70: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 31], [8, 9], [10, 15, 26, 11, 12, 14, 18, 24, 17], [16, 19, 20, 22, 25, 23], [27, 30, 56, 28, 45, 29, 39], [33, 60, 32, 34], [37, 40, 42, 44], [41, 38, 36, 46, 57, 55, 43, 51, 47], [48, 49, 53, 58, 50, 52, 59, 54]]
71: [[1, 2, 35, 7], [3, 4], [13], [5, 11, 8, 15, 9, 12, 25, 14, 24, 17, 16, 22, 19, 10, 21, 6], [18, 23, 20, 28, 27, 30, 26, 31, 29, 44, 32, 40, 42, 33, 34, 36, 37, 38, 47, 39, 43, 59, 41, 54, 45, 50, 46, 48, 51, 52, 49, 53, 55, 60, 57, 56, 58]]
72: [[1, 2, 35, 7], [3, 4], [13, 21], [5, 6, 10, 8, 9, 14, 17, 30, 15, 20], [11, 28], [18, 16, 23, 22, 26, 19, 27, 31], [24, 25, 29, 32], [36, 48, 33, 12, 45, 34, 44, 37, 38, 39, 40, 41], [42, 47, 43, 54, 46, 50, 49, 52, 51, 55, 58], [53, 56, 57, 59, 60]]
73: [[1, 2, 35, 7, 3], [4, 13, 21, 5, 6, 10, 8, 9, 15, 11], [12, 14, 16, 17, 27, 26, 30, 18, 19, 23, 22, 24, 25, 20, 29, 31, 28, 41, 38], [48, 44, 32, 40, 33], [36, 45, 42, 55, 37, 43, 39, 46, 34, 57, 51, 47, 53, 50, 52, 54, 49, 56, 59, 60, 58]]
