0: [[35, 7, 1, 2, 11], [4, 3], [5, 16, 24, 14, 9, 8, 31, 15, 29, 13, 19, 18, 10], [21, 12, 17, 6], [28, 22, 23, 26], [27, 25, 30, 20, 32, 55], [33, 36, 41, 34, 43, 37, 38, 39, 40, 42, 45, 44], [47, 57, 49], [48, 46, 53, 50, 51, 54, 52, 56, 59, 60, 58]]
12: [[35, 7, 1, 2, 11], [4, 3], [13, 21, 6, 5, 9, 8, 10], [14, 15, 12, 26, 16, 18, 24], [27, 20], [17, 23, 22, 29, 31, 19], [25, 28, 30, 40, 53, 33, 32, 38, 36, 34, 37, 43], [39, 41, 46, 44, 45, 42, 59], [50, 47, 51, 55, 48, 54, 49, 56, 57, 52, 58, 60]]
13: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 9], [8, 26], [14, 10, 12, 31, 18, 24, 15], [16, 25, 17, 19], [20, 23, 22, 27, 28, 29, 30, 32, 37, 33, 36, 34, 38, 41, 39, 40, 47, 45, 42, 43], [44, 46, 48, 50, 51, 52, 49, 53, 55, 54, 58, 60, 59, 56, 57]]
14: [[35, 7, 1, 2], [11, 4, 3], [13, 21, 5, 6, 8, 9], [22, 14], [15, 10, 12, 18, 19, 26, 16], [17, 23, 20, 31, 24, 27, 25], [28, 30, 29, 41, 37, 32], [34, 36, 39, 44, 47, 38], [33, 42, 45], [46, 43, 49, 48, 50, 53, 40], [54, 60, 55, 52, 59, 56, 57, 51, 58]]
15: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8], [9, 30], [14, 10, 15, 12, 18, 17], [25, 16, 19, 23, 20, 22, 26, 24, 31, 27, 29, 28, 40, 34, 33, 39, 42, 37, 46, 44, 41, 43, 32, 38, 36, 45, 47, 51, 48, 49, 58, 50, 52, 56, 57, 53, 54, 55, 59, 60]]
16: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5], [6, 9], [8, 30, 14, 10, 12, 15, 17, 27], [18, 16, 19, 22], [23, 24, 25, 28, 20, 26, 29, 31, 32, 38], [33, 36, 37, 34, 45, 39, 40, 42, 47, 41, 43], [44, 46, 50, 51, 52, 48, 55, 53], [54, 49, 58, 57, 56, 59, 60]]
17: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6], [9, 25, 30, 14, 10], [12, 15, 17, 26, 19, 8, 18, 23, 16, 24, 20, 22, 27, 31, 28, 29, 41, 39, 33, 32, 44, 34, 36, 37], [46, 40, 38, 43, 42, 45], [47, 59, 48, 49, 51, 50, 53, 56, 55, 52, 57, 54, 58, 60]]
18: [[35, 7, 1, 2, 11, 4, 3], [13, 21, 5, 6, 8], [9, 27, 14], [10, 12, 15, 29, 17, 26], [18, 22, 19, 16, 24], [25, 28, 20, 30, 23, 31, 40, 32], [33, 36, 47, 37, 38, 46, 39, 41, 34], [44, 42, 43, 45, 57, 50, 48, 51], [53, 49, 55, 52, 54, 59, 60], [58, 56]]
19: [[35, 7, 1, 2, 11], [4, 3, 5, 21, 10, 6], [9, 13, 23, 14, 8, 12, 15, 16, 24, 18, 19, 29, 22, 20, 17], [27, 25, 28, 26, 31, 30, 32, 37, 33, 34, 45, 38, 47, 39, 36, 40, 46, 41, 42, 44, 43, 51], [48, 54, 50, 52, 49, 53, 55, 57, 56, 58, 59, 60]]
20: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 6, 5, 8], [9, 18], [14, 10, 15, 12, 16, 25, 19], [20, 22, 23, 29, 24, 27, 31, 17], [26, 30, 28, 40, 39], [32, 33, 34, 36, 47, 41], [37, 38, 43, 42, 44, 45], [46, 58, 56], [52, 55, 59], [51, 48, 54, 49, 60, 50, 57, 53]]
21: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6], [8, 9], [22, 14, 10, 12, 15, 17], [16, 19, 20, 18], [23, 30, 24, 26, 25, 29, 27, 31, 28, 32, 37], [34, 33, 39, 38, 46, 36, 44, 40, 41, 42, 43, 45], [47], [50, 48, 52, 49, 54, 51, 53, 55, 57, 56, 58, 59, 60]]
22: [[35, 7, 1, 2, 3], [4, 8], [13, 21, 5, 6, 9, 10, 30, 14, 11, 12], [27, 15, 26, 18, 16, 31, 17, 19, 29, 23, 20], [22, 24, 25, 28, 40, 34], [32, 37, 47, 33], [38, 46, 36, 59, 39, 41], [42, 43, 45, 50, 52, 54], [49, 44, 48, 53, 55, 57, 56, 51, 58, 60]]
23: [[35, 7, 1, 2, 11], [4, 3], [13, 21, 5, 6, 9, 8, 30, 14], [10, 12, 15, 19, 16], [18, 17, 20, 23], [28, 22, 24, 29], [25, 27, 31, 26, 32, 39], [34, 36, 33, 37, 40, 41, 45, 48, 47, 38, 43, 44, 42], [50, 46, 51, 49, 55, 52, 53, 57, 59, 54, 58, 56, 60]]
24: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 9, 6], [8, 5], [27, 10, 14, 15, 12, 18, 24, 16, 20, 17], [19, 25], [23, 30, 29], [22, 26, 28, 31, 40, 36, 32, 34, 44, 33, 42], [37, 38, 39, 41, 45, 43, 56, 46], [58, 47, 48, 55, 50, 60, 53, 51, 54, 49, 52, 57, 59]]
25: [[35, 7, 1, 2, 11], [4, 3, 5, 21, 13], [10, 9, 8, 23, 14, 6, 12, 15, 17, 16, 22, 18], [28, 19, 27, 25, 20, 29, 24, 26, 30, 31, 40, 33, 36, 34, 38, 39, 46, 42, 41, 37, 43, 45, 44, 48, 47, 58, 32, 49, 50, 55, 52, 51, 53, 57, 54, 59, 56, 60]]
26: [[35, 7, 1, 2, 11], [4], [3, 13, 5, 21, 6, 9, 26, 30], [14, 10, 8, 12, 27, 24, 16, 25, 15, 22], [23, 17, 18, 31, 29, 19, 28, 20, 40, 36, 32, 33, 34, 39, 46, 37, 44, 41, 38, 43, 45, 42, 47, 59, 56, 51, 48, 50, 49, 52], [53, 55, 57, 58, 54, 60]]
27: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 9, 8, 30, 15, 10], [12, 14, 19, 16, 20, 25, 27, 18, 31, 22, 28, 23, 24, 17, 26, 29, 32, 36, 33, 34, 37, 38, 47, 39, 40, 41, 42, 43, 45, 46, 44, 50, 49, 58, 48, 53, 51, 54, 52, 56, 55, 59, 57, 60]]
28: [[35, 7, 1, 2, 11, 4, 3], [13, 17, 5, 21, 6], [9, 8, 24], [14, 26, 12, 23, 22, 15, 25, 16, 19, 20, 28, 30, 27], [29, 31, 40, 36, 33, 32, 47, 38, 18, 10], [45, 37, 43, 34, 41, 42, 39, 44, 46, 59, 48, 55, 51, 50, 49, 53, 52, 54, 56, 57, 58, 60]]
29: [[35, 7, 1, 2, 11, 4, 3], [13, 21, 5, 6], [8, 10, 31, 14, 12, 9, 15], [19, 18, 30, 16, 22, 17], [27, 20, 23, 29, 26, 24, 25, 28, 40, 37, 33, 34, 38, 36, 42, 32, 39, 45, 44, 43, 41, 46, 47, 49, 48, 51, 56, 50, 54, 52, 53, 57, 58, 55, 59, 60]]
30: [[35, 7, 1, 2, 9], [4, 3], [13, 21, 5, 6, 8, 10, 31, 14, 12, 15, 24, 17, 11], [23, 16, 18, 19], [27, 29, 20, 22, 26], [28, 30, 25, 40, 53], [33, 34, 42, 36, 39, 45, 32, 37], [38, 41, 43, 44, 46, 49, 48, 60, 47, 51, 54, 50, 52, 57, 55, 56, 58, 59]]
31: [[35, 7, 1, 2, 11], [4, 3], [13, 21, 5, 12, 6, 9, 31, 14], [10, 8, 30, 16, 15, 23, 17, 25, 22, 18, 19, 27, 20, 24, 26, 28, 29, 40, 34, 32, 36, 37, 33, 42, 39, 38, 43, 46, 41, 44], [45, 47, 50, 51, 56, 54, 48, 49, 53, 55, 52, 59, 60], [57, 58]]
32: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 6, 5, 8, 9, 18], [10, 14, 15, 12, 23, 16, 19, 29, 22, 17, 24, 20, 26, 31, 25, 27, 30, 28, 41, 39, 32, 33, 47, 36, 34, 46, 37, 38, 40, 42, 44, 45, 43, 51, 48, 52, 55, 53, 49, 54, 56, 50, 57, 60, 58, 59]]
33: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 31, 15], [10, 14, 12, 18, 24, 17, 16, 20, 19, 22, 28, 27, 23, 25, 29, 26, 30, 40, 54, 33, 36, 32, 34], [43, 37, 38, 47, 45, 41, 44, 42, 39, 51, 48, 49, 58, 46, 53], [59, 50, 56, 60, 55, 57, 52]]
34: [[35, 7, 1, 2, 9], [4, 3, 13, 21, 5], [6, 8, 15, 30, 14], [12, 11, 10, 16, 25, 26, 17, 29], [23, 18, 19, 22, 27], [24, 20, 28], [31, 40, 55, 32, 34, 33, 36, 37], [39, 38, 46, 41, 45], [59, 42, 43, 56], [48, 44, 47, 54], [52, 51, 53, 57, 58, 49, 60, 50]]
35: [[35, 7, 1, 2, 11, 4], [3, 13], [21, 5, 6, 9, 8, 31], [14, 10, 15, 12, 18], [16, 19, 17, 22, 23, 20, 24, 25, 27, 26, 30, 28, 29, 40, 38, 33, 34, 46, 36, 32, 37, 47, 43, 45], [41, 42, 49, 39, 50, 48, 56, 59, 44, 53, 51, 55, 54, 52, 57, 58, 60]]
36: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8], [9, 22], [14, 12, 10, 15, 27, 19, 25, 18], [16, 17, 28, 20, 24, 31, 23, 26, 29, 30, 41, 39, 32, 34, 46, 36, 44, 47, 37, 33, 42, 45, 38, 43, 40, 58, 48, 53, 49, 51, 54, 55, 52, 59, 57, 56, 50, 60]]
37: [[35, 7, 1, 2, 11, 4, 3], [13, 21, 5, 6], [9, 14, 30, 8], [12, 15, 10, 31, 16, 17], [18, 24, 22], [19, 23, 26, 25, 27, 28, 20, 29, 40, 53, 33, 32, 43, 36, 46, 47, 34, 37, 39, 45, 41, 44, 38, 58, 49, 55, 48, 42, 50, 54, 51, 52, 57, 56, 59, 60]]
38: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8, 9, 30, 14, 12], [15, 10, 16, 19, 22, 17, 18, 24, 26], [20, 23, 28, 27, 25, 29, 31, 40, 54, 33, 32, 47, 38, 39, 37, 36, 34, 43, 42, 44, 41, 45, 57, 51, 46], [48, 50, 49, 55, 52, 53, 56, 59, 58, 60]]
39: [[35, 7, 1, 2, 11, 4], [3, 13], [21, 5, 6, 9, 8, 31], [14, 10, 15, 12, 18], [16, 19, 17, 30, 22, 20, 24, 23, 25, 26, 28, 27, 29, 40, 54, 33, 34, 46, 38, 32, 36, 45, 47, 37], [41, 42, 43, 39, 58, 48, 56, 51, 44, 53, 49, 50, 55, 52, 57, 59, 60]]
40: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 9, 10, 30, 14, 8, 28, 15, 25, 27, 12, 16, 17, 19, 18, 20, 23, 29, 22, 26, 31, 24, 40, 39, 33, 38, 32, 34, 47, 36, 41, 37], [43, 45, 44, 42, 46, 56, 48, 49, 50, 53, 52, 54, 51, 55, 57, 59, 58, 60]]
41: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 9, 8, 31, 14], [10, 15, 12, 16, 28, 18], [24, 25, 19, 26], [23, 22, 17, 20], [29, 27, 30, 40, 36, 33, 32, 39, 38, 34, 37], [41, 42, 43, 44, 57, 46, 45, 58, 50, 49, 47, 54, 60, 52, 48, 56, 53, 51, 55, 59]]
42: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 8, 9], [31, 10], [12, 14, 16, 26, 24, 15], [19, 20, 17, 18, 22, 23, 27, 25, 28, 29, 30, 40, 32, 33, 36, 47, 42, 38, 37, 34], [41, 39, 43, 46, 44, 45, 59, 48, 52, 50, 51, 49, 53, 55, 54, 56, 57, 58, 60]]
43: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 9, 8, 22, 14, 10, 12, 15, 17], [16, 19, 18, 23, 20, 30], [27, 31], [25, 24, 29, 28, 26, 40], [53, 33, 34, 32, 38, 44, 36, 46], [41, 37, 43, 42, 45, 47], [48, 50, 54, 51, 49, 55, 57], [39, 52, 56, 58, 59, 60]]
44: [[35, 7, 1, 2], [11, 4, 3, 13, 21], [5, 6, 9], [8, 30, 14, 10, 12, 15, 27], [18, 16, 17, 19, 20, 28], [24, 23, 29, 22, 25], [26, 31, 32, 37, 33, 38], [36, 34, 44, 45], [39, 56, 47, 40, 43, 41, 42], [50, 46, 51, 48, 52, 53], [55, 54, 58, 49, 57, 60, 59]]
45: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 24], [9, 31], [14, 8, 10, 15, 18], [17, 12, 16, 30, 23, 19, 20, 22], [27, 26, 25, 28, 29, 40, 53, 33, 34, 42, 37, 46, 39, 45, 43, 32, 36, 38, 44, 47, 49, 48, 56, 41, 51, 52, 55, 54, 50, 58, 59, 57, 60]]
46: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5], [6, 24, 9, 30, 14, 10], [8, 15, 19, 12, 17, 16, 28, 23, 18, 20, 22, 27, 26, 25, 31, 29, 40, 55, 32, 34, 42, 37, 46, 47, 33, 39, 36, 38, 45, 44, 41, 49, 48, 53, 43, 50, 52, 51, 54, 57], [58, 60, 56, 59]]
47: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 9], [14, 26], [10, 24, 12, 31, 19, 16, 8], [15, 17, 18, 22], [20, 23, 27, 25, 29, 28], [30, 32, 37], [33, 34, 36, 39, 40, 44, 47, 43, 38, 42, 41, 45, 46, 50, 48, 55, 52, 53, 49, 51, 54, 58, 59, 56, 57, 60]]
48: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5], [6, 9, 12, 26, 14, 8], [10, 15, 19, 24, 18, 20], [17, 16, 31, 25, 23, 22, 27, 28, 29, 30, 32, 37, 33, 34, 43, 38, 47, 44, 36, 39, 40, 42, 45, 41, 46, 48, 49, 51, 53, 55, 52, 50, 54, 57, 59, 56, 58, 60]]
49: [[35, 7, 1, 2, 11], [4, 3], [5, 21], [13, 6, 8, 28, 23, 12], [9, 10, 14, 15, 18, 17], [19, 25, 20, 16, 26], [27, 31, 22, 24, 29, 30, 40, 36, 32, 33, 34, 37, 46], [38, 42, 43, 45, 39, 41, 44, 47, 51], [52, 53, 48, 50, 55, 49, 58, 60, 54, 59, 57, 56]]
50: [[35, 7, 1, 2, 11], [4, 3], [13, 21, 6, 5, 9, 8, 19, 15, 10, 12], [24, 27, 20, 22], [23, 18], [14, 17, 25, 16, 30, 26], [29, 28, 31, 40, 53, 33, 32, 34, 36, 47, 39, 38], [43, 42, 37, 45, 41, 44, 51], [50, 54, 46, 55, 48, 52, 49, 59, 56, 58, 57, 60]]
51: [[35, 7, 1, 2, 11], [4, 3, 5, 21, 13, 6, 8], [9, 30, 10, 14, 12], [15, 17, 19, 22, 18, 16, 23, 24, 27], [20, 29, 26], [25, 28, 31, 40, 39, 33, 36, 34, 32, 37, 46], [42, 45, 38, 41, 43, 44, 47, 49], [48, 51, 50, 55, 53, 52, 54, 56, 57, 59, 58, 60]]
52: [[35, 7, 1, 2, 11], [4, 3], [5, 21, 9, 6, 8, 12, 31, 14, 10, 13, 24, 17, 15], [19, 16, 18, 22], [27, 20, 23, 25, 26], [28, 30, 29, 40, 53, 33], [32, 34, 36, 47, 37, 44, 45, 43, 41, 38, 39, 42, 51, 48, 46, 50, 49, 52, 55], [54, 57, 60, 56, 59, 58]]
53: [[35, 7, 1, 2, 11], [4, 3], [13, 21, 5, 6, 9, 24, 8, 14, 10, 12, 30, 22, 18, 26, 16, 25, 23, 17, 20, 15, 19, 27, 29, 28], [31, 40, 53, 33, 32, 38, 39, 34, 36, 43, 42, 37], [46, 44, 41, 45, 51, 48], [47, 49, 50, 54, 55, 52, 58], [59, 56, 57, 60]]
54: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8], [9, 30, 14, 12, 10, 15, 18], [16, 17, 22, 25, 20, 19], [24, 23, 26, 27, 31, 28], [29, 40, 37, 32, 33], [41, 34, 39, 46, 36, 38, 43], [42, 45, 44, 47, 50], [48, 49, 55, 54, 52, 53], [56, 51, 57, 58, 59, 60]]
55: [[35, 7, 1, 2, 11], [4, 3, 13, 5, 9, 21, 6], [14, 31], [12, 8, 26, 23, 16, 19, 18, 10], [20, 24, 15, 17, 22, 25, 27], [29, 28, 30, 41, 53, 33, 37], [42, 36, 46, 38, 32], [39, 34], [43, 40, 44, 45, 50, 48, 47, 49, 51, 52, 54, 55, 60, 57, 56, 59, 58]]
56: [[35, 7, 1, 2, 11, 4], [3, 13, 21], [8, 6, 9, 10, 30, 14], [12, 5, 31, 18, 24, 27], [15, 17, 16, 19, 20], [23, 22, 25, 26, 28, 29, 40], [37, 32, 34, 42, 33, 47, 41], [36, 39], [38, 45, 43, 44, 46, 48, 50], [51, 54, 53, 52, 49, 60, 55], [57, 56, 58, 59]]
57: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [8, 9, 26, 14], [10, 15, 12, 19, 17, 16], [31, 27, 22, 18, 20, 24, 28, 23, 25, 29], [30, 40, 37, 32, 33, 34, 36, 42, 39, 38, 43, 41, 45, 44, 46, 47], [51, 50, 58, 48, 49, 55, 52], [53, 56, 57, 54, 59, 60]]
58: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8, 9], [26, 14, 10, 12, 15, 19, 16], [17, 22, 25, 18, 20], [28, 30, 24, 27, 31, 23], [29, 40, 37, 32, 33, 42], [34, 38, 36, 41, 39, 43, 45, 47, 44, 46, 48, 49, 50, 55, 54, 53, 51, 52, 59, 57, 58, 56, 60]]
59: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 9], [10, 22, 14, 8, 12, 15, 19, 16, 26, 20, 27], [17, 28, 24, 18, 23, 31, 29, 25, 30, 41, 36, 32, 33, 38], [37, 39, 34, 44, 40, 46, 42, 43, 45, 47, 51, 48, 54, 50, 55, 53, 49, 59, 57, 56, 58, 60, 52]]
60: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 27, 14, 24, 12, 15], [19, 16, 10, 17, 25, 18, 30], [28, 23, 22, 26, 31, 29, 20], [40, 52, 33, 38, 34, 32, 43, 36], [45, 47, 37], [42, 39, 44, 41, 49, 46, 51, 54, 55, 50, 48, 53, 56, 59], [60, 58, 57]]
61: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 12, 6, 8, 9, 30, 14, 10, 5, 15, 18, 22, 17, 23, 29, 19, 20, 16, 28, 26, 24, 27, 25, 31, 40, 36, 33, 34, 32, 38, 47], [41, 37, 45, 39, 42, 43, 44, 46, 57, 49, 50, 55, 48, 53, 51, 58, 56, 59, 54, 60, 52]]
62: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 8, 6, 5, 9, 30, 14, 10, 12, 15, 18, 26, 16, 22, 31, 17, 19, 24], [20, 23, 29, 25, 28, 27, 40, 36, 33, 32, 34], [38, 42, 39, 37, 45, 47, 41, 43, 44, 46, 51, 50, 48, 52, 55, 53, 49, 54, 56, 58, 59, 57, 60]]
63: [[35, 7, 1, 2, 11, 4, 3], [13, 21, 6, 5, 8, 9, 30, 14, 10, 12, 15, 16, 17, 20, 18, 22, 19, 25, 26, 27, 29, 28, 23, 24, 31, 40, 52, 33, 32, 47, 41, 43, 39, 45, 34, 37, 36, 38, 42, 44, 56, 48, 46, 51, 55, 49, 53], [59, 54, 50, 57, 60, 58]]
64: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 6], [5, 14, 9, 10, 30], [8, 12, 15, 17, 18], [16, 19, 22, 23, 20], [29, 24, 27, 28, 25], [26, 31, 40, 37, 32, 33], [36, 34, 42, 39, 38], [43, 41, 45, 44, 47, 46, 59, 48, 54, 50, 55], [49, 53, 51, 58, 52, 57, 56, 60]]
65: [[35, 7, 1, 2, 11, 4, 3], [5, 21, 9, 6, 8, 15, 27, 14, 10, 12, 13, 18, 16, 19, 28, 25, 17, 22, 20, 30, 23, 24, 31, 26, 29, 40, 36, 32, 37, 46, 34, 33, 38, 39, 45, 41, 43, 42, 47, 44, 56, 48, 50, 52, 49, 53], [51, 54, 59, 55, 58, 60, 57]]
66: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [8, 9, 26, 14, 12, 10, 15], [18, 16, 17, 22, 25, 19], [23, 20, 29, 24, 27, 31], [28, 30, 40, 37, 32], [33, 46, 34, 39, 36], [38, 45, 41], [42, 43, 44, 47], [50, 48, 49, 55, 52, 51], [53, 58, 54], [57, 56, 59, 60]]
67: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 8, 9, 31, 14, 10, 12, 15, 16, 26, 17, 18, 23, 19, 22, 20], [25, 27, 24, 30, 28, 29, 40, 36, 33, 34, 32, 38, 42, 37, 45, 46, 39, 47, 41, 44, 43, 59, 50, 51, 48, 55, 53, 52, 57, 60, 56, 49, 58, 54]]
68: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 31, 15, 10, 14, 12, 18, 16, 19, 17, 30], [22, 20], [24, 27, 23], [25, 28, 26, 29], [40, 54, 33, 34, 42, 36, 32, 37, 45, 43, 38, 41, 39, 44, 47, 51, 48, 56, 58, 46, 53, 57, 50, 55, 60, 49, 52, 59]]
69: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 27, 15, 10, 12, 14], [20, 24, 16, 18, 17, 19, 22, 23, 31, 25, 29, 26], [28, 30], [40, 54, 33], [34, 32, 36, 42], [37, 38, 47, 43, 41, 46, 44, 39, 51, 52, 45, 58, 49, 50, 59, 48, 53, 60, 55, 57, 56]]
70: [[35, 7, 1, 2, 11, 4, 3], [13, 21, 5, 6, 9, 8], [30, 10, 14, 12, 15, 17], [18, 16, 20, 19, 31, 22], [25, 28, 23, 29, 24], [27, 26, 32, 36, 33, 34, 37, 40], [44, 39, 41, 38, 42, 43, 45], [46, 47, 48, 49, 58, 53], [55, 51, 54, 50, 56, 57, 59, 52, 60]]
71: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 8, 9, 27, 14, 10, 15, 12], [18, 25, 17], [20, 23, 19, 22, 26, 16, 29, 24, 28, 30, 31, 40, 54, 32, 33, 47, 34, 41, 37, 36, 42, 38, 39, 43, 57, 46, 58, 56, 44, 55, 45], [48], [49, 50, 51, 53, 52, 60, 59]]
72: [[35, 7, 1, 2, 11, 4], [3, 13], [21, 5, 6, 8, 9, 18, 10, 12], [14, 15, 17, 16, 22, 19, 20, 23, 27, 24, 26, 29, 28, 25, 30, 31, 40, 39, 32, 33, 34, 36, 43, 47, 37, 41, 38, 44, 42, 46, 45, 51, 48, 60, 49, 58, 52, 55, 50, 53, 59, 54, 56, 57]]
73: [[35, 7, 1, 2, 11], [4, 3], [13, 21, 5, 6, 9, 10, 22, 14, 12, 8], [15, 19, 18, 17, 16, 27, 23], [26, 24, 20, 28, 25, 31], [29, 30, 40], [36, 32, 33, 34, 39, 46], [37, 44, 38, 41, 42, 45, 43, 47], [50, 48, 52, 49, 51, 53], [54, 55, 57, 56, 58, 59, 60]]
