0: [[20, 11, 12, 2], [3, 37, 1, 7, 5, 4, 6], [8, 9], [10, 14], [13, 16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30, 32, 34, 35, 33], [36]]
22: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29, 18], [22, 24], [26, 25, 28, 17], [27, 21, 23], [31, 30, 32], [34, 35, 33, 36]]
23: [[20, 11], [12, 2, 3], [37, 1, 7], [5, 4, 6], [8, 9], [10, 14, 13], [16, 15, 19, 29], [18, 22, 24], [26, 25, 28, 17], [27, 21, 23, 31], [30, 32, 34], [35, 33, 36]]
24: [[20, 11], [12, 2, 3], [37, 1, 7], [5, 4], [6, 8, 9], [10, 14, 13], [16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21, 23], [31, 30, 32], [34, 35, 33, 36]]
25: [[20, 11, 12, 2], [3, 37, 1], [7, 5], [4, 6], [8, 9, 10, 14], [13, 16, 15, 19], [29, 18, 22], [24, 26, 25], [28, 17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
26: [[20, 11, 12, 2], [3, 37, 1, 7, 5, 4, 6], [8, 9], [10, 14, 13, 16], [15, 19, 29, 18], [22, 24, 26], [25, 28, 17], [27, 21], [23, 31, 30, 32, 34, 35, 33, 36]]
27: [[20, 11, 12, 2], [3, 37, 1], [7, 5, 4], [6, 8], [9, 10, 14], [13, 16, 15], [19, 29, 18, 22], [24, 26, 25, 28], [17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
28: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8, 9], [10, 14, 13], [16, 15, 19, 29], [18, 22], [24, 26], [25, 28], [17, 27, 21, 23], [31, 30, 32], [34, 35, 33], [36]]
29: [[20, 11, 12], [2, 3, 37], [1, 7], [5, 4], [6, 8, 9], [10, 14, 13], [16, 15, 19], [29, 18], [22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30], [32, 34, 35], [33, 36]]
30: [[20, 11, 12, 2], [3, 37, 1], [7, 5], [4, 6, 8, 9], [10, 14, 13], [16, 15, 19], [29, 18], [22, 24], [26, 25, 28], [17, 27], [21, 23, 31], [30, 32, 34, 35], [33, 36]]
31: [[20, 11, 12, 2], [3, 37], [1, 7], [5, 4, 6, 8], [9, 10, 14, 13], [16, 15, 19, 29], [18, 22, 24], [26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
32: [[20, 11, 12, 2], [3, 37, 1, 7, 5, 4, 6], [8, 9], [10, 14, 13, 16], [15, 19, 29, 18], [22, 24, 26], [25, 28, 17], [27, 21, 23, 31, 30, 32, 34], [35], [33, 36]]
33: [[20, 11], [12, 2, 3], [37, 1], [7, 5], [4, 6, 8], [9, 10], [14, 13], [16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30], [32, 34, 35], [33, 36]]
34: [[20, 11, 12, 2], [3, 37, 1, 7], [5, 4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29, 18, 22, 24, 26, 25], [28], [17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
35: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29], [18, 22], [24, 26, 25, 28], [17, 27], [21, 23, 31], [30, 32, 34], [35], [33, 36]]
36: [[20, 11, 12], [2, 3], [37, 1, 7], [5, 4, 6], [8, 9], [10, 14], [13, 16, 15], [19, 29, 18], [22, 24, 26], [25, 28], [17, 27, 21], [23, 31], [30, 32, 34], [35, 33, 36]]
37: [[20, 11, 12, 2], [3, 37, 1, 7, 5, 4], [6, 8], [9, 10], [14, 13, 16], [15, 19, 29], [18, 22], [24, 26, 25], [28, 17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
38: [[20, 11, 12], [2, 3], [37, 1], [7, 5], [4, 6], [8, 9, 10], [14, 13, 16], [15, 19, 29], [18, 22], [24, 26, 25, 28], [17, 27, 21, 23], [31, 30, 32, 34], [35, 33, 36]]
39: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8, 9], [10, 14], [13, 16], [15, 19, 29], [18, 22, 24, 26, 25, 28, 17, 27], [21, 23, 31, 30, 32, 34, 35, 33, 36]]
40: [[20, 11, 12], [2, 3, 37], [1, 7], [5, 4, 6], [8, 9, 10, 14], [13, 16, 15, 19], [29, 18, 22], [24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
41: [[20, 11, 12], [2, 3], [37, 1, 7], [5, 4], [6, 8, 9], [10, 14, 13], [16, 15], [19, 29, 18, 22], [24, 26, 25, 28], [17, 27, 21, 23], [31, 30, 32], [34, 35, 33, 36]]
42: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29, 18, 22, 24, 26, 25], [28, 17, 27, 21, 23, 31, 30, 32, 34, 35], [33, 36]]
43: [[20, 11, 12, 2], [3, 37, 1, 7], [5, 4, 6, 8], [9, 10, 14, 13], [16, 15, 19], [29, 18, 22], [24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
44: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14, 13], [16, 15], [19, 29], [18, 22, 24], [26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
45: [[20, 11, 12], [2, 3], [37, 1, 7], [5, 4, 6], [8, 9, 10], [14, 13], [16, 15], [19, 29, 18], [22, 24, 26], [25, 28], [17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
46: [[20, 11, 12, 2], [3, 37, 1], [7, 5], [4, 6], [8, 9, 10, 14], [13, 16, 15], [19], [29, 18, 22], [24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
47: [[20, 11], [12, 2, 3], [37, 1, 7], [5, 4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29], [18, 22], [24, 26, 25, 28], [17, 27], [21, 23, 31], [30, 32, 34], [35], [33, 36]]
48: [[20, 11], [12, 2, 3], [37, 1, 7, 5], [4, 6, 8], [9, 10, 14, 13], [16, 15, 19, 29], [18, 22, 24], [26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
49: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8, 9], [10, 14, 13], [16, 15, 19], [29], [18, 22], [24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
50: [[20, 11], [12, 2, 3], [37, 1, 7], [5, 4, 6], [8, 9], [10, 14, 13, 16], [15, 19, 29], [18, 22, 24, 26], [25, 28], [17, 27], [21, 23, 31], [30, 32, 34, 35, 33, 36]]
51: [[20, 11, 12, 2], [3, 37, 1, 7, 5, 4, 6], [8, 9], [10, 14], [13, 16, 15], [19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
52: [[20, 11, 12, 2], [3, 37, 1, 7], [5, 4, 6, 8, 9, 10, 14, 13, 16, 15, 19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
53: [[20, 11, 12, 2], [3, 37, 1, 7], [5, 4, 6, 8, 9, 10, 14, 13, 16, 15, 19], [29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
54: [[20, 11, 12, 2], [3, 37, 1, 7, 5, 4, 6], [8, 9, 10], [14, 13, 16], [15, 19, 29, 18], [22, 24, 26, 25], [28, 17], [27, 21], [23, 31], [30, 32, 34], [35, 33, 36]]
55: [[20, 11], [12, 2], [3, 37], [1, 7], [5, 4, 6], [8], [9, 10], [14, 13, 16, 15], [19, 29, 18, 22], [24, 26, 25], [28, 17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
56: [[20, 11], [12, 2], [3, 37, 1], [7, 5, 4, 6], [8, 9, 10], [14, 13, 16, 15], [19, 29, 18, 22], [24, 26, 25], [28, 17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
57: [[20, 11, 12], [2], [3, 37, 1, 7, 5, 4, 6, 8, 9, 10, 14, 13, 16, 15, 19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
58: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10], [14, 13, 16], [15, 19, 29], [18, 22, 24, 26, 25], [28, 17, 27], [21], [23, 31, 30, 32], [34, 35, 33, 36]]
59: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10], [14, 13], [16, 15], [19, 29, 18], [22, 24], [26, 25], [28, 17, 27], [21, 23, 31], [30, 32, 34], [35], [33, 36]]
60: [[20, 11, 12], [2, 3, 37], [1, 7, 5, 4], [6, 8, 9, 10], [14, 13, 16, 15], [19, 29, 18], [22, 24, 26, 25], [28, 17, 27, 21], [23, 31, 30], [32, 34, 35, 33, 36]]
61: [[20, 11, 12], [2, 3], [37, 1, 7], [5, 4], [6, 8, 9], [10, 14, 13], [16, 15], [19, 29], [18, 22], [24, 26], [25, 28, 17], [27, 21, 23, 31], [30, 32], [34, 35, 33, 36]]
62: [[20, 11], [12, 2, 3], [37, 1], [7, 5], [4, 6, 8, 9], [10, 14, 13, 16], [15, 19, 29], [18, 22, 24], [26, 25, 28, 17, 27, 21, 23], [31], [30, 32, 34, 35, 33, 36]]
63: [[20, 11, 12], [2, 3, 37], [1, 7], [5, 4, 6, 8], [9, 10, 14], [13, 16], [15, 19, 29, 18], [22, 24, 26, 25], [28, 17, 27], [21, 23, 31, 30], [32, 34, 35, 33, 36]]
64: [[20, 11, 12], [2, 3, 37], [1, 7], [5, 4], [6, 8, 9, 10], [14, 13, 16], [15, 19, 29, 18], [22, 24, 26], [25, 28, 17], [27, 21, 23, 31], [30], [32, 34, 35, 33, 36]]
65: [[20], [11, 12], [2, 3, 37, 1, 7, 5, 4, 6, 8, 9, 10, 14, 13, 16, 15, 19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
66: [[20, 11, 12], [2, 3], [37, 1], [7, 5, 4], [6, 8], [9, 10], [14, 13, 16, 15], [19, 29, 18], [22, 24, 26, 25], [28, 17, 27, 21], [23, 31, 30, 32], [34, 35], [33, 36]]
67: [[20, 11, 12], [2, 3], [37, 1, 7, 5], [4], [6, 8, 9], [10, 14, 13, 16, 15, 19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
68: [[20, 11], [12, 2, 3], [37, 1, 7, 5], [4, 6, 8, 9], [10, 14, 13, 16, 15, 19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
69: [[20, 11], [12, 2, 3], [37, 1], [7, 5, 4], [6, 8], [9, 10, 14], [13, 16, 15], [19, 29, 18], [22, 24, 26, 25], [28, 17, 27, 21], [23, 31, 30], [32, 34, 35, 33], [36]]
70: [[20, 11], [12, 2, 3], [37, 1, 7, 5, 4, 6], [8], [9, 10, 14, 13, 16, 15, 19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
71: [[20, 11], [12, 2, 3], [37, 1], [7, 5, 4], [6, 8, 9], [10, 14, 13], [16, 15, 19], [29, 18, 22], [24, 26, 25], [28, 17, 27], [21, 23, 31], [30, 32, 34], [35, 33, 36]]
72: [[20, 11], [12, 2, 3], [37, 1], [7, 5, 4], [6, 8, 9], [10, 14], [13, 16, 15], [19, 29], [18, 22], [24, 26, 25], [28, 17, 27], [21, 23], [31, 30, 32], [34, 35, 33, 36]]
73: [[20, 11], [12, 2, 3], [37, 1, 7], [5, 4, 6], [8, 9], [10, 14, 13], [16, 15], [19, 29, 18, 22, 24, 26, 25, 28, 17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
