0: [[8, 4, 3, 19, 18, 15, 17, 12, 14], [7, 11, 16], [6, 5, 13], [2, 9, 10, 20, 22, 1], [23, 21, 24]]
38: [[14, 8], [4, 3, 16], [19, 18, 15, 12], [17, 7, 11, 6, 5, 1, 2, 9, 10, 20, 13, 22, 23, 21, 24]]
39: [[8], [4, 3, 16], [19, 18], [15, 17, 7], [11, 6], [5, 1, 12], [2, 9, 10, 14], [20, 13, 22, 23, 21, 24]]
40: [[8, 12, 14], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5, 1, 2, 9, 10, 20, 13, 22, 23, 21, 24]]
41: [[8, 12, 14], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5, 1], [2, 9, 10, 20, 13, 22, 23, 21, 24]]
42: [[8], [4, 3, 16], [19, 18, 15, 17, 7, 12], [11, 6, 5, 1, 2], [9, 10, 20, 13, 22, 23, 21, 24, 14]]
43: [[8, 12, 14], [4, 3, 16], [19, 18], [15, 17], [7, 11, 6], [5, 1, 2, 9, 10, 20, 13, 22, 23, 21, 24]]
44: [[16, 8], [4, 3, 19, 18, 15, 17, 7, 12, 14], [11, 6, 5], [1, 2, 9, 10, 20, 13, 22, 23, 21, 24]]
45: [[8, 4, 14], [3, 19, 16], [18, 15], [17, 7, 11, 6], [5, 1, 12], [2, 9], [10, 20, 13, 22, 23, 21, 24]]
46: [[16, 8, 12], [4, 3, 19, 18], [15, 17, 7, 11, 14], [6, 5, 1, 2, 9, 10, 20, 13, 22, 23, 21, 24]]
47: [[16, 8], [4, 3], [19, 18, 15, 12], [17, 7, 11, 6, 5, 1, 2, 9, 10, 20, 13, 22, 23, 21, 24, 14]]
48: [[16, 8], [4, 3, 19], [18, 15, 17, 7, 11, 6, 5, 1, 2, 9, 10, 20, 13, 22, 23, 21, 24, 12, 14]]
49: [[12, 14], [16, 8, 4, 3], [19, 18, 15, 17, 7, 11, 6, 5, 1, 2, 9, 10, 20, 13, 22, 23, 21, 24]]
