0: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
12: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
13: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
14: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
15: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
16: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
17: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
18: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
19: [[17, 1, 9], [2, 7, 8, 11, 24, 3, 19], [18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
20: [[17, 1, 9], [2, 7, 8, 11, 24, 3, 19], [18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
21: [[17, 1, 9], [2, 7, 8, 11, 24, 3, 19], [18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
22: [[17, 1, 9], [2, 7, 8, 11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
23: [[17, 1, 9], [2, 7, 8, 11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
24: [[17, 1, 9], [2, 7, 8, 11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
25: [[17, 1, 9], [2, 7, 8, 11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
26: [[17, 1, 9], [2, 7, 8, 11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
27: [[17, 1, 9], [2, 7, 8, 11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
28: [[17, 1, 9, 2, 7], [8, 11, 24, 3, 19, 18, 4], [12, 6, 5, 10, 13, 15], [16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
29: [[17, 1, 9, 2, 7], [8, 11, 24, 3, 19, 18, 4], [12, 6, 5, 10, 13, 15], [16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
30: [[17, 1, 9], [2, 7, 8, 11, 24, 3, 19], [18, 4, 12, 6, 5], [10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
31: [[17, 1, 9], [2, 7, 8, 11, 24], [3, 19, 18, 4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
32: [[17, 1, 9, 2, 7], [8, 11, 24], [3, 19, 18, 4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
33: [[17, 1, 9, 2, 7], [8, 11, 24], [3, 19, 18, 4, 6, 12], [5, 13, 15, 16, 29, 10, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
34: [[17, 1, 9, 2, 7], [8, 11, 24], [3, 19, 18, 4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
35: [[17, 1, 9, 2, 7], [8, 11, 24], [3, 19, 18, 4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
36: [[17, 1, 9, 2, 7], [8, 11, 24], [3, 19, 18, 4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
37: [[17, 1, 9, 2, 7], [8, 11, 24], [3, 19, 18, 4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
38: [[17, 1, 9, 2, 7], [8, 11, 24], [3, 19, 18, 4, 12, 6, 5], [10, 13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
39: [[17, 1, 9, 2, 7], [8, 11, 24, 3, 19, 18, 4], [12, 6, 5], [10, 13, 15], [16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
40: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10, 13, 15], [16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
41: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10, 13, 15, 16], [29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
42: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10, 13, 15, 16], [29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
43: [[17, 1, 9, 2, 7, 8], [11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16], [29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
44: [[17, 1, 9, 2, 7, 8], [11, 24, 3], [19, 18, 4, 12, 6, 5, 10], [13, 15, 16], [29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
45: [[17, 1, 9], [2, 7, 8, 11, 24], [3, 19, 18], [4, 12, 6, 5, 10, 13, 15], [16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
46: [[17, 1, 9], [2, 7, 8, 11, 24], [3, 19, 18], [4, 6, 5, 13, 15, 10, 12], [16, 29, 23, 28, 22, 14], [26, 21, 27], [20, 25]]
47: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18], [4, 12, 6, 5, 10, 13, 15], [16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
48: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18], [4, 12, 6, 5, 10, 13, 15], [16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
49: [[17, 1, 9], [2, 7, 8, 11, 24], [3, 19, 18], [4, 12, 6, 5, 10, 13], [15, 16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
50: [[17, 1, 9], [2, 7, 8, 11, 24], [3, 19, 18], [4, 12, 6, 5, 10, 13], [15, 16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
51: [[17, 1, 9], [2, 7, 8, 11, 24], [3, 19, 18], [4, 12, 6, 5, 10, 13], [15, 16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
52: [[17, 1, 9, 2, 7, 8], [11, 24, 3], [19, 18, 4, 12, 6], [5, 10, 13], [15, 16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
53: [[17, 1, 9, 2, 7, 8], [11, 24, 3], [19, 18, 4, 12, 6], [5, 10, 13], [15, 16, 29, 14, 23, 28, 22], [26, 21, 27], [20, 25]]
54: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18], [4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22, 26, 21, 27], [20, 25]]
55: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18], [4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22, 26, 21, 27], [20, 25]]
56: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18], [4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22, 26, 21, 27], [20, 25]]
57: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18], [4, 12, 6], [5, 10, 13, 15, 16, 29, 14], [23, 28, 22, 26, 21, 27], [20, 25]]
58: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10, 13, 15, 16], [29, 14, 23], [28, 22, 26, 21, 27], [20, 25]]
59: [[17, 1, 9], [2, 7, 8], [11, 24, 3, 19, 18], [4, 12, 6], [5, 10, 13, 15, 16, 29], [14, 23, 28, 22, 26, 21, 27], [20, 25]]
