0: [[35, 7, 2], [1, 3, 4, 30], [13, 5, 15, 6, 21], [24, 8, 12, 9, 14], [11, 17, 16, 27, 10, 18], [31, 23, 22, 28], [19, 20, 26, 29, 25, 37, 45, 32], [42, 36, 33, 34], [46, 38, 44], [40, 39, 41], [47, 43, 52, 51, 50, 55], [49, 60, 54, 59, 53, 48, 56, 57, 58]]
38: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 8, 27, 11, 6, 10, 9], [18, 12, 25, 16, 17, 31, 14, 20, 23, 15, 29, 19, 28], [26, 22, 24, 32, 37], [34, 33, 41, 36, 38, 43, 39, 40, 44, 46, 45], [47, 50, 42, 48, 53, 51, 52, 54, 55, 58, 49, 59, 57, 56], [60]]
39: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 6, 26, 10, 8, 11], [9, 14, 15, 25, 18, 16, 17], [12, 19, 22, 23, 28, 20, 27, 24, 29, 31, 48], [56, 49, 33, 37, 34, 39, 32, 44, 41, 38, 40], [43, 42, 36, 46, 54, 45, 53, 47, 50, 51, 52, 55, 59], [57, 58, 60]]
40: [[35, 2, 7, 1, 3, 4, 30], [13, 21, 5, 6], [11, 9, 8, 15, 12, 10, 23, 20, 28, 18, 19, 14, 16, 17, 22], [27, 24, 29, 26, 25, 59, 32, 31, 33, 36], [45, 38, 39, 46, 40, 44, 37, 41, 43, 34, 60, 47, 55, 42, 50, 54, 49, 51, 48, 56, 52, 53, 57, 58]]
41: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 6], [8, 11, 9, 12, 15, 10, 14], [18, 26, 16, 20, 22, 29], [17, 25, 23, 31], [28, 19, 24, 27, 48, 37, 32], [34, 38, 36, 47, 44, 40], [43, 41, 33, 39, 45, 42, 46, 49, 50, 51, 52, 53, 54, 55, 57, 58, 56, 59, 60]]
42: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5], [6, 9, 11, 10, 8, 12, 27, 16, 20], [18, 22, 14, 23, 17, 28, 19], [24, 29, 15, 25, 26, 31, 34, 33, 32, 36, 46, 39, 45, 44, 37, 40, 59], [42, 38, 47, 48, 54, 53, 41, 52, 43, 50, 49, 58, 57, 56, 51, 55, 60]]
43: [[35, 2, 7, 1], [3, 4], [30, 13, 21, 5, 6, 9, 10, 11, 8, 15, 14, 29, 28, 19, 18, 22, 25, 27, 23, 12, 26, 24, 16, 17, 20, 60, 32, 36, 31, 54, 44, 37, 39, 47, 33, 38, 46, 42, 45, 40, 49, 57, 53, 48, 41, 51, 34, 52, 43, 56, 59, 55, 58, 50]]
44: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 14, 5, 8], [9, 11, 10, 15, 12, 29, 23, 24, 6, 17, 18, 19, 22, 27], [20, 26, 25, 28, 45, 31, 41, 36, 34, 46, 32, 33, 42, 37, 38, 39, 40, 43, 44, 54, 51, 16, 48, 47, 50, 52, 49, 53, 60, 55, 57, 56, 58, 59]]
45: [[35, 2, 7, 1], [3, 4], [30, 13, 5, 6, 12, 11, 10, 8, 9, 15, 14, 19, 23, 16, 17, 18, 21, 29, 20, 22, 26, 24, 27, 25, 31, 28, 33, 36, 38, 34, 41, 39, 44, 42, 32, 40, 43, 46, 45, 37, 58, 49, 48, 47, 50, 55, 51], [53, 52, 56, 54, 57, 59, 60]]
46: [[35, 2, 7, 1], [3, 4, 31], [13, 21, 5, 6], [8, 10, 11, 9, 12, 14, 17], [15, 16, 22, 23, 18, 25, 30, 26, 20, 19, 24, 29, 27, 28, 33, 45], [38, 32, 57, 36, 34, 42], [47, 40, 37, 39, 43, 41, 44], [49, 52, 48], [50, 46, 51], [53, 54, 55, 56, 58, 60, 59]]
47: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 6, 25, 11, 8, 15, 10, 14], [9, 12, 17], [16, 19, 23, 18, 26, 22, 24, 20, 27, 28, 60, 31, 32, 36, 48, 52, 33, 37], [38, 29, 45, 39, 42, 41, 40, 34, 49, 43, 50, 44, 55, 46, 47, 53, 51, 57, 58, 54], [59, 56]]
48: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 6, 11, 8, 9, 10], [12, 14, 15, 16, 19, 22, 17, 25], [18, 28, 20, 23, 24, 26, 27], [31, 29, 33, 37, 32, 36, 34, 47, 38, 42, 40, 39, 46, 41, 43, 57, 49, 45, 55, 50, 44, 54, 48, 51, 52, 53, 56, 58, 59, 60]]
49: [[35, 2, 1, 3], [4, 14, 22], [13, 5, 21, 6, 27, 8], [30, 28, 7, 9], [23, 24, 10, 11, 19, 12, 25, 31, 15, 16, 18, 17, 20, 26, 29, 33, 45, 50, 32, 44, 38, 37, 39, 36, 42, 34, 46, 40, 41, 60, 47, 48, 43, 54, 51, 52, 55, 57, 53, 49, 56, 58, 59]]
50: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 6, 8, 10, 9], [11, 12, 15], [14, 16, 22, 18, 17, 19, 20, 26, 24, 25, 28, 27, 31, 29, 32, 33, 23, 34, 40, 36, 44, 37, 38, 41, 43, 45, 46, 42, 47, 39, 50, 48, 51, 52, 53, 54, 55, 57, 56, 58, 49, 59, 60]]
51: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5], [6, 11, 8, 9, 10, 12, 14, 20, 15, 18, 22, 16, 19, 31, 29, 23, 17, 24, 26, 25, 27, 28, 41, 37, 34], [36, 45, 47, 33, 40, 42, 32, 38, 39, 43, 44, 52, 50, 48, 46, 49, 54, 51, 53, 58, 57], [56, 55, 59, 60]]
52: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 6, 9, 14, 15, 10], [8, 12, 11, 28, 27, 19, 20, 16, 18, 22, 17, 26, 25, 23, 29, 24, 31, 33], [38, 32, 37, 47, 34, 44, 36, 42, 39, 41, 40, 45, 51, 57, 49, 46, 52, 48, 53, 54, 43, 50, 58, 60, 56, 55, 59]]
53: [[35, 2, 7, 1], [3, 4, 30], [13, 25, 5, 6], [9, 10, 8, 15, 11, 12, 14], [19, 16, 17, 18, 20, 26, 21, 27, 31, 29, 22, 23, 24, 28, 33, 39, 32, 34, 40, 37, 36, 46, 38, 47, 41, 42, 43, 44, 45, 48, 51, 49, 54, 50, 59, 53, 55, 52, 57, 60, 58, 56]]
54: [[35, 2, 7, 1], [3, 4, 30], [13, 5, 21, 6], [9, 10, 8, 12, 11, 14], [15, 26, 18], [17, 16, 22], [23, 20, 19, 27, 28, 25], [24, 31, 29, 32], [38, 34, 37, 45, 33], [43, 36, 40, 39, 41, 46, 42], [49, 50, 44, 47, 48, 52], [51, 53, 54, 55, 58], [59, 56, 57, 60]]
55: [[35, 7, 2, 1], [3, 4, 30, 13], [5, 10, 6, 27, 8], [9, 15, 11, 14, 12], [17, 18, 19, 21, 16, 24], [23, 22, 28, 25, 20], [26, 29, 31, 32, 39, 36, 40, 37], [34, 33, 46, 38, 44, 41, 42], [43, 47, 45, 48, 50], [49, 55, 53, 54, 51, 59, 57, 58, 56, 52, 60]]
56: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 5, 14, 11, 8, 9, 10], [12, 15, 6, 25, 19, 17, 18, 22, 23, 20, 26, 28, 16, 27, 31, 29, 24, 33, 39, 34, 56], [46, 38, 32, 40, 37, 44, 42], [36, 43, 45], [53, 41, 47, 48, 55, 51, 52, 54], [49, 50, 57, 59, 60, 58]]
57: [[35, 2, 7, 1, 3, 4, 30], [13, 21, 6, 5], [8, 9, 10, 14, 27, 15, 11, 22, 16, 12], [18, 17, 19, 20, 23], [28, 24, 25, 26], [29, 57, 33], [36, 31, 34, 32, 45, 39, 42, 37, 46], [43, 38, 40, 44, 41, 52, 49, 47, 50], [54, 51, 53], [48, 56, 60, 55, 59, 58]]
58: [[35, 2, 7, 1], [3, 4, 30, 13], [5, 21, 6, 8], [9, 11, 10, 12, 14, 19, 27, 18, 31, 16], [20, 15, 23, 25, 26, 17, 24, 29, 22, 28, 32], [44, 42, 34], [39, 36, 41, 33], [37, 38, 45, 47, 40, 43, 46, 58, 49, 57, 52, 50, 51, 54, 53, 48, 55, 56, 59, 60]]
59: [[35, 2, 7], [1, 3, 4], [30, 13, 5, 21, 6, 9, 10, 8, 11, 20, 15], [14, 12, 16, 19, 17, 26, 23, 22, 18, 27], [28, 24, 31, 25, 29, 36, 44, 33, 37, 47, 34, 38, 45, 40, 39, 43, 32, 46, 42, 57, 41, 50, 48, 51, 52, 49, 53, 55, 54, 59, 58, 56, 60]]
60: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 5, 6, 9], [11, 8, 10, 14, 12, 15, 17, 26], [16, 18, 20, 23, 31, 22], [19, 24, 25, 27, 28], [29, 41, 37, 38], [33, 36, 34, 43], [32, 47, 39, 40, 44, 42, 45, 60], [48, 46, 50, 53, 49, 51, 54, 52, 55], [59, 57, 58, 56]]
61: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 5, 6, 9, 11, 8, 10], [12, 14, 15, 17, 18, 20], [19, 16, 23, 24, 22], [26, 25, 29, 27, 31], [28, 41, 33, 36], [45, 34, 40, 47], [43, 39, 37, 32, 44, 42, 46, 51], [49, 59, 50, 55, 53, 54, 38, 48, 52], [60, 56, 58, 57]]
62: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 10, 12, 8], [15, 14, 11, 24], [20, 22, 16, 19, 17], [31, 27, 18, 26, 28], [23, 25, 29, 33], [44, 32, 37, 36], [38, 45, 40, 39, 41], [34, 46, 42, 43], [47, 48, 51, 50], [54, 52, 49, 53, 55], [59, 56, 57, 58, 60]]
63: [[35, 2, 6], [1, 3, 4, 30, 13, 5, 7], [10, 31, 26, 8, 12, 9, 15], [11, 21, 16], [14, 17, 18, 22, 23, 19, 24], [25, 20, 27, 29, 28, 37, 45, 32], [46, 44, 40, 41], [33, 38, 34], [36, 42, 43], [39, 47, 48, 51, 59, 50], [49, 53, 52, 58, 55, 56, 54, 57, 60]]
64: [[35, 2, 7], [1, 3, 4, 30], [13, 5, 17, 6], [11, 14, 9, 10, 8, 15, 12], [24, 16, 19, 18], [21, 27, 20, 22, 23], [28, 25, 31, 26, 29, 37, 38, 34, 39, 32, 33, 47, 44, 40, 41], [36, 42, 58, 45, 60, 43, 46, 48, 54, 50], [53, 49, 55, 51, 57, 52, 56, 59]]
65: [[35, 2, 7, 1], [3, 4, 31], [13, 25, 9, 6], [11, 10, 8, 15, 17, 5, 14], [19, 16, 20, 21, 18, 22, 24, 26, 27, 23, 28, 29, 30, 12, 33], [45, 34, 32, 40, 36, 37], [46, 38], [42, 39, 41, 43, 44, 47], [54, 51], [48, 50, 57, 55, 49, 52, 56, 53, 59, 60, 58]]
66: [[35, 2, 7, 1, 3, 4], [30, 13, 21, 5], [12, 9, 10, 11, 14, 6, 8], [20, 15, 16, 18, 22], [25, 19, 17, 24, 26, 27, 23], [29, 28, 31, 32, 42], [33, 52, 40, 37], [39, 34, 46, 36, 38, 44, 45], [48, 49, 43, 47, 41, 50, 51, 54, 53, 55, 57, 58, 59], [56, 60]]
67: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 5, 14, 9, 8, 11, 6], [15, 10], [28, 31, 16, 12, 23, 27, 17, 18, 19, 25, 24, 20, 26, 29, 22, 33, 32, 37, 34, 44, 36, 38, 39, 46, 45, 41, 42, 43, 50, 49], [40, 47, 48, 55, 59, 51, 52, 54], [58, 53, 56, 57, 60]]
68: [[35, 2, 7, 1, 3, 4], [30, 13, 21, 5], [6, 11, 8, 9, 15, 14, 10], [28, 31, 27, 18, 16, 12, 25, 22, 17, 19, 20], [23, 24, 29, 26, 48, 36, 33, 45, 38, 39, 37, 43, 34, 32, 40, 41, 42], [44, 60, 46, 55, 47, 52, 50, 51, 53, 57, 56, 54], [49, 59, 58]]
69: [[35, 2, 7, 1, 3, 4], [30, 13, 21, 5, 6, 9, 10, 8, 12, 28, 14, 31, 25, 16, 11, 20, 19, 15, 18, 22, 27, 17, 23, 24, 26, 29, 33, 32, 48, 37, 45, 38, 34, 42, 36, 40, 41, 46, 47, 52, 49, 43, 53, 55, 39, 57, 44, 50], [58, 54, 60, 51, 59, 56]]
70: [[35, 2, 7, 1], [3, 4, 30, 13], [5, 21, 6, 8, 11, 9, 15, 12, 14, 29, 26, 19], [10, 22, 17, 18], [31, 16, 20], [23, 24, 25, 44, 60, 32, 36, 43, 42, 58, 38, 27, 33, 28, 39, 37, 40], [49, 34, 45, 57, 46, 47, 41], [56, 51, 48, 55, 50], [52, 53, 59, 54]]
71: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 10, 25, 8, 6, 11], [9, 12, 14, 15], [18, 20, 16, 27], [23, 22, 17], [24, 19, 26, 28], [54, 29, 53], [49, 38, 31, 40, 37, 41], [34, 43, 39], [42, 45, 32, 47], [33, 50, 36, 52, 44, 46, 48], [55, 58, 56, 51, 59, 57, 60]]
72: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 22, 26, 8, 6], [12, 9, 10, 15, 11, 19], [14, 20, 16, 23], [17, 18, 27, 25], [28, 31, 24, 29, 33, 34, 40, 36, 37, 38], [46, 42, 32, 41, 56, 47, 45, 43, 44, 49, 51, 48, 59, 55, 39], [50, 53, 54, 57], [52, 58, 60]]
73: [[35, 2, 7, 1, 3, 4], [30, 13, 5, 12, 6, 11, 8, 10, 9, 25, 15, 20, 14, 17, 16, 24, 22, 27, 23, 19, 21, 18, 29, 26, 31, 28, 33, 52], [50, 32, 39, 36, 44, 43, 37, 47, 40, 41, 42, 34, 45, 55, 38, 57, 46, 48, 56, 49, 54, 51, 59, 58, 53, 60]]
