0: [[7, 11], [1, 2], [3, 6, 10, 14], [9, 8, 12, 13, 5], [15, 16, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
25: [[7, 11], [1, 2, 3], [6, 10, 14, 4], [9, 8], [12, 13, 5], [15, 16, 18], [17, 22, 19, 20, 23, 21, 24]]
26: [[7, 11], [1, 2], [3, 6, 10, 9], [8, 12, 5], [13, 15], [16, 18], [17, 22, 14, 4], [19, 20, 23], [21, 24]]
27: [[7, 11], [1, 2, 3], [6, 10, 14], [9, 8], [12, 13, 5], [15, 16, 4], [18, 17], [22, 19, 20, 23, 21, 24]]
28: [[5, 14, 7, 4], [11, 2, 3, 6, 10, 9, 1], [8, 12, 13, 15, 16, 18, 17, 22], [19, 20, 23, 21, 24]]
29: [[7, 11], [1, 2], [3, 6], [10, 9, 14], [8, 12, 5], [13, 15, 16, 4], [18, 17, 22], [19, 20, 23], [21, 24]]
30: [[7, 11, 1], [2, 3], [6, 10, 9, 14], [8, 12, 5], [13, 15], [16, 18], [17, 22, 19, 4], [20, 23, 21, 24]]
31: [[7], [11, 1, 2], [3, 6], [10, 9, 8, 14], [12, 13, 5], [15, 16], [18, 17], [22, 19, 4], [20, 23], [21, 24]]
32: [[7], [11, 1, 2, 3, 6, 10], [9, 8], [12, 13, 14], [15, 16, 18], [17, 22, 5, 4], [19, 20, 23], [21, 24]]
33: [[5, 14, 4, 7], [11, 1, 2, 3, 6, 10], [9, 8, 12, 13, 15], [16, 18], [17, 22, 19, 20, 23, 21, 24]]
34: [[5, 14, 4, 7], [11, 1], [2, 3, 6, 10, 9, 8, 12, 13], [15, 16, 18, 17, 22, 19, 20, 23], [21, 24]]
35: [[5, 14], [7, 11, 1, 2, 3, 6, 4, 10], [9, 8, 12, 13, 15, 16, 18, 17], [22, 19, 20, 23], [21, 24]]
36: [[7], [11, 1, 2], [3, 6, 10, 14], [9, 8], [12, 13, 5], [15, 16, 4], [18, 17, 22], [19, 20, 23, 21, 24]]
37: [[7, 11, 1], [2, 3, 6], [10, 9, 8, 14], [12, 13, 15, 16, 4], [18, 17, 22, 5], [19, 20, 23], [21, 24]]
38: [[7, 11, 1], [2, 3], [6, 10, 14, 4], [9, 8, 5], [12, 13, 15], [16, 18, 17, 22], [19, 20, 23, 21, 24]]
39: [[5, 14], [4, 7, 11, 1, 2, 3, 6, 10, 9, 8, 13, 12], [15, 16, 18, 22, 19, 20, 17], [23], [21, 24]]
40: [[7, 11, 1], [2, 3], [6, 10, 14, 4], [9, 8], [12, 13, 5], [15, 16, 18], [17, 22, 19, 20, 23, 21, 24]]
41: [[5, 14, 4, 7, 11, 1, 2], [3, 6, 10, 9, 8, 12, 13, 15, 16, 18], [17, 22, 19, 20, 23, 21, 24]]
42: [[7], [11, 1], [2, 3], [6, 10, 14], [9, 8], [12, 13], [15, 16, 18], [17, 22, 5, 4], [19, 20, 23], [21, 24]]
43: [[7], [11, 1, 2], [3, 6, 10, 14, 4], [9, 8, 12, 13, 5], [15, 16, 18, 17, 22, 19, 20, 23, 21, 24]]
44: [[5, 14, 4, 7], [11, 1, 2], [3, 6], [10, 9, 8, 12, 13, 15, 16], [18, 17, 22, 19, 20, 23, 21, 24]]
45: [[7, 11, 1, 2, 4], [3, 6], [10, 9, 14], [8, 12, 13, 5], [15, 16, 18, 17, 22, 19, 20, 23, 21, 24]]
46: [[7], [11, 1], [2, 3], [6, 10, 14], [9, 8, 5], [12, 13, 15, 16, 4], [18, 17, 22], [19, 20, 23], [21, 24]]
47: [[7], [11, 1], [2, 3, 6], [10, 9, 14, 4], [8, 12, 13, 5], [15, 16, 18, 17, 22, 19, 20, 23, 21, 24]]
48: [[7], [11, 1], [2, 3], [6, 10, 14, 4], [9, 8, 5], [12, 13, 15], [16, 18, 17, 22, 19, 20, 23, 21, 24]]
49: [[7, 11, 1], [2, 3], [6, 10, 14, 4], [9, 8, 12, 5], [13, 15, 16, 18, 17, 22, 19, 20, 23, 21, 24]]
