0: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 11, 24], [8, 13, 9, 14, 6, 21], [15, 27, 16, 17, 10, 18], [20, 19, 31, 30, 25], [22, 23, 28, 26], [29, 37, 32, 34, 33, 36], [38, 46, 39, 41, 47, 45], [43, 42], [44, 51, 48, 50], [49, 57], [55, 53, 52, 58, 56, 59, 60]]
52: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 25, 10], [14, 8, 6, 28, 26, 13, 11, 9, 17], [18, 19, 27, 15, 16, 21, 23], [22, 20, 31, 24, 29, 30, 37, 32, 33], [34, 36, 47, 39, 41, 42, 43, 38, 45, 46], [44, 49, 50, 52, 56, 48, 53, 51, 55, 58, 60, 59, 57]]
53: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12], [24, 26, 9, 10], [6, 8], [11, 14, 15, 13, 30, 16], [29, 19, 21, 17], [18, 27, 23, 22, 20, 28, 25, 31], [37, 32, 33, 36, 38, 34, 46], [39, 42, 41, 47, 43, 44, 45, 50, 52], [56, 49, 48, 53, 51, 57, 55], [59, 58, 60]]
54: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 26, 11, 8, 6], [25, 27, 10, 13, 28, 9, 23, 15, 17, 19, 16, 14, 22, 18, 20, 21, 29, 30, 31, 37, 32, 33, 34, 36, 39, 38, 43, 41, 44, 46, 42, 47, 45, 50, 52, 58, 48, 56, 53, 55, 49, 60, 59, 51, 57]]
55: [[40, 54, 1, 35, 7, 2, 3], [4, 5, 12, 25, 20, 10], [6, 8, 9, 18, 29, 13, 14, 11, 27, 15], [22, 19], [16, 24, 17, 23, 21, 26], [28, 30, 31, 37], [32, 34, 33, 38, 36, 42, 47], [39, 41, 46, 44, 43, 45], [50, 48, 56, 58, 52, 53, 60], [57, 49, 51, 55, 59]]
56: [[40, 54, 1, 35, 7, 3, 2, 4, 5, 12, 24], [28, 9, 6, 26, 11, 8, 14, 15, 19, 22], [13, 16, 17, 10, 21, 20, 18, 30, 31, 25, 23, 53, 27, 29, 38, 32, 36, 45, 33, 42, 41, 34, 39, 43, 44, 47, 37, 49, 60, 50, 46, 51, 48, 52, 55, 58, 57, 56, 59]]
57: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12, 24, 30, 6], [8, 10, 29, 13, 11, 27, 9, 14, 21, 19, 20, 15], [16, 22, 17, 28, 25, 18, 26, 23, 31, 37, 33, 32, 38, 34, 44, 36, 39, 41, 42, 47, 43, 46, 49, 51, 52, 45, 48, 56, 53, 50, 55, 60, 57, 59, 58]]
58: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 28, 14, 8, 10, 13, 6], [15, 9, 11, 18, 17, 23, 22, 19, 16, 20, 25, 26, 21, 30, 27, 29, 31, 36, 34, 33, 32, 38, 37, 42, 47, 39, 41, 46, 44, 43, 45, 51, 48, 58, 50, 49, 53, 52, 55, 56, 59, 57, 60]]
59: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 28, 20, 10], [6, 14, 18, 8, 25, 13, 15, 24], [27, 11, 16, 21, 19, 26, 9, 30, 22, 17, 23, 29, 53, 37, 32], [33, 31, 36, 44, 47, 39, 38], [60, 34, 42, 43, 41, 51, 49, 58, 56, 45, 46, 48, 50, 52, 55, 57, 59]]
60: [[40, 54, 1, 35, 7, 2, 3], [4, 5], [12, 25, 24, 9, 13, 8], [10, 6, 21, 11], [29, 18, 31, 14, 16, 15], [27, 19], [22, 17, 30, 23], [28, 20], [26, 36, 32, 50, 33, 34, 38], [46, 37, 45, 41, 47, 42, 43, 44, 59, 39, 56, 48, 52, 55, 49, 51, 58, 53, 57, 60]]
61: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 27, 10], [6, 8, 13], [9, 14, 15, 11, 17], [23, 25, 16, 20, 19, 26, 18, 22, 21, 28, 31, 30, 29, 37, 32, 42, 34], [33, 38, 46, 36, 43, 39, 41, 44, 45, 47, 53, 48, 49, 52, 60, 55, 50, 51, 59, 56, 57, 58]]
62: [[40, 54, 1, 35], [7, 2, 3, 4, 5, 12, 24, 29, 8, 9, 14, 17, 11, 6, 31, 10, 13, 15, 21, 18, 20, 22, 19, 16, 27, 23, 30, 25, 26, 44, 37, 32, 28, 33, 34, 38, 42, 36, 45, 41, 46, 39, 47, 43], [51, 48, 56, 50, 53, 55, 52, 60, 57, 49, 59, 58]]
63: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 25, 18], [14, 6, 11, 27, 8, 10, 15], [16, 29, 21, 26, 9, 19], [13, 20, 17, 31, 24, 22, 23, 28, 30], [33, 41, 36, 32, 38, 34, 37, 43, 45], [39, 42, 46, 44, 47, 51, 48, 56, 50, 52, 49, 59, 53, 60, 58, 57, 55]]
64: [[40, 54, 1, 35, 7, 2, 3, 4], [5, 12, 24, 23, 8, 11, 10, 17, 22, 6, 15, 9, 14, 26, 13, 19], [18, 16, 20, 25, 21, 28], [27, 31], [30, 29, 37, 32, 34, 33, 38], [42, 46, 45, 44, 43, 36, 47, 39], [41, 51, 48, 50, 49, 57, 52, 55, 53, 59, 56, 60, 58]]
65: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12], [24, 26, 10], [6, 8], [16, 11, 28, 29, 15, 9], [19, 14, 20, 27], [13, 22, 17, 18, 21, 23], [31, 25, 30, 37], [32, 34, 33], [38, 36, 44, 42], [47, 43, 39, 41, 45, 46], [50, 48, 49, 52, 56, 55, 53], [51, 57, 58, 59, 60]]
66: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12, 10], [26, 6, 9, 25, 8, 14, 13, 15, 27, 16, 11], [18, 19, 23, 21, 17, 31, 24, 20, 22], [30, 28, 29, 36, 32, 33, 37, 34], [44, 47, 43, 45], [39, 41, 42, 38], [46, 51, 48], [50, 53, 52, 56, 57, 55, 58, 60, 59, 49]]
67: [[40, 54, 1, 35, 7, 2, 3], [4, 5, 12, 25, 10, 11, 8, 6, 13, 14, 9, 18, 19, 17, 29, 15], [16, 22, 23, 21, 20, 24, 26, 31, 27, 30, 28, 32, 48, 38, 34, 33, 46, 47, 41, 43, 37], [36, 39, 44, 42, 51, 45, 50, 49, 52, 56, 53, 55, 59, 58, 60, 57]]
68: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12, 24, 22], [10, 9, 11, 8, 14, 26], [13, 6, 17, 27, 15], [18, 16, 23, 19], [20, 21, 30, 25, 28, 31], [29, 36, 32, 34, 33, 37], [39, 44], [38, 45, 43, 46, 42, 41, 47, 51, 48], [58, 49, 50, 53, 52, 55, 60, 57, 56, 59]]
69: [[40, 54, 1, 35, 7, 2, 3, 4], [5, 12, 25, 22, 6, 9], [11, 21], [8, 10, 19, 13, 26, 27, 15, 20, 14, 17, 18, 16, 23, 24, 29, 28, 30, 31, 37], [32, 33, 34, 38, 36, 45, 39, 42, 41, 43, 46, 44, 47], [51, 52, 49, 50, 48, 53, 60, 57, 55, 59, 56, 58]]
70: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 11, 25], [8, 9, 10, 22, 6, 21], [15, 17, 13, 20, 14, 18], [26, 16, 31, 19, 24], [28, 23, 27, 29, 30, 37, 32, 34, 33], [36, 38, 46, 43, 41, 39, 45, 47, 42, 44, 51, 52, 50, 48, 53, 55, 57, 49, 56, 58, 59, 60]]
71: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 24, 28, 6], [9, 22, 14, 8], [10, 15, 25, 16, 21], [23, 11, 18], [30, 13, 17, 19], [20, 27, 31], [26, 29, 36, 56, 42], [32, 33, 47, 46, 37, 34], [41, 44, 38, 43], [45, 51, 52, 39], [49, 48, 50], [53, 55, 57, 58, 59, 60]]
72: [[40, 54, 1, 35, 7, 2], [3], [4, 5, 12, 11], [18, 9, 13, 6, 8, 29, 10, 15, 25], [22, 21, 14, 30, 16, 27, 17, 19, 24, 20, 31, 23, 26, 28, 36, 32, 50, 33, 34, 39, 44, 37, 47, 43, 38, 42, 41, 46, 51, 56, 45, 48, 49, 55, 52, 53, 57, 58, 59, 60]]
73: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 26, 9, 10, 14, 13, 6, 8, 31], [22, 28, 11, 20, 18, 15], [16, 21, 23, 17, 19], [29, 25, 27, 30, 33, 41, 32, 34], [44, 38, 46, 36, 42, 45, 47, 39, 49, 43, 51, 48, 50, 53, 37, 55, 52, 56, 59, 57, 60, 58]]
