0: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20], [22], [23, 21, 24]]
17: [[2, 3], [1, 11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19], [20, 22], [23, 21, 24]]
18: [[2, 3], [1, 11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8, 15], [18, 17, 19], [20, 22], [23, 21, 24]]
19: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9, 12, 14], [10, 8], [15, 18, 17], [19, 20, 22], [23, 21, 24]]
20: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13], [9, 12, 14], [10, 8, 15, 18], [17, 19], [20, 22], [23, 21, 24]]
21: [[2, 3], [1, 11, 7], [16, 5, 4], [6, 13], [9, 12], [14, 10, 8], [15, 18], [17, 19, 20], [22], [23, 21, 24]]
22: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13], [9, 12, 14], [10, 8, 15], [18, 17], [19, 20, 22], [23, 21, 24]]
23: [[2, 3, 1], [11, 7], [16, 5], [4, 6, 13], [9, 12], [14, 10, 8], [15, 18, 17], [19, 20, 22], [23, 21, 24]]
24: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19], [20, 22, 23], [21, 24]]
25: [[2, 3], [1, 11, 7], [16, 5], [4, 6, 13], [9, 12], [14, 10, 8], [15, 18], [17, 19, 20], [22], [23, 21, 24]]
26: [[2, 3], [1, 11], [7, 16, 5], [4, 6, 13, 9], [12, 14, 10], [8, 15], [18, 17], [19, 20, 22], [23, 21, 24]]
27: [[2, 3], [1, 11], [7, 16, 5], [4, 6, 13], [9, 12, 14, 10], [8, 15], [18, 17, 19], [20, 22], [23, 21, 24]]
28: [[2, 3], [1, 11], [7, 16, 5], [4, 6, 13], [9, 12, 14], [10, 8], [15, 18], [17, 19, 20], [22], [23, 21, 24]]
29: [[2, 3], [1, 11], [7, 16, 5], [4, 6], [13, 9, 12], [14, 10, 8], [15, 18, 17], [19, 20], [22], [23, 21, 24]]
30: [[2, 3], [1, 11], [7, 16, 5], [4, 6, 13], [9, 12], [14, 10, 8], [15, 18, 17], [19, 20, 22], [23, 21, 24]]
31: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9], [12, 14, 10, 8], [15, 18], [17, 19, 20], [22, 23, 21], [24]]
32: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9, 12], [14, 10], [8, 15, 18], [17, 19, 20, 22, 23, 21, 24]]
33: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13], [9, 12, 14], [10, 8, 15], [18, 17, 19], [20, 22, 23, 21, 24]]
34: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18, 17, 19, 20, 22, 23, 21, 24]]
35: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8, 15], [18, 17, 19], [20, 22, 23, 21], [24]]
36: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9], [12, 14, 10, 8], [15, 18, 17], [19, 20], [22, 23, 21], [24]]
37: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14, 10, 8, 15, 18, 17, 19, 20, 22, 23, 21, 24]]
38: [[2, 3, 1], [11, 7], [16, 5], [4, 6, 13], [9, 12, 14], [10, 8, 15], [18, 17, 19], [20, 22, 23, 21, 24]]
39: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9, 12, 14, 10, 8, 15, 18, 17, 19, 20, 22, 23, 21, 24]]
40: [[2, 3], [1, 11, 7], [16, 5], [4, 6, 13], [9, 12, 14, 10], [8, 15, 18], [17, 19, 20], [22, 23, 21], [24]]
41: [[2, 3], [1, 11], [7, 16], [5, 4, 6], [13, 9, 12], [14, 10, 8], [15, 18, 17], [19, 20], [22, 23, 21], [24]]
42: [[2, 3, 1], [11, 7, 16], [5], [4, 6, 13], [9, 12, 14, 10, 8, 15, 18, 17, 19, 20, 22, 23, 21, 24]]
43: [[2, 3, 1], [11, 7, 16, 5, 4, 6, 13, 9, 12, 14, 10], [8, 15, 18, 17, 19, 20, 22, 23, 21, 24]]
44: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9], [12, 14, 10], [8], [15, 18, 17], [19, 20, 22, 23, 21], [24]]
45: [[2, 3], [1, 11, 7], [16, 5], [4, 6, 13], [9, 12, 14], [10, 8, 15], [18, 17, 19], [20, 22, 23, 21, 24]]
46: [[2, 3], [1, 11, 7], [16, 5], [4, 6, 13], [9, 12, 14], [10, 8, 15], [18, 17, 19], [20, 22, 23], [21, 24]]
47: [[2, 3], [1, 11, 7], [16, 5, 4, 6, 13, 9, 12, 14, 10, 8, 15, 18, 17, 19, 20, 22, 23, 21, 24]]
