0: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 28, 24, 14], [21, 25, 20, 26, 27, 29]]
16: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 23, 16, 24, 28], [21, 25, 20, 26, 27, 29]]
17: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 16, 28], [21, 25, 20, 26, 27, 29]]
18: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 16, 28], [21, 25, 20, 26, 27, 29]]
19: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
20: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
21: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 16, 28], [21, 25, 20, 26, 27, 29]]
22: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
23: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
24: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
25: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
26: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
27: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
28: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 23, 16, 28, 24, 14], [21, 25, 20, 26, 27, 29]]
29: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
30: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
31: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 28, 24, 14], [21, 25, 20, 26, 27, 29]]
32: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 28, 24, 14], [21, 25, 20, 26, 27, 29]]
33: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 28, 24, 14], [21, 25, 20, 26, 27, 29]]
34: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12, 22], [17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
35: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12, 22], [17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
36: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12, 22], [17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
37: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12, 22], [17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
38: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12, 22], [17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
39: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12, 22], [17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
40: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12, 22], [17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
41: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
42: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 16, 28], [21, 25, 20, 26, 27, 29]]
43: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 28, 24, 14], [21, 25, 20, 26, 27, 29]]
44: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 24, 28, 23], [21, 25, 20, 26, 27, 29]]
45: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 24, 14, 28, 23], [21, 25, 20, 26, 27, 29]]
46: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 23, 24, 16, 28], [21, 25, 20, 26, 27, 29]]
47: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
48: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
49: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
50: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
51: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
52: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
53: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
54: [[1, 6, 5, 2, 19, 9, 7], [10, 3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
55: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 20, 16, 23], [21, 25, 28, 26, 27, 29]]
56: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 20, 14, 24, 23], [21, 25, 28, 26, 27, 29]]
57: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 20, 28, 24], [21, 25, 23, 26, 27, 29]]
58: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 27, 28, 14], [21, 25, 20, 26, 24, 29]]
59: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 20, 28, 26], [21, 25, 23, 24, 27, 29]]
