0: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
26: [[7, 14, 5, 11, 19], [2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
27: [[7, 14, 5, 11, 19], [2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
28: [[7, 14, 5], [11, 19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
29: [[7, 14, 5], [11, 19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
30: [[7, 14, 5], [11, 19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
31: [[7, 14, 5], [11, 19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
32: [[7, 14, 5], [11, 19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
33: [[7, 14], [5, 11, 19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
34: [[7, 14, 5, 11, 19], [2, 9, 1, 8], [22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
35: [[7, 14, 5, 11, 19], [2, 9, 1, 8], [22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
36: [[7, 14, 5, 11, 19], [2, 9, 1, 8], [22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
37: [[7, 14, 5, 11], [19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
38: [[7, 14, 5, 11], [19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
39: [[7, 14, 5], [11, 19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
40: [[7, 14, 5], [11, 19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
41: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21], [18, 24], [23, 3, 6, 10, 16, 17]]
42: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18, 24], [23, 3], [6, 10, 16, 17]]
43: [[7, 14, 5, 11], [19, 2, 9, 1, 8], [22, 12, 13, 20, 15, 4, 21, 18, 24], [23, 3], [6, 10, 16, 17]]
44: [[7, 14, 5, 11], [19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21], [18, 24], [23, 3, 6, 10, 16, 17]]
45: [[7, 14, 5, 11], [19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21], [18, 24], [23, 3, 6, 10, 16, 17]]
46: [[7, 14, 5], [11, 19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18, 24], [23, 3], [6, 10, 16, 17]]
47: [[7, 14, 5, 11, 19], [2, 9, 1, 8], [22, 12, 13, 20, 15, 4, 21, 18, 24], [23, 3], [6, 10, 16, 17]]
48: [[7, 14, 5], [11, 19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21], [18, 24], [23, 3, 6, 10, 16, 17]]
49: [[7, 14, 5], [11, 19, 2, 9], [1, 8, 22, 12, 13, 20, 15, 4, 21], [18, 24], [23, 3, 6, 10, 16, 17]]
