0: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
28: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 18, 14, 23, 19], [21, 26, 25, 27, 29]]
29: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 19, 14, 18, 23], [21, 26, 25, 27, 29]]
30: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
31: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 23, 14, 18, 19], [21, 26, 25, 27, 29]]
32: [[24, 28, 5, 6, 2], [17, 1, 9, 13, 16, 10], [3, 8, 4, 11, 15, 12], [20, 22, 7, 18, 19, 23, 14], [21, 26, 25, 27, 29]]
33: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 23, 14, 19, 18], [21, 26, 25, 27, 29]]
34: [[24, 28, 5, 6, 2, 18], [17, 1, 13, 9, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 23, 10, 19, 14], [21, 26, 25, 27, 29]]
35: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12, 20], [22, 7, 23, 14, 19, 18], [21, 26, 25, 27, 29]]
36: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12, 20], [22, 7, 23, 14, 19, 18], [21, 26, 25, 27, 29]]
37: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16, 11], [8, 4, 3, 15, 12], [20, 22, 7, 19, 14, 18, 23], [21, 26, 25, 27, 29]]
38: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 19], [3, 8, 4, 11, 15, 12], [20, 22, 7, 14, 16, 23, 18], [21, 26, 25, 27, 29]]
39: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 19], [3, 8, 4, 11, 15, 12], [20, 22, 7, 14, 16, 23, 18], [21, 26, 25, 27, 29]]
40: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 19], [3, 8, 4, 11, 15, 12], [20, 22, 7, 14, 16, 23, 18], [21, 26, 25, 27, 29]]
41: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 20], [3, 8, 4, 11, 15, 12], [14, 22, 7, 18, 16, 23, 19], [21, 26, 25, 27, 29]]
42: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 18, 3], [8, 11, 4, 15, 12], [20, 22, 7, 14, 16, 23, 19], [21, 26, 25, 27, 29]]
43: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16, 3], [8, 4, 11, 15, 12], [20, 22, 7, 19, 14, 18, 23], [21, 26, 25, 27, 29]]
44: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16, 3], [8, 4, 11, 15, 12], [20, 22, 7, 23, 14, 18, 19], [21, 26, 25, 27, 29]]
45: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16, 3], [8, 4, 11, 15, 12], [20, 22, 7, 18, 14, 23, 19], [21, 26, 25, 27, 29]]
46: [[24, 28, 5, 6, 2, 18], [1, 9, 13, 16, 10], [11, 8, 4, 3, 15, 12], [20, 22, 7, 19, 17, 23, 14], [21, 26, 25, 27, 29]]
47: [[24, 28, 5, 6, 2, 10], [1, 9, 13, 16, 18], [11, 8, 4, 3, 15, 12], [20, 22, 7, 19, 17, 23, 14], [21, 26, 25, 27, 29]]
48: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16, 3, 8], [4, 11, 15, 12, 20, 22], [7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
49: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 11, 8], [4, 3, 15, 12, 20], [22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
50: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 11, 8], [4, 3, 15, 12, 20], [22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
51: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 11, 8], [4, 3, 15, 12, 20], [22, 7, 19, 14, 18, 23], [21, 26, 25, 27, 29]]
52: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 11, 8], [4, 3, 15, 12, 20], [22, 7, 18, 23, 19, 14], [21, 26, 25, 27, 29]]
53: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 11, 8], [4, 3, 15, 12, 20], [22, 7, 23, 14, 19, 18], [21, 26, 25, 27, 29]]
54: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 11, 8], [4, 3, 15, 12, 20], [22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
55: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 11, 8], [4, 3, 15, 12, 20], [22, 7, 14, 18, 19, 23], [21, 26, 25, 27, 29]]
56: [[24, 28, 5, 6, 2, 17, 10], [1, 9, 13, 16, 3, 8], [4, 11, 15, 20, 12], [22, 7, 18, 19, 23, 14], [21, 26, 25, 27, 29]]
57: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 3, 8], [4, 11, 15, 12, 20], [22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
58: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 18, 3, 8], [4, 11, 15, 12, 20, 22], [7, 16, 23, 19, 14], [21, 26, 25, 27, 29]]
59: [[24, 28, 5, 6, 2, 10, 17], [1, 9, 13, 16, 3, 8], [4, 11, 15, 12, 20, 22], [7, 19, 14, 18, 23], [21, 26, 25, 27, 29]]
