0: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46], [45, 52, 63], [47, 55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60], [74, 67], [65, 70, 66], [68, 69, 64], [71, 76], [75, 72, 73], [77, 78], [79, 80, 82], [81, 87], [83, 84, 85, 86, 88]]
11: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16], [19, 22], [24, 29, 57], [26, 25], [28, 31], [50, 37, 54], [33, 35, 32], [38, 42], [34, 36], [39, 44], [40, 41], [46, 45, 52, 63, 47, 55, 49], [56, 48, 51, 61, 53, 62], [58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
12: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14, 20], [27, 21, 17], [18, 16, 19], [22, 24], [29, 57, 26], [25, 28, 31], [50, 37], [54, 33, 35], [32, 38], [42, 34], [36, 39, 44], [40, 41, 46], [45, 52, 63, 47, 55, 49, 56], [48, 51, 61, 53], [62, 58, 59, 60, 74, 67, 65, 70], [66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78], [79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
13: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24, 29], [57, 26, 25], [28, 31, 50], [37, 54], [33, 35], [32, 38, 42, 34], [36, 39, 44, 40], [41, 46, 45], [52, 63, 47], [55, 49, 56], [48, 51, 61], [53, 62, 58, 59], [60, 74], [67, 65, 70, 66], [68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
14: [[12, 43], [23, 13, 1], [2, 6, 3], [7, 4, 5], [10, 9], [8, 30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24, 29], [57, 26, 25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42, 34], [36, 39, 44], [40, 41, 46], [45, 52, 63, 47], [55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60, 74], [67, 65], [70, 66, 68], [69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
15: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16], [19, 22], [24, 29, 57], [26, 25, 28], [31, 50, 37], [54, 33, 35], [32, 38, 42], [34, 36, 39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53], [62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
16: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27, 21], [17, 18], [16, 19, 22], [24, 29, 57, 26], [25, 28, 31, 50, 37], [54, 33], [35, 32], [38, 42], [34, 36], [39, 44, 40], [41, 46, 45], [52, 63, 47], [55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60, 74], [67, 65, 70], [66, 68, 69], [64, 71, 76], [75, 72], [73, 77, 78, 79, 80], [82, 81, 87, 83, 84, 85, 86, 88]]
17: [[12, 43, 23], [13, 1], [2, 6, 3], [7, 4, 5], [10, 9, 8], [30, 11, 15], [14, 20, 27], [21, 17], [18, 16], [19, 22, 24], [29, 57, 26], [25, 28, 31], [50, 37, 54], [33, 35], [32, 38, 42], [34, 36], [39, 44, 40], [41, 46, 45], [52, 63, 47], [55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60], [74, 67, 65], [70, 66], [68, 69, 64, 71], [76, 75, 72], [73, 77, 78], [79, 80, 82], [81, 87, 83], [84, 85, 86, 88]]
18: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29, 57, 26, 25, 28], [31, 50], [37, 54], [33, 35], [32, 38], [42, 34, 36], [39, 44, 40], [41, 46], [45, 52], [63, 47], [55, 49], [56, 48, 51], [61, 53], [62, 58], [59, 60, 74], [67, 65, 70], [66, 68], [69, 64], [71, 76], [75, 72], [73, 77, 78, 79, 80, 82, 81], [87, 83, 84, 85, 86, 88]]
19: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24, 29, 57], [26, 25], [28, 31], [50, 37], [54, 33, 35], [32, 38, 42], [34, 36], [39, 44], [40, 41], [46, 45, 52, 63], [47, 55, 49], [56, 48], [51, 61], [53, 62, 58], [59, 60, 74], [67, 65, 70, 66], [68, 69, 64, 71, 76, 75], [72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
20: [[12, 43], [23, 13], [1, 2, 6], [3, 7, 4], [5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24, 29], [57, 26, 25], [28, 31, 50], [37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46], [45, 52, 63, 47, 55], [49, 56, 48, 51], [61, 53], [62, 58], [59, 60, 74, 67], [65, 70, 66], [68, 69], [64, 71], [76, 75, 72, 73], [77, 78], [79, 80, 82, 81, 87], [83, 84, 85, 86, 88]]
21: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19], [22, 24], [29, 57, 26], [25, 28, 31, 50], [37, 54, 33, 35], [32, 38, 42], [34, 36], [39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56], [48, 51, 61, 53, 62, 58, 59, 60], [74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
22: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29, 57], [26, 25, 28], [31, 50, 37], [54, 33, 35], [32, 38, 42], [34, 36], [39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
23: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8, 30, 11, 15, 14], [20, 27, 21, 17, 18, 16], [19, 22], [24, 29], [57, 26], [25, 28], [31, 50, 37], [54, 33, 35, 32], [38, 42], [34, 36, 39], [44, 40, 41], [46, 45, 52], [63, 47], [55, 49, 56], [48, 51, 61, 53], [62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72], [73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
24: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42, 34, 36, 39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58], [59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
25: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42, 34, 36, 39, 44], [40, 41, 46, 45], [52, 63], [47, 55, 49], [56, 48, 51], [61, 53, 62, 58], [59, 60, 74], [67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
26: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16], [19, 22, 24], [29, 57], [26, 25], [28, 31, 50], [37, 54, 33], [35, 32], [38, 42], [34, 36, 39], [44, 40, 41], [46, 45, 52, 63], [47, 55, 49], [56, 48, 51, 61], [53, 62], [58, 59], [60, 74, 67], [65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
27: [[12, 43], [23, 13], [1, 2, 6], [3, 7, 4], [5, 10, 9], [8, 30, 11], [15, 14, 20], [27, 21, 17], [18, 16, 19], [22, 24], [29, 57, 26], [25, 28, 31], [50, 37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40, 41], [46], [45, 52, 63, 47, 55, 49], [56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73], [77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
28: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26, 25, 28], [31, 50, 37], [54, 33, 35, 32], [38, 42], [34, 36], [39, 44, 40, 41], [46, 45], [52, 63], [47, 55], [49, 56, 48, 51], [61, 53], [62, 58, 59, 60, 74, 67, 65, 70, 66, 68], [69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
29: [[12, 43], [23, 13, 1, 2, 6, 3], [7, 4], [5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24, 29, 57], [26, 25, 28, 31, 50], [37, 54], [33, 35, 32, 38, 42], [34, 36, 39], [44, 40, 41], [46, 45, 52], [63, 47], [55, 49, 56, 48], [51, 61, 53], [62, 58, 59], [60, 74, 67, 65], [70, 66, 68], [69, 64], [71, 76, 75], [72, 73, 77], [78, 79, 80, 82, 81], [87, 83, 84, 85, 86, 88]]
30: [[12, 43, 23, 13, 1, 2], [6, 3], [7, 4, 5], [10, 9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18, 16], [19, 22, 24], [29, 57], [26, 25, 28], [31, 50, 37], [54, 33], [35, 32], [38, 42], [34, 36], [39, 44, 40], [41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66, 68], [69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
31: [[12, 43], [23, 13, 1], [2, 6, 3], [7, 4, 5], [10, 9, 8], [30, 11], [15, 14, 20], [27, 21, 17], [18, 16, 19], [22, 24, 29], [57, 26, 25], [28, 31, 50], [37, 54, 33], [35, 32, 38], [42, 34, 36], [39, 44], [40, 41, 46], [45, 52], [63, 47], [55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60], [74, 67], [65, 70], [66, 68, 69], [64, 71, 76], [75, 72], [73, 77, 78], [79, 80, 82], [81, 87, 83], [84, 85, 86, 88]]
32: [[12, 43, 23, 13, 1], [2, 6, 3, 7, 4, 5], [10, 9], [8, 30], [11, 15], [14, 20], [27, 21, 17], [18, 16, 19], [22, 24], [29, 57, 26], [25, 28, 31], [50, 37, 54, 33], [35, 32], [38, 42], [34, 36, 39, 44], [40, 41, 46], [45, 52], [63, 47], [55, 49, 56], [48, 51, 61], [53, 62, 58, 59], [60, 74, 67, 65], [70, 66, 68], [69, 64, 71], [76, 75, 72], [73, 77, 78], [79, 80, 82, 81], [87, 83, 84], [85, 86, 88]]
33: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24, 29], [57, 26], [25, 28, 31], [50, 37, 54], [33], [35, 32, 38, 42, 34, 36], [39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67], [65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77], [78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
34: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24, 29, 57], [26, 25], [28, 31], [50, 37], [54, 33, 35], [32, 38, 42], [34, 36], [39, 44], [40, 41], [46, 45, 52, 63], [47, 55, 49], [56, 48], [51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71], [76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85], [86, 88]]
35: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26, 25], [28, 31, 50], [37, 54, 33], [35, 32], [38, 42], [34, 36], [39, 44], [40, 41, 46], [45, 52, 63], [47, 55, 49], [56, 48], [51, 61, 53], [62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
36: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16], [19, 22], [24, 29], [57, 26, 25, 28, 31, 50], [37, 54], [33, 35], [32, 38], [42, 34, 36], [39, 44, 40, 41], [46, 45, 52], [63, 47, 55, 49, 56, 48], [51, 61, 53], [62, 58, 59, 60, 74, 67], [65, 70], [66, 68], [69, 64], [71, 76, 75], [72, 73, 77, 78, 79, 80], [82, 81, 87, 83, 84, 85, 86, 88]]
37: [[12, 43, 23, 13, 1], [2, 6, 3, 7, 4, 5], [10, 9], [8, 30], [11, 15], [14, 20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46], [45, 52, 63], [47, 55, 49], [56, 48, 51], [61, 53, 62, 58, 59], [60, 74], [67, 65], [70, 66], [68, 69, 64], [71, 76], [75, 72], [73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
38: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27, 21], [17, 18, 16, 19], [22, 24], [29, 57, 26], [25, 28, 31], [50, 37], [54, 33, 35], [32, 38, 42], [34, 36], [39, 44], [40, 41, 46], [45, 52, 63], [47, 55], [49, 56, 48], [51, 61, 53], [62, 58, 59], [60, 74, 67], [65, 70, 66], [68, 69], [64, 71, 76], [75, 72, 73], [77, 78, 79], [80, 82, 81], [87], [83, 84, 85], [86, 88]]
39: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24], [29, 57], [26, 25], [28, 31], [50, 37, 54], [33, 35], [32, 38, 42], [34, 36, 39], [44, 40, 41], [46, 45, 52], [63, 47, 55], [49, 56, 48], [51, 61], [53, 62], [58, 59], [60, 74, 67], [65, 70], [66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84], [85, 86, 88]]
40: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18, 16, 19, 22, 24, 29, 57, 26, 25, 28, 31, 50], [37, 54, 33], [35, 32], [38, 42, 34, 36], [39, 44, 40], [41, 46], [45, 52, 63], [47, 55, 49], [56, 48, 51, 61], [53, 62], [58, 59, 60, 74], [67, 65, 70, 66], [68, 69], [64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83], [84, 85, 86, 88]]
41: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14, 20], [27, 21, 17], [18, 16], [19, 22], [24, 29], [57, 26], [25, 28], [31, 50, 37], [54, 33], [35, 32], [38, 42, 34, 36], [39, 44, 40], [41, 46], [45, 52, 63, 47], [55, 49, 56, 48], [51, 61, 53], [62, 58, 59], [60, 74], [67, 65, 70], [66, 68], [69, 64, 71, 76, 75], [72], [73, 77, 78, 79], [80, 82, 81, 87, 83, 84, 85, 86, 88]]
42: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50], [37, 54, 33], [35, 32, 38, 42, 34, 36, 39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66], [68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
43: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18, 16, 19, 22, 24, 29, 57, 26, 25], [28, 31, 50], [37, 54, 33], [35, 32, 38, 42], [34, 36, 39], [44, 40, 41, 46, 45, 52], [63, 47, 55], [49, 56, 48, 51, 61, 53], [62, 58, 59], [60, 74], [67, 65], [70, 66], [68, 69, 64], [71, 76], [75, 72, 73, 77], [78, 79, 80], [82, 81, 87], [83, 84, 85, 86, 88]]
44: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50], [37, 54, 33], [35, 32, 38, 42, 34, 36, 39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66], [68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
45: [[12, 43, 23, 13, 1, 2], [6, 3], [7, 4, 5, 10, 9, 8], [30, 11], [15, 14, 20], [27, 21], [17, 18, 16], [19, 22, 24], [29, 57, 26], [25, 28, 31], [50, 37, 54], [33, 35], [32, 38, 42], [34, 36, 39, 44, 40, 41, 46, 45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58, 59], [60, 74, 67, 65, 70, 66], [68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
46: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50], [37, 54, 33], [35, 32, 38], [42, 34, 36], [39, 44, 40], [41, 46], [45, 52, 63, 47, 55, 49, 56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
47: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26, 25], [28, 31, 50], [37, 54, 33], [35, 32], [38, 42, 34], [36, 39, 44, 40], [41, 46, 45, 52, 63, 47], [55, 49, 56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77], [78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
48: [[12, 43], [23, 13], [1, 2], [6, 3], [7, 4], [5, 10], [9, 8], [30, 11], [15, 14], [20, 27, 21], [17, 18], [16, 19], [22, 24], [29, 57, 26], [25, 28], [31, 50], [37, 54, 33, 35], [32, 38, 42], [34, 36], [39, 44], [40, 41, 46], [45, 52, 63], [47, 55], [49, 56], [48, 51, 61], [53, 62, 58, 59], [60, 74, 67, 65], [70, 66], [68, 69, 64], [71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84], [85, 86, 88]]
49: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4], [5, 10], [9, 8], [30, 11, 15], [14, 20, 27, 21], [17, 18, 16], [19, 22, 24], [29, 57, 26], [25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46, 45], [52, 63, 47], [55, 49], [56, 48], [51, 61, 53], [62, 58, 59, 60, 74, 67], [65, 70, 66, 68], [69, 64], [71, 76], [75, 72], [73, 77, 78], [79, 80, 82], [81, 87], [83, 84, 85, 86, 88]]
50: [[12, 43, 23, 13, 1, 2], [6, 3, 7], [4, 5, 10], [9, 8, 30], [11, 15], [14, 20, 27], [21, 17], [18, 16], [19, 22, 24], [29, 57, 26, 25, 28, 31], [50, 37, 54], [33, 35, 32, 38, 42, 34, 36], [39, 44, 40], [41, 46, 45], [52, 63], [47, 55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60, 74, 67], [65, 70, 66, 68, 69, 64], [71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
