0: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
22: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
23: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
24: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
25: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
26: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
27: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
28: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
29: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
30: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
31: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
32: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
33: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
34: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
35: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
36: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
37: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
38: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
39: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
40: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
41: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
42: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
43: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
44: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
45: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
46: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
47: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
48: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
49: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
50: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
51: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
52: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
53: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
54: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
55: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
56: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
57: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
58: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
59: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
