0: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10, 4], [15, 8, 13], [12, 19, 20, 16, 17, 18, 22], [21, 23, 24]]
21: [[7, 11], [1, 2], [9, 3], [6, 5, 14, 10], [4, 15], [8, 13], [12, 19, 20], [16, 17], [18, 22], [21, 23, 24]]
22: [[7, 11], [1, 2], [9, 3, 6, 5], [14, 10, 4], [15, 8, 13], [12, 19, 20], [16, 17], [18, 22, 21], [23, 24]]
23: [[7, 11], [1, 2], [9, 3, 6], [5, 14, 10, 4], [15, 8, 13], [12, 19], [20, 16, 17], [18, 22, 21], [23, 24]]
24: [[7, 11], [1, 2, 9, 3], [6, 5], [14, 10], [4, 15], [8, 13], [12, 19], [20, 16, 17, 18], [22, 21], [23, 24]]
25: [[7, 11], [1, 2], [9, 3], [6, 5, 14], [10, 4, 15], [8, 13], [12, 19], [20, 16, 17], [18, 22], [21, 23, 24]]
26: [[2], [3], [6, 5, 9], [14, 10, 4], [15, 8], [13, 12], [19, 20, 1], [16, 17, 18, 7, 11], [22, 21], [23, 24]]
27: [[7, 11], [1, 2], [9, 3], [6, 5], [14, 10], [4, 15], [8, 13], [12, 19, 20], [16, 17, 18], [22, 21], [23, 24]]
28: [[2], [3], [6, 5], [14, 10], [4, 15], [8, 13, 1, 9], [12, 19], [20, 16, 7, 11], [17, 18, 22, 21], [23, 24]]
29: [[7, 11], [1, 2], [9, 3], [6, 5, 14], [10, 4, 15], [8, 13, 12], [19, 20, 16], [17, 18, 22], [21, 23, 24]]
30: [[7, 11], [1, 2], [9, 3, 6], [5, 14], [10, 4, 15, 8], [13, 12, 19, 20], [16, 17, 18], [22, 21], [23, 24]]
31: [[7, 11], [1, 2, 9, 3], [6, 5], [14, 10], [4, 15], [8, 13], [12, 19], [20, 16, 17], [18, 22, 21], [23, 24]]
32: [[2], [3], [6, 5, 9], [14, 10], [4, 15], [8, 13], [12, 19, 20, 1], [16, 17, 7, 11], [18, 22, 21], [23, 24]]
33: [[7, 11], [1, 2], [9, 3], [6, 5, 14], [10, 4], [15, 8, 13, 12], [19, 20, 16], [17, 18], [22, 21, 23, 24]]
34: [[7, 11], [1, 2, 9, 3], [6, 5], [14, 10, 4], [15, 8], [13, 12, 19], [20, 16, 17], [18, 22, 21, 23, 24]]
35: [[7, 11], [1, 2], [9, 3], [6, 5], [14, 10], [4, 15, 8], [13, 12], [19, 20, 16, 17], [18, 22, 21, 23, 24]]
36: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10], [4, 15, 8], [13, 12, 19], [20, 16, 17, 18, 22, 21, 23, 24]]
37: [[7, 11], [1, 2], [9, 3, 6], [5, 14], [10, 4, 15], [8, 13, 12], [19, 20], [16, 17], [18, 22, 21], [23, 24]]
38: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10], [4, 15, 8], [13, 12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
39: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10], [4, 15, 8], [13, 12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
40: [[7, 11], [1, 2, 9, 3], [6, 5], [14, 10], [4, 15], [8, 13], [12, 19, 20], [16, 17, 18, 22, 21, 23, 24]]
41: [[7, 11], [1, 2], [9, 3], [6, 5, 14, 10, 4], [15, 8, 13], [12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
42: [[7, 11], [1, 2], [9, 3, 6], [5, 14, 10], [4, 15], [8, 13, 12], [19, 20], [16, 17, 18, 22, 21, 23, 24]]
43: [[2, 9, 3, 1], [6, 5], [14, 10, 4, 7, 11], [15, 8, 13], [12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
44: [[7, 11], [1, 2], [9, 3], [6, 5], [14, 10, 4, 15, 8, 13], [12, 19, 20], [16, 17, 18, 22, 21, 23, 24]]
45: [[7, 11], [1, 2], [9, 3, 6, 5, 14, 10, 4, 15, 8, 13, 12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
46: [[7, 11], [1, 2], [9, 3, 6, 5, 14, 10, 4, 15, 8, 13, 12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
47: [[2, 9, 3, 6, 1], [5, 14], [10, 4, 7, 11], [15, 8, 13, 12, 19], [20, 16, 17, 18, 22, 21, 23, 24]]
48: [[7, 11], [1, 2, 9, 3, 6, 5, 14], [10, 4, 15, 8], [13, 12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
49: [[7, 11, 1], [2, 9, 3], [6, 5, 14, 10], [4, 15, 8], [13, 12, 19, 20, 16, 17, 18, 22, 21, 23, 24]]
