0: [[1, 20, 2], [5, 11, 7], [3, 12, 4, 6], [15, 8, 13], [10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
38: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14, 9, 17, 19], [18, 16, 22, 21, 23, 24]]
39: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19, 18, 16, 22, 21, 23, 24]]
40: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19, 18, 16, 22, 21, 23, 24]]
41: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19, 18, 16, 22, 21, 23, 24]]
42: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19, 18, 16, 22, 21, 23, 24]]
43: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19, 18, 16, 22, 21, 23, 24]]
44: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14, 9, 17, 19, 18, 16, 22, 21, 23, 24]]
45: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8, 13, 10, 14, 9, 17, 19, 18, 16, 22, 21, 23, 24]]
46: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8, 13, 10, 14, 9, 17, 19, 18, 16, 22, 21, 23, 24]]
47: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8, 13, 10, 14, 9, 17, 19, 18, 16, 22, 21, 23, 24]]
